	Ctgf_tdTpositive_cell_7	Cux2_tdTnegative_cell_6	Gad2_tdTpositive_cell_77	Ntsr1_tdTnegative_cell_2	Ntsr1_tdTnegative_cell_42	Ntsr1_tdTnegative_cell_57	Scnn1a.Tg2_tdTnegative_cell_13	Scnn1a.Tg2_tdTnegative_cell_15	Scnn1a.Tg3_tdTnegative_cell_7	Scnn1a.Tg3_tdTnegative_cell_22
1810022K09Rik	0.0	0.0	266.49	774.7	560.85	0.0	739.92	1246.2	197.27	1.01
2400001E08Rik	0.0	0.0	458.37	903.21	0.0	0.0	0.0	773.59	0.83	419.66
2400003C14Rik	4.44	0.0	0.0	0.0	755.69	0.58	0.4	904.99	444.99	0.0
Add1	0.0	0.0	424.51	739.32	43.77	0.34	0.12	847.91	0.48	0.09
Arfgap2	0.0	0.0	150.75	107.54	219.49	0.0	288.55	405.09	236.89	0.0
Arl4a	463.22	0.0	6.06	113.69	102.43	0.0	229.85	271.09	328.15	0.0
Cct5	0.23	0.0	954.23	865.23	1147.04	0.0	502.57	2558.81	584.07	67.68
Cmtm4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	225.46	0.0	0.0
Crls1	0.0	0.0	1.34	0.0	74.08	0.0	98.73	243.38	0.0	0.23
Dlg1	0.0	0.0	16.71	113.48	55.21	0.0	3.32	129.55	20.34	2.13
Erh	0.0	0.0	344.56	784.25	560.84	1.76	2485.64	1338.87	459.14	132.56
Fzd3	0.04	0.0	106.23	193.48	3.99	0.58	60.88	165.09	137.96	0.0
Gm9897	0.0	0.0	0.0	0.0	0.0	0.0	0.0	820.65	0.0	0.0
Hax1	0.0	0.0	321.09	0.6	48.0	0.0	353.03	716.91	110.2	0.33
Hira	0.0	0.0	0.0	0.0	0.0	0.0	0.0	75.16	2.71	0.0
Hnmt	0.0	0.0	0.26	0.0	0.0	0.0	219.97	662.26	0.0	0.0
Ifi27l1	2.34	0.0	138.6	297.38	430.64	0.0	2.69	1376.83	440.01	0.49
Kidins220	0.0	34.44	27.18	43.86	39.34	0.0	84.01	549.93	43.39	0.19
Mbp	0.0	0.05	18556.47	15651.49	24167.41	4.83	16916.82	7.19	24066.01	13768.44
Mll2	0.0	3.66	15.46	52.72	11.07	3.23	25.33	53.56	25.89	2.05
Morn2	0.0	0.0	125.84	0.0	0.0	0.0	0.0	763.84	0.0	0.0
Mpp5	0.0	0.08	171.61	135.93	0.06	0.0	8.48	499.59	0.17	0.0
Pak2	0.0	0.0	0.0	64.9	0.0	0.0	0.0	91.25	2.43	0.0
Pcm1	0.0	0.0	105.72	67.16	74.71	26.53	2.39	505.2	39.87	0.0
Psen2	0.0	0.0	0.0	0.0	0.0	0.0	67.48	285.1	0.0	0.0
Psmb3	0.0	0.0	454.49	1261.94	0.0	0.0	1.37	873.71	1376.57	0.0
Psmd8	0.0	0.0	124.76	261.41	173.32	0.0	0.0	748.61	205.39	0.24
Rab18	0.0	0.0	627.77	869.2	441.14	0.0	1.26	1034.36	524.2	79.96
Rpn2	0.15	0.0	590.14	158.53	470.89	0.5	334.56	1160.69	662.5	0.13
Sec13	0.0	350.83	568.63	930.27	223.19	0.0	602.41	975.8	1122.87	554.8
Sept2	841.34	634.86	3546.46	4173.21	2211.22	978.32	2579.38	3027.42	2253.85	1381.43
Sez6l2	0.0	0.0	0.0	0.0	0.0	0.37	0.39	188.19	0.0	179.75
Shc2	0.69	0.21	0.75	1.89	0.84	0.0	0.89	3.31	1.13	0.0
Shroom2	0.0	0.0	143.87	25.34	0.0	0.0	0.06	383.14	116.75	339.11
Sirt2	0.0	0.0	4504.61	10087.55	10009.68	0.83	15065.74	744.49	17617.51	940.68
Slc25a18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.41	0.0	0.0
Snrpd3	0.0	0.0	649.28	431.03	450.37	0.0	341.73	1358.94	269.86	185.23
Sox2ot	1.93	0.31	654.66	504.98	458.88	8.2	11.4	654.83	36.04	254.99
Tcp11l2	0.0	0.64	148.5	2.01	902.9	5.04	715.02	911.5	854.4	0.0
Tmem59	890.09	422.12	1708.12	2333.22	1762.56	1689.79	1413.97	2462.2	1124.24	1687.38
Unc119b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	564.89	0.0	0.0
Zkscan1	0.0	0.0	67.63	81.95	127.85	0.0	200.61	284.65	176.17	0.0
