	Calb2_tdTpositive_cell_27	Calb2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_51	Chrna2_tdTpositive_cell_72	Cux2_tdTpositive_cell_47	Cux2_tdTnegative_cell_16	Htr3a_tdTpositive_cell_95	Ndnf_tdTpositive_cell_2	Nr5a1_tdTpositive_cell_31	Nr5a1_tdTpositive_cell_38	Nr5a1_tdTpositive_cell_43	Ntsr1_tdTpositive_cell_14	Ntsr1_tdTpositive_cell_41	Ntsr1_tdTpositive_cell_60	Ntsr1_tdTnegative_cell_37	Ntsr1_tdTnegative_cell_44	Rbp4_tdTpositive_cell_3	Rbp4_tdTpositive_cell_16	Rbp4_tdTpositive_cell_24	Rbp4_tdTpositive_cell_53	Rbp4_tdTpositive_cell_98	Rbp4_tdTpositive_cell_99	Rbp4_tdTpositive_cell_123	Rbp4_tdTpositive_cell_161	Rbp4_tdTpositive_cell_172	Rorb_tdTpositive_cell_13	Rorb_tdTpositive_cell_31	Rorb_tdTpositive_cell_43	Scnn1a.Tg3_tdTpositive_cell_75	Scnn1a.Tg3_tdTpositive_cell_103	Scnn1a.Tg3_tdTnegative_cell_20	Slc17a6_tdTpositive_cell_20	Slc17a6_tdTpositive_cell_23	CAV_LP_Ipsi_tdTpos_cell_10	CAV_LP_Ipsi_tdTpos_cell_22	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_25	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28
1700025N23Rik	18.76	24.69	6.31	16.59	33.93	41.08	20.74	8.6	3.5	13.12	4.65	14.45	2.39	1.4	20.73	18.41	12.0	16.91	7.08	4.11	16.51	5.26	16.63	5.17	16.59	35.03	11.3	8.14	35.04	12.5	14.85	13.08	15.01	11.75	7.76	7.29	11.46	8.84	2.83
2310010M20Rik	21.45	35.42	2.53	21.99	22.04	30.81	26.82	11.83	16.79	8.41	6.94	31.94	15.9	0.51	23.8	34.81	10.24	46.58	33.98	10.03	30.03	5.99	30.06	20.28	17.86	43.85	13.71	8.96	45.88	67.29	11.89	19.72	30.26	31.93	10.36	12.53	16.91	4.47	15.11
4930405P13Rik	42.09	70.34	21.83	89.71	62.98	94.84	36.59	18.66	60.27	22.64	25.22	67.61	65.71	15.99	93.63	44.53	56.17	77.44	53.54	31.25	46.28	23.73	97.38	37.86	40.41	88.1	54.49	62.74	41.4	131.36	58.55	51.12	154.61	53.75	9.96	42.72	42.66	49.6	27.35
4930511M06Rik	39.58	158.09	33.19	101.62	132.84	261.43	150.48	58.99	46.23	89.38	22.19	77.82	33.0	1.57	95.98	45.15	74.57	137.6	120.15	71.22	120.55	22.73	167.69	92.34	105.22	134.38	74.56	39.65	176.68	221.11	145.7	119.48	134.4	93.59	54.81	44.3	75.14	34.39	17.43
4930519G04Rik	8.96	5.36	1.92	4.28	6.18	7.41	0.0	3.22	3.26	2.73	2.41	5.16	1.82	0.68	3.83	3.92	5.41	6.0	3.71	1.48	6.47	0.16	5.42	1.3	2.8	5.32	3.34	2.62	6.9	8.49	2.92	6.7	8.19	4.03	1.17	1.2	3.37	1.98	2.2
9830132P13	8.95	1.58	0.73	2.14	5.4	4.71	4.0	2.36	0.63	2.23	0.31	3.6	2.02	0.87	1.16	0.0	1.5	5.78	1.03	0.53	2.75	0.11	3.08	1.38	0.38	0.0	4.0	1.42	2.71	3.44	3.19	1.74	2.11	1.38	1.51	2.49	3.34	0.55	0.12
A430107P09Rik	31.37	111.47	14.58	86.02	135.66	166.25	148.93	74.35	33.22	65.7	14.78	62.71	27.0	1.26	104.13	43.2	40.34	124.14	88.77	40.91	106.11	20.38	110.12	83.92	69.87	156.56	97.93	32.26	88.54	197.71	44.63	77.91	62.65	68.78	39.14	29.01	46.33	36.03	24.08
A730017L22Rik	56.95	119.9	32.91	91.73	135.35	158.97	211.75	84.26	29.6	62.07	46.88	163.57	33.81	0.0	104.8	51.59	74.54	155.25	123.36	114.01	500.42	27.72	106.6	92.72	100.45	171.47	107.26	36.69	146.81	286.62	105.01	71.49	115.24	81.99	41.83	24.15	46.32	46.43	42.77
Acsm2	0.36	1.71	0.25	1.32	2.23	2.29	0.99	1.1	0.62	0.69	0.86	0.25	0.35	0.05	0.71	1.03	1.4	1.74	0.86	0.75	1.03	0.56	1.86	0.26	1.28	1.76	1.97	0.49	0.89	3.12	0.49	1.51	1.08	1.99	0.44	0.5	0.84	0.57	0.51
Aim2	20.3	30.32	5.12	9.82	12.4	28.77	15.13	7.8	6.28	9.41	4.3	11.95	6.06	0.11	11.98	3.49	9.1	30.6	15.29	8.7	16.02	3.86	22.7	12.05	14.45	13.43	8.63	2.88	25.25	65.6	8.61	12.05	23.93	11.54	10.05	0.57	9.98	2.8	3.28
Alx4	0.93	0.23	0.24	0.86	0.44	0.29	0.0	0.3	0.33	0.16	0.13	0.58	0.0	0.0	0.9	0.0	0.19	0.56	0.37	0.09	0.0	0.29	0.39	0.22	1.0	2.14	0.65	0.22	1.06	0.84	1.22	0.68	0.59	0.12	0.05	0.15	0.16	0.17	0.33
Amy2a2	0.0	0.0	0.15	0.19	0.48	0.4	0.41	0.17	0.07	0.0	0.01	0.28	0.08	0.0	0.72	0.31	0.31	1.18	0.45	0.43	0.27	0.03	0.54	0.13	0.09	0.29	0.32	0.36	0.35	1.27	0.29	0.5	1.35	0.13	0.03	0.05	0.28	0.1	0.08
Amy2a3	0.0	0.0	0.15	0.19	0.48	0.4	0.41	0.17	0.07	0.0	0.01	0.28	0.08	0.0	0.72	0.31	0.31	1.18	0.45	0.43	0.27	0.03	0.54	0.13	0.09	0.29	0.32	0.36	0.35	1.27	0.29	0.5	1.35	0.13	0.03	0.05	0.28	0.1	0.08
Amy2a4	0.0	0.0	0.15	0.19	0.48	0.4	0.41	0.17	0.07	0.0	0.01	0.28	0.08	0.0	0.72	0.31	0.31	1.18	0.45	0.43	0.27	0.03	0.54	0.13	0.09	0.29	0.32	0.36	0.35	1.27	0.29	0.5	1.35	0.13	0.03	0.05	0.28	0.1	0.08
Ap1s3	5.89	4.61	4.54	19.72	5.82	14.72	10.48	5.26	3.27	2.44	1.82	5.71	3.59	0.0	3.92	0.96	4.27	17.11	5.69	13.07	8.87	0.56	1.62	3.67	11.3	7.2	5.4	3.7	3.93	8.54	5.88	7.68	12.65	14.33	1.42	1.42	10.41	3.19	3.07
BC039771	4.74	2.35	1.05	4.02	3.75	8.4	1.48	2.76	4.59	2.17	1.6	5.97	0.61	0.27	10.36	2.81	6.08	10.42	4.09	1.72	5.84	1.62	4.41	2.59	2.97	16.0	4.24	2.11	7.93	14.26	3.61	5.04	5.33	5.14	0.8	1.85	1.78	1.29	4.6
Bambi-ps1	21.82	28.03	8.1	31.15	25.93	50.45	88.25	10.55	19.49	27.23	16.94	27.43	23.4	0.0	41.26	0.0	15.82	41.58	19.47	25.34	32.78	2.32	59.19	24.04	37.6	63.63	21.28	2.73	77.47	158.61	22.78	32.09	48.41	31.99	6.66	10.29	7.31	4.82	3.09
Bpifc	0.57	6.43	2.94	3.75	5.81	3.82	0.0	0.67	2.15	0.52	0.0	0.7	0.84	0.0	0.0	0.16	0.71	2.65	2.36	1.68	4.28	0.0	2.72	6.21	1.72	2.24	7.81	1.22	2.47	2.44	4.48	3.72	1.82	2.53	0.74	0.44	0.4	2.12	0.0
Car5a	4.5	25.98	1.85	6.54	9.49	18.99	12.23	7.6	5.15	5.21	0.25	10.84	2.09	0.47	5.79	1.07	0.32	18.57	3.8	7.03	15.27	1.75	7.48	15.67	8.13	16.11	13.45	3.17	4.03	7.08	2.45	6.29	12.85	8.11	0.51	5.3	7.98	2.03	2.05
Car5b	1.22	4.71	2.05	2.96	3.67	3.87	4.57	33.22	1.76	2.78	1.37	3.51	1.45	0.36	6.34	3.65	1.66	5.45	3.56	2.58	5.11	1.03	2.8	3.57	2.78	5.0	4.25	1.88	5.11	9.8	3.87	2.95	5.87	3.92	1.09	1.42	2.24	1.5	1.85
Cd3d	3.35	11.45	1.83	7.31	7.3	15.88	15.39	5.99	2.91	2.34	1.39	2.6	2.85	0.56	10.22	0.48	1.1	9.74	6.09	2.78	8.52	1.3	14.31	9.99	5.71	7.07	5.74	1.97	18.42	9.28	3.6	4.02	3.32	6.66	0.73	0.25	3.13	0.74	1.2
Cd8b1	2.21	9.1	1.94	1.91	4.83	7.47	7.84	3.12	2.0	1.14	1.37	3.34	0.19	0.0	3.62	0.54	2.23	9.72	6.09	1.06	7.92	1.25	5.22	1.95	4.92	15.68	1.06	0.81	8.37	10.45	5.47	2.19	2.74	3.57	3.29	1.7	3.28	2.09	1.21
Chst3	4.89	3.27	0.29	3.1	4.96	3.35	3.47	3.79	2.12	1.42	2.4	2.62	1.51	0.47	3.65	5.88	2.36	3.54	3.48	2.64	1.91	1.38	6.25	1.24	1.6	7.49	4.53	1.06	2.63	5.99	1.61	1.29	3.51	4.78	2.9	1.45	0.87	0.89	10.5
Csf2rb2	5.63	7.06	1.23	6.6	10.29	22.2	9.86	9.34	4.4	2.98	3.2	3.5	2.72	1.0	8.6	6.88	2.19	9.07	6.59	1.68	7.99	3.12	8.49	2.6	5.81	12.55	13.55	2.97	10.74	13.74	2.28	7.09	4.54	12.23	3.26	3.73	5.6	3.34	2.02
Ctcfl	8.12	8.45	1.59	9.07	4.73	8.12	10.43	3.28	2.79	1.82	1.13	3.1	3.81	0.0	8.97	2.17	2.61	7.32	7.08	1.35	5.88	1.96	5.62	5.02	5.35	8.98	2.72	2.7	11.39	5.91	4.89	4.22	8.34	4.5	2.64	3.09	3.81	1.96	2.35
Cybrd1	8.25	5.61	1.0	5.32	3.58	15.37	5.78	2.48	1.58	4.79	1.23	4.34	4.19	0.0	4.53	6.59	2.87	8.94	3.28	1.07	5.87	1.08	6.78	1.81	3.58	3.93	4.98	0.62	5.53	13.92	1.12	4.22	8.18	6.83	1.59	2.08	2.24	1.39	1.75
Cytip	0.11	0.29	0.0	0.53	0.35	1.29	0.44	0.37	0.17	0.02	0.0	0.22	0.07	0.0	0.28	0.11	0.0	0.11	0.0	0.0	0.0	0.09	0.44	0.0	0.0	0.32	0.21	0.0	0.75	0.38	0.0	0.74	0.37	0.04	0.05	0.02	0.0	0.0	0.08
D630045M09Rik	1.73	13.48	0.71	4.16	9.77	7.94	9.22	2.62	0.89	2.19	3.17	7.53	2.81	0.0	6.68	2.44	5.44	11.48	11.78	5.64	7.17	0.0	7.87	6.03	13.73	7.92	17.58	2.06	12.98	36.61	3.32	5.4	2.94	6.05	1.35	3.29	3.25	4.74	1.16
Dcdc2c	166.69	55.42	13.72	82.3	59.66	108.69	198.57	56.13	42.8	116.73	42.51	67.57	9.26	0.0	111.03	106.54	60.24	53.27	86.2	0.28	58.59	0.0	19.43	1.89	70.07	71.93	156.32	21.68	29.93	368.23	30.62	45.84	147.07	48.04	14.42	18.21	87.49	16.8	97.3
Dkk1	0.29	0.73	0.12	0.32	0.88	1.88	2.44	0.0	0.72	0.36	0.11	0.0	0.09	0.0	0.38	0.17	0.0	0.83	1.04	0.0	0.55	1.42	0.8	0.17	0.29	0.42	1.72	0.39	1.91	2.03	0.0	0.95	1.65	0.16	0.44	0.54	0.11	0.2	0.0
Dlgap5	9.41	7.34	1.58	7.41	8.04	10.2	7.47	3.14	3.21	4.67	3.9	2.49	2.18	0.0	9.15	11.15	3.51	9.38	3.73	2.44	6.55	2.2	11.3	4.1	5.19	0.0	4.13	1.14	1.06	10.34	3.23	5.71	13.06	3.79	0.84	7.51	3.65	1.52	1.28
Eif2ak2	21.55	53.21	13.23	57.14	53.05	282.28	96.47	54.76	21.01	28.53	10.08	42.2	18.29	0.33	54.88	28.69	23.58	86.85	46.35	24.96	52.29	15.57	41.66	59.04	44.12	70.63	37.89	24.34	58.58	112.49	24.61	26.93	97.04	40.94	15.29	7.93	24.55	17.05	28.41
Ermap	4.19	4.11	0.51	4.38	7.12	7.7	7.78	3.96	1.54	2.17	1.41	2.1	0.39	0.06	3.37	0.26	1.61	8.8	4.56	1.69	4.44	2.14	6.55	4.09	2.98	13.89	3.12	1.49	8.88	11.32	2.4	2.84	6.11	2.54	2.09	1.25	1.62	1.14	1.09
Fam169b	16.26	13.88	4.83	16.05	18.14	47.21	28.01	10.96	6.12	11.32	2.19	19.08	9.16	0.08	11.91	3.71	13.79	24.1	12.87	11.75	16.02	3.42	34.97	21.92	14.23	41.07	15.86	7.86	52.17	61.59	13.65	24.74	20.6	18.95	4.55	9.09	9.78	3.4	8.14
G630055G22Rik	33.24	8.21	4.97	15.92	11.95	14.87	13.91	8.57	4.17	8.64	5.56	10.08	5.68	0.99	17.35	5.64	9.9	25.61	15.11	12.81	9.99	4.67	20.02	9.1	22.74	25.0	15.04	5.49	24.23	41.44	11.84	5.18	16.32	11.39	5.72	5.31	4.86	7.86	4.36
Gm4841	9.91	21.14	4.39	26.86	20.11	36.41	20.03	10.94	7.0	7.26	3.85	4.93	4.9	1.16	8.56	4.27	6.07	24.85	21.04	5.32	19.32	3.12	17.45	6.74	7.46	36.13	17.06	5.5	40.8	33.83	10.18	15.91	17.46	13.37	7.18	3.33	7.99	3.43	0.98
Gm4951	0.48	0.0	0.0	0.91	1.28	0.65	2.84	0.53	0.64	0.0	0.27	1.29	0.27	0.11	0.54	0.35	0.26	1.37	1.12	0.37	1.54	0.0	0.0	0.16	0.66	0.33	0.46	0.11	0.28	1.59	0.19	2.35	0.57	0.41	0.41	0.24	0.67	0.09	0.38
Gm5065	2.25	0.51	0.32	1.32	2.62	2.99	4.34	0.74	0.86	0.71	0.36	0.78	1.0	0.19	2.14	0.31	1.63	1.66	0.87	1.11	1.2	0.72	1.69	2.38	1.38	1.72	1.22	0.45	3.16	5.41	1.97	0.99	1.12	1.13	1.0	0.62	0.68	0.69	0.63
Gm5607	8.77	15.49	3.01	7.73	17.7	12.8	25.19	7.61	2.94	7.88	1.18	10.07	4.2	0.06	12.14	3.06	6.77	11.57	14.34	5.98	13.16	2.59	16.93	9.73	9.15	22.48	8.36	4.48	11.27	27.24	11.14	10.11	10.0	12.65	3.46	3.51	2.33	3.5	3.01
Gm6300	58.01	119.69	17.29	75.35	104.36	186.5	168.44	77.71	26.82	52.11	24.69	128.41	30.84	1.44	127.38	37.49	72.37	143.0	138.87	100.26	103.36	18.55	163.05	94.86	118.68	184.71	119.84	28.19	154.38	261.86	77.06	88.73	101.61	89.69	23.84	28.24	62.14	36.22	25.82
Gm6602	20.95	27.06	2.02	33.83	30.18	56.88	38.08	24.43	10.6	17.41	2.07	18.62	8.54	0.0	23.34	6.01	9.09	29.02	26.65	12.99	36.24	4.28	32.9	12.95	23.15	63.07	15.86	14.05	22.05	59.17	6.68	20.6	20.72	22.8	13.55	12.24	7.32	8.93	4.65
Gm7102	105.23	9.88	14.03	24.92	33.17	110.45	36.39	36.16	27.65	61.36	21.88	35.69	7.37	0.0	57.61	13.32	37.58	38.73	40.07	1.74	49.2	0.0	22.02	0.27	39.84	20.4	51.98	8.6	35.33	232.5	26.48	35.88	95.63	7.02	8.65	9.79	43.51	7.98	36.91
Gm7609	18.74	1.83	5.82	7.33	13.88	28.32	10.31	14.93	7.04	9.26	4.04	14.67	5.12	0.0	11.01	0.76	6.31	12.23	14.31	2.44	12.35	0.0	30.2	8.92	12.34	24.84	6.91	3.82	20.21	21.6	10.31	12.58	15.65	17.14	1.07	2.02	6.08	2.71	4.12
Gpr157	6.68	8.59	2.39	9.41	12.02	9.03	12.37	4.97	5.82	5.26	1.71	6.4	4.68	1.32	7.76	5.81	4.53	13.38	10.45	2.64	8.76	2.62	6.82	9.25	8.87	11.24	6.0	3.98	9.95	24.46	6.3	7.47	7.24	7.58	3.19	3.82	4.73	13.17	1.86
