	Calb2_tdTpositive_cell_52	Calb2_tdTpositive_cell_56	Gad2_tdTpositive_cell_22	Nos1_tdTpositive_cell_56	Sst_tdTpositive_cell_6	Sst_tdTpositive_cell_79	Vip_tdTpositive_cell_1	Vip_tdTpositive_cell_45	Vip_tdTpositive_cell_48	Vip_tdTpositive_cell_50	Vip_tdTpositive_cell_51	Vip_tdTpositive_cell_52	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28
2310003C23Rik	4.58	2.94	1.87	1.26	2.37	1.5	0.84	4.25	50.1	5.31	6.47	3.76	0.31	0.0	0.66	0.66
2610044O15Rik	302.98	23.4	2.65	5.88	0.46	1.65	0.84	52.25	5.44	112.78	2.19	2.39	2.3	28.94	7.62	12.13
2700089E24Rik	337.29	494.55	363.21	109.12	275.51	208.71	0.66	354.56	833.51	355.18	244.44	344.75	73.76	65.6	13.36	108.78
Abcf2	184.51	0.0	13.72	0.0	99.07	130.77	0.16	313.94	124.11	218.77	203.31	0.43	7.49	167.21	126.96	93.54
Ap2m1	1449.11	1592.53	2860.19	614.15	2384.3	1696.99	915.04	2618.37	2301.36	2625.67	1975.72	2168.52	936.92	1666.58	1911.93	1443.72
Bzw1	348.63	423.28	657.16	0.0	254.4	160.48	0.43	410.94	274.09	156.45	338.73	549.48	143.81	134.77	98.34	131.76
Camk2n1	65.18	74.92	68.5	0.0	77.73	44.1	10.06	150.42	113.87	61.48	142.3	113.85	0.66	35.42	76.86	27.17
Car5a	15.59	4.96	4.82	1.94	5.29	1.99	5.99	6.18	15.47	5.79	16.99	7.56	4.68	0.56	2.03	2.05
Cbx5	193.41	185.81	136.88	0.37	146.41	72.54	7.95	335.23	315.75	325.31	401.09	623.03	61.71	3.35	49.64	121.8
Dennd5b	121.17	137.67	44.96	27.19	67.63	31.67	2.83	114.79	77.94	96.04	123.53	38.9	23.03	43.79	23.89	65.21
Dimt1	148.52	40.19	88.2	3.43	135.09	6.26	0.32	48.52	39.91	0.0	19.93	0.0	0.0	0.0	75.03	3.12
Dnm1l	393.1	113.84	212.69	52.96	298.96	182.93	0.1	55.4	235.06	0.12	21.07	31.29	22.54	45.56	139.94	73.84
Galntl6	267.18	72.91	163.67	0.38	44.48	0.62	0.48	383.58	340.95	215.77	397.25	113.82	0.11	0.0	0.6	0.48
Gm13363	681.56	353.9	388.86	278.82	368.29	340.51	166.93	942.92	825.95	438.39	864.2	570.15	74.25	140.35	31.09	0.0
Gm16039	417.91	144.66	107.33	0.0	17.3	178.21	0.19	0.0	0.0	233.84	242.31	4.67	6.81	2.24	61.24	10.12
Gm6710	13.53	2.66	72.47	0.0	43.28	1.16	0.0	13.95	0.11	7.26	0.0	4.65	0.16	0.19	0.34	0.0
Gm7609	14.94	10.78	13.26	1.47	8.56	5.68	10.93	8.09	15.12	19.95	12.18	10.61	4.91	6.51	2.71	4.12
Grin2b	345.25	114.32	195.93	52.28	144.02	137.34	14.92	373.66	310.92	301.23	281.8	171.44	118.88	70.16	73.91	69.08
Hars	514.08	317.19	344.27	25.04	128.02	168.83	44.84	71.42	9.65	9.33	221.48	204.76	214.26	0.22	10.63	73.88
Hdac3	40.14	0.33	2.93	0.0	29.19	1.06	0.0	1.65	209.05	0.24	3.01	0.28	0.0	0.0	0.15	0.12
Kif2a	85.3	65.91	198.78	95.66	255.05	88.57	17.36	96.04	225.82	7.04	202.9	107.68	12.12	129.02	76.11	145.37
Lnp	78.85	25.11	22.04	6.16	15.47	12.8	79.43	88.58	137.36	89.8	40.09	36.82	0.0	8.11	33.22	5.36
Mapre2	236.05	237.76	50.0	0.0	84.54	91.8	0.1	350.65	256.49	0.12	337.27	62.72	57.76	68.03	28.37	50.36
Nf1	43.79	26.77	30.93	7.78	44.35	15.67	0.0	29.45	65.67	59.47	112.78	41.17	1.41	29.56	1.84	17.76
Nmnat2	88.28	146.33	135.51	5.68	48.18	40.2	77.84	250.18	283.86	45.55	208.53	254.43	31.05	45.25	93.78	62.84
Oaz1	1144.67	1569.09	1160.34	776.56	1169.91	949.48	1329.39	1272.86	792.87	2521.96	1026.03	804.58	627.42	430.68	321.02	871.2
Oaz1-ps	1381.13	1271.71	1329.09	585.39	1370.04	578.44	1413.95	776.82	580.93	1644.18	823.42	505.04	642.03	386.7	534.61	614.93
Paip1	147.48	115.01	196.52	76.52	122.09	63.63	169.35	530.87	326.38	201.48	198.46	253.63	51.35	16.16	55.56	5.61
