	Ntsr1_tdTnegative_cell_16	Ntsr1_tdTnegative_cell_23	Ntsr1_tdTnegative_cell_44	Rbp4_tdTpositive_cell_165	Rbp4_tdTnegative_cell_7	Rbp4_tdTnegative_cell_8	Scnn1a.Tg3_tdTnegative_cell_1	Scnn1a.Tg3_tdTnegative_cell_6	Scnn1a.Tg3_tdTnegative_cell_13	Scnn1a.Tg3_tdTnegative_cell_14	Scnn1a.Tg3_tdTnegative_cell_15	Scnn1a.Tg3_tdTnegative_cell_19	Scnn1a.Tg3_tdTnegative_cell_22	Scnn1a.Tg3_tdTnegative_cell_23	Ntsr1_tdTpos_10cell_8	Ntsr1_tdTpos_10cell_10	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
A330102I10Rik	0.0	0.0	0.0	25.8	0.0	20.74	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46.95	65.35	10.22	10.24	11.88
Aida	4.63	5.28	0.15	19.88	1.66	49.94	0.52	0.0	0.0	0.56	0.35	0.47	0.23	0.27	20.26	24.57	36.55	33.92	32.54
Alkbh7	0.0	258.05	0.0	32.91	0.0	1.85	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.34	11.26	21.35	23.28	20.7
Bicd1	0.0	114.01	0.0	11.87	0.05	49.47	0.0	0.0	0.0	110.23	0.0	0.0	0.0	0.15	12.63	17.92	13.95	10.7	13.06
Cbr1	0.0	0.56	0.0	98.76	0.0	121.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	97.3	150.03	93.53	99.26	90.78
Ccl27b	0.0	0.0	0.0	40.26	0.0	42.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	54.7	75.81	30.63	28.29	22.96
Cdk7	57.21	19.18	0.68	20.89	22.41	26.29	1.67	2.12	0.47	0.7	0.39	0.88	0.45	1.25	17.29	22.73	24.31	24.5	25.35
Cnrip1	7.93	1.92	0.0	192.95	0.63	415.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	513.88	429.73	104.07	98.71	100.81
Cxx1b	39.32	0.0	0.0	51.38	0.0	92.36	0.0	33.17	0.0	0.0	0.0	0.0	0.0	0.0	6.42	10.7	172.6	187.06	185.15
Dnaja2	5.88	0.61	0.0	96.89	0.0	110.56	23.27	3.69	0.0	0.0	0.0	0.0	0.0	0.28	75.73	81.24	152.91	152.88	144.91
Ebag9	0.0	0.0	0.0	17.67	0.0	118.92	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	93.82	32.55	29.22	29.91	30.22
Fam120b	8.02	0.85	0.26	28.47	0.11	88.17	0.25	0.0	0.0	0.15	164.2	0.0	0.0	0.18	21.62	37.69	40.38	37.86	39.13
Fkbp2	0.0	590.41	0.0	346.1	286.66	200.82	206.27	0.0	605.23	871.69	0.0	0.72	242.88	0.0	400.62	557.81	117.68	136.55	132.8
Gapvd1	0.0	0.68	3.93	13.08	0.0	14.66	0.0	0.0	0.0	0.0	0.0	0.0	0.41	0.0	6.73	7.48	43.6	41.96	41.4
Gm13306	0.0	0.0	0.0	40.26	0.0	42.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	54.7	75.81	30.63	28.29	22.96
Gm14430	0.0	0.0	0.04	6.69	0.21	21.71	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.83	3.28	7.67	5.07	7.49
