	Chrna2_tdTpositive_cell_84	Htr3a_tdTpositive_cell_85	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_26	PvalbF.Gad2_tdTpositive_cell_22	PvalbF.Gad2_tdTpositive_cell_52	PvalbF.Gad2_tdTpositive_cell_66	PvalbF.Gad2_tdTpositive_cell_67	PvalbF.Gad2_tdTpositive_cell_72	PvalbF.Gad2_tdTpositive_cell_84	Rbp4_tdTpositive_cell_51	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1190005F20Rik	50.89	0.0	0.89	26.64	30.94	119.75	23.55	5.43	3.71	0.0	23.29	27.73	26.34	23.51
1500001M20Rik	0.0	0.0	0.0	0.0	1.05	86.15	0.0	18.98	1.62	0.0	0.0	11.98	12.59	12.35
1600029O15Rik	1.32	2.36	1.36	0.68	3.19	14.99	3.49	2.48	7.09	2.13	2.34	3.2	3.19	2.95
1700067K01Rik	0.0	0.0	0.0	0.0	0.0	1.52	0.0	0.0	0.0	0.0	0.0	0.84	1.4	0.67
1700113I22Rik	90.76	0.0	0.0	0.0	0.0	36.24	0.0	0.55	0.0	0.0	0.0	3.37	2.67	2.96
2310061I04Rik	0.0	118.03	17.02	25.18	45.07	168.11	18.83	30.41	0.0	96.54	21.55	76.54	80.37	71.72
2410141K09Rik	0.0	0.0	0.0	0.0	0.0	4.54	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2510049J12Rik	0.49	0.88	0.96	0.9	1.47	10.99	1.88	1.64	0.32	0.49	0.98	2.97	1.96	2.14
4930431P03Rik	0.0	0.0	0.0	0.0	0.15	0.23	0.0	0.0	0.0	0.25	0.0	0.35	0.04	0.09
4930513N10Rik	0.0	0.0	0.0	0.0	0.29	0.38	0.0	0.0	0.0	0.0	0.0	1.04	0.94	0.92
4930525G20Rik	0.0	0.0	0.0	0.0	0.0	0.17	0.0	0.0	0.0	0.0	0.0	2.07	1.61	1.84
4930528A17Rik	0.16	0.0	0.0	0.72	0.0	30.98	0.0	0.33	0.0	0.0	0.37	0.53	0.42	0.78
9030612E09Rik	0.0	0.0	0.0	0.0	0.0	54.45	0.0	0.0	0.0	0.0	0.0	2.08	1.91	1.77
9130401M01Rik	0.0	22.13	37.13	0.0	15.27	129.49	0.0	74.34	0.0	22.21	41.07	36.91	38.52	39.99
A430088P11Rik	0.19	0.07	0.0	0.0	0.07	0.47	0.0	0.0	0.08	0.0	0.09	0.2	0.15	0.2
A930012L18Rik	0.0	0.0	0.0	0.0	0.0	27.9	0.17	0.0	0.0	0.0	0.0	3.09	2.92	3.61
AI428936	0.0	0.0	0.0	0.0	0.0	1.6	0.0	0.0	0.0	0.0	0.0	4.36	4.04	4.73
AI848100	28.15	13.17	20.87	0.0	0.0	48.65	26.59	7.35	0.0	17.67	0.0	17.59	14.92	16.56
AW554918	0.0	0.0	4.97	0.0	0.0	43.33	1.96	0.0	11.85	0.0	0.0	6.92	6.3	7.2
Abcc10	0.07	0.03	0.0	0.41	1.3	9.52	0.0	0.0	0.0	0.0	0.08	7.25	8.35	8.26
Acad11	0.0	0.0	0.0	0.0	0.0	96.84	0.0	0.0	0.0	0.0	10.13	19.58	19.18	19.36
Adc	0.0	0.0	0.0	0.0	0.21	37.4	2.48	0.0	0.0	0.0	3.28	32.41	36.09	33.73
Airn	1.35	6.19	58.5	0.89	2.96	47.19	1.76	4.77	1.59	0.0	2.86	3.67	3.68	2.48
Aldob	0.0	0.0	0.0	0.0	0.0	41.34	0.0	0.0	0.0	0.0	0.0	2.9	2.95	3.41
Ankrd34b	0.0	0.0	0.6	4.73	10.04	77.53	53.28	40.9	7.39	0.0	1.86	15.24	16.3	15.63
Ankrd42	0.0	1.02	1.42	0.0	15.45	76.76	0.42	1.54	0.0	0.0	0.0	14.08	11.49	13.4
Apoo-ps	0.0	0.0	0.0	0.0	0.0	30.52	18.58	0.0	0.0	25.06	15.99	19.01	21.37	17.68
Asap1	12.81	53.54	16.58	7.02	41.01	49.66	3.65	6.51	30.98	0.0	44.2	88.98	80.34	86.8
Asap2	0.0	0.0	0.0	0.19	0.57	38.03	0.08	27.65	0.07	0.0	0.02	25.96	25.73	27.77
Asb16	0.0	0.0	0.0	0.0	0.0	0.4	0.0	0.0	0.0	0.0	0.0	0.95	0.76	0.53
Asxl2	9.05	3.5	5.73	4.6	7.51	30.55	5.62	4.29	5.2	2.72	2.19	12.26	11.35	14.01
Atp13a2	0.0	15.35	5.87	2.47	13.78	61.51	15.0	39.61	11.55	9.84	3.14	91.7	99.84	96.26
BC024978	0.0	0.0	0.0	0.0	0.23	15.04	0.0	0.0	0.0	0.0	0.0	8.36	8.35	8.81
BC025920	0.0	0.0	0.0	0.0	58.71	61.89	0.0	0.0	0.2	0.0	0.0	4.36	4.01	4.96
Bmp8a	0.0	0.0	0.0	0.0	0.0	0.23	0.0	0.0	0.0	0.0	0.08	0.43	0.28	0.28
C2cd2	2.07	0.35	0.36	0.08	0.58	31.67	0.55	10.42	7.35	0.26	12.95	6.44	6.23	5.89
Cables1	0.0	0.0	0.0	0.0	41.08	32.1	0.0	1.31	0.0	0.0	0.42	15.82	19.13	14.69
Cacnb3	2.97	0.0	0.0	18.61	1.04	23.04	0.0	3.37	0.0	0.0	0.0	206.62	202.56	209.36
Cad	0.0	0.0	0.0	0.0	0.0	15.68	3.7	0.0	0.0	0.0	0.0	8.73	8.88	10.45
Capn11	0.0	0.0	0.0	0.0	0.0	17.73	0.0	0.0	0.0	0.0	0.0	0.27	1.26	0.24
Cbfb	0.0	0.0	0.0	0.0	3.89	48.71	24.48	0.0	0.0	0.0	0.0	20.18	19.15	19.24
Ccdc15	0.0	0.0	0.0	18.89	0.0	29.78	0.0	0.0	0.0	0.0	0.0	1.59	2.05	1.79
Clpx	0.0	0.0	7.48	14.43	34.33	112.21	0.0	48.53	0.0	0.0	0.0	25.38	26.13	25.1
Cmas	0.0	0.0	0.0	0.0	0.0	173.46	2.25	52.61	22.32	0.0	2.35	96.15	105.75	97.8
Cnn1	0.0	0.0	0.0	0.0	0.0	0.27	0.0	0.0	0.0	0.0	0.0	0.43	0.52	0.46
Cnnm2	0.0	0.1	0.0	0.0	3.16	34.57	3.65	0.12	0.0	0.0	11.34	25.24	27.57	26.02
Dact2	0.0	0.0	0.0	0.0	0.0	1.51	0.0	0.0	0.0	0.0	0.0	50.6	53.22	56.6
Dcun1d5	16.07	3.23	10.83	10.41	9.88	105.3	7.05	5.69	3.45	7.42	19.29	60.12	57.72	61.46
Dnaic1	0.0	0.0	0.0	0.0	0.32	18.77	0.0	0.0	0.0	0.0	0.0	2.41	2.5	2.42
Dnajc21	0.0	28.65	0.0	2.49	3.71	110.01	0.0	8.24	15.81	0.0	2.58	28.76	28.56	28.76
Dok2	0.0	0.0	0.0	0.0	0.0	1.56	0.0	0.0	0.0	0.0	0.0	0.75	1.04	0.72
Donson	0.0	0.0	0.0	31.1	0.0	47.65	0.0	0.0	0.0	5.96	0.0	20.1	20.6	18.02
Dusp2	0.0	0.0	0.0	0.0	0.0	14.63	0.0	0.0	0.0	0.0	0.0	1.23	0.99	1.21
Efcab7	0.0	0.0	0.0	0.0	1.33	62.46	0.0	0.0	0.0	0.0	0.0	2.24	2.32	1.64
Efr3a	14.85	42.49	52.68	47.09	102.13	245.55	126.36	85.85	8.84	99.5	120.85	87.66	80.09	83.79
Elk1	2.92	6.1	1.86	2.88	1.77	29.02	4.51	10.09	8.59	2.99	7.32	51.78	51.99	55.21
Fam194a	0.0	0.0	0.0	0.0	0.0	2.67	0.0	0.0	0.0	0.0	0.0	2.35	1.53	2.23
Fam64a	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.68	1.48	1.12
Fance	0.0	0.0	0.0	0.0	0.0	27.19	0.0	0.0	0.0	0.0	0.0	14.41	18.94	16.58
Farp2	0.0	0.0	0.0	0.0	0.41	29.98	0.7	3.37	0.0	0.0	0.0	3.09	4.05	4.18
Fasn	0.0	0.47	6.03	0.0	9.59	15.34	1.32	0.74	0.0	0.0	1.93	77.8	80.97	82.98
Fbxo21	0.0	0.08	11.24	31.18	8.8	73.17	4.28	25.72	0.26	49.6	21.51	88.7	92.78	86.13
Fcrlb	0.0	0.0	0.0	0.0	0.0	5.92	0.0	0.0	0.0	0.0	0.0	0.94	0.44	1.77
Fgfbp3	0.0	0.0	0.0	0.0	0.0	30.86	0.0	0.0	0.0	0.0	0.0	6.12	9.55	9.29
Frmd6	0.0	0.0	1.85	11.42	18.37	13.41	15.77	0.0	0.0	0.0	0.0	25.43	22.96	20.81
Fsip1	0.0	0.0	0.0	0.0	0.0	50.12	40.21	0.0	0.0	0.0	0.0	0.89	0.45	0.55
Gab1	0.0	0.0	0.0	0.0	0.0	39.77	0.0	0.0	0.0	0.0	0.0	14.41	15.86	19.27
Gdf6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.03	0.06
Gm1123	0.0	0.0	0.0	0.0	0.0	3.25	0.0	0.0	0.0	0.0	0.0	0.15	0.07	0.0
Gm11413	0.0	0.22	0.0	0.0	0.0	6.66	0.0	0.31	0.0	1.1	0.2	0.38	0.4	0.45
Gm11517	0.0	0.0	0.0	0.0	0.62	1.66	0.0	0.0	0.0	0.0	0.0	1.64	2.12	0.86
Gm14151	0.0	0.12	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.04
Gm14327	0.0	0.45	46.75	6.72	54.91	55.77	0.05	7.24	3.8	0.0	0.21	16.22	8.04	13.65
Gm15417	1.37	1.61	1.87	2.29	1.94	113.55	14.88	1.11	1.77	2.96	8.79	4.59	3.99	3.66
Gm628	0.0	0.0	0.0	0.0	0.0	11.17	0.0	0.0	0.0	0.0	0.0	1.41	1.08	1.78
Grasp	0.0	0.0	0.0	0.0	0.0	2.12	0.0	0.0	0.0	0.0	0.0	56.53	56.36	55.65
Grb10	1.54	0.0	0.0	0.0	0.0	25.25	0.0	0.0	0.08	0.0	0.04	28.2	25.18	23.92
H2-Q7	0.0	0.0	0.0	0.0	0.0	0.38	0.0	0.0	0.0	0.0	0.0	0.69	0.37	0.0
Hadh	0.0	0.0	0.0	0.0	0.0	7.8	0.0	0.0	0.0	0.0	0.0	25.68	29.81	29.14
Hic1	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.0	2.54	3.3	2.32
Hist1h2ah	0.0	0.0	0.0	0.0	0.0	6.05	0.0	0.0	0.0	0.0	0.0	0.0	2.22	0.0
Igfbpl1	0.0	0.0	0.27	0.0	0.0	0.58	0.0	0.14	0.0	0.0	0.0	1.38	2.08	2.24
Ighmbp2	1.25	0.27	0.0	0.27	0.75	18.21	19.22	0.7	0.3	16.49	0.3	6.15	6.87	6.15
Il13ra1	0.0	0.0	0.0	0.0	0.0	3.29	0.0	0.0	0.0	0.0	0.0	4.94	4.1	4.6
Insm2	0.0	0.0	0.0	0.0	0.0	16.54	0.0	0.0	0.0	0.0	0.0	0.25	0.27	0.36
Jrk	0.0	0.0	8.06	0.0	0.0	30.26	0.0	0.0	0.0	0.0	0.0	4.21	4.41	4.72
Klf15	0.0	0.14	0.0	0.0	3.14	24.02	0.17	0.0	0.0	0.0	0.52	18.98	23.44	19.68
Klhdc2	0.22	2.6	4.49	0.0	0.0	399.34	147.38	57.53	0.37	0.0	48.32	165.5	178.24	167.16
Klhl25	0.0	0.0	0.0	0.0	0.0	6.42	0.0	0.0	0.0	0.0	0.0	8.36	8.55	7.49
Lipo1	0.0	0.0	13.07	0.56	0.88	93.37	0.0	0.57	0.0	0.0	0.0	7.02	7.06	6.92
Lpxn	0.0	0.0	0.0	0.0	0.0	0.32	0.0	0.0	0.0	0.0	0.0	2.08	1.96	2.46
Lzts2	3.91	0.34	0.0	0.0	1.15	11.09	3.53	1.59	0.0	0.71	0.0	34.91	41.87	39.9
Map2k7	3.2	0.0	2.25	4.62	14.62	73.14	5.69	1.84	2.81	20.08	21.31	58.55	64.67	62.37
Map3k15	0.0	0.0	0.0	0.0	0.0	3.76	0.0	0.0	0.0	0.88	0.0	0.85	1.08	1.14
Med12l	0.0	0.0	0.0	0.49	0.04	25.52	11.07	0.45	14.81	0.68	0.38	16.99	14.98	16.68
Med24	0.0	0.0	49.37	40.26	52.2	162.12	33.2	0.0	0.0	3.91	57.1	78.92	82.09	85.89
Mest	0.0	0.0	0.0	18.96	2.18	22.95	6.1	0.0	0.0	23.19	17.33	42.11	34.76	37.98
Msh4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.03	0.06
Mtap7d1	0.0	25.09	4.47	14.19	9.52	58.86	3.58	0.12	15.55	0.0	0.06	184.55	212.08	197.8
Mx2	0.0	0.0	0.0	0.0	0.0	80.99	0.0	0.0	0.0	16.68	0.0	1.39	1.72	1.21
Mycbpap	0.0	0.0	0.0	0.0	35.71	28.2	0.0	0.0	0.0	0.0	0.0	1.41	1.08	1.46
Nelf	1.06	6.3	23.65	0.0	0.0	69.46	0.0	3.58	0.39	1.25	0.07	364.64	385.29	388.0
Neurl1b	0.0	0.0	0.0	0.0	0.0	33.21	0.0	0.0	0.06	0.0	0.06	23.14	25.67	23.69
Nfatc2ip	0.0	0.0	0.0	0.0	0.0	9.82	0.0	0.0	0.0	0.0	2.74	5.22	5.06	4.86
Nlrp4f	0.0	0.0	0.0	0.0	0.0	3.69	0.0	0.0	0.0	0.0	0.0	0.31	0.45	0.43
Npas4	0.0	0.29	0.0	0.0	0.0	0.32	0.0	0.0	0.0	0.0	0.0	49.87	29.46	33.15
Npm2	0.0	0.0	0.0	0.0	0.0	9.39	0.0	0.0	0.0	0.0	0.0	0.91	0.67	0.63
Nron	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.03	0.06
Pard6a	18.64	0.0	90.83	89.58	22.0	157.18	56.72	69.55	0.0	97.18	39.7	31.59	34.75	29.41
Pcdhga12	0.0	0.14	0.0	0.0	0.0	14.74	0.0	0.0	0.0	0.0	0.0	17.38	18.09	18.21
Pinx1	0.0	0.0	0.0	0.0	14.77	97.9	0.0	0.0	0.0	0.0	0.0	6.74	6.49	6.88
Plxnb1	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	34.3	33.77	34.95
Pou2f2	0.0	0.0	0.0	0.0	0.0	1.12	0.0	0.0	0.0	0.0	0.0	4.68	3.6	5.8
Ppif	0.0	0.0	0.0	8.33	26.17	61.67	0.77	2.05	0.0	0.0	12.9	31.65	33.66	31.14
