	Ntsr1_tdTnegative_cell_13	Ntsr1_tdTnegative_cell_44	CAV_LP_Ipsi_tdTpos_cell_27	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1700001K23Rik	0.0	0.0	0.0	0.22	0.2	0.22
1700045I19Rik	0.0	0.0	0.0	0.51	1.03	0.96
4930403N07Rik	0.0	0.0	0.0	0.04	0.04	0.04
4931423N10Rik	0.0	0.0	0.0	0.22	0.2	0.22
5730419I09Rik	0.0	0.09	1.2	42.57	40.84	43.63
A430092G05Rik	0.0	0.0	0.0	0.17	0.0	0.11
Adrb3	0.0	0.0	0.0	2.26	2.33	1.79
Ano8	0.0	0.0	0.0	44.01	50.03	48.35
Arl2bp	0.0	0.0	14.17	172.31	188.95	188.08
Atp10b	0.0	0.0	0.0	1.55	1.31	1.86
Atp6v1b1	0.0	0.0	0.0	0.15	0.1	0.0
Atp8b3	0.0	0.0	0.0	0.04	0.04	0.09
B430319G15Rik	0.0	0.0	0.0	0.52	0.55	0.8
Blk	0.0	0.0	0.0	0.04	0.04	0.04
Brd2	0.0	0.0	34.75	107.32	118.22	108.59
C8b	0.0	0.0	0.0	0.04	0.04	0.09
Cacna2d2	0.0	0.0	0.0	25.53	24.2	26.92
Calhm1	0.0	0.0	0.0	0.1	0.09	0.1
Carm1	0.0	0.0	0.0	50.34	52.75	51.56
Clec16a	0.0	0.0	0.0	41.91	40.8	43.19
Cnga2	0.0	0.0	0.0	0.42	0.31	0.4
Cnn1	0.0	0.0	0.0	0.43	0.52	0.46
Col11a1	0.0	0.0	0.0	7.67	6.41	8.47
Csnk1g2	0.0	0.0	0.0	137.78	153.43	144.53
D10Jhu81e	0.0	0.0	0.0	85.3	93.83	90.89
D6Mm5e	0.0	0.0	0.0	0.1	0.09	0.1
Derl1	0.0	0.0	11.66	49.5	53.94	49.46
Dgkh	0.0	0.0	0.0	25.91	19.89	27.73
Dnase1	0.0	0.0	0.0	4.66	5.65	5.08
Dspp	0.0	0.0	0.0	0.11	0.1	0.11
Dut	0.0	0.0	19.31	20.95	24.59	18.79
Dyrk4	0.0	0.0	0.0	0.1	0.09	0.1
E030018B13Rik	0.0	0.0	0.0	0.1	0.09	0.1
Edem3	0.0	0.0	0.05	25.9	23.9	25.84
Fam158a	0.0	0.0	0.4	31.94	34.5	35.05
Flcn	0.0	0.0	7.88	47.11	49.42	43.47
Fndc3b	0.0	0.0	0.0	9.99	8.7	10.09
Foxi1	0.0	0.0	0.0	0.04	0.04	0.09
Gdf6	0.0	0.0	0.0	0.03	0.03	0.06
Gm1673	0.0	0.0	6.28	53.39	62.92	63.57
Golga3	0.0	0.0	1.81	30.4	28.12	31.03
Hhla1	0.0	0.0	0.0	0.04	0.04	0.09
Hist1h3f	0.0	0.0	0.0	0.14	0.14	0.14
Hnrnpa3	0.0	0.0	28.6	133.97	125.3	135.01
Hoxd8	0.0	0.0	0.0	0.07	0.07	0.07
Ibtk	0.0	0.07	0.0	14.46	13.45	13.46
Inhbc	0.0	0.0	0.0	0.05	0.05	0.1
Isg15	0.0	0.0	0.0	6.27	6.47	7.46
Kera	0.0	0.0	0.0	0.05	0.05	0.05
Lao1	0.0	0.0	0.0	0.05	0.05	0.05
Larp4b	7.57	0.0	15.1	45.16	40.95	43.99
Lime1	0.0	0.0	0.0	57.7	56.82	56.73
Lipm	0.0	0.0	0.0	0.11	0.1	0.11
Lysmd4	0.0	0.0	0.0	19.93	19.95	18.07
Msh4	0.0	0.0	0.0	0.03	0.03	0.06
Nkx6-3	0.0	0.0	0.0	0.04	0.04	0.09
Nron	0.0	0.0	0.0	0.03	0.03	0.06
Olfr1419	0.0	0.0	0.0	0.1	0.09	0.1
Olfr1420	0.0	0.0	0.0	0.11	0.1	0.11
Pdlim5	0.0	0.0	0.0	15.21	14.9	16.72
Pkd1l3	0.0	0.0	0.0	0.86	0.74	0.89
Prdm8	0.0	0.0	0.0	28.2	33.99	26.7
Prep	0.0	0.0	0.11	24.42	24.58	24.43
Prkrir	2.92	9.76	7.71	52.49	50.61	46.6
Prokr2	0.0	0.08	0.0	1.52	1.67	1.73
Recql	0.0	0.0	0.0	16.14	16.77	16.04
Slc30a1	0.0	0.0	18.62	24.51	25.28	23.17
Srpk3	0.0	0.0	0.0	6.97	6.76	8.66
St8sia1	0.0	0.04	1.03	18.92	19.58	19.21
Tas2r137	0.0	0.0	0.0	0.1	0.1	0.1
Tex261	0.0	0.0	0.0	34.55	35.72	39.92
Timp3	0.0	0.0	0.0	53.93	51.31	50.67
Tmpo	0.0	0.0	0.0	23.8	27.09	25.75
Trpm3	0.0	0.0	0.57	20.34	17.85	23.43
Ttc39d	0.0	0.0	0.0	0.05	0.05	0.05
Vax2os2	0.0	0.0	0.0	0.07	0.07	0.07
Vmn1r45	0.0	0.0	0.0	0.03	0.03	0.06
Vmn2r118	0.0	0.0	0.0	0.04	0.04	0.09
Zbtb26	0.0	0.0	1.6	6.06	4.46	5.01
Znfx1	0.0	0.0	0.0	31.57	30.53	31.25
Zp3r	0.0	0.0	0.0	0.05	0.05	0.05
mt_AK131586	0.0	0.0	1075.62	25813.35	24091.17	24561.45
mt_AK166684	0.0	0.0	0.0	18796.57	17507.83	18655.33
mt_BC104337	0.0	0.0	26.24	9032.87	8417.95	8583.15
