	Ntsr1_tdTnegative_cell_22	Ntsr1_tdTnegative_cell_23	Ntsr1_tdTnegative_cell_24	Ntsr1_tdTnegative_cell_32	Scnn1a.Tg3_tdTnegative_cell_8	Scnn1a.Tg3_tdTnegative_cell_22	Sst_tdTpositive_cell_19
1810013D10Rik	0.0	1.9	950.53	0.0	0.0	1050.7	29.26
2700097O09Rik	0.0	417.56	230.2	0.0	0.0	314.31	0.88
AA388235	0.95	1.2	1.76	2.45	0.53	198.35	3.64
Adssl1	0.0	0.0	0.0	0.0	0.0	401.72	72.75
Arl6ip1	117.84	389.39	731.38	557.32	152.89	1210.75	1145.43
Atp6v0d1	0.62	0.36	280.24	2.27	0.0	507.04	113.88
B9d2	0.0	0.0	336.03	0.41	0.0	433.15	160.04
Cd8b1	0.0	1.26	5.28	1.15	0.0	3.93	4.53
Cog6	0.0	0.0	340.61	12.2	0.0	556.59	0.0
Cuta	0.0	1.05	0.0	234.83	0.0	522.84	0.0
Edem3	0.0	0.0	206.87	0.0	0.0	167.68	14.97
Efhd1	0.0	0.0	187.66	0.0	0.0	341.03	0.0
Eif5	0.0	1.66	153.51	0.21	0.0	374.31	12.19
Elovl7	8.41	72.07	329.6	29.63	2.23	195.29	59.08
Evi2a	578.87	1263.18	2567.77	1903.11	0.0	3321.85	841.36
Hcfc1r1	224.36	3.84	392.01	178.56	0.0	411.66	96.37
Isy1	0.0	0.36	371.29	0.0	0.0	447.29	0.0
Mal	923.01	1580.83	4422.14	5601.9	0.39	5557.97	1013.34
Mbtps1	0.0	7.78	0.0	0.0	0.0	194.84	105.26
Mesp2	0.87	0.0	0.6	0.27	0.0	2.25	0.29
Pafah1b2	0.12	0.41	50.48	34.51	0.0	245.33	1.11
Pde4dip	0.0	0.28	205.87	0.16	0.0	131.75	46.71
Pkp4	110.59	81.33	93.12	75.23	0.0	352.19	51.76
Plin2	0.0	0.0	382.35	0.0	0.0	518.76	0.0
Plp1	20586.09	39094.25	29191.29	44134.5	4.29	22995.41	36841.4
Pnpla6	0.0	0.0	122.27	0.0	0.0	179.77	0.07
Pycrl	0.37	0.0	298.19	0.61	0.0	166.93	133.53
Rab33b	19.67	258.95	41.86	73.71	18.28	496.83	70.64
Rfk	0.0	41.3	118.23	0.0	0.0	387.78	50.48
Rnasek	0.0	940.46	707.13	16.03	0.0	1380.77	1310.43
Scfd1	0.0	1.12	0.0	0.77	0.0	294.3	59.59
Sh3gl2	1.07	5.39	0.0	1.12	0.36	365.53	99.41
Spcs2	0.0	31.77	75.08	409.12	0.0	521.34	355.2
Spg20	2.71	161.23	217.07	10.16	0.0	780.71	43.4
Ssu72	0.0	4.08	5.5	0.28	0.0	298.14	118.38
Stx6	0.0	111.57	245.88	0.0	0.0	256.64	23.11
Tmed4	0.62	2.54	369.11	0.25	0.0	904.96	311.58
Tulp4	0.15	15.2	55.66	71.45	0.0	162.79	37.15
Unc45a	0.0	0.0	162.85	0.0	0.0	69.04	0.0
Vbp1	71.01	386.64	536.93	561.58	0.0	774.1	444.87
