	Calb2_tdTpositive_cell_30	Ctgf_tdTpositive_cell_2	Ctgf_tdTpositive_cell_3	Ndnf_tdTnegative_cell_5	Ndnf_tdTnegative_cell_7	Ntsr1_tdTpositive_cell_3	Rbp4_tdTpositive_cell_70	Rbp4_tdTpositive_cell_74	Rbp4_tdTpositive_cell_95	Rbp4_tdTpositive_cell_176	Rbp4_tdTpositive_cell_177	Rbp4_tdTpositive_cell_185	Rbp4_tdTnegative_cell_3	Rbp4_tdTnegative_cell_6	Rbp4_tdTnegative_cell_9	Rbp4_tdTnegative_cell_13	Rbp4_tdTnegative_cell_22	Rorb_tdTpositive_cell_19	Ntsr1_tdTpos_100cell_3
2610507B11Rik	31.64	1.9	0.0	0.24	0.0	66.84	19.53	8.42	0.0	11.61	0.86	17.42	0.09	0.0	0.0	0.0	7.86	4.22	8.88
4931414P19Rik	66.1	0.0	0.0	0.0	0.0	41.87	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.0	0.54
5430437P03Rik	43.41	0.0	0.0	0.0	0.0	77.16	41.97	38.71	133.12	9.31	0.0	20.5	0.0	0.0	0.49	0.0	0.0	19.05	26.59
Acot13	421.32	0.0	0.0	0.47	0.0	379.73	240.01	585.98	76.09	480.57	238.37	480.35	229.86	1149.43	1.2	0.0	0.93	776.05	353.31
Akirin2	102.56	0.0	0.0	0.0	0.0	95.74	25.83	29.39	29.68	0.0	8.88	22.72	0.0	0.0	0.46	0.0	0.0	0.0	14.75
Ankrd26	84.24	0.09	0.0	0.0	0.0	70.84	0.0	0.0	25.35	0.0	0.0	4.02	0.0	13.05	0.0	0.0	0.0	10.23	9.69
Arhgap44	347.49	0.0	0.0	0.0	0.0	280.94	175.9	107.28	162.48	77.32	6.02	95.1	0.0	0.0	0.19	0.0	0.0	180.58	425.14
Asb7	56.35	0.0	0.0	0.0	0.0	63.11	2.09	0.65	1.33	0.12	0.0	0.07	0.0	0.15	0.0	0.0	0.0	0.0	2.11
Atp6v1h	518.74	0.0	0.0	0.46	0.0	418.28	443.78	405.01	533.3	220.95	300.39	529.08	0.33	0.37	346.55	0.0	0.31	552.95	580.87
Bscl2	87.63	0.0	0.0	0.17	0.0	303.98	241.76	247.8	324.08	272.36	319.11	126.26	0.18	0.41	0.0	0.8	0.0	340.66	191.85
