	Calb2_tdTpositive_cell_53	Calb2_tdTpositive_cell_58	Chrna2_tdTpositive_cell_14	Chrna2_tdTpositive_cell_54	Cux2_tdTnegative_cell_4	Cux2_tdTnegative_cell_11	Cux2_tdTnegative_cell_12	Gad2_tdTpositive_cell_43	Gad2_tdTpositive_cell_74	Gad2_tdTpositive_cell_75	Htr3a_tdTpositive_cell_85	Ndnf_tdTnegative_cell_6	Ndnf_tdTnegative_cell_10	Nkx2.1_tdTpositive_cell_4	Nkx2.1_tdTpositive_cell_13	Nkx2.1_tdTpositive_cell_18	Ntsr1_tdTnegative_cell_25	Ntsr1_tdTnegative_cell_30	Pvalb_tdTpositive_cell_2	Pvalb_tdTpositive_cell_3	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_6	Pvalb_tdTpositive_cell_7	Pvalb_tdTpositive_cell_8	Pvalb_tdTpositive_cell_12	Pvalb_tdTpositive_cell_13	Pvalb_tdTpositive_cell_17	Pvalb_tdTpositive_cell_18	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_26	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_45	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_55	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_70	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbD.Slc32a1_tdTpositive_cell_29	PvalbD.Slc32a1_tdTpositive_cell_36	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_7	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_14	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_16	PvalbF.Gad2_tdTpositive_cell_22	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_34	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_47	PvalbF.Gad2_tdTpositive_cell_48	PvalbF.Gad2_tdTpositive_cell_49	PvalbF.Gad2_tdTpositive_cell_51	PvalbF.Gad2_tdTpositive_cell_52	PvalbF.Gad2_tdTpositive_cell_53	PvalbF.Gad2_tdTpositive_cell_54	PvalbF.Gad2_tdTpositive_cell_55	PvalbF.Gad2_tdTpositive_cell_56	PvalbF.Gad2_tdTpositive_cell_58	PvalbF.Gad2_tdTpositive_cell_59	PvalbF.Gad2_tdTpositive_cell_60	PvalbF.Gad2_tdTpositive_cell_62	PvalbF.Gad2_tdTpositive_cell_63	PvalbF.Gad2_tdTpositive_cell_64	PvalbF.Gad2_tdTpositive_cell_65	PvalbF.Gad2_tdTpositive_cell_67	PvalbF.Gad2_tdTpositive_cell_68	PvalbF.Gad2_tdTpositive_cell_70	PvalbF.Gad2_tdTpositive_cell_71	PvalbF.Gad2_tdTpositive_cell_72	PvalbF.Gad2_tdTpositive_cell_73	PvalbF.Gad2_tdTpositive_cell_77	PvalbF.Gad2_tdTpositive_cell_80	PvalbF.Gad2_tdTpositive_cell_81	PvalbF.Gad2_tdTpositive_cell_82	PvalbF.Gad2_tdTpositive_cell_83	Rbp4_tdTpositive_cell_51	Rbp4_tdTnegative_cell_16	Rbp4_tdTnegative_cell_21	Tac2_tdTpositive_cell_5
0610010B08Rik	0.0	0.28	62.9	0.24	0.0	0.0	0.0	120.0	0.28	32.38	8.8	0.0	0.0	12.21	3.21	48.31	1.61	1.39	45.53	30.03	1.11	12.26	41.3	1.56	78.97	26.9	8.58	37.24	21.59	28.14	15.71	13.5	14.76	2.68	22.01	28.48	10.96	28.79	11.07	15.46	12.05	0.0	26.47	5.5	51.74	15.13	14.51	0.26	3.17	28.25	0.47	11.04	6.95	5.17	14.55	40.09	49.97	26.52	2.28	11.65	60.83	6.92	43.27	0.05	8.71	17.46	29.79	15.5	47.55	34.07	30.67	35.95	8.31	1.97	57.4	41.86	19.66	36.62	17.22	39.96	7.16	0.11	0.12	17.95
Ap3d1	5.56	0.3	3.53	4.83	0.0	0.0	0.0	14.48	84.33	7.01	7.77	563.68	0.0	14.22	45.54	20.03	0.0	0.0	46.4	6.89	7.3	59.88	17.81	58.27	32.65	21.69	14.81	21.97	1.78	26.98	41.26	15.72	19.86	47.19	5.96	48.77	2.5	4.59	16.01	27.07	18.61	1.46	65.16	20.46	41.86	0.24	26.82	20.26	5.04	8.43	35.09	17.8	5.77	9.11	38.03	96.95	2.4	45.43	6.74	38.99	52.94	6.87	23.43	2.74	43.28	29.8	46.61	2.85	13.65	23.5	61.12	44.36	18.34	18.49	36.6	27.01	32.47	17.54	50.73	30.5	55.08	0.22	0.0	3.1
Camk2a	0.16	0.0	0.07	0.11	0.0	0.0	0.26	54.38	0.0	6.83	0.15	0.0	0.53	18.48	42.37	6.89	0.56	0.22	37.91	16.39	0.0	26.08	5.46	9.62	27.08	31.18	18.22	3.84	0.28	2.21	0.82	7.94	0.0	0.18	14.36	25.31	15.8	0.16	0.39	0.14	7.31	20.66	0.61	1.79	21.19	2.82	9.86	15.39	5.99	5.03	1.97	13.43	4.77	27.92	21.27	58.87	4.14	23.86	14.25	13.12	41.94	19.31	0.09	0.0	3.09	22.41	8.27	0.0	0.59	0.48	0.18	0.0	9.09	0.26	1.73	23.31	0.2	14.09	0.07	5.27	3.01	1.44	0.19	0.27
Chga	0.0	0.0	50.81	137.31	0.0	0.0	0.0	12.93	51.21	93.02	67.39	0.0	0.0	69.32	1.67	70.89	0.0	0.0	44.52	51.52	18.97	55.13	180.19	92.13	55.73	90.67	135.17	95.85	107.83	153.49	276.52	42.15	95.45	1.24	141.5	207.98	54.0	70.15	225.97	137.36	98.17	74.81	78.9	109.14	27.88	88.83	214.62	157.47	110.51	82.68	73.79	100.86	22.79	96.07	145.8	298.72	8.74	84.2	67.27	338.53	275.17	231.27	121.02	91.01	166.99	252.08	159.21	235.96	127.68	156.48	19.62	146.38	123.57	0.0	124.58	33.58	68.58	154.26	66.57	47.54	207.9	0.0	0.0	0.58
Chmp2b	0.0	0.0	0.0	0.58	0.0	114.38	0.0	0.35	0.0	18.9	0.0	0.0	0.0	0.0	6.37	0.0	0.0	0.0	40.24	30.44	8.76	0.0	33.03	15.25	7.53	0.0	0.0	3.15	0.0	0.0	0.0	0.0	0.0	0.0	65.56	5.74	0.41	0.0	3.88	5.11	2.75	0.0	10.11	0.0	47.43	5.56	0.0	0.24	6.96	38.53	0.59	33.57	0.0	83.98	49.15	89.06	0.48	9.33	101.29	33.02	114.3	26.01	5.94	0.0	0.0	7.74	0.0	2.23	8.37	0.0	8.3	0.0	2.32	0.0	0.0	0.0	34.56	39.44	0.0	46.73	1.71	0.0	0.6	0.0
Cplx1	0.0	0.0	536.26	304.83	0.0	0.0	0.0	883.73	398.62	787.27	838.45	0.13	0.0	1027.7	1043.15	1211.51	0.0	0.0	918.29	1059.17	690.08	958.97	994.91	1014.15	490.93	1194.53	1190.34	878.68	1296.16	1148.18	1678.45	933.75	1025.48	924.93	990.97	1234.37	632.95	1434.92	1585.92	878.94	910.66	840.86	989.52	1322.39	1598.03	2098.74	1058.61	1330.63	989.39	1276.36	767.51	1128.92	1045.33	1722.48	1676.73	1286.96	1569.65	1559.09	1334.26	1665.13	1410.17	1223.44	1356.67	1202.5	1108.19	1808.1	1760.34	1321.84	1044.79	1314.2	772.35	920.94	1049.92	976.75	1158.12	1382.77	1368.88	1068.01	847.2	881.86	1054.91	0.48	0.08	385.1
D19Bwg1357e	0.0	0.0	0.0	10.99	0.0	0.0	0.0	61.44	0.0	33.47	0.0	0.16	0.0	59.16	134.98	56.87	2.93	0.0	32.89	1.61	5.08	56.46	58.59	0.0	14.96	0.0	0.24	43.49	19.2	40.44	31.47	0.14	81.4	60.33	56.63	48.47	0.0	21.36	5.12	24.88	16.54	0.0	52.02	46.4	60.46	102.22	24.46	26.92	38.48	87.24	1.65	22.62	122.64	48.91	0.0	82.57	0.13	91.77	21.92	69.22	60.55	30.52	0.0	7.9	40.76	1.38	50.89	4.55	36.11	0.11	0.0	28.44	69.1	0.53	0.35	3.33	1.97	6.89	0.0	76.08	15.44	0.0	4.41	0.0
Ergic1	0.0	0.0	0.09	0.0	0.0	0.0	0.0	1.39	0.0	25.15	2.87	0.0	0.0	55.35	29.99	4.3	0.0	0.0	17.35	17.55	0.0	19.23	88.55	14.94	102.75	49.44	4.56	19.77	1.11	20.81	76.83	1.11	4.99	0.0	3.86	37.63	1.36	1.63	29.53	20.93	0.81	0.0	4.34	73.68	0.0	0.82	86.18	145.0	0.93	50.27	47.56	18.47	4.65	49.09	49.34	53.25	8.7	11.25	48.03	23.82	55.28	33.53	26.32	0.86	3.41	11.12	25.98	1.62	2.51	0.0	24.0	3.84	13.92	2.28	125.45	36.14	1.11	15.11	47.7	6.06	0.57	0.13	0.0	0.0
Fam84a	0.0	0.0	0.0	0.0	34.41	0.0	0.0	111.9	112.92	123.01	0.0	0.0	0.0	48.91	140.57	43.0	0.0	0.0	178.31	187.3	41.22	197.42	132.07	147.71	127.31	148.81	192.79	203.74	154.55	135.48	207.64	36.29	49.17	0.23	147.44	163.76	94.98	128.83	94.13	160.74	66.96	4.79	103.02	116.87	51.61	109.25	101.22	167.85	75.61	32.5	0.0	65.44	205.67	317.83	116.31	227.77	233.16	171.65	143.1	133.99	214.61	137.81	211.75	160.89	190.23	63.09	166.72	113.06	253.25	73.59	222.51	101.44	157.17	78.66	119.71	186.51	72.17	197.66	297.98	145.6	107.29	0.0	0.0	56.39
Gm14430	0.0	0.32	0.0	0.0	0.0	0.0	0.0	17.66	0.32	20.12	7.02	0.0	0.0	14.66	3.86	3.32	0.0	0.0	31.03	36.04	0.0	14.72	31.75	1.87	12.3	26.14	10.3	14.72	25.91	6.05	13.5	14.04	13.46	3.22	12.83	12.31	3.07	20.8	11.03	18.55	13.57	0.0	23.36	4.08	19.12	11.25	0.0	0.32	3.81	19.5	0.54	6.88	8.34	6.2	9.58	4.61	28.79	31.83	0.11	13.98	26.82	8.31	17.65	0.06	10.45	7.83	13.81	18.59	20.22	40.89	14.03	23.53	9.97	0.0	11.12	30.75	23.59	25.3	0.0	15.88	2.38	0.12	0.0	0.0
