	Pvalb_tdTpositive_cell_5	PvalbD.Slc32a1_tdTpositive_cell_23	Rbp4_tdTpositive_cell_51	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
0610011L14Rik	12.01	0.0	0.51	26.3	28.96	28.18
1700001K23Rik	0.0	0.0	0.0	0.22	0.2	0.22
4930403N07Rik	0.0	0.0	0.0	0.04	0.04	0.04
4931423N10Rik	0.0	0.0	0.0	0.22	0.2	0.22
8430419L09Rik	27.61	35.57	35.37	139.39	141.01	160.23
Acvr2a	12.73	0.0	2.57	31.37	28.09	30.19
Arih2	0.12	0.0	17.83	31.73	32.75	30.87
Atp8b3	0.0	0.0	0.0	0.04	0.04	0.09
Bard1	0.0	0.11	0.32	0.86	0.76	0.77
Blk	0.0	0.0	0.0	0.04	0.04	0.04
Bmi1	0.0	0.0	0.03	31.9	30.16	28.08
C8b	0.0	0.0	0.0	0.04	0.04	0.09
Calhm1	0.0	0.0	0.0	0.1	0.09	0.1
Capn5	0.11	0.0	0.0	34.6	32.35	35.1
Ccl27b	6.15	0.0	9.34	30.63	28.29	22.96
Ces1a	0.0	0.0	0.0	0.05	0.05	0.05
D6Mm5e	0.0	0.0	0.0	0.1	0.09	0.1
Dapk1	0.24	11.62	0.0	58.61	61.1	63.88
Diexf	0.0	0.0	0.0	9.29	8.68	8.12
Dspp	0.0	0.0	0.0	0.11	0.1	0.11
Dyrk4	0.0	0.0	0.0	0.1	0.09	0.1
E030018B13Rik	0.0	0.0	0.0	0.1	0.09	0.1
Elfn1	0.0	0.0	0.0	16.27	16.52	19.02
Fbxo45	19.12	0.2	0.0	44.55	43.82	43.94
Foxi1	0.0	0.0	0.0	0.04	0.04	0.09
Gm13306	6.15	0.0	9.34	30.63	28.29	22.96
Gm17769	0.0	0.22	0.02	1.91	1.41	1.43
Gm2506	6.15	0.0	9.34	30.63	28.29	22.96
Hhla1	0.0	0.0	0.0	0.04	0.04	0.09
Hist1h3f	0.0	0.0	0.0	0.14	0.14	0.14
Hoxd8	0.0	0.0	0.0	0.07	0.07	0.07
Il6st	3.64	0.0	0.04	38.92	37.89	39.19
Kcnq3	0.0	0.0	20.72	53.72	40.28	59.42
Kera	0.0	0.0	0.0	0.05	0.05	0.05
Lao1	0.0	0.0	0.0	0.05	0.05	0.05
Lipm	0.0	0.0	0.0	0.11	0.1	0.11
Lmbrd2	0.0	0.09	0.0	39.63	34.01	41.0
Mob1b	0.0	0.0	1.53	16.4	13.75	17.67
Ngef	0.0	0.0	0.0	293.26	311.79	319.16
Nkx6-3	0.0	0.0	0.0	0.04	0.04	0.09
Olfr1419	0.0	0.0	0.0	0.1	0.09	0.1
Olfr1420	0.0	0.0	0.0	0.11	0.1	0.11
Prkcd	0.0	0.0	0.0	9.87	10.93	9.39
Rbpj	0.0	0.0	4.76	20.53	18.12	19.58
Rinl	0.0	0.0	0.0	1.52	2.38	1.61
Sidt1	0.0	0.0	0.0	39.64	41.17	36.54
Slc41a1	12.81	8.98	10.92	35.26	37.16	36.56
Slco6c1	0.0	0.0	0.0	0.04	0.04	0.04
Srgap3	16.64	43.06	26.16	121.23	113.19	124.22
Synj1	30.88	52.87	84.67	186.57	176.61	182.9
Tas2r137	0.0	0.0	0.0	0.1	0.1	0.1
Ttc39d	0.0	0.0	0.0	0.05	0.05	0.05
Vax2os2	0.0	0.0	0.0	0.07	0.07	0.07
Vmn2r118	0.0	0.0	0.0	0.04	0.04	0.09
Zp3r	0.0	0.0	0.0	0.05	0.05	0.05
mt_AK131586	0.0	0.0	0.0	25813.35	24091.17	24561.45
mt_AK166684	0.0	0.0	15.09	18796.57	17507.83	18655.33
mt_BC104337	0.0	0.0	10.88	9032.87	8417.95	8583.15
