	Calb2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_77	Ctgf_tdTpositive_cell_2	Ctgf_tdTpositive_cell_6	Ctgf_tdTpositive_cell_7	Cux2_tdTnegative_cell_2	Cux2_tdTnegative_cell_4	Gad2_tdTpositive_cell_18	Gad2_tdTpositive_cell_20	Gad2_tdTpositive_cell_26	Gad2_tdTpositive_cell_40	Gad2_tdTpositive_cell_49	Gad2_tdTpositive_cell_69	Htr3a_tdTpositive_cell_18	Htr3a_tdTpositive_cell_32	Ndnf_tdTpositive_cell_9	Ndnf_tdTpositive_cell_12	Ndnf_tdTpositive_cell_20	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_25	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_36	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	Ntsr1_tdTnegative_cell_3	Ntsr1_tdTnegative_cell_19	Rbp4_tdTpositive_cell_165	Scnn1a.Tg2_tdTnegative_cell_17	Scnn1a.Tg3_tdTpositive_cell_2	Scnn1a.Tg3_tdTnegative_cell_10	Scnn1a.Tg3_tdTnegative_cell_13	Scnn1a.Tg3_tdTnegative_cell_22	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_23	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_79	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_96	Sst_tdTpositive_cell_101	Vip_tdTpositive_cell_30	Ntsr1_tdTpos_10cell_7	Ntsr1_tdTpos_10cell_9	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
0610010B08Rik	0.0	7.28	1.89	3.11	0.0	0.0	0.0	0.0	0.0	47.71	23.23	15.45	110.82	10.9	2.38	19.85	11.48	0.1	0.0	0.0	6.18	4.8	13.31	0.23	5.13	0.86	0.7	15.56	35.14	0.14	55.2	4.22	2.36	18.04	0.31	0.39	9.57	0.1	5.22	10.31	20.52	0.09	1.73	4.67	3.8	19.45	0.91	2.43	0.19	13.76	0.0	0.0	12.32	0.02	7.8	0.0	0.0	0.0	1.99	11.01	15.08	2.13	7.46	2.96	11.21	27.59	7.02	20.13	19.64	11.05	16.68	9.05	12.04	22.39	18.34	25.87
1810008A18Rik	0.0	0.0	0.0	14.82	0.0	0.0	0.0	0.0	0.0	102.51	0.0	11.88	0.0	6.17	0.0	0.0	0.21	0.0	0.0	0.0	0.0	0.15	0.03	0.0	0.0	39.49	0.18	0.0	0.0	0.0	3.52	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.17	0.0	0.0	0.0	0.0	0.2	0.0	0.0	9.94	0.0	103.48	0.0	0.0	0.0	0.0	0.28	0.0	0.12	36.05	2.69	0.0	0.0	0.04	65.06	0.12	0.0	2.22	2.98	3.73	36.08	36.36	34.22
1810030O07Rik	1.77	0.49	2.66	49.51	0.0	0.0	1.03	0.47	65.82	16.8	20.59	4.06	3.28	4.0	4.88	2.68	46.27	1.73	0.97	0.0	93.27	72.66	42.58	1.49	0.19	1.88	44.42	1.46	1.11	10.03	1.12	35.26	2.36	3.74	105.76	2.64	0.97	52.12	2.35	4.46	1.71	1.32	76.64	2.65	2.46	4.38	0.9	1.34	1.75	1.82	13.31	0.95	18.08	1.39	8.87	0.0	0.0	1.33	0.85	16.9	7.1	1.75	16.82	17.12	0.67	40.18	0.95	361.71	13.44	19.62	22.01	24.45	20.72	32.0	29.18	30.38
2310034O05Rik	0.0	0.0	0.64	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23	0.0	0.0	0.24	0.0	0.48	0.0	0.0	0.0	0.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.32	0.0	0.0	0.0	0.0	0.0	0.64	0.18	0.51
2310035K24Rik	0.0	27.81	0.0	0.0	0.0	0.0	0.0	0.0	0.0	158.01	61.28	0.0	0.0	0.0	0.0	102.57	0.0	0.0	0.0	0.0	3.44	31.88	0.11	0.08	46.43	32.15	21.56	0.0	0.0	52.01	0.0	42.4	13.55	69.59	80.78	52.07	0.0	64.38	50.58	0.0	131.11	0.0	16.52	25.78	40.97	130.3	26.5	30.12	32.25	0.0	0.0	0.0	26.36	0.0	0.37	0.0	0.0	0.0	28.98	44.98	31.01	0.0	0.0	7.93	135.05	171.29	75.27	150.4	46.44	39.93	50.6	64.46	43.53	18.26	21.76	19.66
2810021J22Rik	0.0	0.0	0.0	0.38	0.0	0.0	0.0	0.0	0.0	6.5	1.65	2.57	0.0	0.0	11.3	0.0	0.2	0.11	0.0	0.0	0.13	0.45	0.08	0.05	1.45	4.08	35.6	30.23	0.0	1.79	1.43	1.87	1.01	0.0	33.16	3.37	0.0	41.23	0.07	0.21	31.97	0.0	0.23	0.0	0.06	0.14	0.64	40.85	0.76	0.1	0.0	0.0	2.01	0.0	2.89	0.07	0.0	0.0	0.06	28.43	0.07	0.06	0.04	2.19	0.12	0.07	0.07	70.63	4.37	9.19	2.11	6.26	3.11	5.81	5.58	5.72
4632411B12Rik	0.0	5.31	26.34	16.83	0.0	0.0	0.0	0.0	0.0	12.05	20.48	23.85	75.78	2.49	3.59	0.0	75.76	0.0	0.0	0.0	1.1	26.6	1.35	0.0	0.88	0.07	0.05	10.35	0.79	22.03	0.0	37.02	14.37	65.62	12.92	0.0	14.13	0.44	2.74	3.31	17.76	0.0	6.17	1.08	0.89	10.62	1.74	1.07	5.08	33.36	0.0	0.0	7.22	0.0	8.91	0.0	0.0	0.0	22.65	16.15	2.44	0.0	0.0	29.95	26.21	0.0	0.0	109.96	15.12	7.71	12.18	11.34	9.08	43.38	41.39	40.38
4732471J01Rik	0.0	8.56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.68	7.86	0.33	5.36	6.61	0.33	0.0	20.47	0.0	0.0	0.0	1.43	5.69	4.28	0.06	4.19	3.51	7.13	4.77	0.0	0.0	5.81	3.68	4.36	4.58	0.0	0.13	0.45	0.16	8.07	0.0	0.0	0.0	0.0	8.82	4.29	0.47	11.58	10.8	10.31	0.0	0.54	0.0	0.0	0.0	4.52	0.0	0.0	0.0	0.0	14.57	0.0	6.75	1.66	0.0	0.0	0.0	4.33	39.31	3.68	8.85	4.63	3.87	3.34	4.59	4.14	5.4
4833424O15Rik	0.0	16.04	52.95	0.0	0.0	0.0	0.0	0.0	0.0	81.44	65.43	11.5	97.04	58.1	0.0	11.27	0.12	0.0	0.0	0.0	69.61	25.41	70.69	0.0	9.07	0.41	2.32	12.2	11.87	47.91	32.96	26.85	21.78	85.3	42.69	0.37	24.68	56.22	9.98	31.62	50.73	9.13	29.41	37.39	73.63	95.57	39.37	6.1	44.53	0.0	0.0	0.0	30.84	0.0	0.13	0.0	0.0	0.0	14.35	58.38	0.0	55.28	44.82	12.61	81.31	32.68	22.43	262.9	9.3	11.53	10.99	10.99	12.66	36.14	33.71	33.7
4930448I06Rik	0.0	1.19	1.3	0.0	1.92	0.0	0.0	0.0	0.0	0.51	0.0	0.39	0.0	0.0	1.18	1.54	1.91	0.0	0.0	0.0	0.89	0.0	0.56	0.45	0.0	0.44	0.22	1.37	0.46	0.0	0.74	1.53	0.0	0.65	0.0	0.0	0.0	0.42	0.61	0.91	0.0	0.0	1.43	0.39	0.35	1.11	0.52	0.44	0.42	0.0	0.0	0.0	2.22	0.49	4.6	0.0	0.0	0.0	0.0	0.43	1.43	1.05	0.42	0.37	0.58	0.0	0.17	5.35	0.63	0.94	0.0	0.65	0.66	1.36	1.12	1.43
