	Chrna2_tdTpositive_cell_54	Pvalb_tdTpositive_cell_69	Sst_tdTpositive_cell_106	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
2410089E03Rik	0.02	0.88	4.07	23.04	20.01	24.3
2810049E08Rik	0.5	0.73	1.3	9.34	6.75	7.46
4930403N07Rik	0.0	0.0	0.0	0.04	0.04	0.04
4930419G24Rik	0.0	0.0	0.0	0.19	0.18	0.2
4931429L15Rik	0.0	0.23	0.0	0.71	0.58	0.75
A930041C12Rik	0.0	0.0	0.0	0.19	0.18	0.2
Arhgdib	0.0	0.0	0.0	18.31	14.23	13.52
Arid3a	0.0	0.0	0.0	3.69	4.25	3.5
Atp8b3	0.0	0.0	0.0	0.04	0.04	0.09
Blk	0.0	0.0	0.0	0.04	0.04	0.04
C8b	0.0	0.0	0.0	0.04	0.04	0.09
Cacna1d	0.0	0.0	0.0	24.27	21.97	25.63
Cacna2d2	0.0	7.42	1.0	25.53	24.2	26.92
Calhm1	0.0	0.0	0.0	0.1	0.09	0.1
Camk2n1	166.41	60.56	5.37	1136.92	1095.01	1131.2
Ccdc142	0.0	0.0	0.0	8.09	10.04	10.13
Ces1a	0.0	0.0	0.0	0.05	0.05	0.05
Cux2	0.0	1.52	0.0	36.41	37.48	43.23
D6Mm5e	0.0	0.0	0.0	0.1	0.09	0.1
Dhps	0.0	0.0	0.0	44.39	45.73	43.52
Dhx33	0.0	0.0	0.0	23.89	25.22	23.18
Dpy19l3	0.0	0.0	0.04	21.47	22.09	22.03
Dtx2	0.0	0.0	0.0	5.69	7.12	5.84
Dyrk4	0.0	0.0	0.0	0.1	0.09	0.1
E030018B13Rik	0.0	0.0	0.0	0.1	0.09	0.1
Epc1	0.0	4.0	0.09	30.79	31.26	29.54
Fam47e	0.17	0.52	0.0	0.58	0.59	0.7
Foxi1	0.0	0.0	0.0	0.04	0.04	0.09
Gm9961	0.0	0.0	0.0	0.19	0.18	0.2
Gng10	0.0	0.0	1.27	66.87	72.96	73.76
Gpr162	0.09	0.28	0.0	148.73	153.94	159.75
Helb	0.15	0.14	0.09	3.44	3.38	3.72
Hhla1	0.0	0.0	0.0	0.04	0.04	0.09
Hist1h3f	0.0	0.0	0.0	0.14	0.14	0.14
Hoxd8	0.0	0.0	0.0	0.07	0.07	0.07
Htr1f	0.1	0.15	0.0	4.49	2.69	3.35
Igsf11	0.0	1.54	0.2	22.1	20.7	23.96
Ipo13	0.07	16.95	0.0	61.91	67.32	63.81
Itm2b	5.73	132.17	118.58	770.43	794.39	763.79
Kera	0.0	0.0	0.0	0.05	0.05	0.05
Lao1	0.0	0.0	0.0	0.05	0.05	0.05
Lrch4	0.0	0.0	0.0	11.26	7.66	11.08
Mast1	0.0	0.0	0.0	57.59	61.96	60.11
Mgl2	0.0	0.06	0.0	0.95	0.77	1.08
Mll2	1.86	11.96	8.05	22.05	20.62	26.35
Mutyh	0.0	0.0	0.0	1.73	2.91	2.2
Nkx6-3	0.0	0.0	0.0	0.04	0.04	0.09
Olfr1419	0.0	0.0	0.0	0.1	0.09	0.1
P4htm	0.0	0.21	0.0	81.25	85.31	85.57
Pcbp4	0.0	0.0	0.0	124.72	143.46	138.57
Pcdhga6	0.0	0.0	0.0	13.99	15.08	12.98
Pfn1	0.0	0.0	0.84	226.7	228.79	213.61
Pfn3	0.0	0.0	0.0	0.19	0.18	0.2
Pigm	0.44	0.23	0.0	7.88	7.13	7.52
Pip4k2a	47.02	2.67	0.0	71.54	69.04	66.65
Ppp2r5a	0.0	0.0	0.0	69.33	67.41	67.73
Ptpn9	0.0	31.76	0.09	27.41	27.19	26.18
Rcc2	0.71	0.0	0.09	61.45	68.71	59.96
Rexo2	1.88	13.27	0.0	69.59	77.82	70.24
Rpl13	0.0	16.21	20.34	510.21	616.96	603.97
Sdhaf1	0.0	0.0	0.0	26.37	32.73	26.79
Sec13	0.0	0.0	0.0	59.55	63.36	62.54
Sin3b	0.0	0.0	0.17	71.08	71.79	68.02
Slc16a1	0.0	0.84	1.48	23.48	23.61	24.18
Slc25a22	2.7	0.59	0.0	216.4	224.4	229.63
Slc25a3	28.52	51.43	19.09	494.12	522.08	471.49
Slco6c1	0.0	0.0	0.0	0.04	0.04	0.04
Sorl1	0.0	0.0	0.25	108.6	99.88	115.58
