	Calb2_tdTpositive_cell_24	Calb2_tdTpositive_cell_38	Calb2_tdTpositive_cell_40	Calb2_tdTpositive_cell_54	Calb2_tdTpositive_cell_55	Chrna2_tdTpositive_cell_1	Gad2_tdTpositive_cell_34	Gad2_tdTpositive_cell_60	Htr3a_tdTpositive_cell_6	Htr3a_tdTpositive_cell_14	Htr3a_tdTpositive_cell_27	Htr3a_tdTpositive_cell_34	Htr3a_tdTpositive_cell_36	Htr3a_tdTpositive_cell_45	Htr3a_tdTpositive_cell_47	Htr3a_tdTpositive_cell_48	Htr3a_tdTpositive_cell_54	Htr3a_tdTpositive_cell_62	Htr3a_tdTpositive_cell_92	Rbp4_tdTpositive_cell_165	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1300002E11Rik	0.0	0.0	0.11	4.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	504.56	1.36	258.36	27.59	21.27	17.57	19.43	9.78	8.35	8.4
1500010J02Rik	0.0	0.0	0.0	0.0	0.0	66.12	0.0	0.0	0.0	0.0	0.18	0.0	0.16	0.0	0.0	23.74	250.77	0.0	0.0	7.0	2.5	4.92	4.73	23.98	24.56	23.93
1700066O22Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.42	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.22
2210015D19Rik	0.0	0.0	0.22	150.89	105.52	0.0	0.0	0.0	84.52	0.0	0.0	0.0	32.99	0.0	0.0	1.62	265.05	0.0	0.0	16.11	24.26	25.52	36.6	14.61	14.93	14.64
2310022A10Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.9	0.0	0.0	224.85	107.06	0.0	0.41	8.5	8.66	8.4	22.18	22.56	25.28
2810408M09Rik	0.26	1.13	0.67	0.59	0.0	1.53	0.63	0.18	1.8	0.0	15.08	0.47	0.18	0.05	0.0	0.59	211.89	0.28	0.0	1.29	4.02	1.37	1.51	20.07	24.51	22.35
4831440E17Rik	0.0	0.23	0.0	0.07	0.0	0.15	0.07	0.05	0.22	0.0	0.26	0.0	0.0	0.07	0.0	0.17	21.85	0.04	0.0	0.44	1.71	2.63	3.29	2.73	2.53	3.78
4930432K21Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	49.77	0.0	0.0	0.0	0.0	0.0	301.27	0.0	0.0	0.0	3.01	0.43	0.0	2.73	2.99	2.72
4931423N10Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	69.29	0.0	0.0	0.0	0.0	0.0	0.0	0.22	0.2	0.22
4931428F04Rik	0.0	0.0	1.35	0.0	0.0	40.5	0.0	7.74	0.82	3.33	0.0	0.0	2.39	0.0	0.0	0.0	446.76	0.65	6.38	0.96	13.19	20.57	15.26	20.35	19.11	17.19
4933426D04Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	81.43	0.0	0.0	3.26	4.05	2.89	0.73	0.51	0.29	1.16
5031434C07Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.04	0.0
A330049N07Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.42	0.0	0.0	0.13	0.45	1.92	0.35	2.67	2.33	3.13
Acaa1a	0.0	0.18	0.0	0.0	0.0	35.92	0.0	18.65	0.0	0.0	0.0	132.88	0.0	0.0	0.0	0.0	157.64	0.0	0.0	6.71	10.54	8.32	6.77	63.92	64.41	69.33
Adi1	8.1	220.78	0.0	5.97	0.28	7.17	283.29	21.84	10.23	0.0	8.4	0.0	32.54	7.16	12.53	0.26	250.37	15.07	22.57	32.46	10.78	18.75	29.43	41.45	40.82	38.67
Amdhd2	0.0	0.0	0.0	0.0	0.52	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	313.94	0.0	0.0	4.69	1.04	4.31	5.56	15.29	17.88	16.77
Angel2	0.0	0.0	0.0	0.0	0.0	0.0	87.43	10.78	0.0	0.0	178.03	92.45	127.23	0.0	45.66	85.7	234.44	0.0	89.76	65.55	55.3	50.18	52.55	48.72	49.16	43.55
Anp32e	183.25	68.86	0.0	76.36	1.97	0.0	155.75	0.0	0.0	0.0	0.0	0.0	54.34	21.09	0.0	0.0	190.55	39.78	43.8	13.79	75.41	70.99	76.39	85.52	81.08	87.83
Aph1b	0.0	0.0	0.0	0.0	0.12	0.0	0.0	2.16	0.0	0.0	21.9	0.0	0.0	0.0	19.9	64.53	325.51	0.0	0.0	8.96	17.05	3.9	10.34	20.66	19.39	19.13
Api5	0.0	98.06	57.31	0.0	57.51	0.0	65.87	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.96	0.0	333.23	0.05	0.0	44.24	64.98	40.93	48.22	67.35	65.13	61.77
Arhgap1	0.68	0.0	30.23	96.9	0.0	0.0	214.61	0.09	220.05	0.0	0.13	0.0	0.0	153.61	0.81	0.0	274.37	0.13	0.0	55.65	151.06	154.37	161.07	60.32	63.91	62.07
Atp10d	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.14	123.06	0.0	0.0	9.31	0.0	0.11	0.0	2.62	2.58	2.64
Atp11a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.98	0.0	0.0	0.0	0.0	0.04	0.0	50.89	118.46	0.0	0.0	2.54	2.25	1.87	1.56	27.68	25.8	28.44
