	Calb2_tdTpositive_cell_32	Chrna2_tdTpositive_cell_14	Chrna2_tdTpositive_cell_40	Chrna2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_55	Chrna2_tdTpositive_cell_57	Chrna2_tdTpositive_cell_68	Ctgf_tdTpositive_cell_3	Cux2_tdTpositive_cell_47	Cux2_tdTpositive_cell_88	Cux2_tdTnegative_cell_11	Cux2_tdTnegative_cell_13	Gad2_tdTpositive_cell_19	Gad2_tdTpositive_cell_24	Htr3a_tdTpositive_cell_68	Ndnf_tdTpositive_cell_3	Ndnf_tdTpositive_cell_6	Ndnf_tdTpositive_cell_8	Ndnf_tdTpositive_cell_9	Ndnf_tdTpositive_cell_12	Ndnf_tdTpositive_cell_20	Ndnf_tdTpositive_cell_21	Ndnf_tdTnegative_cell_4	Ntsr1_tdTpositive_cell_39	Ntsr1_tdTpositive_cell_79	Ntsr1_tdTnegative_cell_22	Ntsr1_tdTnegative_cell_42	PvalbF.Gad2_tdTpositive_cell_3	Rbp4_tdTpositive_cell_31	Rbp4_tdTpositive_cell_48	Rbp4_tdTpositive_cell_61	Rbp4_tdTpositive_cell_181	Scnn1a.Tg2_tdTnegative_cell_12	Scnn1a.Tg3_tdTpositive_cell_102	Scnn1a.Tg3_tdTnegative_cell_1	Scnn1a.Tg3_tdTnegative_cell_5	Scnn1a.Tg3_tdTnegative_cell_18	Scnn1a.Tg3_tdTnegative_cell_23	Slc17a6_tdTpositive_cell_10	Sst_tdTpositive_cell_19	Sst_tdTpositive_cell_83	Vip_tdTpositive_cell_16	Vip_tdTpositive_cell_25	Vip_tdTpositive_cell_31	CAV_LP_Ipsi_tdTpos_cell_15	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_43
Agap2	7.12	0.02	2.51	2.65	24.58	0.32	9.92	0.0	13.01	6.67	0.0	0.0	2.13	0.0	2.39	0.0	0.71	0.0	0.0	0.0	0.0	0.0	0.0	38.91	12.52	1.65	0.0	1.11	4.05	7.14	8.19	7.78	2.14	70.88	0.0	1.05	0.0	0.0	1.31	0.0	0.85	1.31	0.14	0.33	2.21	2.59	5.03
Bsn	12.39	0.07	4.26	0.02	30.79	23.62	14.24	0.0	1.86	51.6	0.0	0.04	3.39	0.03	3.89	0.04	0.03	0.0	0.0	0.05	0.0	0.03	0.48	25.85	0.35	0.07	0.02	13.86	13.81	8.48	60.52	44.42	0.25	22.27	0.0	0.19	0.0	0.19	53.85	0.0	12.42	0.0	0.13	0.7	0.78	1.81	50.28
Cacna1e	0.04	0.96	20.51	0.01	0.03	0.03	0.92	0.0	115.83	129.58	0.0	0.0	0.31	0.0	6.44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.5	130.96	0.0	0.0	0.0	32.05	21.63	32.17	22.77	0.0	86.38	0.0	0.0	0.0	0.0	104.48	0.05	1.57	0.0	64.33	0.0	18.42	0.2	13.23
Cadm2	142.53	8.15	89.98	31.52	57.73	26.2	62.08	0.0	30.9	142.66	11.09	0.0	0.0	0.0	48.43	0.0	0.0	0.0	0.0	0.0	0.0	0.36	0.07	23.33	107.82	0.1	425.15	41.57	98.66	8.72	50.67	86.61	0.28	54.11	0.0	0.71	0.0	0.08	72.73	0.06	44.25	0.0	51.72	12.85	0.36	61.61	102.12
Celf5	2.32	2.4	9.16	0.14	4.67	10.4	26.69	0.0	89.25	56.78	0.0	0.0	28.37	0.45	25.77	0.0	0.1	0.0	0.0	0.0	0.0	0.12	0.41	64.93	30.5	0.0	0.22	15.9	26.59	14.9	80.55	51.69	3.23	66.09	0.0	0.54	0.09	0.19	33.93	0.15	4.07	86.81	11.23	1.36	1.49	9.28	84.5
Chd5	1.94	3.03	18.96	0.26	9.06	20.26	5.47	0.0	76.91	0.0	0.0	0.0	4.49	0.0	2.45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.31	0.0	0.0	0.0	11.52	2.71	12.36	3.35	4.11	0.0	7.47	0.0	3.25	0.0	0.0	3.99	0.0	3.54	0.0	1.25	0.0	10.42	15.89	8.14
Dmxl2	55.16	22.22	15.78	1.0	1.22	0.03	86.6	0.04	62.38	1.1	0.0	0.0	87.38	0.0	7.89	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.14	38.4	0.05	0.0	17.64	40.61	16.96	6.22	3.99	0.13	0.46	0.0	0.0	0.0	0.0	0.4	0.0	0.0	1.18	46.23	0.0	8.3	8.62	84.75
Eef1a2	0.0	26.85	51.26	0.07	0.59	0.18	14.91	0.0	84.55	77.88	0.0	0.0	0.0	0.0	12.92	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.2	26.44	0.0	0.0	108.6	30.97	1.36	220.96	20.1	0.0	167.77	0.0	0.0	0.0	0.0	0.0	0.16	1.9	0.18	32.68	3.51	37.02	32.44	0.57
Gm5177	37.01	42.15	32.83	52.74	56.26	64.25	42.41	0.0	26.57	42.98	6.38	16.48	26.73	12.04	25.36	0.0	0.0	7.25	0.0	8.76	0.0	0.12	35.89	29.83	28.32	10.01	3.9	42.8	33.52	50.94	30.91	25.83	0.36	16.57	7.03	23.61	12.28	3.41	29.17	15.26	52.48	16.06	38.33	39.53	50.56	28.88	19.95
Gsk3a	0.0	8.12	6.36	8.83	0.0	30.53	27.4	0.0	14.67	42.44	0.0	0.0	0.0	0.0	18.58	0.0	23.07	0.0	0.0	0.0	3.34	0.21	0.0	25.65	0.0	0.0	0.0	40.31	1.04	8.07	6.82	0.19	0.0	33.94	0.0	0.0	10.54	1.07	20.19	0.14	3.72	0.0	0.0	1.06	3.93	2.51	25.85
Hcn1	0.0	38.71	30.53	2.22	0.0	0.0	3.32	0.0	0.1	0.27	0.0	0.0	8.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	82.65	8.82	26.87	0.0	12.01	0.0	1.15	0.0	0.0	0.27	0.0	0.39	0.0	0.0	0.0	45.95	12.33	22.03	0.04	51.83
Ids	24.54	4.35	21.79	37.4	22.56	41.85	46.95	0.0	13.72	65.89	0.0	0.0	0.46	0.0	6.54	0.0	0.0	0.0	0.18	0.11	0.0	0.16	0.0	9.09	75.87	0.1	0.14	112.43	4.96	39.76	18.85	62.09	1.1	220.98	0.13	4.74	0.14	0.16	44.33	0.35	11.43	4.85	24.16	5.67	13.35	0.22	11.43
Jak1	23.0	71.79	153.09	24.16	99.53	44.43	131.96	0.0	20.38	160.34	16.93	0.0	7.65	0.0	25.16	0.0	0.0	0.0	0.0	0.0	1.4	0.0	17.73	6.41	18.05	0.0	0.0	235.22	4.31	20.0	56.8	124.97	0.25	17.85	0.0	0.93	0.0	0.0	84.37	3.12	39.2	2.73	103.46	8.52	111.46	32.73	55.73
Kcnab2	1.62	0.82	3.55	0.0	89.09	0.2	25.89	0.0	59.73	4.35	0.0	0.0	0.08	0.0	22.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	4.07	0.0	0.09	101.34	51.41	53.31	1.82	2.51	0.0	190.6	0.0	0.0	0.0	0.0	3.09	0.09	48.12	0.0	66.2	0.0	3.99	0.39	38.76
