	Pvalb_tdTpositive_cell_69	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	Rbp4_tdTpositive_cell_51	Sst_tdTpositive_cell_66
1700008F21Rik	0.0	0.0	0.0	0.0	0.43
1700012L04Rik	0.0	0.0	0.0	0.0	59.03
1700028P14Rik	0.0	0.0	0.0	0.0	45.22
1700066B19Rik	0.0	0.0	0.0	0.0	0.26
2010317E24Rik	0.0	0.0	0.0	0.0	0.21
2310044H10Rik	18.67	1.38	1.78	4.45	49.8
2610035D17Rik	0.0	0.0	0.0	0.0	1.08
3110039I08Rik	0.0	0.0	0.0	0.0	4.79
3110047P20Rik	0.0	0.0	0.0	0.0	0.15
4732416N19Rik	0.0	0.0	0.0	0.0	28.05
4921536K21Rik	0.0	0.0	0.0	0.0	0.25
4930415O20Rik	0.0	0.0	0.0	0.0	7.57
4930428E07Rik	0.0	0.0	0.0	0.0	0.75
4930507D05Rik	0.0	0.0	0.0	0.0	0.3
4930545L23Rik	0.0	0.0	0.0	0.0	5.27
4932416K20Rik	0.0	0.0	0.0	0.0	0.18
5430421F17Rik	0.33	0.21	0.81	0.77	1.63
6330418K02Rik	0.0	0.0	0.0	0.0	13.89
9330159M07Rik	0.8	18.4	33.66	0.33	42.99
9530008L14Rik	0.43	0.43	0.24	0.49	1.89
A430088P11Rik	0.12	0.0	0.0	0.09	0.44
A930003O13Rik	0.2	0.0	0.0	0.0	1.09
AV051173	0.0	0.0	0.0	0.0	1.04
Adcy3	0.0	0.0	0.0	0.0	32.13
Adm	52.85	25.91	0.0	110.3	215.38
Aicda	0.0	0.0	0.0	0.0	4.13
Aifm3	14.18	6.59	11.54	0.07	83.99
Alkbh4	0.0	14.95	0.0	0.34	95.66
Arid3a	0.0	0.0	0.0	0.0	1.35
Asap3	0.07	0.0	0.09	0.33	0.58
Aspg	0.0	0.0	0.0	0.0	0.23
Atp11c	0.0	0.0	0.0	0.0	15.45
BB123696	0.0	0.21	0.18	0.0	2.96
BC005764	0.0	0.0	0.0	0.0	32.58
BC017612	0.0	0.0	0.0	0.0	0.72
BC022687	0.0	0.0	0.0	0.0	25.65
Bcas1	0.0	0.0	0.0	0.0	1.11
C1qbp	0.0	13.51	32.57	39.67	90.04
Calca	0.0	0.0	0.0	0.0	0.69
Car7	0.0	200.82	59.41	33.28	185.65
Ccdc43	0.0	0.0	0.0	0.0	71.28
Cd300ld	0.0	0.29	0.0	0.07	1.16
Cd55	0.0	0.0	0.0	0.0	0.26
Cdc25a	0.0	0.0	0.0	0.0	45.3
Cdo1	0.0	0.0	0.0	0.0	104.47
Cecr5	0.0	0.0	0.0	12.44	14.61
Chd9	11.15	2.54	0.0	7.75	39.26
Crb1	0.0	0.0	0.0	0.0	4.53
Cuedc2	412.29	174.36	237.17	65.12	564.99
Cxcl11	0.0	0.36	0.0	0.61	2.16
Cxcr2	27.48	25.89	35.68	28.53	44.52
Cyp2e1	9.58	9.19	38.44	4.49	31.37
D17Ertd648e	0.0	0.0	0.0	0.0	2.74
D630023F18Rik	0.0	0.0	0.0	7.85	0.6
Ddn	3.96	0.0	8.47	0.0	25.19
Ddx19b	0.0	4.66	3.24	19.04	42.87
Ddx47	0.0	13.73	202.25	0.0	336.14
Dexi	2.74	0.0	41.35	31.0	120.35
Dleu2	0.0	0.0	0.0	0.0	1.18
Edem2	0.0	0.0	0.0	0.0	79.55
Ephb1	0.0	0.0	0.0	0.0	1.44
Fam131c	0.0	0.0	0.0	0.0	26.2
Fam36a	60.73	110.1	136.06	203.49	246.3
Farp2	0.0	0.0	0.0	0.0	0.18
Fbln2	0.0	0.0	0.0	0.03	0.15
Fez2	30.52	0.15	0.0	36.56	67.04
Fndc7	0.0	0.0	0.0	0.0	0.13
Gbe1	0.0	0.0	0.0	0.0	91.38
Gja6	0.0	0.0	0.0	0.0	2.96
Gm14430	3.07	13.57	4.08	2.38	33.17
Gm14434	3.07	13.57	4.08	2.38	33.17
Gm15408	0.0	0.0	0.0	0.11	0.38
Gm15645	24.7	28.11	46.05	47.07	158.1
Gm15708	0.0	0.0	0.0	0.0	85.16
Gm1653	0.0	0.0	0.0	0.0	3.81
Gm4724	3.07	13.57	4.08	2.38	33.17
Gm5069	0.0	0.0	0.0	0.0	0.3
Gm8221	0.0	0.0	0.0	0.0	0.27
Gm9054	0.0	0.0	0.0	0.0	0.99
Gpx3	0.0	0.0	0.0	0.0	91.73
Hist2h2aa1	0.0	0.0	0.0	0.0	19.26
Igsf1	0.0	0.0	0.0	0.0	0.38
Ikzf2	0.0	0.0	0.0	0.0	0.14
Kcng4	0.0	14.71	0.0	15.7	14.95
Kif26a	0.0	0.0	0.0	0.0	0.09
Klhl32	21.6	0.12	0.0	109.54	168.76
Kptn	0.0	0.0	0.0	0.0	33.98
LOC100861570	0.0	0.0	0.0	0.0	33.91
Ldhb	11261.44	13571.31	12546.17	11746.38	6038.57
Lig4	0.0	0.0	0.0	0.0	1.44
Lrwd1	0.0	0.0	0.0	0.0	0.61
Map4k4	0.0	0.0	2.19	0.0	16.21
Mast3	0.07	0.11	3.92	0.04	16.52
Mcat	0.0	0.0	0.0	0.0	45.25
Mir1186	0.0	0.0	0.0	0.0	12.4
Mir130a	0.0	0.0	0.0	0.0	30.31
Mir3091	0.0	0.0	0.0	0.0	22.66
Mllt6	0.0	0.15	2.56	0.97	14.99
Mlxipl	0.0	0.0	0.0	0.0	0.18
Myo15	0.0	0.0	0.0	0.0	0.08
Napsa	0.0	0.0	0.0	0.0	0.45
Ndufa11	258.58	493.23	402.72	337.35	497.13
Nphs1	2.82	3.15	4.25	2.66	6.17
Ntng1	0.0	0.0	0.0	0.0	0.3
Pask	0.0	0.0	0.0	0.0	0.13
Pcdhga9	0.0	0.0	0.0	0.0	0.32
Pctp	0.0	2.33	0.0	0.14	58.09
Pde4a	17.86	10.38	68.0	54.38	110.15
Phyhd1	0.0	6.23	0.0	0.16	28.48
Pik3c2g	0.0	0.0	0.0	0.0	0.21
Pin1	4.01	60.96	49.22	35.42	113.85
Pla2g5	0.0	0.0	0.0	0.0	4.7
Plekhh1	0.0	0.0	0.0	0.0	0.32
Pold2	0.0	0.0	0.0	0.0	5.8
Pvalb	1740.57	1408.27	1731.8	3516.69	3357.43
Pwp1	42.26	79.17	0.0	25.07	112.38
Pygo1	0.0	0.0	0.0	0.0	0.38
Rab43	0.0	0.0	14.77	0.0	3.43
Rbm45	0.0	1.03	1.52	6.52	7.0
Riiad1	0.0	0.0	0.0	0.0	10.13
Rnf17	0.0	0.0	0.0	0.0	0.25
S1pr2	0.0	0.0	0.0	0.0	57.69
Samd4b	0.0	0.0	0.0	0.0	0.15
Sass6	0.75	12.85	0.27	14.87	33.13
Scaf1	0.0	1.45	2.69	0.18	18.61
Serpina3a	0.0	0.0	0.0	0.0	0.36
Snora47	0.0	0.0	0.0	0.0	27.41
Spg7	1.02	0.76	4.8	0.53	59.58
Sri	0.65	19.17	65.09	77.23	286.47
Stk32a	0.0	0.0	0.0	0.0	1.44
Sytl4	0.0	0.0	0.0	0.0	0.18
Tcf7l1	0.0	0.0	0.0	0.0	2.88
Tmem192	0.0	0.0	0.0	0.0	49.37
Tmem39b	0.0	0.0	0.0	0.0	1.47
Tmf1	33.08	69.77	48.91	152.98	201.25
Trim43b	6.36	2.04	3.12	4.27	7.79
Trip11	0.0	19.22	15.9	11.21	70.58
Tusc1	0.0	0.0	0.0	0.0	24.61
Ube2f	0.0	81.63	111.48	109.57	233.24
Xkr7	0.0	0.0	0.0	0.0	1.7
Ypel3	0.0	15.19	1.34	57.1	114.9
Zfp383	0.0	0.0	0.0	0.0	15.08
Zfp389	0.0	0.0	0.0	0.0	0.73
Zfp846	14.48	2.72	1.19	0.14	115.09
Zfp943	0.0	30.53	4.18	0.29	138.84
Zmiz1	0.0	0.0	0.0	0.0	0.6
c15_tRNA-Ala-GCA	0.0	0.0	0.0	0.0	30.31
