	Calb2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_54	Cux2_tdTnegative_cell_7	Cux2_tdTnegative_cell_12	Ndnf_tdTnegative_cell_10	Nkx2.1_tdTpositive_cell_18	Pvalb_tdTpositive_cell_3	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_6	Pvalb_tdTpositive_cell_17	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_45	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_68	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_74	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_21	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_34	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_63	Rbp4_tdTpositive_cell_51	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
2810049E08Rik	1.31	0.5	0.0	0.0	0.0	2.36	36.15	0.0	0.9	0.96	0.6	0.0	0.0	1.67	0.72	0.0	0.33	0.73	52.21	0.27	1.34	27.08	0.0	0.88	1.36	3.99	3.46	1.8	0.0	0.93	0.89	9.34	6.75	7.46
6720456H20Rik	0.0	0.0	0.0	0.0	0.0	0.62	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.37	0.0	3.92	9.35	0.14	45.66	0.0	10.71	0.0	0.0	0.0	0.91	0.0	0.0	0.0	0.0	12.33	0.0	13.62	11.4	14.39
A930011O12Rik	0.0	8.86	0.0	0.0	0.0	82.08	63.58	0.0	10.57	7.74	17.66	0.78	8.8	46.76	0.19	31.01	15.64	61.68	123.05	22.87	36.92	35.86	6.84	60.69	73.24	68.0	117.1	57.44	12.22	7.9	34.53	130.41	125.17	129.06
AF529169	0.0	0.0	0.0	0.0	0.0	5.1	0.0	0.0	0.0	6.15	0.0	10.34	12.3	30.06	0.0	0.0	0.0	0.17	54.88	0.0	0.0	0.0	0.0	0.09	8.66	0.0	0.0	0.0	0.32	0.41	0.0	1.99	2.01	2.41
Arhgap20	0.0	0.0	0.0	0.0	0.0	0.65	0.0	2.47	6.31	9.11	17.56	0.0	6.23	15.32	0.0	0.0	0.76	1.04	54.56	0.05	6.55	4.53	0.51	16.8	22.71	0.06	0.0	19.48	8.56	13.62	0.0	44.82	40.43	42.07
Atp13a2	0.0	51.74	0.0	0.0	0.0	18.61	15.34	12.2	1.0	9.32	1.2	5.87	2.36	17.31	8.52	6.68	0.09	29.2	22.08	7.18	0.22	8.28	9.66	5.7	30.57	4.12	15.82	28.72	4.31	0.56	3.14	91.7	99.84	96.26
Atxn2	0.0	0.0	0.0	0.0	0.0	33.66	10.72	0.0	41.86	15.21	15.64	1.23	16.59	11.81	5.13	11.08	0.0	40.67	37.6	19.06	6.66	38.37	32.52	25.58	17.87	2.94	20.7	1.92	34.06	47.98	0.04	46.73	47.49	48.73
Ccl27b	0.0	0.54	0.0	0.0	0.0	1.67	0.92	0.0	6.15	2.68	0.0	0.0	1.08	0.0	0.0	0.0	0.0	3.31	3.28	0.76	0.0	0.0	2.62	1.92	4.77	9.42	8.14	1.21	0.0	2.37	9.34	30.63	28.29	22.96
Ccz1	0.0	0.7	0.0	0.0	0.0	39.82	38.09	0.0	0.0	15.81	3.27	0.0	0.0	27.48	21.4	2.93	62.02	0.0	115.0	11.59	21.68	84.75	41.12	4.93	34.37	0.0	0.0	0.0	29.72	24.45	30.58	41.75	42.4	40.26
Cep164	25.86	0.0	0.0	0.0	0.0	10.06	5.11	0.0	0.0	0.0	1.03	3.56	17.8	0.0	0.0	0.08	0.0	1.95	36.84	8.73	0.39	0.15	6.26	2.16	4.4	6.65	3.21	0.0	3.34	1.8	0.0	11.51	10.88	11.02
Crlf2	0.0	1.89	0.0	0.0	0.0	1.29	0.0	0.0	0.0	0.0	0.0	0.0	1.26	0.0	0.0	0.0	0.0	0.0	17.04	0.0	1.1	0.0	0.0	1.73	1.34	0.0	0.0	0.0	0.0	0.0	0.0	18.3	21.11	20.21
Crxos1	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.39	6.05	1.17	0.0	0.0	0.0	0.7	0.0	0.0	0.0	0.0	1.69	0.0	0.0	0.23	0.26	0.3
Ctnnbl1	9.87	0.0	0.0	0.0	0.2	89.84	104.71	21.33	33.86	85.24	0.0	21.41	0.6	0.24	60.43	108.0	0.0	98.92	136.53	68.0	13.09	109.46	37.84	1.1	0.0	4.1	36.19	0.0	84.12	20.88	2.31	23.3	22.17	22.59
Cttn	0.0	4.16	234.52	0.0	0.0	93.52	69.41	36.7	43.75	69.88	67.95	112.03	161.67	62.65	2.23	69.78	18.16	103.31	341.71	73.35	57.06	50.75	21.34	172.92	82.54	90.24	17.63	45.05	64.0	59.79	99.99	92.84	96.78	94.81
D630013N20Rik	0.55	0.14	0.0	0.0	0.0	0.49	1.62	0.0	0.0	0.0	0.0	0.46	0.31	0.0	0.45	0.0	0.29	0.0	3.25	0.91	0.4	0.58	0.71	0.22	0.89	0.24	0.0	0.0	0.44	0.15	0.55	0.93	0.72	0.7
Dgat2	0.0	20.49	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.82	0.0	0.0	55.81	0.0	0.0	1.61	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.05	0.0	74.08	85.02	74.02
Dhdds	0.0	0.0	0.0	0.0	0.0	18.29	18.21	3.35	3.68	16.98	3.47	1.77	2.61	4.79	0.25	39.86	2.71	1.79	71.19	38.69	5.27	3.21	23.32	26.31	25.28	2.93	6.05	0.15	37.82	3.53	22.7	52.04	53.67	49.03
Diras1	0.0	0.0	0.0	0.0	0.0	0.72	11.03	1.87	0.0	25.09	6.96	6.48	33.58	9.99	26.91	15.68	1.81	8.04	52.62	17.21	14.43	14.35	26.68	15.63	20.4	48.78	7.2	2.47	0.46	36.43	9.43	80.08	87.79	81.48
Dlg5	0.0	0.0	1.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.86	0.0	25.61	0.0	6.52	0.0	4.25	3.13	0.06	0.0	0.0	6.76	0.0	0.1	0.0	14.3	13.9	15.68
Dmxl2	0.0	30.56	0.0	0.0	0.0	19.56	23.46	6.05	34.75	11.55	12.37	11.06	17.47	51.6	9.8	5.95	0.16	15.9	71.89	43.11	12.66	10.64	20.42	8.36	10.22	10.19	34.02	11.59	38.16	25.02	7.31	84.29	75.36	80.67
Dnd1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.18	0.0	0.0	0.0	0.0	0.0	0.0	4.4	0.0	8.83	0.0	0.0	0.0	0.0	0.52	0.0	0.0	1.12	0.0	0.0	1.56	0.0	1.7	2.5	1.75
Dusp16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.32	0.0	0.0	0.0	0.08	0.0	55.28	6.03	0.0	0.73	0.0	17.72	0.0	0.0	0.0	0.0	0.0	23.37	0.0	7.05	6.81	7.57
Eif2b4	5.26	0.0	0.0	0.0	0.0	1.71	19.65	0.0	0.0	42.26	8.88	46.61	156.97	0.35	0.45	71.5	317.39	20.24	251.64	30.83	1.92	80.98	47.49	10.52	17.08	0.0	216.79	19.99	2.95	31.24	48.89	36.76	38.85	37.76
Faf1	0.0	85.25	0.0	0.0	0.0	3.38	20.09	0.0	24.4	5.89	0.0	12.21	3.89	0.0	0.0	18.11	1.18	0.0	53.73	9.07	6.72	7.47	0.0	10.32	0.0	21.73	0.36	0.43	7.28	14.33	0.17	16.42	18.2	16.94
Fam108c	0.0	22.56	0.0	0.0	0.42	0.56	0.0	58.23	1.5	0.31	0.0	0.71	47.75	26.82	0.69	0.82	3.3	0.17	84.14	10.61	1.6	3.49	24.57	3.87	1.56	1.86	1.45	5.83	4.67	0.67	0.87	33.39	32.28	32.54
Fam131a	0.0	0.0	0.0	0.0	0.0	11.31	2.48	0.0	0.0	17.81	2.81	0.7	0.0	0.0	0.0	0.0	12.77	0.0	83.61	32.31	18.97	0.0	17.52	6.13	9.05	57.77	0.0	10.21	0.0	7.36	45.67	317.46	331.18	308.03
Fam73b	0.0	0.0	0.0	0.0	0.0	5.88	22.1	0.0	0.0	39.33	26.79	21.65	44.45	35.21	0.0	22.17	0.0	15.27	74.03	19.63	12.43	0.33	33.76	29.36	60.97	25.54	34.02	31.03	11.19	22.77	0.34	54.96	59.24	58.92
Frmpd4	0.0	15.46	0.0	0.0	0.0	0.0	2.17	0.0	0.89	0.04	0.0	0.0	13.6	0.0	0.0	5.88	0.0	0.04	34.41	2.04	18.5	0.1	0.0	0.39	0.15	6.98	0.0	0.0	0.57	0.29	0.0	28.93	27.95	30.43
Fut10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.23	0.0	0.0	0.17	0.0	0.0	0.0	0.0	0.0	44.41	0.0	19.28	1.03	14.16	27.27	0.15	53.25	0.0	0.0	0.0	0.0	0.0	7.29	7.54	7.88
Galnt14	0.0	0.0	0.0	0.0	0.0	0.0	32.18	0.0	0.0	0.0	0.0	0.0	0.0	25.06	0.94	21.8	0.0	0.0	98.14	24.32	0.29	49.89	0.0	0.0	2.48	0.0	0.0	0.0	33.86	0.0	0.0	25.03	22.87	23.6
Gbf1	0.0	0.0	0.0	0.0	0.0	28.28	24.56	0.23	0.52	23.49	11.87	14.75	16.24	0.4	0.48	0.35	0.0	0.0	38.3	26.52	4.52	8.64	0.0	27.17	16.33	23.55	28.64	13.65	12.06	4.4	8.56	41.95	40.73	44.25
Gdpd5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.13	0.53	0.0	0.0	0.36	0.0	0.0	0.0	0.0	40.02	0.0	1.19	0.31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.11	22.07	24.28	25.67
Gm13306	0.0	0.54	0.0	0.0	0.0	1.67	0.92	0.0	6.15	2.68	0.0	0.0	1.08	0.0	0.0	0.0	0.0	3.31	3.28	0.76	0.0	0.0	2.62	1.92	4.77	9.42	8.14	1.21	0.0	2.37	9.34	30.63	28.29	22.96
Gm14431	0.26	0.0	0.1	0.0	0.0	0.76	0.62	0.74	0.0	7.8	3.35	3.96	2.26	5.1	0.3	0.76	1.87	1.79	7.94	1.31	1.04	2.52	4.65	0.0	1.51	0.0	1.58	0.43	0.36	1.93	1.92	8.87	7.17	8.34
Gm2506	0.0	0.54	0.0	0.0	0.0	1.67	0.92	0.0	6.15	2.68	0.0	0.0	1.08	0.0	0.0	0.0	0.0	3.31	3.28	0.76	0.0	0.0	2.62	1.92	4.77	9.42	8.14	1.21	0.0	2.37	9.34	30.63	28.29	22.96
Gm3317	0.0	0.0	0.0	0.0	0.0	1.64	0.66	0.08	1.47	0.32	1.2	2.02	1.68	8.61	0.0	3.68	0.0	6.91	13.37	0.0	13.29	12.46	0.0	0.0	0.2	0.0	0.0	0.0	0.0	11.79	5.01	2.38	2.75	2.9
Gm3494	0.0	0.0	0.0	0.0	0.0	1.64	0.66	0.08	1.47	0.32	1.2	2.02	1.68	8.61	0.0	3.68	0.0	6.91	13.37	0.0	13.29	12.46	0.0	0.0	0.2	0.0	0.0	0.0	0.0	11.79	5.01	2.38	2.75	2.9
Gm8898	0.26	0.0	0.1	0.0	0.0	0.76	0.62	0.74	0.0	7.8	3.35	3.96	2.26	5.1	0.3	0.76	1.87	1.79	7.94	1.31	1.04	2.52	4.65	0.0	1.51	0.0	1.58	0.43	0.36	1.93	1.92	8.87	7.17	8.34
Gm960	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.32	9.12	0.72	0.0	0.0	0.0	0.0	0.0	29.24	0.0	7.94	0.12	3.45	0.0	0.0	1.47	0.0	0.0	0.2	0.0	0.0	0.88	1.11	1.17
Grik5	0.0	10.73	0.0	0.0	0.0	0.11	0.0	0.0	0.0	0.18	0.0	0.0	7.73	0.0	2.0	0.0	0.18	0.1	22.2	0.0	0.0	1.13	0.42	3.39	0.0	0.0	0.7	0.5	0.35	0.19	0.0	151.06	170.74	170.43
Grlf1	0.0	0.63	0.0	0.0	0.0	11.28	17.13	16.46	2.49	13.11	7.01	11.13	23.82	18.98	23.92	4.13	0.5	30.68	41.15	47.35	5.88	26.11	0.48	5.67	27.36	8.38	19.77	1.64	1.11	7.25	9.28	71.07	67.29	71.92
H2-Ke6	0.0	0.0	0.0	0.0	0.0	10.42	0.0	0.0	1.55	0.0	17.18	1.71	12.31	0.0	0.0	0.0	0.0	0.0	97.06	26.2	0.0	0.0	48.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.23	38.73	39.89
Habp4	0.0	0.19	0.0	0.55	0.73	27.65	48.78	1.85	56.97	64.58	30.75	70.27	40.64	38.5	0.0	0.18	5.08	55.46	108.96	53.83	26.5	123.26	24.72	77.15	19.4	48.85	68.59	191.13	110.15	36.47	48.49	188.43	207.17	194.28
Hdlbp	0.0	0.0	0.0	0.0	0.0	40.54	35.86	10.21	13.1	34.49	28.08	36.78	19.16	23.55	31.89	1.38	1.06	59.99	104.53	92.64	10.19	49.11	22.65	67.18	55.87	57.93	15.24	15.99	28.19	30.25	44.13	87.57	85.95	90.82
Hook2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.68	0.0	0.0	0.0	0.0	1.99	0.0	0.0	0.0	0.0	52.84	0.0	0.0	0.0	0.0	14.76	7.99	0.0	0.6	0.0	0.0	0.0	0.0	14.98	15.85	14.02
Hrh3	0.0	0.61	0.0	0.0	0.0	0.0	0.0	0.0	1.38	11.68	1.31	14.01	2.46	0.0	0.0	39.89	0.0	4.3	50.14	14.93	9.73	0.0	26.1	17.29	13.46	2.56	0.0	1.18	19.38	14.22	0.0	87.46	108.01	84.09
Hs6st1	0.0	29.29	0.0	0.0	0.0	21.68	0.0	0.0	0.89	1.0	28.04	0.0	0.0	28.3	0.21	0.0	0.0	0.0	29.17	0.08	0.0	6.83	10.38	0.0	13.39	31.15	4.9	11.18	5.31	0.0	0.0	44.99	46.47	43.97
Htr1d	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.0	72.38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	61.3	0.0	2.58	2.4	3.01
Itgb1	0.0	0.7	0.15	0.0	0.11	0.2	0.0	0.0	0.0	0.0	0.15	2.62	5.52	0.31	0.0	32.02	0.0	0.0	44.59	0.0	6.09	4.01	0.19	0.0	0.0	2.16	14.3	5.8	0.64	1.72	0.0	45.23	44.47	40.82
Itpr1	0.0	0.0	0.0	0.0	0.0	26.38	11.39	0.02	18.25	18.95	18.43	32.52	32.34	56.97	14.23	57.7	51.19	89.6	64.09	22.88	38.85	8.03	23.9	48.77	52.66	46.38	11.4	5.61	29.95	50.83	29.32	211.99	196.39	212.52
Kcns1	0.0	0.0	0.0	0.0	0.0	0.62	0.0	0.92	0.0	0.0	9.38	0.29	0.0	0.0	0.0	0.0	8.05	0.55	18.78	12.02	0.0	0.0	0.0	0.0	0.0	1.53	0.0	0.0	0.0	0.0	1.79	14.64	18.65	18.42
Kdm2b	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.0	6.61	0.0	17.87	8.28	3.86	3.36	4.51	0.0	5.59	57.15	3.64	2.02	17.68	0.0	0.0	17.49	1.15	0.15	10.33	0.07	0.0	0.0	15.2	14.76	15.52
Klf3	0.0	0.0	0.0	1.22	0.0	57.86	20.92	0.0	9.32	15.69	5.24	10.28	23.54	48.45	0.33	0.0	0.0	12.13	183.53	23.17	0.93	31.6	0.18	24.21	45.15	60.62	8.19	0.42	60.76	75.59	27.58	15.86	16.95	20.25
Ldhb	7486.96	8970.97	5404.32	5274.92	5600.23	8752.31	8750.45	10118.08	10894.4	8525.9	8517.89	9220.91	9343.6	10165.1	9166.61	9602.81	8469.38	11261.44	6159.05	10004.69	9074.03	13571.31	12546.17	9106.97	9755.78	8904.1	11010.48	8275.76	10182.84	9082.37	11746.38	737.58	774.98	752.92
Lsm11	5.04	0.63	9.27	4.8	4.34	6.37	27.3	3.62	0.88	11.68	21.72	5.63	4.68	12.75	3.89	3.17	6.31	3.94	45.36	23.38	3.89	7.58	16.33	20.47	2.45	8.47	48.64	4.15	3.55	1.52	2.06	13.89	13.93	14.75
Lynx1	0.0	0.0	0.0	0.0	0.0	31.97	70.47	35.04	62.83	75.41	42.12	44.28	145.97	78.67	14.93	26.67	0.53	7.87	99.02	52.23	127.61	63.06	75.27	91.7	12.11	75.15	26.03	131.26	111.63	71.33	70.91	249.12	247.11	249.79
Mbtps1	0.0	3.39	0.0	0.0	0.0	8.87	19.92	0.0	2.47	4.65	1.04	0.0	0.0	3.2	0.0	23.7	0.0	1.4	67.83	0.14	10.22	0.0	0.0	77.62	22.3	0.0	36.11	6.66	10.16	0.0	0.0	53.53	54.98	52.0
Mccc1	0.0	0.08	0.0	0.0	0.0	67.23	29.75	0.0	2.24	4.57	25.53	15.02	15.14	31.08	28.15	20.42	40.77	43.93	121.93	8.22	16.99	37.72	0.0	17.03	6.85	0.0	111.9	0.0	71.82	29.1	104.83	21.25	18.9	21.4
Mll1	0.0	11.94	0.03	0.0	0.0	14.96	20.4	0.82	7.4	9.97	1.9	5.05	10.5	11.18	5.72	10.18	7.35	26.49	26.77	17.88	12.35	5.31	5.47	12.87	20.17	4.19	11.73	8.68	9.17	15.6	1.21	41.15	35.88	42.39
Mllt10	0.0	0.0	0.67	0.91	0.0	1.69	0.0	0.0	1.83	11.0	4.99	36.1	19.04	14.25	0.16	13.11	17.6	0.0	61.64	41.58	0.0	8.54	6.05	22.63	6.22	0.08	3.15	13.46	1.84	9.26	5.34	19.25	21.32	21.32
Myo5a	0.0	4.61	0.0	0.0	0.0	53.44	92.3	11.11	69.14	40.3	111.23	46.76	73.9	65.61	24.09	68.38	50.24	41.79	105.49	55.97	69.17	55.96	9.71	57.57	28.13	69.49	36.2	38.36	73.22	48.43	42.52	147.23	132.38	154.8
Narg2	0.0	0.0	0.0	0.0	0.0	2.88	2.07	0.0	0.0	0.17	0.16	0.0	0.0	0.0	0.0	0.0	0.09	7.63	82.33	0.0	0.7	0.07	0.0	18.0	0.0	0.31	0.0	0.0	0.0	0.0	0.0	6.23	5.11	6.32
Nbea	0.04	3.28	0.0	0.0	0.0	13.45	1.73	5.89	5.39	4.31	36.72	6.94	8.84	47.25	4.35	41.63	12.75	18.0	40.35	22.85	16.53	9.35	8.29	20.07	16.66	48.58	23.83	18.61	14.05	11.31	10.9	86.62	79.29	87.87
Ninl	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.05	0.0	0.0	0.0	0.0	0.0	1.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.29	5.06	5.68
Nr2f6	0.0	0.0	0.0	4.66	0.0	0.19	0.95	3.61	0.0	2.78	0.0	0.36	0.0	9.12	0.0	0.21	44.82	0.34	27.48	0.0	0.0	0.0	0.56	9.3	0.0	0.0	0.98	0.0	15.35	1.7	0.08	29.59	34.98	32.94
Oxa1l	0.0	0.0	0.0	0.0	0.0	3.15	69.82	74.6	16.44	25.77	0.0	28.11	94.37	12.32	0.0	0.36	0.0	4.72	168.11	98.88	29.11	31.74	0.32	36.57	0.0	101.3	18.55	38.77	34.47	25.89	42.05	39.43	39.68	37.7
Papola	0.0	0.05	0.0	46.39	0.0	26.97	30.44	0.33	30.48	18.87	18.03	24.68	66.34	14.81	16.63	5.35	1.51	92.33	155.05	17.69	25.32	28.63	54.54	8.16	27.49	32.11	51.02	61.65	48.3	45.54	18.32	62.25	56.4	58.78
Pi4k2a	0.0	0.45	0.0	6.29	0.0	4.86	48.04	4.33	28.47	41.21	45.06	25.41	5.29	0.86	0.0	3.63	0.0	0.0	93.45	7.77	18.46	0.0	5.28	2.67	27.78	48.21	63.13	7.1	6.95	0.0	5.9	52.66	54.19	51.53
Plk3	0.0	41.17	0.0	0.0	0.0	28.45	0.0	0.0	0.0	3.18	0.0	56.27	64.63	0.0	0.0	0.0	0.0	0.0	130.98	0.0	0.0	11.66	0.0	0.79	0.0	10.37	0.0	0.0	0.0	26.81	0.0	18.67	16.21	11.82
Plxna4	0.0	4.92	0.0	0.0	0.04	15.26	9.53	0.04	19.53	2.91	1.14	17.4	11.1	24.23	0.03	2.87	0.0	1.6	29.54	9.01	12.68	2.88	1.98	11.5	14.15	8.91	15.4	8.04	21.04	13.99	6.1	28.71	25.59	30.42
Ppan	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.65	0.0	0.0	74.28	28.49	0.0	0.0	0.0	0.0	36.46	0.0	0.0	0.0	0.0	0.0	0.0	16.98	18.97	17.22
Prkce	0.0	0.89	0.1	0.0	0.0	38.63	29.01	2.92	36.24	26.9	44.87	28.08	26.82	24.63	0.24	36.28	23.91	37.4	43.88	69.04	31.97	12.17	15.45	29.69	28.57	35.1	34.59	27.33	27.51	39.5	31.32	203.76	201.38	207.81
Rab11fip3	0.0	0.0	0.0	0.0	0.0	49.57	0.0	24.17	0.85	34.63	0.0	13.96	0.17	9.89	0.0	0.28	2.37	6.06	119.97	0.09	18.95	23.53	21.58	20.19	87.42	23.87	20.37	8.49	2.89	37.85	0.89	71.82	76.68	77.65
Rbfox3	0.0	0.0	0.0	0.0	0.0	0.7	0.47	0.91	0.0	15.29	7.37	3.67	0.54	19.61	0.0	2.59	0.0	9.54	24.23	0.74	0.0	11.34	5.92	1.86	3.9	2.61	30.69	4.49	15.0	6.31	12.2	216.71	228.38	226.62
Rnf20	191.2	26.44	0.0	0.0	0.0	42.24	30.78	0.0	0.0	24.11	21.69	0.0	27.19	0.0	1.1	62.51	0.08	3.11	84.88	4.03	27.99	21.22	33.18	13.77	24.63	32.56	4.72	14.92	13.48	9.61	9.71	48.41	45.8	44.56
Sec14l1	0.0	0.0	0.13	0.0	0.0	16.49	9.52	0.0	0.0	0.0	7.52	22.01	0.19	0.45	75.02	95.26	0.0	58.67	178.96	37.75	1.49	3.73	41.58	25.3	57.8	0.0	12.75	13.73	23.52	0.0	7.31	162.02	165.04	152.18
Senp1	0.0	0.0	0.0	0.0	1.01	13.46	9.74	0.0	0.89	0.05	16.97	4.15	0.0	0.3	0.0	0.0	0.0	0.06	38.3	0.0	0.0	0.98	3.85	0.23	0.0	0.0	0.08	0.0	0.0	3.63	0.0	6.58	5.86	6.76
Setd2	0.0	6.14	0.0	0.11	0.0	6.84	9.02	11.02	8.46	0.64	7.65	23.03	6.34	6.59	0.0	14.62	47.7	0.0	45.51	0.0	3.21	9.9	0.0	26.52	1.95	23.59	13.06	1.36	4.21	2.33	7.81	28.44	23.75	28.97
Sez6l2	0.0	4.56	0.0	0.0	0.0	60.42	18.88	14.17	47.95	102.41	24.11	19.54	40.68	60.47	45.8	74.27	170.97	41.5	87.49	26.92	83.72	86.48	47.6	113.91	34.07	170.41	87.48	69.42	54.39	63.94	122.85	200.78	204.89	199.02
Sin3b	0.0	0.0	5.21	0.11	0.0	113.64	54.31	0.0	84.14	1.15	0.92	0.76	2.35	43.27	47.44	0.88	4.5	0.0	85.93	0.0	79.59	1.13	0.0	0.0	2.31	25.8	11.06	70.61	5.07	8.91	2.88	71.08	71.79	68.02
Slain1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.87	28.99	0.0	0.0	7.82	0.0	0.0	0.0	0.14	109.15	0.11	0.0	0.0	0.0	0.0	0.0	4.99	0.0	0.7	0.16	2.74	0.0	44.08	47.41	49.76
