	Chrna2_tdTpositive_cell_23	Chrna2_tdTpositive_cell_53	Htr3a_tdTpositive_cell_83	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_53	Sst_tdTpositive_cell_46	Sst_tdTpositive_cell_96	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1200009I06Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.08	0.86	0.91
1700003E16Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.53	24.05	25.66
1700013H16Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.08
1700073E17Rik	0.08	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.11	0.22	0.21
2310047M10Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.42	30.44	27.64
2410004N09Rik	0.0	0.0	16.37	0.0	0.0	0.0	0.0	0.0	13.52	17.38	14.46
4930403N07Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.04
4930419G24Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19	0.18	0.2
A930041C12Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19	0.18	0.2
Acsm4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.09	0.09
Agpat2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.58	1.38	1.38
Ankrd61	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.47	1.32	2.55
Arhgef25	8.49	0.14	0.0	29.32	0.0	0.2	0.0	0.2	162.76	176.05	166.66
Atg3	37.93	0.0	0.0	3.02	3.04	0.0	0.0	0.0	37.58	39.89	38.39
Atp8b3	0.0	16.27	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.09
Blk	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.04
Bmp15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.26	0.15	0.13
Bmp8a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.43	0.28	0.28
C8b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.09
Calhm1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.09	0.1
Capn8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04
Capn9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.04	0.04
Ccl27b	0.14	22.17	21.49	7.16	5.37	0.0	0.0	4.62	30.63	28.29	22.96
Ces1a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
Cib2	1.57	0.22	18.87	0.0	1.75	0.0	0.0	0.0	37.18	43.03	40.25
Crb2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.19	2.67	2.67
D6Mm5e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.09	0.1
Dlx3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.04	0.04
Dyrk4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.09	0.1
E030018B13Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.09	0.1
Entpd8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04
Fam129b	0.0	0.0	0.0	0.0	3.6	0.0	0.0	0.0	22.71	23.7	21.44
Fbrsl1	0.0	1.36	0.0	0.0	0.0	0.0	0.0	0.0	31.38	34.29	34.11
Foxd3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04
Foxi1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.09
Furin	0.0	0.0	0.0	3.62	1.74	2.19	1.15	0.0	18.09	20.87	17.74
Gabra6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.08
Gdf6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.03	0.06
Gjb4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.07
Gkn1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.08
Gm13306	0.14	22.17	21.49	7.16	5.37	0.0	0.0	4.62	30.63	28.29	22.96
Gm18409	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04
Gm2002	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	1.73	1.86	1.4
Gm2506	0.14	22.17	21.49	7.16	5.37	0.0	0.0	4.62	30.63	28.29	22.96
Gm5878	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.02
Gm5891	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.01
Gm9961	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19	0.18	0.2
Gnai2	12.68	0.07	6.04	6.13	2.81	5.62	0.0	16.38	159.13	172.93	169.97
Gprin1	0.0	0.0	0.0	0.0	0.0	13.05	0.0	3.46	78.28	83.81	79.23
Hephl1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.04	0.04
Hhla1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.09
Hist1h3f	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.14	0.14
Hmg20b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.62	23.12	22.34
Hoxd8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.07	0.07
Igf2bp1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.01	0.01
Il11ra2	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	1.73	1.86	1.4
Inppl1	0.0	0.0	0.16	0.0	0.0	0.0	0.0	0.0	22.3	22.21	22.15
Irx2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04
Kank3	0.0	0.57	0.0	0.0	0.0	0.0	0.0	8.82	17.8	20.97	18.11
Kcnv2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.02
Kera	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
Klkb1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.04	0.04
Lamc1	1.32	2.8	0.0	0.0	0.0	0.0	0.0	1.47	13.63	13.99	15.23
Lao1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
Large	0.1	30.51	0.0	5.56	0.11	0.64	0.14	3.09	105.4	101.96	102.01
Ldlrap1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.99	4.28	3.7
Loxl3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.13	2.57	2.91
Lrrc25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.79	0.89	0.89
Mapkapk2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.43	25.16	25.56
Megf8	0.0	15.77	0.0	2.1	1.47	0.02	0.0	2.02	58.28	58.89	62.16
Mgat2	10.59	8.15	0.0	0.0	0.0	4.08	0.0	7.82	30.08	32.67	29.91
Msh4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.03	0.06
Nron	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.03	0.06
Olfr1419	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.09	0.1
Pcdh10	0.0	13.43	20.31	4.56	8.92	35.11	40.35	0.19	96.09	89.16	95.98
Pfn3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19	0.18	0.2
Phyhd1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.36	19.85	19.64	21.62
Pkhd1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.01	0.01
Pou2f1	0.0	0.0	0.0	0.0	0.22	0.0	0.0	6.4	9.06	7.29	8.6
Rbfa	9.18	0.81	0.0	0.18	0.0	0.0	0.0	0.0	40.14	46.2	43.45
Rims3	0.0	0.16	0.0	0.0	11.64	0.0	0.0	0.0	89.24	78.82	96.63
Rnaset2a	37.02	6.37	0.0	0.0	9.04	0.0	0.0	3.32	42.96	41.77	40.36
Rnf135	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.79	4.25	4.39
Slc6a5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04
Sp3	29.76	0.0	0.06	1.93	0.0	11.41	0.26	8.56	33.68	31.73	33.06
Sun3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.09	0.09
Syn1	2.17	3.32	2.87	7.87	14.07	35.59	41.73	1.65	435.88	453.27	459.24
Tas2r137	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.1	0.1
Tdg	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.07	16.73	16.91
Tmem203	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.53	25.93	28.41
Tmtc1	0.17	0.0	0.0	0.06	0.05	0.03	0.22	0.0	37.73	36.63	37.51
Tprgl	0.42	0.0	0.15	32.66	38.13	3.85	0.0	0.51	166.3	184.18	170.58
Ttc39d	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
Tyro3	3.09	24.08	0.0	11.47	0.0	0.0	0.4	0.0	147.78	147.82	151.14
Vax2os2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.07	0.07
Vmn1r45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.03	0.06
Vmn2r118	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.09
Vmn2r9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04
Zfp710	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.96	10.61	11.25
Zp3r	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
mt_AK131586	0.0	0.0	960.9	0.0	0.0	0.0	0.0	0.0	25813.35	24091.17	24561.45
mt_AK166684	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18796.57	17507.83	18655.33
