	Calb2_tdTpositive_cell_44	Calb2_tdTpositive_cell_54	Chrna2_tdTpositive_cell_1	Gad2_tdTpositive_cell_33	Gad2_tdTpositive_cell_45	Gad2_tdTpositive_cell_54	Htr3a_tdTpositive_cell_21	Htr3a_tdTpositive_cell_34	Htr3a_tdTpositive_cell_41	Htr3a_tdTpositive_cell_47	Htr3a_tdTpositive_cell_68	Htr3a_tdTpositive_cell_81	Htr3a_tdTpositive_cell_87	Htr3a_tdTpositive_cell_104	Rbp4_tdTpositive_cell_165	Vip_tdTpositive_cell_4	Vip_tdTpositive_cell_6	Vip_tdTpositive_cell_9	Vip_tdTpositive_cell_12	Vip_tdTpositive_cell_41	Vip_tdTpositive_cell_49	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1700012A16Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.82	0.0	0.68	0.0	2.52	2.37	1.8
1700081L11Rik	3.24	0.0	11.08	1.33	0.16	0.0	2.15	3.07	3.08	4.8	58.2	13.93	5.04	0.0	17.9	7.29	3.41	0.0	2.85	92.53	0.26	13.65	14.4	43.75	43.99	46.24
2210420H20Rik	0.0	0.0	2.4	0.0	0.79	1.48	2.19	0.64	0.22	0.0	1.48	0.0	0.5	0.0	1.66	0.75	2.15	0.89	1.19	5.02	0.0	0.59	1.19	2.42	1.15	2.53
2310007L24Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.44	0.0	0.0	0.0	0.13	0.12	0.4
2310047B19Rik	0.0	0.0	192.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.93	0.0	0.0	0.0	0.0	0.15	0.0	0.0	0.0	183.98	0.0	1.51	0.76	13.88	16.07	14.83
2810046L04Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.24	0.0	0.73	0.0	0.48	0.0	0.0	0.0	0.61	111.02	0.0	1.03	1.6	18.15	16.7	18.41
2810459M11Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18	0.0	1.06	0.42	9.97	9.65	10.75
4922501L14Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	51.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	129.33	0.0	1.04	0.35	9.48	7.63	7.39
4930572J05Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.54	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.68	0.0	0.94	0.95	62.99	72.32	67.03
A930041C12Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.07	0.0	0.0	1.42	0.19	0.18	0.2
