	Calb2_tdTpositive_cell_21	Calb2_tdTpositive_cell_34	Calb2_tdTpositive_cell_36	Calb2_tdTpositive_cell_37	Calb2_tdTpositive_cell_44	Calb2_tdTpositive_cell_49	Calb2_tdTpositive_cell_64	Chat_tdTpositive_cell_1	Chat_tdTpositive_cell_5	Cux2_tdTnegative_cell_1	Gad2_tdTpositive_cell_19	Gad2_tdTpositive_cell_21	Gad2_tdTpositive_cell_23	Gad2_tdTpositive_cell_29	Gad2_tdTpositive_cell_33	Gad2_tdTpositive_cell_35	Gad2_tdTpositive_cell_38	Gad2_tdTpositive_cell_45	Gad2_tdTpositive_cell_54	Htr3a_tdTpositive_cell_23	Htr3a_tdTpositive_cell_40	Htr3a_tdTpositive_cell_57	Htr3a_tdTpositive_cell_58	Htr3a_tdTpositive_cell_59	Htr3a_tdTpositive_cell_68	Htr3a_tdTpositive_cell_71	Htr3a_tdTpositive_cell_76	Htr3a_tdTpositive_cell_81	Htr3a_tdTpositive_cell_88	Htr3a_tdTpositive_cell_104	Htr3a_tdTpositive_cell_112	PvalbF.Gad2_tdTpositive_cell_31	Rbp4_tdTpositive_cell_165	Sst_tdTpositive_cell_44	Vip_tdTpositive_cell_5	Vip_tdTpositive_cell_6	Vip_tdTpositive_cell_10	Vip_tdTpositive_cell_13	Vip_tdTpositive_cell_18	Vip_tdTpositive_cell_24	Vip_tdTpositive_cell_25	Vip_tdTpositive_cell_26	Vip_tdTpositive_cell_27	Vip_tdTpositive_cell_34	Vip_tdTpositive_cell_35	Vip_tdTpositive_cell_37	Vip_tdTpositive_cell_39	Vip_tdTpositive_cell_40	Vip_tdTpositive_cell_41	Vip_tdTpositive_cell_42	Vip_tdTpositive_cell_43	Vip_tdTpositive_cell_45	Vip_tdTpositive_cell_46	Vip_tdTpositive_cell_49	Vip_tdTpositive_cell_50	Vip_tdTpositive_cell_52	Vip_tdTpositive_cell_54	Vip_tdTpositive_cell_55	Vip_tdTpositive_cell_56	Vip_tdTpositive_cell_57	Vip_tdTpositive_cell_58	Vip_tdTpositive_cell_59	Vip_tdTpositive_cell_61	Vip_tdTpositive_cell_65	Vip_tdTpositive_cell_66	Vip_tdTpositive_cell_67	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_10cell_7	Ntsr1_tdTpos_10cell_8	Ntsr1_tdTpos_10cell_9	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1110032F04Rik	0.0	0.0	0.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.91	0.0	0.16	0.0	0.0	0.0	0.0	0.0	9.24	2.61	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7	0.22	2.41	7.19	0.08	9.97	8.82	7.15	14.78	19.41	16.81
1700018G05Rik	0.0	0.0	1.43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.08	1.01	0.56
1810011O10Rik	0.0	171.16	221.7	0.0	230.42	0.0	207.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.48	2.83	1.24
2010002N04Rik	0.0	0.21	168.44	0.0	0.0	0.0	133.66	0.31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.29	0.0	1.63	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.88	4.52	0.0	10.78	16.86	10.45	4.54	6.87	7.84	7.86	7.06
2810453I06Rik	0.49	1.93	196.72	19.59	0.0	122.55	0.0	0.0	0.0	12.53	0.0	0.0	0.0	0.0	0.0	165.46	6.4	0.0	0.0	73.58	0.0	105.99	0.0	0.0	114.46	0.0	0.0	0.0	0.0	8.2	0.0	23.49	5.8	0.0	0.0	4.89	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.18	3.76	0.0	0.2	39.0	31.55	0.0	60.2	4.92	0.0	0.0	4.55	1.22	7.24	0.0	0.0	0.0	0.08	7.85	0.0	2.74	24.45	9.06	11.15	18.88	1.24	11.39	7.71	6.77	6.19	40.45	43.28	39.74
4932435O22Rik	0.0	0.0	0.73	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.26	0.11	0.12
6430598A04Rik	0.0	0.0	27.95	0.0	0.0	0.14	0.0	17.96	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.69	0.0	0.0	15.07	0.0	0.0	0.0	0.41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.52	0.47	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.54	0.0	0.0	1.98	0.0	0.0	0.0	9.77	27.82	0.0	0.0	0.0	5.35	0.0	0.0	0.0	0.0	30.26	0.0	3.24	0.98	1.17	1.82	0.11	0.59	0.1	0.39	54.53	60.75	57.14
A330048O09Rik	0.0	0.0	0.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.76	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.53	0.0	0.0	0.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.86	3.35	2.87
Actn1	1.95	0.0	22.03	31.56	1.64	3.51	0.34	0.16	18.85	16.3	0.0	0.0	27.8	56.07	0.0	13.9	25.37	8.76	18.22	9.88	9.67	9.72	0.0	11.32	21.97	0.0	0.0	13.72	35.33	0.0	9.87	12.68	35.64	18.58	0.0	0.0	0.0	0.0	6.89	0.0	0.0	0.0	0.0	15.88	6.3	0.0	5.88	29.24	18.2	7.71	16.7	8.91	16.56	0.0	0.13	2.79	78.04	0.0	55.87	0.0	26.1	19.71	0.0	0.0	18.21	0.0	45.87	45.92	31.97	43.18	66.19	38.87	41.49	36.84	72.48	66.41	70.2
Adrb1	0.0	0.0	37.53	0.0	0.0	0.0	0.0	9.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.63	0.0	0.0	0.0	0.0	0.0	0.0	3.0	9.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.24	15.36	0.19	0.0	7.11	0.0	0.21	0.0	0.0	0.0	0.31	0.0	9.25	0.21	1.57	9.93	3.22	2.48	4.21	2.64	1.38	3.77	30.68	33.63	27.06
