	Calb2_tdTpositive_cell_11	Chrna2_tdTpositive_cell_5	Ctgf_tdTpositive_cell_9	Cux2_tdTnegative_cell_2	Cux2_tdTnegative_cell_6	Ndnf_tdTnegative_cell_7	Nkx2.1_tdTpositive_cell_1	Nkx2.1_tdTpositive_cell_23	Nos1_tdTpositive_cell_66	Nos1_tdTpositive_cell_73	Nr5a1_tdTpositive_cell_51	Ntsr1_tdTnegative_cell_30	Ntsr1_tdTnegative_cell_56	Pvalb_tdTpositive_cell_10	PvalbD.Slc32a1_tdTpositive_cell_10	PvalbD.Slc32a1_tdTpositive_cell_24	PvalbD.Slc32a1_tdTpositive_cell_25	PvalbF.Gad2_tdTpositive_cell_29	PvalbF.Gad2_tdTpositive_cell_33	PvalbF.Gad2_tdTpositive_cell_36	PvalbF.Gad2_tdTpositive_cell_88	PvalbF.Gad2_tdTpositive_cell_90	PvalbF.Gad2_tdTpositive_cell_92	Rbp4_tdTpositive_cell_174
1810024B03Rik	0.82	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.0	0.0	1.31	0.0	0.0	0.0	0.0	0.33	0.55	0.0	0.69	0.0
2700060E02Rik	265.93	49.66	0.0	0.0	0.0	0.0	0.0	55.48	0.0	66.27	0.0	0.0	0.0	173.47	189.23	135.98	48.72	19.91	63.94	26.55	1.23	2.6	54.03	0.0
Adm	81.94	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	71.25	0.0	0.0	0.0	0.0	98.23	215.9	0.0	0.89	0.0
Aldoart1	1.86	0.0	0.0	0.0	0.0	0.0	0.21	0.0	0.08	0.24	0.11	0.0	1.04	0.75	1.62	0.18	0.35	0.0	0.0	0.22	0.0	0.13	0.0	0.0
Atp1b3	84.71	13.98	0.0	0.0	0.0	0.0	0.0	6.68	1.83	20.72	1.54	0.0	366.09	2.09	36.87	0.24	108.43	44.45	39.11	35.79	118.73	0.0	6.79	0.0
Atpaf1	84.34	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.19	0.0	0.0	9.47	86.47	0.0	2.89	0.0	0.0	31.82	95.58	0.0	0.0	0.0
Aurkaip1	419.73	97.21	0.0	0.0	0.0	0.0	267.65	60.7	0.0	22.69	0.0	0.0	84.02	159.86	440.55	167.44	331.89	151.85	123.82	103.93	269.61	335.23	201.94	0.0
Cacna1d	11.25	0.0	0.0	0.0	0.0	0.0	0.05	1.9	0.74	13.04	5.56	0.0	0.0	2.06	0.18	1.56	13.73	1.62	2.2	0.88	0.87	13.12	19.08	0.0
Cacng2	30.62	1.86	0.37	0.0	0.0	0.0	0.0	3.99	0.05	2.22	0.07	0.0	0.0	11.79	32.83	4.73	6.96	5.65	4.39	8.53	12.05	6.85	5.92	0.0
Cartpt	429.4	342.26	0.0	0.0	0.0	0.0	37.96	0.0	0.0	0.0	0.0	0.0	0.0	307.06	563.57	250.13	557.72	67.12	13.32	41.31	72.88	20.69	0.0	0.0
Cep70	41.87	0.0	0.0	0.0	0.0	0.0	0.0	9.39	0.0	20.52	7.42	0.0	0.82	38.21	38.39	22.65	50.25	2.04	0.27	14.34	42.86	1.2	5.51	17.12
Fgf10	13.27	0.0	0.0	0.24	0.0	0.34	0.31	1.59	0.26	1.61	0.89	1.64	2.0	2.03	35.11	0.42	0.48	1.25	12.19	16.07	0.47	0.21	0.91	5.21
H2afv	84.71	0.0	0.0	0.0	13.72	0.34	0.0	0.0	0.0	4.68	0.8	0.49	0.0	0.0	5.41	0.64	1.76	0.89	5.27	1.02	0.86	0.16	14.77	0.42
Iars2	18.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.24	0.49	0.25	0.0	5.32	30.13	18.04	4.05	0.4	40.38	2.54	0.39	0.29	5.74	0.0
Ndufa1	996.34	627.53	1.17	0.0	0.0	0.0	442.74	976.6	429.48	530.57	479.05	2.0	11.83	1157.42	1320.28	1120.99	1477.64	694.14	1447.55	943.91	1252.56	1869.59	1359.38	745.17
Nrip3	195.03	0.0	0.0	0.11	0.0	0.0	0.21	0.44	0.08	2.28	48.62	0.0	0.27	41.93	57.69	320.96	176.05	49.03	143.69	70.64	0.85	0.13	60.86	0.3
Nup85	68.16	0.0	0.73	0.0	0.0	0.0	0.0	0.0	0.07	0.23	0.1	0.0	0.49	22.57	82.08	0.0	73.76	35.52	8.05	0.0	0.95	0.12	80.75	0.0
Pdlim7	81.46	0.89	10.83	0.0	0.0	0.0	0.16	0.0	0.0	85.96	22.31	0.0	6.07	125.2	164.24	27.74	65.6	4.21	0.0	63.31	6.13	0.1	25.81	1.38
Phlpp2	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.8	31.01	0.0	0.4	0.0	19.63	0.04	0.04	8.63	0.36	0.41	0.14	0.0	0.05	0.0
Polr2j	395.14	0.0	0.0	0.0	0.0	0.0	0.0	188.52	0.0	253.8	76.64	0.0	1.95	315.49	254.64	107.4	309.72	117.14	84.85	324.18	303.79	106.93	147.36	2.21
Ppa1	509.01	204.51	0.0	0.0	0.0	0.0	94.67	71.69	0.25	630.86	110.45	0.0	3.33	162.08	422.41	261.22	350.68	248.93	199.79	226.78	190.02	366.69	307.38	0.0
Prkag2	56.72	0.0	0.0	0.0	0.41	0.0	0.0	0.0	0.0	15.38	1.34	0.0	0.0	16.82	64.43	35.46	5.49	13.13	0.95	28.67	1.42	0.34	32.93	1.06
Slk	21.6	0.0	0.0	0.0	0.0	0.0	0.06	0.41	0.0	1.35	2.0	0.0	0.15	11.85	12.67	4.64	15.86	0.2	0.15	5.08	0.03	47.78	0.05	0.0
Smek2	53.65	0.6	0.0	0.0	0.0	0.0	6.57	2.12	0.0	4.69	0.0	0.0	185.34	14.82	12.82	5.72	21.94	59.8	0.14	10.57	48.14	10.47	3.05	0.0
Tiam1	24.81	0.0	0.0	0.0	0.0	0.0	0.29	0.41	0.0	2.46	0.15	0.0	0.5	35.62	23.7	13.63	24.41	3.39	1.52	12.9	23.52	0.0	0.28	0.0
Tmem181a	24.0	0.0	0.0	0.0	0.0	0.0	0.0	7.63	0.0	34.45	2.14	0.0	1.19	5.04	65.17	24.6	10.86	2.06	13.15	8.12	46.43	1.66	3.27	0.0
Zfp182	15.21	0.0	0.11	0.0	0.0	0.0	0.0	0.1	0.0	0.25	0.18	0.0	0.0	1.13	1.13	0.0	0.63	15.77	2.43	2.26	1.14	0.04	82.46	0.0
mt_AK131579	19806.24	16160.59	26165.75	25104.67	55662.18	32274.66	22224.57	73067.83	55281.42	56311.06	94403.3	41195.59	50469.69	18573.01	20231.07	18902.79	16518.45	60705.47	56120.42	46620.23	59803.41	51796.42	44271.34	50260.41
