	Calb2_tdTpositive_cell_53	Calb2_tdTpositive_cell_58	Cux2_tdTpositive_cell_6	Cux2_tdTnegative_cell_2	Cux2_tdTnegative_cell_4	Cux2_tdTnegative_cell_5	Cux2_tdTnegative_cell_6	Cux2_tdTnegative_cell_11	Cux2_tdTnegative_cell_15	Ndnf_tdTnegative_cell_4	Ndnf_tdTnegative_cell_5	Ndnf_tdTnegative_cell_7	Nkx2.1_tdTpositive_cell_22	Nr5a1_tdTpositive_cell_50	Ntsr1_tdTnegative_cell_17	Ntsr1_tdTnegative_cell_20	Ntsr1_tdTnegative_cell_28	Ntsr1_tdTnegative_cell_44	Ntsr1_tdTnegative_cell_45	PvalbF.Gad2_tdTpositive_cell_24	Rbp4_tdTpositive_cell_89	Rbp4_tdTpositive_cell_175	Rbp4_tdTnegative_cell_2	Rbp4_tdTnegative_cell_3	Rbp4_tdTnegative_cell_4	Rbp4_tdTnegative_cell_12	Rbp4_tdTnegative_cell_14	Rbp4_tdTnegative_cell_16	Rbp4_tdTnegative_cell_19	Rbp4_tdTnegative_cell_21	Rbp4_tdTnegative_cell_23	Rorb_tdTpositive_cell_39	Rorb_tdTpositive_cell_47	Scnn1a.Tg2_tdTnegative_cell_5	Scnn1a.Tg2_tdTnegative_cell_6	Scnn1a.Tg2_tdTnegative_cell_19	Scnn1a.Tg3_tdTpositive_cell_105	Scnn1a.Tg3_tdTnegative_cell_2	Scnn1a.Tg3_tdTnegative_cell_4	Scnn1a.Tg3_tdTnegative_cell_8	Scnn1a.Tg3_tdTnegative_cell_12	Scnn1a.Tg3_tdTnegative_cell_16	Scnn1a.Tg3_tdTnegative_cell_21	Scnn1a.Tg3_tdTnegative_cell_24
1810024B03Rik	0.27	0.0	0.24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.61	1.36	0.0	0.0	2.82	0.0	0.0	1.1	3.3	0.13	0.0	0.0	0.48	0.6	0.0	0.0	0.0	0.82	0.13	0.66	0.0	0.0	0.56	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2310016M24Rik	375.48	321.87	512.59	0.0	0.0	323.87	2.71	275.05	401.32	425.85	556.52	523.59	307.72	131.56	413.29	622.73	0.0	0.0	633.73	512.3	166.31	414.84	1360.59	0.0	0.0	398.97	0.94	0.0	539.78	0.27	0.0	293.16	421.82	718.91	184.78	0.0	285.93	0.0	0.0	0.0	486.91	0.0	505.88	0.0
2610037D02Rik	1.78	1.19	5.06	6.05	0.0	0.57	2.32	0.67	0.65	5.91	3.41	9.89	1.05	4.6	8.04	2.11	1.85	0.0	5.8	0.0	0.11	22.28	18.91	1.23	0.37	0.05	3.58	4.76	4.06	1.82	3.98	3.93	4.93	12.35	2.02	4.17	4.09	0.43	0.42	0.83	2.6	0.62	2.32	2.43
4930405P13Rik	26.95	68.87	48.27	83.34	7.03	47.18	69.43	16.96	125.18	138.53	152.57	303.9	60.49	118.24	109.59	183.15	48.08	44.53	232.15	31.61	4.64	609.92	167.06	245.33	115.05	61.75	162.26	166.22	49.16	23.1	320.6	62.94	157.66	168.42	89.18	89.54	126.98	57.14	17.72	69.79	40.16	19.58	74.4	106.45
A630089N07Rik	292.36	387.72	765.71	706.09	0.0	273.38	288.54	137.14	359.16	638.15	627.95	1257.7	401.4	1040.6	734.53	1691.85	265.11	371.56	1116.5	138.19	64.89	5145.26	1118.5	401.48	416.0	77.28	826.08	334.96	678.97	284.19	787.8	445.86	672.6	892.65	665.55	530.52	1362.15	171.31	271.71	283.71	704.14	485.5	159.66	358.56
Amy2a2	0.05	0.0	0.29	0.0	0.0	0.27	0.0	0.15	1.44	0.14	1.06	0.21	0.0	1.03	0.29	1.53	2.12	0.31	0.11	0.03	0.0	1.87	0.26	0.05	0.02	0.1	1.29	1.8	0.0	0.2	0.71	0.03	0.25	2.36	0.0	0.04	1.3	0.0	0.0	0.16	0.07	0.0	0.63	0.0
Amy2a3	0.05	0.0	0.29	0.0	0.0	0.27	0.0	0.15	1.44	0.14	1.06	0.21	0.0	1.03	0.29	1.53	2.12	0.31	0.11	0.03	0.0	1.87	0.26	0.05	0.02	0.1	1.29	1.8	0.0	0.2	0.71	0.03	0.25	2.36	0.0	0.04	1.3	0.0	0.0	0.16	0.07	0.0	0.63	0.0
Amy2a4	0.05	0.0	0.29	0.0	0.0	0.27	0.0	0.15	1.44	0.14	1.06	0.21	0.0	1.03	0.29	1.53	2.12	0.31	0.11	0.03	0.0	1.87	0.26	0.05	0.02	0.1	1.29	1.8	0.0	0.2	0.71	0.03	0.25	2.36	0.0	0.04	1.3	0.0	0.0	0.16	0.07	0.0	0.63	0.0
Arid1a	0.0	57.31	68.59	0.0	0.0	36.88	14.22	0.0	17.48	131.48	33.26	133.57	0.0	57.95	0.0	0.46	0.08	0.0	141.23	15.85	1.89	67.46	346.9	96.79	0.05	0.0	165.49	188.16	19.5	0.02	0.0	0.13	1.2	357.8	73.84	1.23	0.04	0.0	36.26	6.3	261.22	0.0	0.0	0.0
Colec12	15.17	38.79	39.72	45.96	3.67	17.35	11.62	13.97	56.52	87.79	34.25	44.4	20.91	54.95	44.28	113.29	8.79	19.05	54.64	11.7	0.9	236.02	35.64	15.44	32.29	8.68	72.33	41.34	34.16	18.79	70.08	42.2	85.71	58.47	28.34	32.63	53.41	23.2	3.81	53.89	39.05	15.21	42.9	16.56
Cst3	14866.41	28136.64	325.94	23155.8	11923.09	66199.78	54799.87	8430.15	61505.62	28585.73	25453.49	18275.3	478.69	440.57	22142.28	3717.54	64380.72	2.17	22149.39	809.7	972.16	0.0	59768.12	79037.77	54056.74	9.88	67515.86	70378.51	61656.06	72390.07	61052.51	33256.36	8480.73	28488.27	22333.95	24558.57	968.87	80478.24	68326.69	95318.24	42183.43	75159.39	84616.84	72517.08
Cytip	0.08	0.0	0.14	0.12	0.0	0.36	0.18	0.0	0.0	0.51	0.06	0.29	0.0	0.58	0.12	1.21	0.0	0.11	0.91	0.25	0.0	1.14	1.88	0.82	0.17	0.0	0.7	0.08	0.65	0.04	0.0	0.03	0.0	0.79	0.0	0.15	0.43	0.1	0.0	0.0	0.36	0.54	0.21	0.0
Gm16796	0.44	0.0	0.86	0.35	0.1	0.15	0.14	0.0	1.2	0.54	0.67	0.42	0.35	0.9	2.01	1.42	0.03	0.86	3.51	0.0	0.0	5.34	2.92	1.71	0.59	0.2	11.53	1.54	0.45	0.6	3.75	1.34	2.2	1.06	0.45	1.5	2.08	0.0	0.22	0.29	2.91	0.44	0.57	0.0
Gm17821	124.07	281.36	404.43	242.28	0.1	182.26	118.44	73.03	143.33	350.81	290.99	465.66	259.96	610.86	393.71	675.25	110.94	154.07	404.4	65.24	14.67	2668.83	340.85	408.73	166.66	50.47	311.91	194.75	333.46	153.85	518.02	253.44	418.17	458.2	384.28	308.0	612.7	149.06	137.54	135.95	270.85	214.21	162.4	183.94
Gm8234	43.44	2.6	51.71	3.72	19.77	7.27	16.94	0.0	49.75	80.89	12.16	23.77	12.42	41.56	26.75	45.67	31.45	2.68	102.52	11.39	10.35	253.22	99.13	25.18	10.84	14.45	67.88	33.22	9.08	15.72	10.05	63.95	56.24	74.35	35.21	21.34	40.37	0.54	8.22	19.19	14.41	13.95	45.35	5.29
Gm8883	0.0	0.0	3.77	0.0	0.0	0.7	1.57	0.0	0.74	1.04	1.44	2.29	0.0	2.3	1.19	4.22	1.03	0.0	8.01	0.0	0.0	16.89	8.34	3.11	0.0	0.0	0.0	2.46	2.03	1.1	0.21	0.32	2.32	0.59	0.0	2.52	4.14	0.0	0.0	1.55	0.0	0.0	3.46	0.0
Grk4	200.71	239.59	611.67	693.14	0.0	238.82	109.57	220.53	250.22	425.11	525.07	651.94	473.41	1027.01	598.06	1015.81	229.08	266.66	925.54	108.89	16.44	4387.41	673.65	640.66	209.48	89.12	325.17	296.05	653.57	211.95	690.91	415.6	757.57	1077.59	631.83	497.98	972.74	214.73	196.27	136.23	379.64	378.47	154.08	111.74
Hnrnpa2b1	218.68	9.28	843.58	301.57	0.0	13.58	86.16	586.14	549.58	602.49	949.0	775.87	63.62	425.49	407.62	1077.12	550.82	0.47	1041.6	88.66	435.35	181.5	2322.39	1.19	714.81	418.31	521.67	406.51	147.02	838.95	562.95	431.86	1302.24	406.53	360.15	337.39	366.32	73.32	1541.87	803.41	493.99	73.43	921.87	116.94
Nemf	0.0	0.0	72.17	0.0	0.0	0.0	0.0	260.38	0.0	24.09	0.0	0.99	92.97	15.7	0.0	0.34	0.0	0.0	411.07	138.11	0.0	387.2	573.63	0.09	181.93	0.0	0.34	0.0	0.18	0.0	14.25	19.14	404.99	33.12	0.0	0.11	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Parp4	0.0	0.33	0.38	0.0	0.0	0.0	0.07	0.0	0.19	0.63	4.89	0.19	0.0	0.45	0.38	0.99	0.03	0.11	131.66	0.0	0.0	1.63	45.11	0.84	0.42	0.0	0.42	2.79	0.21	0.03	0.53	0.05	19.19	0.29	0.23	14.26	0.45	0.0	0.0	0.0	0.11	0.0	0.0	0.2
Scd3	2.03	5.5	7.19	6.16	0.61	11.35	2.96	5.73	9.63	17.48	9.4	22.69	4.8	8.04	7.25	11.55	8.9	1.67	11.22	2.68	0.0	46.22	30.3	19.3	4.12	0.67	11.07	7.31	14.6	10.4	12.04	7.76	9.34	13.96	6.34	7.27	20.01	4.22	3.13	4.06	4.41	2.85	12.03	4.34
Sh2d2a	0.77	0.0	1.87	0.17	0.0	0.0	0.33	0.0	0.16	0.18	1.55	0.65	0.66	2.76	0.97	1.14	0.0	0.18	2.37	0.14	0.0	15.96	1.75	1.66	0.15	0.05	0.89	1.4	0.69	0.79	0.91	0.18	0.82	3.35	0.23	0.36	1.24	0.0	0.28	0.68	1.11	0.0	0.0	0.5
Tmem20	0.0	4.28	0.96	4.03	0.0	5.04	5.29	0.65	5.31	0.0	1.61	4.32	1.25	5.29	1.13	6.54	5.77	0.3	12.32	0.1	0.1	2.89	13.5	2.89	3.37	1.62	3.12	2.18	0.34	5.11	1.05	3.6	0.57	2.01	5.69	1.01	3.63	3.15	0.08	0.65	7.8	0.22	0.49	1.28
Trim56	0.0	0.0	1.39	1.1	0.0	0.63	0.0	0.0	0.0	3.38	0.0	0.0	0.0	1.8	0.0	0.0	0.0	0.0	10.96	0.0	0.0	2.38	9.31	0.0	0.0	0.0	1.88	2.69	4.09	2.27	0.68	1.74	0.0	0.0	0.24	0.1	6.28	0.0	0.42	0.28	3.44	0.0	0.0	0.0
Xcr1	3.77	1.74	3.48	2.93	0.0	3.61	3.9	1.1	6.05	3.62	4.83	4.45	2.46	5.14	5.91	7.53	5.73	2.32	4.38	0.87	0.2	23.55	5.31	7.6	3.24	1.58	11.23	8.59	3.84	2.39	5.28	3.76	5.83	7.41	5.49	1.67	6.99	2.12	2.81	2.95	4.28	1.06	4.23	1.88
