	Calb2_tdTpositive_cell_7	Ctgf_tdTpositive_cell_3	Ctgf_tdTpositive_cell_6	Ctgf_tdTpositive_cell_7	Ctgf_tdTpositive_cell_8	Cux2_tdTpositive_cell_5	Cux2_tdTpositive_cell_6	Cux2_tdTnegative_cell_4	Ndnf_tdTpositive_cell_10	Ndnf_tdTpositive_cell_20	Nr5a1_tdTpositive_cell_35	Ntsr1_tdTnegative_cell_28	Rbp4_tdTpositive_cell_70	Rbp4_tdTpositive_cell_74	Rbp4_tdTpositive_cell_95	Rbp4_tdTpositive_cell_133	Rbp4_tdTpositive_cell_134	Rbp4_tdTpositive_cell_141	Rbp4_tdTpositive_cell_175	Rbp4_tdTpositive_cell_176	Rbp4_tdTpositive_cell_177	Rbp4_tdTpositive_cell_185	Rbp4_tdTnegative_cell_6	Rbp4_tdTnegative_cell_8	Rbp4_tdTnegative_cell_9	Rbp4_tdTnegative_cell_13	Rbp4_tdTnegative_cell_22	Rbp4_tdTnegative_cell_23	Rorb_tdTpositive_cell_14	Rorb_tdTpositive_cell_19	Vip_tdTpositive_cell_6	Rbp4_CTX_250ng_1	Trib2_CTX_250ng_1
0610040B10Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.86	0.0	0.94	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	149.07	0.0	0.0	6.04	3.24
1700013G23Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41.72	0.0	0.0	2.37	0.61
1700048O20Rik	3.89	0.41	0.0	0.0	0.65	2.47	2.85	0.0	2.24	0.0	7.75	1.0	19.87	2.12	3.43	5.41	2.45	7.73	40.14	11.73	7.1	29.32	18.73	4.28	9.56	0.0	4.68	5.18	152.07	5.73	13.51	15.53	12.22
1810043G02Rik	0.11	0.0	0.0	0.0	0.0	53.12	0.0	0.0	0.0	0.0	0.77	0.0	54.36	27.26	82.22	19.75	0.0	0.0	0.0	5.81	0.0	15.76	0.0	83.47	0.0	0.0	0.0	0.0	147.87	0.0	0.0	32.91	32.05
2310003L22Rik	61.77	0.0	0.0	0.0	0.0	96.26	57.67	0.0	0.0	0.0	0.47	0.0	19.78	0.0	51.02	29.97	47.87	66.84	0.0	0.29	55.09	24.52	0.0	0.0	0.0	0.0	0.0	0.0	188.58	62.3	0.0	20.66	20.02
2500004C02Rik	39.68	54.81	6.44	29.72	10.89	8.54	198.44	6.25	2.22	0.0	218.84	21.36	8.64	15.42	6.89	12.59	17.73	12.08	114.84	117.62	20.6	30.35	103.43	14.46	26.24	6.16	5.62	8.28	240.68	11.25	12.33	8.75	8.53
4930469G21Rik	0.61	0.0	0.0	0.0	0.0	34.08	0.0	0.0	0.0	0.0	0.0	0.0	0.37	0.0	1.89	0.0	4.16	0.0	0.0	0.0	2.28	27.68	0.0	31.16	0.0	0.0	0.0	0.0	66.95	0.0	0.0	1.49	1.97
5330434G04Rik	26.38	0.0	0.0	0.0	0.0	11.06	8.71	0.0	0.0	0.0	141.36	0.0	45.85	35.6	26.97	0.45	0.37	0.0	265.0	0.49	71.21	9.27	0.21	87.73	0.85	295.9	0.0	0.0	192.3	7.53	0.0	3.57	3.68
5430427M07Rik	0.0	0.0	16.13	0.0	0.0	0.0	1.53	0.0	0.0	0.0	0.0	0.0	0.44	0.0	0.55	2.0	1.72	0.53	19.09	3.07	2.28	1.42	0.0	0.34	1.76	0.0	0.0	1.65	3.06	0.96	0.0	0.58	0.6
A730090N16Rik	0.0	0.0	0.0	0.0	0.0	0.0	12.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.42	0.0	35.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	104.75	0.0	58.33	0.43	0.3
AA543186	1.5	0.0	0.0	0.0	0.0	0.86	0.79	0.0	0.0	0.0	0.0	0.0	0.98	0.79	0.82	0.45	0.24	0.14	8.26	0.97	0.82	0.94	3.2	0.75	7.38	0.0	0.38	1.5	4.89	0.1	0.0	0.47	0.67
AI427809	0.0	0.0	0.16	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.17	0.0	0.21	0.0	0.77	0.0	0.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.36	0.06
Abt1	8.03	0.0	0.25	0.45	10.09	7.26	29.06	0.0	1.05	235.67	2.32	0.46	28.95	22.85	27.19	9.76	34.96	19.91	127.84	14.61	11.03	15.65	1.72	25.26	20.23	287.56	30.31	15.54	112.12	30.89	90.84	22.11	22.73
Adi1	0.26	0.16	0.0	0.0	3.54	0.14	32.71	0.0	0.0	0.0	23.45	0.0	23.48	12.85	4.29	4.1	6.44	0.77	63.01	1.97	4.3	1.01	37.51	34.47	0.47	896.02	0.0	0.0	281.31	2.46	0.0	41.45	38.67
Agl	2.64	4.97	1.92	21.56	5.61	2.01	4.74	1.67	10.18	0.79	3.64	5.35	4.54	3.84	2.27	9.97	3.74	2.53	21.65	3.37	3.22	2.45	19.8	2.51	5.6	3.05	8.08	3.95	135.4	13.78	4.44	14.67	15.18
Agtrap	0.18	0.23	374.41	0.16	0.0	0.11	0.32	0.0	0.17	0.0	0.32	0.28	0.17	0.0	0.09	0.41	0.0	0.06	2.44	0.7	0.0	0.38	0.0	0.35	1.17	0.0	0.5	0.41	1.12	0.3	0.29	5.28	6.62
Alg5	0.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	245.8	0.0	0.23	0.0	0.0	69.22	0.0	0.0	0.0	0.0	0.0	0.23	0.0	0.0	0.53	0.0	0.0	0.0	238.97	102.6	0.0	20.97	21.16
Alox12	0.11	0.0	0.0	0.0	0.13	0.23	0.46	0.0	0.63	0.0	0.43	0.73	0.24	0.0	0.23	0.0	0.17	0.0	0.0	0.0	0.23	0.78	0.53	0.0	1.28	0.0	0.47	0.32	1.68	0.08	0.0	0.71	0.96
Ankrd17	0.04	5.5	0.0	0.0	1.03	1.03	68.54	0.0	0.03	0.0	2.21	0.0	29.84	26.96	6.01	1.08	2.51	5.12	26.39	9.87	4.27	27.39	52.13	55.16	4.01	0.0	0.0	0.0	114.27	17.1	76.32	46.12	48.11
Arfgap1	0.08	0.0	0.0	0.0	0.0	63.95	27.02	0.0	0.0	0.0	0.54	0.0	4.38	34.96	0.0	0.66	49.41	0.0	19.75	69.2	2.09	21.39	118.5	37.03	0.0	1.19	0.0	0.0	399.46	11.61	0.0	88.85	100.44
Bloc1s3	2.82	0.97	0.82	1.96	2.52	3.18	6.2	0.23	5.63	0.0	5.32	13.43	8.17	3.88	3.63	10.92	7.45	4.29	100.56	15.96	9.2	6.35	73.75	8.48	9.74	5.23	9.55	14.68	22.93	7.39	6.28	16.15	15.16
C330024D21Rik	69.75	2.69	0.49	25.0	1.54	15.2	48.98	0.12	11.76	2.72	21.93	50.58	38.31	31.01	35.94	44.02	42.95	31.09	322.05	49.91	74.91	17.52	78.66	29.07	85.56	12.38	19.63	48.96	122.19	22.56	68.79	7.14	8.65
Cacng2	0.0	0.0	0.0	0.0	0.0	2.13	12.01	0.0	0.0	0.0	19.27	0.0	3.27	0.0	0.0	2.79	0.07	2.36	0.0	0.0	0.0	1.83	0.0	2.29	0.0	0.0	0.0	0.0	33.42	13.27	0.0	32.73	35.08
Ccdc117	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	3.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	71.9	0.0	0.0	16.29	12.6
Ccdc126	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.57	0.9	0.0	13.32	0.0	0.17	0.0	0.0	0.0	0.0	36.76	1.5	63.62	0.0	0.0	0.0	0.0	0.0	94.34	0.0	0.0	12.59	11.02
Ccl21a	39.4	0.0	0.0	0.0	0.0	0.0	0.58	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.67	0.0	0.0	0.0	6.84	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.72	0.0	0.0	0.0	0.29
Ceacam12	0.0	0.0	0.0	0.27	0.0	0.0	0.11	0.0	0.0	0.0	0.0	0.0	2.05	0.32	0.0	4.26	0.0	0.0	2.56	0.0	0.0	0.0	1.97	0.0	0.0	0.0	0.0	0.0	1.08	0.0	0.0	0.26	0.34
Clec16a	2.61	0.0	0.0	0.0	0.0	0.04	45.78	0.0	0.0	0.0	0.21	0.11	28.52	13.42	0.0	10.22	4.63	18.6	3.29	0.0	0.0	0.16	0.23	29.87	0.0	0.0	338.27	0.0	87.04	2.24	0.0	41.91	43.19
Clip3	18.89	0.0	0.0	0.0	0.0	119.09	532.87	0.0	0.0	0.0	138.86	0.0	79.11	125.2	125.11	63.71	54.43	110.79	303.49	40.16	26.93	116.47	0.44	288.68	10.5	62.85	0.0	0.0	274.03	119.98	16.69	325.47	328.71
Clock	6.73	0.0	0.0	0.0	0.0	31.14	9.73	0.0	0.0	0.0	0.17	0.0	0.72	10.31	3.06	4.78	3.07	1.65	165.01	37.67	5.61	2.5	10.3	3.68	0.0	7.7	0.0	0.0	169.83	69.09	0.0	32.21	32.42
Csad	0.0	0.0	0.0	0.0	0.0	0.1	0.13	12.63	0.0	0.0	14.36	0.0	2.69	0.21	0.0	0.0	9.6	0.0	27.0	0.0	13.56	14.1	0.0	0.0	0.0	0.0	0.0	0.86	162.43	8.02	0.0	19.22	18.4
Dcaf12l1	42.48	0.0	0.0	0.0	0.0	19.72	27.4	0.0	0.0	0.0	0.0	0.0	2.31	0.0	28.11	36.63	21.68	32.81	1.61	2.54	0.0	9.11	0.0	49.43	157.92	0.0	0.0	0.0	135.16	60.38	0.0	43.02	40.16
Depdc5	1.25	0.57	28.6	1.14	1.79	1.01	16.17	0.1	0.28	0.0	0.73	0.67	0.86	1.72	5.8	11.19	1.45	14.47	8.33	2.72	1.16	19.43	11.81	17.23	0.36	0.0	1.86	1.93	51.63	42.5	0.81	22.42	23.48
Dlg2	16.95	0.0	0.0	0.0	0.0	10.83	62.73	0.0	0.0	0.0	1.55	0.0	38.34	31.44	35.87	10.73	15.57	17.44	284.37	49.8	29.8	42.1	71.67	6.87	79.0	0.0	0.08	0.0	78.9	49.85	1.36	164.86	164.22
Dmxl2	38.57	0.04	0.0	0.0	0.0	2.68	113.17	0.0	0.0	0.0	2.52	0.0	57.85	3.41	21.58	33.19	36.03	40.8	123.2	28.14	25.99	7.94	5.29	57.89	0.0	0.0	0.0	0.0	114.16	17.04	0.17	84.29	80.67
Dnajc8	119.12	0.0	339.88	26.95	295.04	161.0	87.83	0.0	0.0	0.0	956.54	232.39	143.97	520.91	165.52	627.3	229.2	32.6	2.77	564.91	127.21	199.7	1.07	123.65	0.57	0.0	0.0	0.0	833.85	445.86	74.06	126.94	123.98
Dock3	13.15	0.0	0.0	0.0	0.0	56.7	92.7	0.0	0.0	0.0	32.54	0.0	76.73	40.09	23.27	8.7	30.05	23.67	156.56	15.52	7.81	10.97	14.06	146.12	23.09	0.0	0.0	0.0	149.24	14.65	0.0	112.39	116.14
Dpp4	0.05	0.0	0.0	0.0	0.0	0.11	0.0	0.0	0.0	31.05	0.24	0.0	0.0	0.0	0.0	4.73	1.75	0.04	0.36	0.0	0.0	0.09	0.0	0.39	0.23	0.0	0.0	0.0	106.23	27.9	0.0	2.9	3.01
Dstyk	0.2	0.0	0.0	0.0	0.0	19.48	44.48	0.0	0.0	0.0	1.0	102.01	0.0	11.29	17.65	0.18	1.64	0.44	4.39	4.02	13.91	1.26	0.79	3.6	0.0	1.99	0.0	0.0	114.14	1.21	0.0	31.47	31.81
Dtx1	0.0	0.0	0.0	0.0	0.0	7.16	0.08	0.0	0.0	0.0	0.0	0.0	0.09	5.83	0.0	0.42	0.0	0.0	0.0	41.25	0.0	0.0	0.2	8.31	0.0	0.0	0.0	0.0	53.33	0.0	0.0	47.71	48.35
Ermn	1.52	1.48	0.28	0.0	0.09	0.87	3.54	0.0	0.0	0.0	1.08	0.0	0.53	1.79	0.49	2.12	1.3	0.89	11.08	4.21	2.87	0.72	5.4	2.56	5.76	2.64	0.17	3.73	8.8	1.44	0.22	31.76	31.52
Gm11127	8.48	0.0	0.0	0.62	0.0	102.02	72.17	0.0	1.73	0.0	161.44	0.0	34.5	37.67	14.59	50.35	45.13	6.72	220.35	80.48	19.38	9.72	0.0	9.46	79.02	32.09	0.0	44.52	203.37	29.77	46.46	12.58	18.34
Gm11128	10.38	3.17	2.72	3.68	6.15	8.04	12.83	0.0	2.22	0.0	4.86	7.57	6.95	12.32	11.32	8.67	12.92	5.33	77.53	14.31	17.53	8.53	8.85	16.27	16.25	12.19	31.79	21.28	15.06	10.56	11.24	4.32	3.41
Gm16796	0.56	0.0	0.0	0.12	0.0	0.69	0.86	0.1	0.35	0.0	0.0	0.03	0.36	0.28	0.33	1.34	0.34	1.04	5.34	0.5	0.41	0.45	3.64	0.95	7.25	1.57	5.88	3.75	2.01	1.01	0.19	1.12	1.28
Gm19757	24.84	30.64	8.86	26.38	0.14	52.44	79.16	4.8	9.12	2.54	31.26	62.33	36.49	31.29	33.61	32.33	45.35	9.54	175.16	46.64	45.12	19.16	32.31	70.32	79.54	30.53	45.99	97.34	65.12	16.63	86.29	30.84	28.46
Gm20063	0.0	0.0	0.0	0.0	0.0	76.75	0.12	0.0	0.0	0.0	1.23	0.0	0.0	0.0	0.0	138.88	42.57	0.0	0.62	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.7	0.0	334.08	73.79	0.0	7.4	9.55
Gm4262	5.95	2.28	0.3	2.95	0.22	28.74	44.45	0.0	1.68	0.0	25.03	4.75	18.24	17.15	10.76	20.31	39.9	3.52	79.86	24.79	13.18	8.0	0.52	8.12	128.39	30.04	12.31	130.59	72.44	14.03	36.07	7.62	8.46
Gm4890	0.0	0.0	0.0	0.46	0.0	0.0	0.12	0.13	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.16	0.0	3.03	0.31	0.27	0.13	0.0	0.15	0.31	0.0	0.46	0.2	0.8	0.0	0.0	0.64	0.49
H2-Eb1	0.58	0.0	0.0	0.0	0.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.41	0.0	0.0	0.0	0.0	0.0	0.0	0.69	3.23	0.0	2.33	1.85
Hdac7	0.25	0.0	29.23	0.0	0.0	4.17	0.47	0.0	0.0	0.0	2.72	0.0	0.0	2.72	0.0	0.1	1.11	2.42	138.73	1.7	2.19	17.37	54.03	0.09	0.0	0.0	0.0	0.0	53.3	1.83	0.0	23.81	28.06
Hist1h2bq	0.0	0.0	0.0	0.0	0.0	0.19	0.21	0.0	0.0	0.0	0.0	0.0	0.24	0.0	0.58	0.09	0.0	0.0	0.37	0.87	0.0	0.2	0.15	0.0	0.18	0.0	0.0	0.0	0.34	0.08	0.0	0.38	0.38
Hist1h2br	0.0	0.0	0.0	0.0	0.0	0.19	0.21	0.0	0.0	0.0	0.0	0.0	0.24	0.0	0.58	0.09	0.0	0.0	0.37	0.87	0.0	0.2	0.15	0.0	0.18	0.0	0.0	0.0	0.34	0.08	0.0	0.38	0.38
Hsf2	39.08	0.0	0.0	0.0	0.98	28.43	25.57	0.0	180.29	0.0	62.72	4.14	47.8	50.1	40.74	175.14	76.29	62.14	193.94	75.51	173.36	78.37	2.79	61.32	0.29	214.86	0.0	71.26	109.82	62.85	132.19	23.08	22.05
Ids	0.35	0.0	0.0	0.07	0.0	0.8	130.89	0.39	0.0	0.0	54.19	0.0	48.97	15.03	9.19	5.87	6.43	36.14	10.39	50.05	50.34	35.66	0.17	53.97	0.69	1.98	1.15	1.66	63.83	52.39	1.7	309.23	298.29
Igsf1	0.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.99	0.0	0.58	0.0	0.0	2.85	4.1
Ino80d	0.15	0.03	0.02	0.0	0.0	0.46	0.0	0.0	0.0	0.0	0.0	8.02	0.0	6.52	3.78	0.0	6.77	2.43	10.85	0.0	0.0	9.35	0.16	10.25	0.0	0.0	0.0	0.0	65.99	0.02	0.0	10.84	11.11
Josd2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.49	57.79	54.26	0.0	10.49	0.0	0.94	0.8	0.0	0.0	0.0	1.78	0.0	0.0	0.0	151.88	0.0	0.0	56.0	61.11
Kcnip2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.24	0.0	0.0	0.0	0.0	0.0	0.0	196.63	0.0	0.0	151.98	170.36
Kif21a	34.03	0.0	0.0	0.0	0.0	3.5	137.08	0.0	0.0	0.0	22.79	0.11	63.16	26.42	129.34	105.35	50.95	41.34	270.91	51.32	50.05	52.84	0.12	192.14	276.08	0.0	0.1	0.0	236.77	84.35	76.84	98.02	93.03
Lmbr1l	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.41	2.74	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.47	0.0	0.0	10.73	8.7
Lrrc58	90.21	17.18	3.67	159.83	11.35	259.68	21.42	737.3	3.94	2.09	180.64	4.66	39.21	31.56	72.89	44.18	5.54	19.44	93.71	53.13	89.5	41.83	11.77	127.0	11.62	4.96	16.87	6.78	292.75	93.42	68.24	29.93	30.89
Lrrk2	1.51	0.0	0.0	0.0	0.0	12.49	19.29	0.0	0.0	0.0	4.35	0.0	1.54	4.79	0.91	56.34	7.5	0.03	35.77	87.91	36.74	11.51	0.09	26.62	0.0	0.0	0.0	0.0	196.03	6.0	0.0	22.78	21.71
Luc7l2	91.8	105.14	13.0	13.07	14.83	45.24	109.22	113.69	14.71	3.38	63.68	145.59	31.8	71.61	68.59	98.05	106.99	51.84	228.38	143.14	59.82	69.64	230.18	133.34	50.72	55.6	43.98	64.97	156.2	160.58	68.37	108.05	109.08
Lysmd4	0.06	0.0	0.0	0.0	0.0	18.6	0.0	0.0	0.0	0.0	23.92	0.0	16.06	32.38	10.22	0.0	1.42	5.0	0.63	5.17	9.12	0.0	0.0	115.15	0.0	0.0	0.0	0.0	54.38	81.14	0.0	19.93	18.07
Madd	1.18	0.07	0.0	0.36	0.13	43.53	325.25	0.0	0.06	0.0	20.5	0.0	10.77	7.62	42.7	1.5	13.69	28.89	20.65	2.22	11.91	0.9	0.94	41.8	1.34	0.0	9.11	0.0	143.39	22.74	0.0	113.32	109.17
Map3k3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.52	3.24	5.76	1.12	0.0	4.62	19.86	0.0	0.93	3.2	0.0	0.0	0.0	0.0	232.01	0.0	0.0	22.58	22.44
Mast2	0.03	0.0	0.0	0.0	0.22	0.81	46.68	0.0	0.0	0.0	0.0	0.0	8.55	2.2	2.93	21.48	0.81	0.86	4.26	6.04	7.85	5.16	6.96	1.81	0.0	0.0	0.0	0.0	55.99	0.98	0.0	56.98	54.18
Mettl13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.45	0.0	0.0	79.67	0.0	0.0	9.26	9.93
Mgat2	0.0	0.0	0.0	0.0	0.0	10.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.7	6.78	0.0	0.0	0.0	26.38	0.0	0.0	0.0	0.0	0.0	158.18	0.0	0.0	37.73	0.0	0.0	30.08	29.91
Mir680-2	0.0	0.0	0.0	0.0	0.0	0.0	7.61	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.95	10.1	0.0	0.0	48.77	0.0	0.0	0.0	0.0	5.52	528.91	0.0	0.0	0.0	52.11	12.47	0.0	5.31	7.14
Mir690	18430.57	26828.41	14983.6	15929.17	12459.42	15143.79	25738.25	9673.58	19376.41	5227.12	30464.78	14412.59	30528.33	39867.27	42000.18	28765.87	28695.45	18562.5	18858.35	37370.15	37614.4	32522.04	44948.68	18757.58	42282.55	27759.51	35532.88	23237.11	14258.36	48007.3	16532.15	1.35	0.95
Mrpl16	7.71	0.0	0.0	0.0	42.28	87.25	0.0	0.0	0.0	0.0	1.19	0.0	47.65	198.49	87.48	131.36	114.2	239.96	0.0	133.16	65.19	61.45	0.0	8.63	0.0	0.0	0.0	0.0	566.95	98.77	0.0	37.88	40.3
Ndufb3	459.9	0.0	1025.16	0.0	0.0	117.09	425.71	13.47	142.75	0.0	37.38	1.4	837.8	636.09	555.25	462.94	908.88	287.71	0.0	918.41	686.92	711.75	0.0	34.37	0.0	2.93	0.0	1.9	1061.28	436.86	184.58	167.13	171.73
Ndufs6	517.95	0.0	934.74	0.0	16.76	145.1	195.37	668.08	0.0	0.0	2.82	0.0	405.23	1161.35	916.19	464.71	566.34	359.65	424.17	1378.95	844.94	640.85	0.0	387.81	0.0	0.0	0.0	0.0	1371.48	606.01	0.0	112.43	114.77
Otud3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.88	0.2	0.0	1.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39.7	0.0	0.0	19.9	16.8
Pak3	56.27	0.0	0.0	0.0	0.0	0.0	73.78	0.0	0.0	0.0	0.47	0.0	68.31	76.95	32.4	4.77	25.77	24.53	5.0	0.0	5.92	1.67	0.0	0.84	24.4	0.0	0.0	0.06	213.73	37.26	33.88	40.52	40.2
Pclo	50.75	0.0	0.05	0.05	0.02	9.26	64.28	0.0	0.11	0.0	44.41	0.22	9.94	53.95	17.89	12.47	4.89	20.59	134.8	21.37	15.61	29.85	74.14	69.55	0.5	0.2	0.12	0.06	132.53	22.6	62.64	60.14	64.43
Pgpep1	0.19	0.0	0.0	0.0	0.0	0.0	0.0	170.91	0.0	0.0	0.0	0.0	10.76	0.0	0.0	1.52	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.0	0.16	0.0	0.0	0.0	86.06	0.0	0.0	5.75	5.56
Phf12	60.58	0.0	0.0	0.0	0.0	19.01	18.75	0.0	0.0	0.0	0.29	0.0	5.72	20.2	20.04	0.0	32.88	1.6	1.71	0.0	0.0	2.6	286.73	14.49	0.0	102.54	0.0	0.0	75.69	6.6	188.06	34.51	35.45
