	Calb2_tdTpositive_cell_2	Ctgf_tdTpositive_cell_2	Ctgf_tdTpositive_cell_3	Ctgf_tdTpositive_cell_6	Ctgf_tdTpositive_cell_7	Cux2_tdTpositive_cell_6	Cux2_tdTpositive_cell_47	Cux2_tdTnegative_cell_4	Ndnf_tdTpositive_cell_21	Ndnf_tdTnegative_cell_7	Nr5a1_tdTpositive_cell_35	Rbp4_tdTpositive_cell_70	Rbp4_tdTpositive_cell_74	Rbp4_tdTpositive_cell_95	Rbp4_tdTpositive_cell_134	Rbp4_tdTpositive_cell_176	Rbp4_tdTpositive_cell_177	Rbp4_tdTpositive_cell_178	Rbp4_tdTpositive_cell_185	Rbp4_tdTnegative_cell_3	Rbp4_tdTnegative_cell_6	Rbp4_tdTnegative_cell_9	Rbp4_tdTnegative_cell_22	Rorb_tdTpositive_cell_14	Rorb_tdTpositive_cell_19	Rorb_tdTpositive_cell_22	Rorb_tdTpositive_cell_50	Scnn1a.Tg2_tdTpositive_cell_20
3110082D06Rik	0.0	0.0	0.0	0.0	0.06	55.15	58.21	0.0	0.0	0.0	19.31	4.16	0.0	0.0	0.0	0.0	6.49	0.0	0.0	0.0	0.0	0.0	0.0	66.48	12.9	29.28	0.0	6.04
A230073K19Rik	0.0	0.07	0.0	0.04	0.0	103.96	48.59	0.0	0.0	0.0	1.95	25.78	25.81	22.63	114.13	20.15	28.58	105.39	29.24	0.0	0.29	0.0	0.08	116.79	12.86	33.19	64.76	86.08
Aes	0.0	0.0	0.0	0.0	147.74	63.03	98.89	1.04	0.0	0.0	2.95	34.82	0.36	0.53	0.32	30.15	11.63	36.66	95.5	0.49	0.0	0.0	0.0	74.84	17.61	7.25	13.34	28.55
Akap6	0.0	0.0	0.0	0.0	0.0	58.03	54.62	0.0	0.0	0.0	29.33	38.27	41.64	2.66	35.46	16.19	25.74	2.48	0.0	0.03	1.06	0.0	0.0	120.12	66.2	37.38	29.86	152.52
Amy2a2	0.08	0.0	0.0	0.0	0.12	0.29	0.48	0.0	2.58	0.21	0.0	0.49	0.25	0.0	0.49	0.11	0.33	1.11	0.06	0.05	11.44	0.67	0.08	0.93	0.19	0.6	0.38	0.77
Amy2a3	0.08	0.0	0.0	0.0	0.12	0.29	0.48	0.0	2.58	0.21	0.0	0.49	0.25	0.0	0.49	0.11	0.33	1.11	0.06	0.05	11.44	0.67	0.08	0.93	0.19	0.6	0.38	0.77
Amy2a4	0.08	0.0	0.0	0.0	0.12	0.29	0.48	0.0	2.58	0.21	0.0	0.49	0.25	0.0	0.49	0.11	0.33	1.11	0.06	0.05	11.44	0.67	0.08	0.93	0.19	0.6	0.38	0.77
Aph1b	0.0	0.0	0.0	0.0	0.0	0.0	190.95	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.92	0.0	36.33	78.49	0.0	0.0	0.0	0.0	298.75	0.0	0.0	0.14	74.43
Camk2a	1.77	0.0	0.62	0.0	0.0	209.62	154.17	0.0	0.22	0.3	114.67	75.74	59.93	40.4	34.98	22.22	60.09	90.74	49.43	0.08	0.48	1.04	1.64	153.62	17.73	58.72	59.12	62.77
Cct8	486.32	1348.48	0.17	0.14	40.91	252.05	677.9	0.0	0.0	0.0	697.68	480.87	427.12	278.88	602.21	121.32	283.24	110.39	151.0	0.54	4.25	275.6	0.0	886.75	490.03	304.59	413.64	183.39
