	Calb2_tdTpositive_cell_53	Cux2_tdTnegative_cell_4	PvalbF.Gad2_tdTpositive_cell_15	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1700001K23Rik	0.0	0.0	0.0	0.22	0.2	0.22
1700025N23Rik	2.41	0.0	10.66	17.52	14.55	20.14
4931423N10Rik	0.0	0.0	0.0	0.22	0.2	0.22
A230001M10Rik	0.0	0.0	0.24	3.37	3.41	3.14
A330048O09Rik	0.0	0.0	0.5	3.86	3.35	2.87
Abca4	0.0	0.0	0.06	1.27	1.07	1.35
Agbl2	0.0	0.0	0.13	1.34	0.88	1.14
Anks4b	0.0	0.0	0.22	0.44	0.32	0.25
Atp8b3	0.0	0.0	0.0	0.04	0.04	0.09
Bcl9l	0.0	0.0	6.31	18.51	19.52	18.72
Bhlhe41	0.0	0.0	9.69	26.37	36.97	26.21
C030019I05Rik	0.0	0.0	0.39	6.12	4.57	6.59
C8b	0.0	0.0	0.0	0.04	0.04	0.09
Cacna2d1	0.0	0.0	7.97	99.54	89.77	97.68
Ccdc88c	0.0	0.0	9.85	18.83	17.62	19.85
Cd7	0.0	0.0	0.43	1.07	1.28	1.8
Col23a1	0.05	0.0	0.04	8.66	8.34	7.44
Dok6	0.0	0.0	22.71	29.84	19.89	33.11
Dspp	0.0	0.0	0.0	0.11	0.1	0.11
E330009J07Rik	0.0	0.0	3.6	23.39	21.41	22.68
Eif4h	0.0	0.0	114.76	333.37	353.14	351.38
F2rl1	0.0	0.0	0.16	0.69	0.37	0.41
Fam129c	0.0	0.0	0.88	1.87	2.03	2.1
Fcrl1	0.0	0.0	0.22	0.75	0.61	0.57
Foxi1	0.0	0.0	0.0	0.04	0.04	0.09
Gata2	0.0	0.0	0.4	2.67	3.17	2.6
Gm14431	0.26	0.0	1.51	8.87	7.17	8.34
Gm16982	0.0	0.0	0.17	1.2	1.24	1.36
Gm8898	0.26	0.0	1.51	8.87	7.17	8.34
Gpr179	0.0	0.0	0.09	0.22	0.09	0.17
Gpr30	0.0	0.0	1.22	2.87	2.56	2.4
H1fx	0.0	0.0	0.42	31.05	40.08	38.04
Hcls1	0.0	0.0	0.22	5.36	5.18	3.75
Hhla1	0.0	0.0	0.0	0.04	0.04	0.09
Hoxc8	0.0	0.0	0.0	0.04	0.04	0.09
Klrg2	0.0	0.0	0.19	0.35	0.19	0.22
Ksr1	0.12	0.0	7.23	25.16	29.94	28.58
Ky	0.0	0.0	0.08	2.21	2.0	1.76
Lipm	0.0	0.0	0.0	0.11	0.1	0.11
Lrp2	0.0	0.0	0.03	0.09	0.11	0.11
Mdga1	0.0	0.0	0.57	10.01	11.08	11.17
Ndrg1	0.0	0.0	0.15	64.55	70.13	72.3
Nkx6-3	0.0	0.0	0.0	0.04	0.04	0.09
Obscn	0.0	0.0	0.04	1.1	0.97	1.06
Olfr1420	0.0	0.0	0.0	0.11	0.1	0.11
Phc3	0.0	0.0	14.04	22.54	20.64	23.25
Prox1	0.0	0.0	0.1	9.47	8.41	9.93
Rab42-ps	0.0	0.0	0.0	2.93	3.42	4.61
Rasl11a	0.0	0.0	0.0	7.15	5.81	5.63
Rasl12	0.35	0.0	0.23	5.66	4.41	6.34
Rph3a	0.25	0.0	1.14	260.55	249.44	277.37
S100a6	0.0	0.0	10.95	22.69	24.87	26.37
Scaf11	0.83	0.0	10.47	23.43	21.48	23.93
Slc16a3	0.0	0.0	0.55	3.34	4.21	4.71
Smg5	0.0	0.0	39.91	54.28	56.32	54.46
Taok2	0.18	0.0	0.35	75.09	76.41	76.63
Tec	0.0	0.0	1.51	2.29	2.01	2.41
Thop1	0.0	0.0	3.2	36.1	39.69	37.66
Ticam1	0.0	0.0	0.15	4.95	4.96	4.96
Trrap	0.0	0.0	4.01	48.39	44.3	50.87
Vmn2r118	0.0	0.0	0.0	0.04	0.04	0.09
Wnt1	0.0	0.0	0.37	0.75	0.82	0.99
Zkscan16	0.0	0.0	11.06	42.82	39.54	38.67
mt_AK131586	0.0	0.0	0.0	25813.35	24091.17	24561.45
mt_AK166684	0.0	0.0	3.24	18796.57	17507.83	18655.33
mt_BC104337	0.0	0.0	0.0	9032.87	8417.95	8583.15
