	Ctgf_tdTpositive_cell_3	Nr5a1_tdTpositive_cell_35	Rbp4_tdTpositive_cell_70	Rbp4_tdTpositive_cell_74	Rbp4_tdTpositive_cell_95	Rbp4_tdTpositive_cell_133	Rbp4_tdTpositive_cell_134	Rbp4_tdTpositive_cell_176	Rbp4_tdTpositive_cell_177	Rbp4_tdTpositive_cell_185	Rbp4_tdTnegative_cell_3	Rbp4_tdTnegative_cell_6	Rbp4_tdTnegative_cell_9	Rbp4_tdTnegative_cell_13	Rbp4_tdTnegative_cell_14	Rbp4_tdTnegative_cell_22	Rbp4_tdTnegative_cell_23	Rorb_tdTpositive_cell_11	Rorb_tdTpositive_cell_19	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
0610040F04Rik	0.0	0.0	0.63	2.56	0.0	0.53	4.56	7.64	3.74	0.2	0.0	0.0	1.04	5.76	0.0	17.14	0.0	80.87	0.53	2.02	1.53	3.04
1110012J17Rik	0.0	0.0	0.0	0.39	0.0	0.0	8.73	2.0	1.24	1.58	0.0	0.0	0.0	90.48	0.0	0.0	0.0	125.55	3.75	35.39	37.38	34.49
1200011M11Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.28	2.59	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	201.48	0.0	13.6	12.88	12.91
1700018A04Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.14	0.3
2410018M08Rik	0.0	0.0	0.0	0.0	0.0	49.05	0.0	0.0	0.0	0.31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	112.84	0.0	7.62	7.26	7.47
2700050L05Rik	0.0	0.24	0.0	0.0	0.0	0.0	7.38	0.0	9.43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	206.11	11.43	15.84	14.42	12.98
2810002D19Rik	0.0	0.99	0.0	0.0	0.0	0.0	0.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.41	0.0	239.62	0.0	4.78	5.14	5.35
4930503L19Rik	0.0	0.0	19.68	25.57	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	630.78	0.0	0.0	0.0	0.0	106.75	0.0	9.54	8.23	8.91
5430402O13Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.97	0.0	0.0	0.0	0.0	0.0	0.0	0.0	121.89	0.0	1.08	1.02	1.56
6430548M08Rik	0.0	0.46	3.62	6.97	0.23	13.09	0.23	9.23	22.67	0.55	0.09	0.26	0.21	0.0	0.0	0.0	0.0	147.21	28.78	138.81	137.15	144.03
