	Calb2_tdTpositive_cell_43	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_51	Ctgf_tdTpositive_cell_19	Ctgf_tdTpositive_cell_22	Htr3a_tdTpositive_cell_96	Htr3a_tdTpositive_cell_111	Nos1_tdTpositive_cell_26	Ntsr1_tdTpositive_cell_18	Ntsr1_tdTpositive_cell_20	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_28	Ntsr1_tdTpositive_cell_30	Ntsr1_tdTpositive_cell_35	Ntsr1_tdTpositive_cell_39	Ntsr1_tdTpositive_cell_41	Ntsr1_tdTpositive_cell_42	Ntsr1_tdTpositive_cell_43	Ntsr1_tdTpositive_cell_44	Ntsr1_tdTpositive_cell_45	Ntsr1_tdTpositive_cell_49	Ntsr1_tdTpositive_cell_52	Ntsr1_tdTpositive_cell_57	Ntsr1_tdTpositive_cell_77	Rbp4_tdTpositive_cell_41	Rbp4_tdTpositive_cell_76	Scnn1a.Tg3_tdTnegative_cell_20	Slc17a6_tdTpositive_cell_24	Slc17a6_tdTpositive_cell_30	Vip_tdTpositive_cell_69	Ntsr1_tdTpos_10cell_1	Ntsr1_tdTpos_10cell_2	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_5	Ntsr1_tdTpos_10cell_7	Ntsr1_tdTpos_10cell_8	Ntsr1_tdTpos_10cell_9	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	CAV_LP_Ipsi_tdTpos_cell_1	CAV_LP_Ipsi_tdTpos_cell_16	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_25	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28	CAV_LP_Ipsi_tdTpos_cell_32	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
2810442N19Rik	0.0	0.0	0.0	0.0	1.66	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.99	0.94	1.82
4930570G19Rik	0.0	0.0	0.07	0.0	11.85	0.0	0.21	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.28	0.0	0.0	0.0	8.55	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.39	5.37	11.05	2.23	11.43	1.15	0.62	10.04	14.0	6.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.12	13.62	16.74
5031410I06Rik	0.0	0.0	0.0	0.42	0.83	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.77	0.71	1.06
A230056J06Rik	0.0	0.0	0.06	0.0	35.25	0.0	0.0	77.71	0.11	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.12	0.0	0.0	0.14	0.0	0.0	0.07	0.22	0.0	0.14	0.0	0.0	0.26	0.0	0.0	0.11	0.09	10.68	17.15	4.32	15.37	5.99	2.08	0.44	0.88	0.1	0.0	0.0	0.0	0.0	0.0	33.26	0.0	0.0	0.69	1.01	0.84
A930041C12Rik	0.0	0.0	0.0	0.0	37.76	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.29	0.53	0.0	0.0	0.0	0.0	1.42	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19	0.18	0.2
Acot11	0.1	0.17	0.01	0.45	2.23	0.58	0.54	0.18	0.28	0.16	0.06	0.17	0.08	0.05	0.0	0.14	0.04	0.48	0.06	0.35	0.06	0.12	0.27	0.03	0.18	3.34	0.32	0.0	0.15	0.14	0.0	0.07	0.11	0.0	0.06	0.0	0.16	0.0	0.09	0.67	0.97	0.41	0.21	0.08	0.13	0.05	0.0	0.0	0.02	0.14	18.55	16.97	18.44
Adcy5	0.0	20.05	8.79	18.43	19.06	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.0	0.0	1.99	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.28	4.55	1.58	0.93	10.38	0.56	3.57	3.29	2.68	2.76	4.77	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.15	139.88	145.98	149.99
Amigo3	0.0	0.0	0.0	0.0	32.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.52	0.0	0.0	0.12	0.0	0.96	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.01	4.83	5.81
Amotl1	0.0	4.45	0.0	1.8	17.26	0.1	0.15	0.0	0.0	0.0	0.0	0.07	0.0	0.06	0.0	0.11	0.0	0.0	0.01	0.13	0.02	0.12	0.13	0.02	0.0	0.03	0.0	3.89	0.11	0.7	4.81	5.12	3.21	7.99	2.47	0.96	2.07	2.92	1.11	2.5	0.96	0.04	0.53	0.0	0.12	3.23	0.0	0.1	0.0	0.05	9.3	9.24	10.01
Ankrd52	0.0	2.2	0.0	0.65	12.5	5.87	0.0	0.0	0.05	0.0	0.0	0.0	0.34	0.0	0.0	0.0	0.0	6.79	0.0	0.0	0.0	0.06	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.85	0.05	0.0	0.05	0.09	0.31	0.0	0.27	0.76	0.21	0.0	0.0	0.0	0.0	0.22	0.0	0.0	0.0	0.0	0.0	39.4	37.08	40.22
