	Cux2_tdTnegative_cell_11	Htr3a_tdTpositive_cell_85	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_48	PvalbF.Gad2_tdTpositive_cell_51	PvalbF.Gad2_tdTpositive_cell_54	PvalbF.Gad2_tdTpositive_cell_55	PvalbF.Gad2_tdTpositive_cell_56	PvalbF.Gad2_tdTpositive_cell_57	PvalbF.Gad2_tdTpositive_cell_59	PvalbF.Gad2_tdTpositive_cell_63	PvalbF.Gad2_tdTpositive_cell_67	PvalbF.Gad2_tdTpositive_cell_70	PvalbF.Gad2_tdTpositive_cell_72	PvalbF.Gad2_tdTpositive_cell_77	PvalbF.Gad2_tdTpositive_cell_81	PvalbF.Gad2_tdTpositive_cell_83	Rbp4_tdTpositive_cell_51	Scnn1a.Tg3_tdTnegative_cell_12	Tac2_tdTpositive_cell_4
0610010O12Rik	0.0	60.6	69.84	82.73	113.38	67.14	182.73	232.7	225.72	79.85	163.59	68.53	154.29	160.29	97.83	69.62	131.08	137.25	109.73	362.74	71.4	350.01	71.28	237.6	0.0	150.22
1110035M17Rik	0.0	0.0	21.85	0.0	0.0	0.0	0.0	0.0	0.0	29.87	0.0	0.0	49.6	0.0	0.0	0.0	0.0	3.99	30.95	148.74	0.0	0.0	0.0	49.45	0.0	58.24
1600029D21Rik	0.0	0.17	0.0	0.0	0.41	0.17	0.0	0.0	0.0	0.41	0.0	0.0	0.0	0.21	0.0	0.0	0.0	0.0	0.0	0.74	0.0	0.03	0.0	0.12	0.0	0.69
1700025K23Rik	0.0	0.0	0.0	0.0	17.91	20.12	0.0	12.48	63.54	97.6	0.0	55.43	30.68	36.9	60.62	0.0	0.0	11.37	26.03	133.74	119.07	42.69	54.41	0.0	0.0	143.53
2810008M24Rik	0.0	128.14	0.0	0.0	0.0	55.72	62.17	123.04	28.64	0.0	0.0	73.29	56.33	4.44	0.0	105.36	44.7	98.9	71.81	202.2	41.1	70.49	2.87	57.3	0.0	0.0
4732471J01Rik	0.0	0.0	0.0	0.0	4.39	15.77	0.3	4.59	0.29	6.12	0.0	0.0	3.68	20.03	0.0	0.0	0.0	22.38	2.29	16.65	0.2	7.57	0.0	0.2	0.0	9.62
4933424B01Rik	0.0	0.0	0.0	1.06	0.0	0.0	0.0	0.0	0.0	0.26	0.0	0.0	0.9	0.0	0.0	0.0	0.0	46.53	0.0	86.83	17.83	0.0	0.0	0.0	0.0	0.0
Alg6	0.39	0.14	0.0	29.53	51.82	38.74	0.0	0.0	0.17	1.82	0.0	0.0	19.06	28.16	0.0	0.0	0.16	40.26	0.02	78.99	0.12	15.1	17.87	36.45	0.75	82.02
Arid5b	0.0	9.49	0.0	15.62	0.0	24.53	21.33	7.48	15.0	0.27	0.0	10.62	0.0	9.28	18.02	2.22	0.0	30.62	1.7	33.05	17.39	5.44	0.0	0.04	0.0	33.93
Asb3	0.0	64.05	0.0	0.2	45.28	18.59	9.7	38.0	8.33	0.0	42.58	26.35	0.0	0.0	4.45	0.0	0.54	118.72	0.0	201.0	55.11	6.83	8.72	5.29	0.0	0.0
BC030476	0.0	0.68	0.0	0.0	0.14	0.46	0.16	0.17	0.69	0.36	0.9	0.04	0.22	0.2	0.0	0.47	0.32	1.17	0.0	0.48	0.0	0.17	0.78	0.75	0.0	0.52
Bai1	0.0	0.11	0.2	0.0	0.0	1.17	0.0	0.45	1.71	0.32	0.84	0.29	0.8	0.3	0.49	1.07	0.04	0.37	0.12	3.03	0.3	2.53	0.17	1.45	0.0	0.2
Bambi-ps1	7.08	13.53	0.0	18.9	23.19	16.95	10.79	16.13	23.73	18.97	20.95	8.71	12.52	16.6	6.38	11.67	7.09	27.0	20.42	21.09	19.36	30.21	8.56	19.42	1.49	47.61
Calca	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	196.73	0.0	0.0	0.0	0.0	0.0	301.68
Car10	0.12	0.35	0.45	34.53	0.0	73.53	0.3	0.0	0.25	67.7	0.0	0.0	0.0	44.13	0.0	0.0	0.01	21.85	0.0	52.38	7.55	0.54	0.32	0.43	0.0	0.0
Ccdc45	0.0	0.0	0.0	25.48	0.0	19.7	0.0	0.0	0.0	9.86	0.0	0.0	19.58	0.0	0.0	53.6	0.0	0.0	5.99	64.07	5.39	37.98	0.0	0.0	0.0	20.31
Ccdc53	0.0	40.66	75.3	33.36	133.73	54.92	53.83	0.0	0.0	27.39	0.0	0.0	93.8	14.0	0.0	97.3	0.0	96.93	38.03	185.8	96.5	0.0	0.0	38.97	0.0	189.64
Ccl27b	0.0	2.09	0.0	0.0	3.31	0.76	0.0	2.62	8.14	0.3	0.0	0.0	2.04	0.26	1.44	0.0	2.37	2.94	0.0	4.94	0.74	2.17	0.0	9.34	0.0	2.72
Cdh10	5.0	0.0	0.0	0.19	41.32	45.23	0.0	1.55	0.0	0.0	0.0	43.17	52.21	0.0	0.0	65.19	0.0	10.52	0.0	94.99	56.01	87.44	6.19	0.0	0.0	77.97
Chid1	0.0	0.0	11.66	26.28	0.0	15.07	45.44	0.0	0.0	71.39	30.93	32.43	13.53	8.21	8.23	16.31	33.16	0.0	0.0	101.64	15.51	17.12	7.6	63.74	0.0	98.08
Cyb561	0.0	7.27	0.1	0.0	164.3	83.8	59.43	0.0	57.46	142.32	2.85	8.91	49.15	48.34	8.83	12.36	51.85	0.0	34.0	110.07	152.72	60.34	31.97	70.51	0.0	102.24
Cyp3a13	0.0	0.24	0.0	0.22	0.13	0.68	0.19	0.0	0.18	0.51	0.91	0.3	0.31	0.13	0.11	0.34	0.15	0.91	0.32	1.33	0.51	0.36	0.0	0.07	0.11	0.63
D0H4S114	0.0	202.94	155.52	215.17	176.24	69.1	206.59	174.68	169.27	143.99	92.47	90.57	55.1	169.96	79.39	97.65	0.0	112.47	152.94	592.84	116.08	181.45	97.79	190.66	0.0	552.77
D19Wsu162e	0.3	0.0	0.0	0.55	0.51	8.47	13.31	1.09	0.0	0.46	0.27	0.23	0.0	0.74	36.86	0.54	0.67	0.2	0.36	100.51	0.1	1.78	0.5	30.0	0.0	58.46
Dhdds	0.0	0.0	3.35	4.79	1.79	38.69	3.21	23.32	6.05	34.12	2.68	18.82	60.78	0.72	1.37	2.9	3.53	11.28	2.5	48.85	24.91	49.4	1.13	22.7	0.0	106.79
