	PvalbD.Slc32a1_tdTpositive_cell_11	PvalbF.Gad2_tdTpositive_cell_67	Scnn1a.Tg3_tdTnegative_cell_21	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1700012D01Rik	0.0	0.0	0.0	1.48	3.07	1.99
1810024B03Rik	0.0	0.0	0.0	0.94	0.45	0.41
2310001H17Rik	0.0	0.0	0.0	1.23	0.98	0.73
2610002D18Rik	0.0	0.0	0.0	0.16	0.59	0.33
2810403D21Rik	0.0	0.39	0.0	1.42	1.46	1.35
4921530D09Rik	0.0	0.0	0.0	0.75	0.81	1.19
4930441O14Rik	0.0	0.0	0.0	2.75	2.62	2.62
A930001C03Rik	0.0	0.0	0.0	0.57	1.46	0.63
AI464131	0.0	0.33	0.0	20.92	21.63	21.98
Aipl1	0.0	0.0	0.0	0.0	0.12	0.0
Ap2a2	46.96	75.16	0.0	124.04	128.47	129.78
Arnt	3.86	0.28	0.0	28.76	26.12	28.4
Birc3	0.0	0.0	0.0	1.81	1.77	2.39
Ccdc112	0.0	0.0	0.0	10.48	10.78	9.82
Ccdc88c	0.0	0.0	0.0	18.83	17.62	19.85
Cd244	0.0	0.0	0.0	0.05	0.05	0.05
Cebpd	0.0	0.0	0.0	3.34	4.72	3.87
Ces1a	0.0	0.0	0.0	0.05	0.05	0.05
Chaf1a	0.0	0.0	0.0	4.73	4.51	4.95
Clec3b	0.0	0.0	0.0	3.77	4.61	3.89
Coq6	0.0	0.0	0.0	20.43	22.82	21.17
Crispld2	0.0	0.0	0.0	1.14	1.2	1.34
Csrp1	0.0	0.0	0.35	232.97	243.2	248.32
D130043K22Rik	0.0	0.0	0.0	32.58	30.09	31.08
Defb30	0.0	0.0	0.0	0.0	0.0	0.1
Dgcr2	65.3	6.87	0.0	77.48	82.51	80.68
Dnajc25	0.0	0.0	0.0	5.22	3.74	3.48
Dpysl5	0.0	0.0	0.0	19.09	19.81	19.66
Eps8	0.08	0.0	0.0	20.23	19.04	18.3
Evl	6.05	0.0	21.9	111.96	118.37	113.45
Ewsr1	86.71	8.17	86.14	178.58	187.24	182.7
Fbxl15	0.0	0.97	0.0	20.58	25.62	26.73
Foxm1	0.0	0.0	0.0	0.88	1.13	1.32
Galnt6	0.0	0.0	0.0	6.59	6.75	7.74
Gar1	0.0	0.0	0.0	16.55	17.61	15.63
Gm14047	0.25	0.85	0.45	4.16	2.15	4.56
Gm5088	0.0	0.0	0.0	0.38	0.7	1.37
Hist1h4h	0.0	0.0	0.0	2.16	3.55	0.0
Hist2h4	0.0	0.0	0.0	2.19	1.47	2.91
Hist3h2bb-ps	0.0	0.0	0.0	0.44	0.96	0.79
Hsd3b1	0.0	0.0	0.0	0.05	0.0	0.0
