	Chrna2_tdTpositive_cell_26	Chrna2_tdTpositive_cell_28	Chrna2_tdTpositive_cell_30	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_55	Chrna2_tdTpositive_cell_57	Chrna2_tdTpositive_cell_77	Gad2_tdTpositive_cell_18	Gad2_tdTpositive_cell_26	Gad2_tdTpositive_cell_48	Gad2_tdTpositive_cell_68	Gad2_tdTpositive_cell_78	Htr3a_tdTpositive_cell_32	Htr3a_tdTpositive_cell_83	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_14	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_47	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_70	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_7	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_23	Sst_tdTpositive_cell_29	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_39	Sst_tdTpositive_cell_46	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_63	Sst_tdTpositive_cell_69	Sst_tdTpositive_cell_72	Sst_tdTpositive_cell_79	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1110065P20Rik	19.05	0.0	63.55	0.0	0.0	0.0	3.66	0.0	41.53	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	32.61	0.0	0.0	0.0	1.69	31.68	12.93	6.57	14.06	4.6	22.44	0.0	98.37	17.93	0.0	0.0	0.0	45.55	0.0	0.0	0.0	3.07	0.0	0.0	5.77	0.0	0.0	13.44	0.0	0.0	2.58	1.52	61.88	75.89	73.29
1700030A11Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	61.36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.41	0.23	0.0	0.35
1700123O21Rik	0.0	0.0	0.0	3.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.38	8.92	0.0	0.0	0.0	0.0	0.0	0.0	0.71	6.04	0.0	0.0	0.35	0.0	0.0	1.46	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2310001H17Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46.31	0.0	25.57	0.0	0.0	0.0	0.0	0.0	0.0	136.24	0.0	0.0	0.0	0.55	0.0	0.0	0.0	0.57	0.0	0.0	0.0	28.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.23	0.98	0.73
3110007F17Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.67	0.0	0.0	0.06	0.0	0.0	0.0	21.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.83	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.63	3.84	3.87
4833442J19Rik	0.0	0.87	0.0	53.55	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	57.35	0.0	77.0	0.0	0.0	0.09	0.16	0.0	0.0	0.0	0.0	0.0	66.0	0.0	202.24	0.0	0.0	1.76	0.0	0.0	0.0	141.78	0.0	43.26	29.5	30.85	0.0	0.0	0.0	0.0	0.09	13.09	12.93	9.94	3.51	4.32	4.25
4930539N22Rik	1.45	0.0	1.64	15.1	0.0	0.0	7.91	0.0	0.0	0.0	0.0	0.0	0.0	5.78	4.98	0.0	33.06	20.0	2.87	0.0	0.49	12.57	0.0	16.76	0.0	13.48	0.0	8.06	8.41	93.78	13.22	10.41	18.02	0.0	0.46	0.0	10.31	0.0	0.0	0.0	1.55	9.55	21.72	5.38	7.97	4.58	8.03	11.57	9.0	0.0	0.35	0.1
4930578N16Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.28	0.0	0.0	5.57	0.0	0.0	3.18	0.0	0.0	0.0	0.0	0.0	56.98	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.44	3.75	0.0	0.0	0.0	0.0	0.0	0.0	1.57	6.44	4.88	3.16	2.06	2.97
4933404O12Rik	0.42	0.63	0.93	0.55	0.0	0.09	0.17	0.51	0.34	0.22	1.62	0.73	0.27	0.35	0.24	38.27	0.54	0.14	0.08	28.42	52.5	0.17	1.03	0.34	0.15	0.29	1.72	0.69	0.52	95.41	4.23	25.34	0.85	0.29	0.56	8.71	0.97	0.13	1.61	0.7	2.88	0.52	0.48	38.34	0.66	0.14	10.19	7.36	3.87	10.18	9.87	10.02
5730437N04Rik	113.51	1.56	0.0	13.87	0.0	0.0	129.38	0.13	28.57	100.53	0.0	0.0	14.03	0.0	60.82	45.99	0.0	0.0	45.25	48.6	36.08	65.13	59.05	37.82	45.86	19.13	0.0	3.46	32.06	171.51	45.16	0.0	46.31	0.0	0.0	64.96	30.91	79.61	54.91	147.08	44.34	54.72	5.67	0.0	0.49	151.73	71.38	80.4	79.28	76.16	77.63	74.55
