	PvalbF.Gad2_tdTpositive_cell_49	PvalbF.Gad2_tdTpositive_cell_53	PvalbF.Gad2_tdTpositive_cell_64	PvalbF.Gad2_tdTpositive_cell_71	PvalbF.Gad2_tdTpositive_cell_72	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1700007F19Rik	0.0	1.57	0.46	0.0	0.89	0.49	0.37	0.88
1700012A16Rik	0.0	16.06	0.0	0.0	0.0	2.52	2.37	1.8
1700057H15Rik	0.0	0.41	0.0	0.0	0.0	0.0	0.0	0.11
1700106N22Rik	0.0	69.33	0.26	0.0	0.0	13.4	12.69	14.12
2410007B07Rik	0.94	11.09	4.23	0.44	0.8	1.91	1.57	3.32
2410075B13Rik	0.17	94.05	58.65	0.0	0.0	5.0	6.71	6.49
2700046G09Rik	0.0	10.99	0.0	0.0	0.0	4.79	4.79	4.82
4921507L20Rik	0.0	0.28	0.0	0.0	0.0	1.29	0.68	1.79
4930579K19Rik	0.0	50.77	0.0	0.0	0.0	1.05	0.66	2.25
8430431K14Rik	0.0	45.2	0.39	0.31	0.0	0.49	0.29	0.21
AF357426	0.0	18.62	0.0	0.0	0.0	6.49	3.04	0.0
AW011738	0.11	1.54	0.0	0.0	0.0	3.57	3.82	4.41
Adamts9	0.0	0.14	0.0	0.0	0.0	1.36	1.56	1.88
Agmat	3.13	112.4	0.0	0.0	0.0	1.64	1.54	1.76
Als2	5.07	84.31	4.67	9.52	7.47	27.21	26.07	27.28
Arhgef33	0.0	0.13	0.0	0.0	0.0	0.59	0.78	0.58
Arl2bp	0.0	63.7	0.0	13.21	0.0	172.31	188.95	188.08
Armc2	0.28	8.66	0.08	0.77	0.42	5.08	5.49	4.82
Arrdc2	0.0	16.3	0.0	0.0	0.0	9.9	11.87	9.88
Atpaf1	0.67	73.7	0.0	0.0	1.74	52.25	52.94	48.11
B3gnt2	0.0	76.87	0.0	0.03	0.28	31.37	31.52	25.03
B430212C06Rik	0.9	29.41	0.28	0.94	0.28	0.53	0.85	1.01
Bmf	0.0	3.99	0.0	0.0	0.0	2.16	2.73	2.54
Bub1b	0.0	9.3	0.0	0.0	0.0	1.66	2.15	2.27
Cacna1s	0.0	10.82	0.0	0.0	0.0	0.44	0.46	0.41
Calcoco1	38.9	91.4	39.48	0.0	62.33	65.64	68.73	64.28
Ccnb2	0.0	18.45	0.0	0.0	0.0	1.42	1.4	1.2
Ccnf	0.0	39.93	0.0	0.0	0.0	3.85	4.01	4.27
Cdc34	5.61	78.22	0.0	25.84	0.0	49.82	54.76	52.75
Clcn7	0.76	44.15	1.26	0.0	9.13	36.73	37.43	39.43
Csta	0.0	0.32	0.0	0.0	0.0	0.09	0.1	0.12
Cyyr1	0.19	0.86	0.18	0.2	0.0	3.47	2.83	2.85
D4Ertd617e	0.0	35.63	0.0	0.0	0.0	1.38	0.55	1.82
Dcx	6.87	33.72	10.12	0.0	0.08	16.93	15.75	19.0
Dffb	0.0	103.3	0.17	0.0	0.0	9.49	10.03	9.04
Dlx6	0.0	28.64	0.0	0.0	0.0	11.92	11.52	14.09
Doc2g	0.0	55.1	0.0	0.0	0.0	6.58	11.06	8.64
Dph2	0.0	66.0	0.0	12.33	0.0	10.25	10.5	10.98
Dsn1	0.0	42.1	0.0	0.0	0.0	4.16	3.47	3.58
E130310I04Rik	0.0	0.24	0.0	0.0	0.0	0.06	0.1	0.09
Eno3	0.0	45.99	0.0	0.0	0.0	11.28	11.33	10.21
Ephx3	0.81	2.27	0.29	0.34	0.0	0.42	0.41	0.63
Fam108a	0.81	42.18	0.0	0.0	0.0	185.45	211.33	202.35
Fbxl14	0.14	17.57	0.69	0.47	0.46	15.44	17.6	15.44
