	Cux2_tdTnegative_cell_2	Cux2_tdTnegative_cell_4	Gad2_tdTpositive_cell_78	Nkx2.1_tdTpositive_cell_23	Nr5a1_tdTpositive_cell_51	Ntsr1_tdTnegative_cell_14	Ntsr1_tdTnegative_cell_45	Ntsr1_tdTnegative_cell_56	Pvalb_tdTpositive_cell_13	Pvalb_tdTpositive_cell_56	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbF.Gad2_tdTpositive_cell_20	PvalbF.Gad2_tdTpositive_cell_29	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1700085B03Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.87	0.0	0.0	0.0	0.0
2010109K11Rik	0.0	0.0	0.0	0.14	0.0	0.36	0.0	0.25	1.99	0.0	0.0	28.8	0.0	14.38	13.41	12.91
2610306M01Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37.5	0.0	10.04	128.36	0.0	11.32	11.68	9.57
4922505G16Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.85	5.37	0.0	0.26	0.75	0.62
4930402F11Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.55	0.0	0.0	0.0	0.1
4930441O14Rik	0.0	0.0	0.0	0.0	0.29	0.0	0.0	0.0	0.0	0.0	0.74	57.52	0.0	2.75	2.62	2.62
4930542C21Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.75	0.0	0.0	0.1	0.0
4930546K05Rik	3.55	0.0	0.0	0.24	0.0	1.28	0.0	0.0	0.0	0.08	0.0	0.47	0.0	0.18	0.1	0.2
4931406H21Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.15	0.0	0.03
4933402C06Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.6	0.0	0.0	0.0	0.0
4933403G14Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.72	0.0	2.55	2.38	3.12
9130221H12Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	43.35	0.0	11.45	12.86	13.24
A430035B10Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.94	36.97	0.0	2.87	3.67	4.18
A630001G21Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.45	0.0	0.61	0.87	1.11
Abca1	0.0	0.0	0.19	0.0	15.48	0.0	28.86	0.1	9.41	0.0	0.0	29.33	0.05	12.37	10.64	12.28
Accn4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.68	0.0	20.37	23.69	22.46
Acsl5	0.0	0.0	86.72	0.36	0.0	0.0	0.0	0.33	0.26	20.74	17.88	140.46	0.15	57.38	59.45	53.79
Ak8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	80.1	0.0	2.29	2.63	2.29
Akr1b8	0.0	0.0	0.0	0.0	0.0	1.83	0.0	0.0	0.0	0.0	0.0	69.29	0.0	1.18	0.74	0.81
Alg12	0.0	0.0	0.0	0.0	0.0	0.0	0.34	1447.46	0.24	0.0	54.02	0.29	0.0	9.67	9.55	10.12
Ankrd52	0.0	0.0	0.0	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.11	4.7	0.07	39.4	37.08	40.22
Anxa7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.37	7.87	48.6	29.33	117.25	66.01	69.18	68.85	63.22
Arhgap24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.35	49.28	0.0	4.44	4.97	4.42
Asb14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.38	9.98	0.0	0.47	0.45	0.3
Ass1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39.19	53.15	107.04	11.82	14.78	10.45	10.18
Bet3l	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.51	0.0	0.42	0.08	0.44
C87414	0.0	0.0	0.0	0.0	0.0	0.0	0.22	0.0	0.0	0.0	0.0	0.37	0.0	0.08	0.04	0.0
Ccdc37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.25	0.0	3.32	4.92	4.02
Ccl27b	0.0	0.0	0.0	9.17	20.98	0.0	0.0	0.81	0.0	0.0	0.0	4.78	11.75	30.63	28.29	22.96
Cdc45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	67.64	0.0	1.69	2.02	1.86
Celf2	1.27	0.09	0.0	61.24	25.78	0.0	0.0	18.32	49.89	25.36	20.87	101.38	30.1	156.21	143.45	158.65
Chmp1a	0.0	0.0	0.46	85.39	7.66	0.0	0.0	0.97	48.14	49.29	92.74	128.73	64.9	102.44	108.41	114.89
Cnn2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	61.17	0.0	8.76	9.25	6.05
Cr2	0.18	0.0	0.94	0.0	0.0	1.61	0.74	0.0	0.0	1.46	0.0	23.02	0.15	0.31	0.33	0.57
Cstf2	0.0	0.0	0.45	0.28	0.25	0.0	0.0	1.2	0.19	6.03	23.8	64.45	7.28	76.47	73.56	73.98
Dab2ip	0.0	0.0	0.0	0.64	1.42	0.0	0.0	0.39	0.0	0.0	0.0	15.97	4.82	63.93	64.06	67.56
Ddost	0.0	0.0	205.25	0.3	0.93	0.0	3.27	0.0	3.2	13.13	29.24	0.0	27.48	90.48	89.33	90.61
Ddx19b	0.0	0.0	0.0	0.09	0.37	0.0	0.0	0.0	3.75	0.0	11.63	91.07	0.0	19.6	17.52	18.66
Dmc1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.44	0.0	1.22	0.98	0.61
Dnajb7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	48.13	0.0	0.25	0.16	0.26
Dsc2	0.0	0.0	0.0	0.13	0.05	0.0	0.0	0.0	0.0	0.0	0.0	18.45	0.0	0.49	0.63	0.73
Dsn1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.3	62.65	0.0	4.16	3.47	3.58
E130003G02Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.72	0.0	17.1	18.6	20.92
Ei24	0.0	0.0	37.62	0.0	8.29	0.0	0.0	0.0	13.88	37.03	9.55	0.0	0.0	108.32	105.12	104.99
Ephb6	0.0	0.0	0.0	1.82	1.76	0.0	0.0	0.0	0.0	16.82	1.51	92.34	0.25	93.01	90.46	96.16
Evi5	0.0	50.35	0.0	25.82	4.47	0.0	61.63	22.59	27.26	0.0	0.24	54.25	0.0	37.73	31.34	34.56
Fam100b	0.0	0.0	0.0	0.0	0.3	0.0	114.41	0.0	8.94	0.0	0.0	25.32	2.95	11.23	11.08	14.35
Fam65c	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.79	0.0	0.37	0.32	0.21
Fbxo41	0.0	0.0	0.0	0.0	0.45	0.0	0.0	0.32	0.0	10.13	0.32	22.56	0.0	61.0	63.74	65.1
Fnbp1	0.13	0.0	0.0	6.16	3.37	8.83	0.54	29.19	0.38	8.08	37.34	64.85	2.7	74.96	74.31	85.84
Frmpd3	0.0	0.0	117.43	0.18	0.07	0.74	0.18	0.0	0.0	6.94	0.23	23.03	0.15	3.41	2.93	3.84
Gm13306	0.0	0.0	0.0	9.17	20.98	0.0	0.0	0.81	0.0	0.0	0.0	4.78	11.75	30.63	28.29	22.96
Gm19461	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	78.1	0.0	0.92	0.86	1.05
Gm2506	0.0	0.0	0.0	9.17	20.98	0.0	0.0	0.81	0.0	0.0	0.0	4.78	11.75	30.63	28.29	22.96
Gm5424	0.0	0.0	0.0	0.0	2.67	0.0	0.0	0.0	0.0	18.46	38.66	171.11	26.25	30.0	31.62	29.15
Gm614	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.64	0.0	0.0	0.0	0.0
Gmeb2	0.0	0.0	0.97	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18	24.46	16.83	13.87	14.58	15.2
Gna11	0.0	0.0	0.0	0.0	1.84	0.0	0.0	1.28	0.0	40.59	32.33	46.28	27.23	93.39	96.94	92.94
Gpr123	39.49	0.0	121.58	3.4	0.94	0.97	0.0	2.19	0.0	37.38	37.27	217.8	14.3	36.08	38.01	37.63
Gramd4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17	23.54	0.11	30.74	29.31	32.63
H1f0	0.0	0.0	0.0	1.77	0.0	0.0	0.0	0.0	2.92	1.39	28.55	16.38	18.19	107.13	118.43	108.08
Hist1h2bj	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.54	0.0	1.48	0.68	0.93
Hist1h2bl	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.54	0.0	0.0	0.0	0.0
Hist1h2bm	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.54	0.0	0.37	0.0	0.0
Hjurp	0.55	0.0	1.99	0.18	2.35	0.0	0.0	0.21	0.0	0.92	0.0	16.59	0.1	4.39	4.59	4.52
Hsd17b7	0.0	0.0	0.0	18.86	0.1	0.27	0.32	424.47	0.16	27.32	20.46	73.07	0.1	16.8	15.36	15.83
Igf2bp2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.0	1.23	0.97	1.26
Itpripl1	0.52	0.0	0.29	0.0	2.02	1.25	0.29	4.02	0.47	0.37	0.0	1.27	14.41	1.8	1.26	1.4
Kcnh6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.6	0.0	1.73	1.89	2.07
