	Ctgf_tdTpositive_cell_12	Ctgf_tdTpositive_cell_15	Ctgf_tdTpositive_cell_17	Ctgf_tdTpositive_cell_19	Htr3a_tdTpositive_cell_99	Htr3a_tdTpositive_cell_111	Nos1_tdTpositive_cell_49	Ntsr1_tdTpositive_cell_20	Ntsr1_tdTpositive_cell_26	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_35	Ntsr1_tdTpositive_cell_38	Ntsr1_tdTpositive_cell_39	Ntsr1_tdTpositive_cell_40	Ntsr1_tdTpositive_cell_42	Ntsr1_tdTpositive_cell_43	Ntsr1_tdTpositive_cell_44	Ntsr1_tdTpositive_cell_48	Ntsr1_tdTpositive_cell_49	Ntsr1_tdTpositive_cell_50	Ntsr1_tdTpositive_cell_57	Ntsr1_tdTpositive_cell_59	Ntsr1_tdTpositive_cell_64	Rbp4_tdTpositive_cell_4	Rbp4_tdTpositive_cell_21	Rbp4_tdTpositive_cell_41	Rbp4_tdTpositive_cell_65	Rbp4_tdTpositive_cell_80	Rbp4_tdTpositive_cell_139	Rbp4_tdTpositive_cell_165	Scnn1a.Tg3_tdTpositive_cell_61	Scnn1a.Tg3_tdTpositive_cell_62	Slc17a6_tdTpositive_cell_24	Vip_tdTpositive_cell_69	Ntsr1_tdTpos_10cell_2	Ntsr1_tdTpos_10cell_8	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	CAV_LP_Ipsi_tdTpos_cell_1	CAV_LP_Ipsi_tdTpos_cell_7	CAV_LP_Ipsi_tdTpos_cell_10	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28	CAV_LP_Ipsi_tdTpos_cell_32	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
0610009L18Rik	0.0	0.0	0.0	1.09	1.25	0.0	48.62	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9	8.38	0.0	0.0	0.0	0.0	0.0	0.0	0.52	1.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.69	10.08	8.12
1110017D15Rik	0.0	1.16	0.0	0.0	0.0	0.0	45.91	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.76	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.71	3.93	4.21	0.0	0.0	0.0	0.0	3.86	0.0	0.0	0.0	0.0	1.82	3.21	3.68
1700009C05Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.39	0.12	0.13
1700055N04Rik	0.0	0.0	0.0	0.0	0.0	0.0	2.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.11	0.06
2310034O05Rik	0.0	0.0	0.0	0.0	0.0	0.0	42.62	0.0	0.34	0.0	0.0	0.0	0.0	0.0	0.0	1.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.28	0.0	0.0	0.64	0.18	0.51
2610002J02Rik	0.0	0.0	0.0	0.0	0.0	0.0	171.41	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	73.01	0.0	5.04	15.95	0.0	0.0	0.0	0.0	12.44	0.0	120.34	0.56	0.0	12.74	0.0	50.41	4.31	9.92	10.35	0.0	0.0	5.65	0.0	0.0	0.0	0.0	0.0	182.04	25.55	28.57	26.96
6330403A02Rik	0.0	0.0	0.0	0.0	0.0	0.0	31.47	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.77	2.55	0.07	2.86	9.05	17.17	3.28	0.0	0.0	0.0	0.0	1.62	0.0	0.06	0.0	0.26	0.0	0.0	4.83	0.0	0.0	0.0	0.0	0.0	0.0	0.0	129.61	129.26	131.62
A930038C07Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.77	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.39	6.69	7.57
AI182371	1.64	0.76	0.39	0.39	0.22	0.58	23.77	0.87	0.43	0.0	0.17	0.0	0.0	0.15	0.34	0.35	0.26	0.22	0.43	1.77	0.0	0.0	0.0	0.4	2.89	0.0	1.01	1.84	0.47	0.55	5.35	0.37	1.43	0.29	0.65	0.15	0.23	0.35	0.0	0.42	0.25	0.0	0.41	0.68	0.0	0.51	0.0	0.0	0.45	2.33	1.96	2.38
Aggf1	9.1	0.0	0.0	8.36	0.0	19.24	89.85	0.0	4.28	12.51	4.04	0.0	0.0	0.0	0.17	0.12	0.0	0.11	6.65	24.6	36.55	0.0	40.11	16.35	6.27	10.94	0.93	7.92	5.58	12.92	0.0	0.0	73.58	0.0	23.66	17.98	16.77	28.37	10.19	16.03	36.83	0.0	0.0	0.0	44.92	0.14	0.0	0.0	0.54	49.99	49.32	47.48
