	Calb2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_43	Chrna2_tdTpositive_cell_54	Cux2_tdTnegative_cell_12	Gad2_tdTpositive_cell_24	Gad2_tdTpositive_cell_43	Ndnf_tdTnegative_cell_6	Ndnf_tdTnegative_cell_10	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_7	Pvalb_tdTpositive_cell_12	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_26	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_74	PvalbF.Gad2_tdTpositive_cell_77	Rbp4_tdTpositive_cell_51
1110012L19Rik	557.45	0.0	215.57	0.0	0.0	0.0	0.0	0.0	102.42	151.65	0.0	63.5	48.01	33.5	55.11	83.92	0.0	0.0	91.77	0.0	75.99	0.0	69.93	229.42	0.0	98.16
A230073K19Rik	0.0	7.04	0.24	0.0	0.27	38.43	0.0	0.0	0.0	20.56	29.6	3.12	34.33	38.62	20.89	36.93	45.82	56.27	18.33	22.55	25.63	18.27	28.61	49.24	28.46	35.79
Aars	0.0	0.0	0.05	0.0	0.0	78.34	0.0	0.0	24.05	58.27	53.52	52.86	100.31	49.36	32.65	89.16	18.8	56.81	46.88	35.67	49.97	42.92	50.1	86.58	109.96	80.96
Adck5	0.0	0.0	8.13	0.0	0.0	0.0	0.0	0.0	0.0	45.21	0.0	0.0	46.97	0.27	0.0	26.37	0.0	90.45	2.48	3.72	58.26	0.0	1.57	104.22	0.0	144.65
Ankrd46	0.0	0.33	135.13	0.19	0.0	493.72	25.78	372.5	143.87	231.17	381.63	184.94	348.99	457.85	230.43	239.55	2.26	144.15	267.28	182.55	137.34	425.0	386.7	441.05	168.34	256.36
Arhgdia	0.0	41.61	0.0	7.88	0.0	72.64	0.0	0.0	71.99	22.39	75.0	62.82	80.98	1.39	55.84	17.35	0.0	24.56	31.67	1.93	51.29	32.18	41.84	114.43	0.14	47.06
Armc8	0.1	93.23	0.1	0.0	0.0	83.6	0.06	0.0	95.94	24.52	40.49	4.93	83.37	29.32	1.3	71.55	56.1	68.31	36.35	63.45	60.46	41.1	54.32	220.96	233.83	38.71
Bdp1	0.0	0.0	0.07	0.0	0.0	12.4	0.0	0.0	0.0	9.82	1.29	0.38	10.58	0.54	0.25	0.77	0.92	0.03	13.48	1.76	11.47	8.89	11.3	15.76	8.12	11.65
Btbd3	1.92	101.99	13.95	0.0	0.0	261.54	0.06	0.0	61.01	152.8	154.62	125.85	256.08	174.68	132.95	128.89	40.81	195.65	119.14	137.66	103.84	46.94	46.88	390.5	139.29	236.92
Cbfa2t2	0.09	67.48	25.88	0.19	0.21	43.08	0.26	0.06	30.41	22.44	78.43	74.52	75.01	35.35	34.55	65.88	63.7	97.52	23.28	51.34	87.96	79.7	47.04	157.75	80.88	51.79
Cend1	0.0	331.47	486.97	0.0	0.0	361.24	0.17	0.0	443.5	680.52	601.94	564.87	633.53	723.22	464.09	920.13	673.66	671.84	878.53	682.7	902.93	466.54	435.81	1126.05	580.48	793.53
Cib2	0.0	5.05	0.0	0.0	0.0	1.83	0.0	0.0	0.0	0.0	0.0	0.0	1.14	30.57	0.0	0.0	0.0	0.0	16.51	0.0	0.0	0.0	0.0	50.91	10.26	0.0
Cwf19l2	0.0	0.0	6.47	0.0	20.64	3.98	0.0	0.0	1.56	1.56	11.01	2.05	2.38	15.95	26.49	0.0	7.4	2.08	21.38	24.16	2.36	29.69	13.51	97.89	58.55	12.76
Dimt1	0.0	0.0	0.58	0.0	0.0	17.57	0.0	0.0	11.07	9.4	41.23	31.27	58.15	44.63	16.96	49.31	25.09	74.65	79.36	22.12	26.52	22.71	31.41	139.06	80.71	50.67
Dzip1	0.0	0.06	2.72	0.0	0.0	20.93	0.0	0.0	0.61	6.67	12.12	36.57	21.59	6.97	30.21	7.91	14.12	12.37	18.05	3.39	23.17	19.92	22.33	38.9	14.78	34.57
Entpd4	0.0	0.0	0.0	0.0	0.0	73.63	0.0	0.0	0.0	23.34	35.13	47.93	0.26	19.13	75.58	57.33	61.83	73.97	53.68	66.68	19.42	24.77	67.52	117.09	0.61	54.61
Ewsr1	0.0	18.54	21.4	17.01	0.21	138.84	0.12	0.0	30.47	19.77	16.74	35.29	50.17	39.19	61.18	67.85	24.15	22.06	20.57	54.34	15.88	28.07	26.24	122.97	45.37	39.06
Far1	1.58	6.94	0.0	0.0	0.0	196.63	0.0	0.0	40.91	15.05	60.55	26.92	102.95	42.5	37.38	58.25	3.05	155.42	142.75	132.38	51.09	71.79	14.81	186.71	63.32	68.49
Far2	0.0	0.11	0.0	0.0	0.0	237.07	0.0	0.0	0.0	13.94	55.63	32.28	79.01	15.66	18.2	0.0	54.95	77.17	49.63	46.59	33.85	0.0	5.92	104.58	112.88	1.95
Fkbp14	0.0	0.0	0.0	0.0	0.0	59.03	0.0	0.0	0.0	0.0	0.0	0.0	32.0	0.0	0.0	0.0	0.0	0.0	0.0	6.83	0.0	0.0	0.0	120.89	5.94	34.96
Gadd45gip1	0.0	0.0	0.0	0.0	0.0	0.95	0.0	0.0	0.16	1.72	16.51	8.51	0.46	24.37	0.0	2.32	0.0	0.0	0.0	3.41	12.36	0.0	0.0	60.23	2.36	0.0
Gm14430	0.0	1.3	0.0	0.0	0.0	17.66	0.0	0.0	0.0	14.72	1.87	26.14	6.05	13.5	14.04	13.46	3.07	11.03	18.55	13.57	4.08	0.54	8.34	11.23	30.75	2.38
Gm14434	0.0	1.3	0.0	0.0	0.0	17.66	0.0	0.0	0.0	14.72	1.87	26.14	6.05	13.5	14.04	13.46	3.07	11.03	18.55	13.57	4.08	0.54	8.34	11.23	30.75	2.38
Gm4724	0.0	1.3	0.0	0.0	0.0	17.66	0.0	0.0	0.0	14.72	1.87	26.14	6.05	13.5	14.04	13.46	3.07	11.03	18.55	13.57	4.08	0.54	8.34	11.23	30.75	2.38
Haus7	1.45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	84.5	56.47	0.0	43.64	0.0	152.38	0.0	25.17	0.0	65.74	0.0	0.0	133.77	0.0	0.15
Ipo11	0.0	0.76	0.0	0.0	0.0	54.07	0.0	0.0	16.33	7.09	11.25	36.23	25.08	60.59	12.45	26.93	14.77	2.84	31.81	23.69	22.25	17.5	6.91	85.77	71.29	71.32
Isca1	0.25	196.28	104.31	0.0	0.0	282.01	0.0	0.0	231.72	245.76	427.04	421.52	523.93	440.15	380.93	249.09	499.0	513.77	333.15	215.07	354.32	232.77	441.71	1055.49	457.57	266.84
