	Ctgf_tdTpositive_cell_3	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_73	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1700001K23Rik	0.0	0.0	0.0	0.22	0.2	0.22
4833412C05Rik	0.0	0.0	0.39	1.67	1.14	1.69
4930403N07Rik	0.0	0.0	0.0	0.04	0.04	0.04
4931423N10Rik	0.0	0.0	0.0	0.22	0.2	0.22
5730507C01Rik	0.0	5.64	2.4	9.77	7.41	10.68
6720401G13Rik	0.0	17.27	0.0	44.62	43.57	47.95
Atp8b3	0.0	0.0	0.0	0.04	0.04	0.09
Baat1	0.13	0.0	0.0	16.12	19.07	17.68
Blk	0.0	0.0	0.0	0.04	0.04	0.04
Bloc1s3	0.97	2.54	5.21	16.15	16.72	15.16
C1qbp	0.0	13.51	17.92	85.04	87.25	84.09
C8b	0.0	0.0	0.0	0.04	0.04	0.09
Ces1a	0.0	0.0	0.0	0.05	0.05	0.05
Chrdl1	0.0	0.0	0.0	13.31	9.73	10.69
Cyp2d22	0.0	0.0	0.0	19.18	21.16	19.79
Derl1	0.0	32.6	66.54	49.5	53.94	49.46
Dspp	0.0	0.0	0.0	0.11	0.1	0.11
Dyrk2	0.0	0.0	0.0	30.83	29.09	26.61
E430016F16Rik	0.0	0.0	0.0	0.29	0.27	0.2
Erc2	0.0	8.44	0.99	83.33	78.03	78.63
F13a1	0.0	0.0	0.0	1.61	1.62	1.65
Fam193a	0.0	0.0	11.33	21.4	21.54	21.91
Fbxo2	0.0	0.0	0.0	107.01	122.26	111.07
Foxg1	0.12	0.89	0.17	83.41	89.76	85.33
Foxi1	0.0	0.0	0.0	0.04	0.04	0.09
Gabra6	0.0	0.0	0.0	0.04	0.04	0.08
Gars	0.0	188.78	105.66	126.37	133.97	127.34
Gdf6	0.0	0.0	0.0	0.03	0.03	0.06
Gfra4	0.0	0.0	26.08	40.32	48.59	47.21
Glt28d2	0.0	0.0	0.0	0.4	0.48	0.56
Gm10052	0.0	1.95	0.0	123.8	132.68	117.96
Gm2762	0.0	0.0	0.0	0.42	0.64	0.79
Grid1	0.0	0.0	0.0	37.83	37.1	39.08
Grlf1	0.05	26.11	2.2	71.07	67.29	71.92
Gtf3c5	0.0	2.49	0.15	14.14	16.14	16.26
Hapln2	0.22	0.0	0.0	17.51	18.9	20.68
Hhla1	0.0	0.0	0.0	0.04	0.04	0.09
Hipk2	0.0	0.0	0.01	28.24	24.43	35.6
Hist1h2bq	0.0	0.0	0.0	0.38	0.28	0.38
Hist1h2br	0.0	0.0	0.0	0.38	0.28	0.38
Hist1h3f	0.0	0.0	0.0	0.14	0.14	0.14
Hoxc8	0.0	0.0	0.0	0.04	0.04	0.09
Hoxd8	0.0	0.0	0.0	0.07	0.07	0.07
Ilkap	0.0	0.0	0.0	47.68	51.14	49.31
Islr2	0.0	0.0	0.0	42.31	52.28	43.91
Ism1	0.0	0.0	0.0	6.93	9.57	7.05
Kera	0.0	0.0	0.0	0.05	0.05	0.05
L1cam	0.0	6.81	14.9	86.35	85.24	89.45
Lao1	0.0	0.0	0.0	0.05	0.05	0.05
Lims2	0.25	0.0	0.0	15.04	14.33	12.25
Lipm	0.0	0.0	0.0	0.11	0.1	0.11
Mgat5b	0.0	0.0	0.0	55.22	54.09	52.11
Mgrn1	0.0	0.17	26.6	150.24	149.55	151.89
Msl2	0.0	0.0	0.0	32.92	32.23	29.12
Mtap1s	0.0	0.0	0.0	36.51	42.07	41.64
Muc19	0.0	0.0	0.0	0.44	0.28	0.41
Nkx6-3	0.0	0.0	0.0	0.04	0.04	0.09
Nron	0.0	0.0	0.0	0.03	0.03	0.06
Olfr1420	0.0	0.0	0.0	0.11	0.1	0.11
Opn1sw	0.19	0.0	0.34	0.6	0.49	0.59
Paqr7	0.0	0.0	0.0	65.64	64.06	66.52
Polr3h	0.0	0.0	0.0	29.68	32.84	32.42
Pomt2	0.0	0.11	0.4	14.27	14.89	16.93
Pou3f4	0.0	0.0	0.0	7.52	8.39	8.91
Ppapdc3	0.0	0.0	0.0	26.75	28.17	27.89
Ptgs2	0.0	0.0	0.0	8.98	8.44	8.98
Raver1	0.0	0.0	0.0	24.03	27.41	26.44
Rest	0.0	0.0	0.07	1.98	2.1	2.32
Rhobtb3	0.0	0.11	0.0	13.77	13.12	13.53
Rxrb	0.0	0.24	4.53	56.74	63.91	61.21
Rybp	0.0	19.87	0.0	38.07	36.05	34.87
Scrib	0.0	0.0	0.0	21.03	23.38	23.64
Sema4f	0.0	0.0	3.18	34.99	35.97	35.47
Sema6d	0.0	6.67	21.21	28.79	27.47	31.61
Siah2	0.0	0.0	0.0	16.0	16.68	10.78
Slc2a10	0.13	0.0	0.0	1.2	1.33	1.0
