	Pvalb_tdTpositive_cell_21	PvalbF.Gad2_tdTpositive_cell_23	Tac2_tdTpositive_cell_8	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1700012L04Rik	0.0	0.0	0.0	0.0	0.0	1.03
1700013N18Rik	0.0	0.0	0.0	0.07	0.0	0.0
1700018A04Rik	0.0	0.0	0.0	0.14	0.14	0.3
1700020O03Rik	0.0	0.0	0.0	27.03	25.2	24.49
1700030C10Rik	0.0	0.0	0.0	2.33	1.99	1.81
1810044D09Rik	0.0	0.0	0.0	1.3	1.63	0.67
2010107G12Rik	0.0	0.0	0.11	0.49	0.61	0.28
2010109A12Rik	0.0	0.0	0.0	0.57	0.18	0.2
2310057N15Rik	0.0	0.0	0.0	0.0	0.0	0.0
4632428C04Rik	15.99	0.0	0.0	0.86	1.1	0.67
4930403N07Rik	0.0	0.0	0.0	0.04	0.04	0.04
4930578E11Rik	0.37	0.0	0.0	0.0	0.12	0.2
4933417O13Rik	0.0	0.0	0.0	0.46	0.37	0.2
4933427D06Rik	0.0	0.0	0.0	0.11	0.08	0.23
4933427I22Rik	0.0	0.0	0.0	0.65	0.21	0.73
5033406O09Rik	0.0	0.0	0.0	0.06	0.27	0.26
5730508B09Rik	0.0	0.0	0.0	7.4	5.56	5.65
6030468B19Rik	0.0	0.0	0.0	0.09	0.18	0.19
6720483E21Rik	0.0	0.0	0.0	0.36	0.68	1.02
9530053A07Rik	0.0	0.0	0.0	0.04	0.04	0.05
A230072E10Rik	2.73	1.6	1.99	2.43	2.12	3.27
A530099J19Rik	0.0	0.0	0.0	0.0	0.03	0.0
A930004D18Rik	0.0	0.0	0.0	3.04	3.56	3.04
Adamts4	0.0	0.0	0.0	15.98	17.45	19.48
Adcyap1	0.0	0.0	0.0	18.8	18.12	17.41
Agap3	5.39	0.22	0.1	234.75	249.95	235.85
Akap1	0.0	12.8	0.0	33.56	35.31	33.31
Alox15	0.0	0.0	0.0	0.04	0.04	0.13
Ankrd13b	0.47	1.23	0.0	71.45	73.14	72.36
Ankrd13d	2.97	0.0	0.0	58.38	59.24	61.04
Apc2	7.46	1.04	5.36	49.75	52.05	53.73
Art4	0.0	0.0	0.0	0.08	0.08	0.13
Asb18	0.0	0.0	0.0	0.57	0.4	0.74
Asmt	0.0	0.0	0.0	0.08	0.08	0.09
Azi1	0.0	0.0	0.0	22.71	22.38	21.89
B230209K01Rik	0.0	0.0	0.0	1.7	2.02	2.15
BC017158	0.0	0.0	0.0	20.15	19.36	19.04
Bai1	0.0	0.14	0.0	192.34	203.59	216.02
Batf3	0.0	0.0	0.0	1.73	1.49	1.34
Bcl2l2	83.39	0.79	9.25	106.04	105.91	103.99
Blk	0.0	0.0	0.0	0.04	0.04	0.04
C77080	0.0	0.0	1.92	11.13	11.47	11.18
C8b	0.0	0.0	0.0	0.04	0.04	0.09
Cabp4	0.0	0.0	0.0	0.7	0.66	0.79
Cadm4	1.48	0.0	1.06	252.52	275.65	262.77
Cbln4	0.0	0.0	0.0	14.34	14.47	15.32
Ccdc116	0.0	0.0	0.0	1.85	1.64	1.41
Ccnf	0.0	0.0	0.0	3.85	4.01	4.27
Cdhr3	0.0	0.0	0.0	1.07	1.16	1.1
Ceacam-ps1	0.0	0.0	0.0	0.14	0.14	0.0
Cenpm	0.0	0.0	0.0	3.8	3.93	4.48
Cklf	0.0	0.0	0.0	4.4	3.13	2.53
Cramp1l	5.12	0.41	0.0	16.78	16.92	16.83
Cryga	0.0	0.0	0.0	0.51	0.95	1.04
Cstl1	0.0	0.0	0.0	0.68	0.8	0.53
Ctbp1	0.0	3.61	0.29	170.89	189.26	178.52
Cym	0.0	0.0	0.0	0.08	0.08	0.25
D16Ertd472e	0.0	0.15	0.0	6.05	4.88	5.33
D830046C22Rik	0.0	0.0	0.0	0.08	0.08	0.17
Dap	0.0	0.0	0.0	7.75	7.75	7.79
Diablo	25.08	0.0	0.0	26.91	29.71	30.34
Dock10	0.0	0.0	0.0	18.88	17.07	20.43
Dsg1c	0.0	0.0	0.0	0.32	0.32	0.43
Dtl	0.0	0.0	0.0	7.48	6.4	7.6
Duox2	0.0	0.0	0.0	0.02	0.02	0.03
Ehd2	0.0	0.0	0.0	4.19	5.73	4.23
Epn1	4.97	3.44	0.0	276.13	312.85	304.64
F11	0.0	0.0	0.0	0.04	0.04	0.05
Fam186b	0.0	0.0	0.0	1.11	1.02	1.08
Fam195a	1.02	0.0	19.3	11.87	16.48	13.16
Farp2	0.0	0.0	0.0	3.09	4.05	4.18
Fat4	0.0	0.0	0.0	4.5	3.45	4.21
Fbxo4	0.91	0.26	0.0	3.97	4.73	5.07
Fgfrl1	0.0	0.0	0.0	14.6	15.48	16.45
Figla	0.0	0.0	0.0	0.27	0.13	0.0
Fnip2	0.47	0.1	0.02	8.12	8.72	8.24
Fosb	0.0	0.0	0.0	16.9	14.12	7.05
Foxi1	0.0	0.0	0.0	0.04	0.04	0.09
Gabra6	0.0	0.0	0.0	0.04	0.04	0.08
Ggh	0.0	0.0	79.0	17.29	16.43	16.06
Ghrl	0.0	0.0	0.0	3.58	3.37	4.57
Gif	0.0	0.0	0.0	0.07	0.12	0.0
Gipr	0.0	0.0	0.0	2.77	2.77	3.21
Glp2r	0.0	0.0	0.0	2.36	1.97	1.85
Gltp	0.0	0.0	0.0	48.21	48.29	53.09
Gm10538	0.0	0.0	0.0	0.11	0.05	0.05
Gm13582	0.0	0.0	0.0	0.0	0.04	0.0
Gm13718	0.0	0.0	0.0	0.08	0.08	0.03
Gm1574	0.0	0.0	0.0	0.07	0.07	0.0
Gm16523	0.0	0.22	0.09	0.07	0.11	0.1
Gm4371	0.0	0.0	0.0	0.68	0.52	0.96
Gm4814	0.0	0.0	0.0	0.28	0.28	0.9
Gm6537	0.0	0.0	0.0	1.87	2.32	2.13
