	Chrna2_tdTpositive_cell_43	Ndnf_tdTnegative_cell_1	Ndnf_tdTnegative_cell_10	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_14	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_69	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_63	Rbp4_tdTpositive_cell_51	Scnn1a.Tg3_tdTnegative_cell_12	Scnn1a.Tg3_tdTnegative_cell_16
0610007P14Rik	412.93	0.0	0.0	181.8	181.32	162.98	83.41	64.9	48.22	99.98	38.36	161.33	68.94	141.39	172.26	106.32	189.9	292.36	0.59	0.52
2410004B18Rik	67.13	0.0	0.0	32.68	0.0	0.0	0.0	0.0	0.0	0.0	29.35	0.0	53.15	0.0	15.53	0.0	0.0	13.33	0.0	0.0
2810422O20Rik	146.0	0.0	0.0	0.0	0.0	0.0	0.0	48.4	0.0	0.0	0.0	0.0	0.0	90.4	0.0	48.01	26.16	42.52	0.0	0.0
6330407J23Rik	125.86	29.71	0.0	0.06	0.0	6.73	11.61	9.7	5.72	8.45	12.27	0.31	7.64	1.97	0.14	7.28	12.59	0.54	0.0	0.0
6430548M08Rik	95.73	0.0	0.0	13.26	33.57	28.66	20.54	53.52	49.52	51.54	70.77	42.13	61.38	17.01	25.02	12.27	61.43	42.93	0.0	0.0
AI316807	114.77	0.0	0.0	13.62	6.27	0.0	0.0	0.0	0.0	14.08	7.5	2.98	0.0	0.0	0.0	0.0	36.27	0.14	0.0	0.0
Ahi1	127.35	0.0	0.0	0.0	50.96	17.77	17.77	38.63	8.15	12.53	8.11	20.83	45.05	40.07	29.63	71.28	2.8	65.41	0.0	0.0
Ahr	51.91	0.0	0.0	0.0	17.5	0.48	5.51	0.16	62.76	10.94	0.0	2.08	16.24	0.0	5.05	5.76	6.48	0.21	0.12	0.35
Akap6	59.97	0.0	0.0	17.13	23.2	47.77	23.61	7.39	28.11	25.03	40.29	19.67	11.97	5.85	10.09	7.37	3.96	17.86	0.0	0.0
Ankrd40	104.88	0.0	0.0	41.64	41.46	0.37	44.21	32.31	13.41	22.0	55.73	22.35	89.65	53.72	5.53	31.03	5.34	5.15	0.0	0.0
Bivm	152.6	0.0	0.0	0.0	7.19	0.0	55.0	23.68	23.16	0.0	31.89	76.26	55.81	0.0	0.0	1.51	31.97	9.32	0.0	0.17
Bola1	111.57	0.0	0.0	35.86	55.73	0.0	0.0	0.0	0.0	30.25	39.3	29.27	27.3	0.0	37.71	0.0	49.19	18.67	0.0	0.0
Brd7	157.23	38.5	0.0	61.02	46.53	0.0	0.55	2.14	10.42	22.94	27.87	8.13	79.6	22.12	70.78	86.25	41.38	0.0	0.0	0.0
Cadps	288.05	0.11	0.0	67.77	70.19	121.3	180.24	65.4	77.18	195.13	318.16	84.3	180.37	82.36	100.87	88.82	117.29	129.52	0.0	0.0
Camsap1	34.67	0.19	1.16	13.17	0.32	3.54	8.64	15.54	7.56	11.64	25.41	17.28	17.53	7.47	24.88	2.04	20.32	6.54	0.0	0.0
