	Chrna2_tdTpositive_cell_11	Chrna2_tdTpositive_cell_64	Nkx2.1_tdTpositive_cell_12	Nkx2.1_tdTpositive_cell_15	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_15	Pvalb_tdTpositive_cell_18	Pvalb_tdTpositive_cell_19	Pvalb_tdTpositive_cell_31	Pvalb_tdTpositive_cell_36	Pvalb_tdTpositive_cell_37	Pvalb_tdTpositive_cell_38	Pvalb_tdTpositive_cell_50	Pvalb_tdTpositive_cell_60	Pvalb_tdTpositive_cell_62	Pvalb_tdTpositive_cell_64	PvalbD.Slc32a1_tdTpositive_cell_9	PvalbD.Slc32a1_tdTpositive_cell_11	PvalbF.Gad2_tdTpositive_cell_41	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1700024P03Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21	0.0	0.21
1700061J05Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.11
2010005H15Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.37	0.2
2310028H24Rik	0.31	0.4	0.68	0.41	0.0	1.78	1.34	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.47	32.15	28.96	0.0	0.0	162.12	167.13	173.94
2310065F04Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.14	0.07
3010001F23Rik	11.99	0.0	0.0	0.0	0.0	0.0	0.0	2.09	0.0	0.0	0.0	0.0	1.52	0.0	0.0	51.63	28.3	0.0	0.0	5.16	3.44	3.25
4833403I15Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.09	0.03
4930447K03Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.28	0.2
4930555B11Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.07
8430408G22Rik	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.51	0.45	0.0	0.0	1.02	2.03	0.79
A530013C23Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.04	0.05
A930004D18Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.04	3.56	3.04
Abca13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.02	0.03
