	Calb2_tdTpositive_cell_53	PvalbF.Gad2_tdTpositive_cell_72	Rbp4_tdTpositive_cell_51	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1810041L15Rik	0.0	0.0	8.71	27.73	26.54	27.94
2610301G19Rik	0.0	0.1	57.83	61.22	63.56	61.78
4930443O20Rik	0.0	0.0	0.18	0.14	0.59	0.29
4933401P06Rik	0.0	0.0	0.27	0.8	0.32	1.17
Acsf2	0.0	0.0	0.06	11.92	12.41	12.76
Adarb1	5.24	2.62	82.63	89.82	88.96	96.44
Arhgap23	0.0	0.0	15.34	59.14	63.67	65.13
Asrgl1	0.0	0.0	76.01	135.5	131.32	140.14
Atp2b4	0.0	0.0	0.02	114.5	105.28	114.98
Atp8b3	0.0	0.0	0.0	0.04	0.04	0.09
Blnk	0.0	0.0	0.09	6.24	5.03	7.17
C8b	0.0	0.0	0.0	0.04	0.04	0.09
Cadps2	0.0	0.0	0.04	57.61	59.66	54.73
Camk4	3.15	9.35	17.48	69.62	59.4	72.95
Ccdc162	0.0	0.0	0.06	0.76	0.54	0.56
Ccl27b	0.0	4.94	9.34	30.63	28.29	22.96
Cd244	0.0	0.0	0.0	0.05	0.05	0.05
Ces1a	0.0	0.0	0.0	0.05	0.05	0.05
Chd4	7.5	0.34	47.11	84.9	84.16	82.33
Chtf8	0.0	0.0	24.65	58.89	61.05	55.88
D2Ertd750e	0.0	0.0	0.21	1.01	1.01	0.82
Dexi	0.0	2.42	31.0	45.36	47.95	43.59
Dyrk1b	0.0	0.0	0.08	31.4	31.23	33.79
Etnk2	0.0	0.0	0.09	7.98	7.89	8.87
Evc2	0.0	0.0	6.62	12.45	11.86	12.67
F12	0.0	0.0	0.1	0.61	0.76	0.73
Fam26e	0.0	0.0	0.19	6.85	8.07	7.12
Fam40b	0.0	0.0	25.1	29.59	29.35	28.23
Fezf2	0.0	0.0	0.08	32.59	34.14	29.25
Foxi1	0.0	0.0	0.0	0.04	0.04	0.09
Gm13306	0.0	4.94	9.34	30.63	28.29	22.96
Gm14430	0.0	0.0	2.38	7.67	5.07	7.49
Gm14434	0.0	0.0	2.38	7.67	5.07	7.49
Gm2002	0.0	0.0	0.04	1.73	1.86	1.4
Gm2506	0.0	4.94	9.34	30.63	28.29	22.96
Gm4724	0.0	0.0	2.38	7.67	5.07	7.49
Gm98	0.0	0.0	21.11	20.98	20.99	26.13
Gstt1	0.0	0.0	0.19	13.24	12.22	10.45
Gucy2f	0.0	0.0	0.16	0.43	0.48	0.49
Hhla1	0.0	0.0	0.0	0.04	0.04	0.09
Hist1h2bg	0.0	0.0	1.6	1.29	3.05	3.38
Il11ra2	0.0	0.0	0.04	1.73	1.86	1.4
Itga7	0.0	0.0	2.84	8.62	8.66	9.49
Itpka	0.0	0.0	0.11	230.06	253.04	226.96
Jund	0.0	0.89	6.41	119.0	154.46	141.52
Kcns2	0.0	0.0	0.04	19.88	19.16	22.8
Kera	0.0	0.0	0.0	0.05	0.05	0.05
Krt9	0.0	0.0	0.68	8.31	9.41	8.57
Lao1	0.0	0.0	0.0	0.05	0.05	0.05
March4	0.0	0.0	6.71	14.39	14.5	14.89
Mib1	0.0	23.13	31.61	49.4	40.57	49.68
Nfkbie	0.0	0.0	2.09	1.96	2.38	1.18
Nfkbil1	0.0	0.0	1.35	13.79	14.97	14.94
Nkx6-3	0.0	0.0	0.0	0.04	0.04	0.09
Nod1	0.0	0.0	3.83	3.64	4.16	4.51
Nr2f2	0.11	0.0	5.28	11.59	12.8	12.35
P2ry2	0.0	0.0	0.06	0.26	0.4	0.68
Ppp1r37	0.0	0.0	14.64	117.35	129.34	126.81
Psap	40.63	218.01	405.73	1418.2	1514.0	1419.79
Rab37	0.0	0.84	1.69	2.32	2.28	2.33
Rab5c	0.0	0.0	35.91	172.31	181.94	176.72
Rtn4r	0.0	0.0	0.1	85.39	99.78	92.33
Ryr3	0.0	0.0	0.4	17.2	14.47	16.42
Sart3	0.0	0.0	27.85	32.69	35.28	33.58
Scube3	0.0	0.0	0.78	3.64	4.01	4.9
Serinc4	0.0	0.0	0.84	2.34	1.84	2.33
Slc26a4	0.0	0.0	0.06	5.18	3.82	4.68
Sp140	0.0	0.0	0.15	0.88	0.58	0.85
Synb	0.0	0.0	0.17	0.26	0.32	0.27
Tas2r137	0.0	0.0	0.0	0.1	0.1	0.1
Tbc1d30	0.0	3.82	18.96	56.82	56.2	53.74
Tlr4	0.0	0.0	0.04	1.05	0.6	0.58
Ttc39d	0.0	0.0	0.0	0.05	0.05	0.05
Ugt8a	0.0	0.0	39.95	44.13	40.77	48.35
Vmn2r118	0.0	0.0	0.0	0.04	0.04	0.09
Wdr96	0.0	0.0	0.78	0.96	0.74	0.61
Wiz	0.0	0.19	17.13	26.19	27.84	28.92
Xpo7	4.58	12.23	18.21	19.84	19.5	19.17
Zp3r	0.0	0.0	0.0	0.05	0.05	0.05
c13_LSU-rRNA_Hsa	37.18	24.34	81.19	480.93	511.37	581.99
c5_tRNA-Cys-TGY	13.4	22.25	41.16	60.51	60.74	63.12
mt_AK131586	0.0	0.0	0.0	25813.35	24091.17	24561.45
mt_AK166684	0.0	0.0	15.09	18796.57	17507.83	18655.33
mt_BC104337	0.0	0.0	10.88	9032.87	8417.95	8583.15
