	Cux2_tdTpositive_cell_9	Cux2_tdTpositive_cell_16	Cux2_tdTpositive_cell_59	Cux2_tdTpositive_cell_90	Cux2_tdTpositive_cell_95	Cux2_tdTpositive_cell_99	Cux2_tdTpositive_cell_101	Cux2_tdTpositive_cell_108	Cux2_tdTpositive_cell_109	Cux2_tdTpositive_cell_114	Cux2_tdTpositive_cell_118	Cux2_tdTpositive_cell_119	Cux2_tdTpositive_cell_120	Cux2_tdTpositive_cell_121	Cux2_tdTpositive_cell_122	Cux2_tdTnegative_cell_8	Ntsr1_tdTpositive_cell_43	Ntsr1_tdTpositive_cell_53	Ntsr1_tdTpositive_cell_57	Ntsr1_tdTnegative_cell_35	Ntsr1_tdTnegative_cell_51	Rbp4_tdTpositive_cell_40	Rbp4_tdTpositive_cell_165	Slc17a6_tdTpositive_cell_4	Slc17a6_tdTpositive_cell_10	Slc17a6_tdTpositive_cell_12	Slc17a6_tdTpositive_cell_14	Slc17a6_tdTpositive_cell_17	Slc17a6_tdTpositive_cell_22	Slc17a6_tdTpositive_cell_25	Slc17a6_tdTpositive_cell_27	Slc17a6_tdTpositive_cell_29	Slc17a6_tdTpositive_cell_42	Slc17a6_tdTpositive_cell_44	Slc17a6_tdTpositive_cell_46	Slc17a6_tdTpositive_cell_47	Vip_tdTpositive_cell_29	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	CAV_LP_Ipsi_tdTpos_cell_6	CAV_LP_Ipsi_tdTpos_cell_31	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
2210016F16Rik	0.15	3.64	0.0	0.0	6.53	0.25	0.0	0.84	0.0	2.7	0.0	4.75	5.5	0.01	0.49	0.0	37.53	0.1	0.0	2.98	8.27	0.29	0.46	0.0	1.32	0.37	0.0	0.0	0.0	0.25	3.41	0.0	1.71	0.11	0.0	0.0	0.0	0.63	0.49	1.6	1.97	0.0	7.76	8.47	8.83
2310030G06Rik	0.0	0.0	0.0	0.0	0.0	0.0	95.41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	134.55	0.0	0.0	0.75	0.0	0.0	0.0	0.64	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.21	9.65	13.49	0.0	0.0	3.91	3.21	2.93
2310034O05Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.1	0.0	0.06	0.0	0.18	1.8	0.0	0.0	0.0	0.0	0.0	0.24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.64	0.18	0.51
2700060E02Rik	0.0	0.32	0.3	1.69	65.88	0.0	4.61	0.0	6.16	7.5	87.15	38.22	77.12	33.02	41.82	102.0	359.69	1.31	70.31	0.0	0.0	91.89	81.12	34.45	1.68	110.69	40.09	45.87	15.78	38.6	344.83	153.43	92.14	0.0	46.38	0.0	0.0	37.22	48.71	47.05	24.52	0.0	72.6	80.5	71.95
4921525B02Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.88	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.48	0.0	0.0	0.0	0.0	3.65	3.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.69	0.34	0.57	0.0	0.0	1.3	1.18	1.69
4930428G15Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.67	0.0	0.53	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.12	0.0
4930503L19Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.73	0.0	96.72	0.0	0.0	0.0	50.67	0.0	9.08	49.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.73	10.71	4.72	0.0	0.0	9.54	8.23	8.91
4933404O12Rik	0.74	0.72	0.86	0.92	0.0	0.89	0.48	0.62	0.24	0.62	0.44	6.24	0.96	127.52	0.65	0.0	14.52	0.23	0.69	2.93	0.4	0.29	1.28	0.44	1.46	0.2	0.77	1.38	1.07	0.73	0.88	0.24	1.26	0.36	1.13	0.42	0.0	10.19	7.36	3.87	0.23	0.37	10.18	9.87	10.02
5430437P03Rik	0.0	18.13	0.57	84.81	0.0	4.9	0.48	0.0	54.27	0.0	74.47	14.96	0.06	56.0	51.61	0.0	245.95	0.18	63.36	0.0	0.0	0.0	13.05	9.39	62.29	0.0	23.16	0.0	0.77	51.24	0.0	0.0	0.0	3.21	76.92	1.71	3.13	21.71	45.89	26.59	97.81	0.98	71.98	80.84	71.14
9230102K24Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	126.79	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.35	2.43	3.28	0.0	0.0	0.15	0.14	0.16
