	PvalbF.Gad2_tdTpositive_cell_68	Scnn1a.Tg3_tdTnegative_cell_6	Tac2_tdTpositive_cell_4	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1700028E10Rik	0.86	0.0	0.0	0.31	0.49	0.4
1700037C18Rik	24.7	0.0	0.0	7.08	6.57	8.06
2810030E01Rik	20.97	0.0	0.0	6.23	6.35	6.67
3110039I08Rik	19.73	0.0	0.0	1.83	2.65	1.74
4921509O07Rik	0.62	0.0	0.0	0.0	0.0	0.0
4931420L22Rik	2.71	0.81	0.0	0.55	0.73	1.24
4933400C23	6.36	0.0	0.0	0.0	0.05	0.0
6430411K18Rik	18.56	0.0	0.0	7.85	6.91	5.85
9930013L23Rik	57.84	0.0	0.26	10.36	9.9	9.73
A330050B17Rik	46.72	1.09	4.83	4.99	4.82	5.88
A730098P11Rik	60.94	0.0	0.0	0.34	0.42	0.31
Adck4	72.8	0.0	0.0	21.52	23.98	23.52
Adprhl2	90.55	0.0	0.0	25.62	29.26	27.27
Aldh16a1	63.03	0.0	0.0	4.84	6.3	5.31
Ankrd50	66.52	0.0	4.87	20.09	18.87	19.18
Anxa4	28.4	0.0	0.0	7.07	5.92	5.98
Atp6v0e	225.46	0.0	23.02	38.78	42.16	39.85
B3gntl1	60.73	0.0	0.49	5.52	4.77	6.45
B430010I23Rik	6.79	0.0	0.0	0.0	0.04	0.09
Brwd3	35.39	0.0	0.19	4.98	3.43	4.99
Ccdc103	62.74	0.0	0.34	4.31	3.9	4.44
Ccdc120	20.52	0.0	0.0	8.32	7.71	7.36
Ccdc85a	37.97	0.0	0.19	32.38	31.89	32.47
Cd300lf	2.9	0.0	0.0	0.11	0.04	0.11
Ces5a	21.19	0.0	0.0	0.98	1.19	0.95
Ciita	1.08	0.0	0.0	0.55	0.48	0.46
Cox6b2	36.63	0.0	0.0	2.27	4.39	3.32
Cyp2j11	0.21	0.0	0.0	0.0	0.0	0.0
Cyp2j8	21.02	0.0	0.0	0.2	0.12	0.07
D130017N08Rik	135.55	0.0	0.0	17.4	13.19	14.63
D330022K07Rik	57.31	0.21	0.37	3.97	3.26	5.42
Dchs1	12.01	0.0	0.0	4.95	4.93	6.13
Dppa1	0.18	0.0	0.0	0.09	0.04	0.09
Ebi3	25.16	0.0	0.0	2.23	1.37	1.42
Efemp2	87.02	0.0	10.13	11.43	10.15	12.02
Egln3	34.47	0.0	0.0	9.44	10.01	9.21
Entpd5	61.65	0.83	0.0	18.49	18.83	19.07
F630042J09Rik	1.69	0.17	0.59	0.79	0.55	0.54
Fam13a	61.09	0.0	13.76	11.87	11.44	10.98
Fam89b	54.59	0.0	0.0	32.44	40.56	39.9
Gcat	41.75	0.0	0.0	8.17	8.8	8.4
Gk5	7.54	0.19	0.12	2.47	2.24	2.14
Gm10147	0.48	0.0	0.0	0.0	0.0	0.0
Gm16405	0.3	0.0	0.0	0.0	0.0	0.0
Gm16430	0.3	0.0	0.0	0.0	0.0	0.0
Gm1976	162.83	0.29	0.68	34.3	32.06	31.76
Gm2030	1.87	0.0	0.0	0.0	0.0	0.0
Gm20597	3.77	0.1	0.34	0.83	0.62	0.88
Gm4636	37.62	0.0	0.0	2.96	2.71	2.71
Gm5431	6.98	0.0	1.67	1.84	1.04	1.82
Gm6787	76.8	0.0	0.0	0.99	0.19	0.37
Gm826	3.74	0.0	0.0	0.09	0.09	0.19
Gpr82	42.58	0.0	0.0	0.08	0.04	0.04
Hfm1	29.49	0.0	0.0	1.8	1.32	1.91
Hilpda	236.57	0.0	0.0	9.75	7.83	9.75
Hmbox1	60.66	0.0	0.0	27.51	23.7	33.14
Hspb9	59.94	0.0	0.0	0.71	0.27	0.29
Jmjd5	69.62	0.21	0.0	4.29	6.17	4.6
Kif9	89.25	0.0	0.0	4.63	4.25	5.51
Klhl14	44.8	0.0	0.0	1.96	2.26	2.37
Lrrc51	100.83	0.0	0.0	7.57	8.87	7.42
Lrrcc1	55.39	0.0	0.0	11.81	7.55	12.27
Mageh1	141.05	0.0	0.0	44.54	47.27	47.03
Mastl	35.99	0.0	0.0	0.44	0.79	0.74
Mfap5	0.57	0.2	0.0	0.38	0.4	0.94
Mir344d-3	12.74	0.0	0.0	0.0	0.0	0.0
Mir344f	16.74	0.0	0.0	0.0	0.0	0.0
Mob3a	35.08	0.0	0.0	9.79	9.59	9.62
N4bp2	8.85	0.0	0.0	3.81	3.48	4.38
Nagpa	50.16	0.0	0.29	10.16	10.63	10.4
Nhs	42.53	0.0	0.0	2.18	1.87	2.19
Nkx2-3	0.17	0.0	0.0	0.0	0.0	0.0
Ntf3	65.07	0.0	0.0	2.09	3.6	3.5
P2ry13	27.27	0.0	0.0	11.22	10.65	13.6
Pank3	74.08	0.0	20.93	33.92	30.94	31.12
Pcdha8	78.32	0.0	0.0	0.65	0.35	1.17
Phf7	61.4	0.0	0.0	4.7	4.52	4.8
Pim1	8.72	0.0	0.0	3.01	2.46	3.89
Psg29	1.36	0.0	0.11	0.32	0.21	0.35
Rnf26	117.38	0.0	0.0	29.58	32.83	33.78
Slc44a5	18.0	0.0	0.0	6.71	6.51	7.08
Slitrk1	92.14	0.0	0.0	69.52	64.99	66.52
Snord57	19.16	0.0	0.0	0.0	7.05	3.86
Spag5	44.03	0.0	0.0	10.75	9.88	10.8
Ss18	70.78	0.38	0.0	19.72	21.07	19.57
Ssh3	55.97	0.0	0.0	29.63	30.64	31.84
Syde1	40.95	0.0	0.0	7.16	8.07	7.39
Tacstd2	37.62	0.0	0.0	0.56	0.27	0.41
Tep1	8.98	0.0	0.07	2.74	1.94	2.62
Thsd1	38.09	0.0	0.0	2.3	2.63	2.93
Tnfrsf23	44.4	0.0	0.0	1.68	1.55	1.71
Tnpo2	33.67	0.0	3.79	98.65	98.42	99.6
Tomt	54.53	0.0	0.0	9.67	7.27	7.96
Trp53rk	19.48	0.82	0.49	3.58	3.22	2.95
Uprt	72.31	0.0	0.0	8.86	6.82	7.52
Zbtb34	16.9	0.31	0.1	10.73	10.32	10.94
Zfp14	71.71	0.0	0.0	7.19	7.32	7.71
Zfp616	1.17	0.0	0.0	0.0	0.02	0.0
Zfp668	34.05	0.0	0.0	9.21	9.71	10.33
Zfp735	10.14	0.0	0.0	0.02	0.0	0.0
c9_tRNA-Ala-GCA	53.11	0.0	0.0	8.09	29.31	32.99
mt_AK131586	0.0	0.0	0.0	25813.35	24091.17	24561.45
mt_AK166684	0.0	0.0	0.0	18796.57	17507.83	18655.33
mt_EF437370	9.29	0.0	0.0	0.0	0.0	0.0
