	Gad2_tdTpositive_cell_44	Ntsr1_tdTnegative_cell_5	Ntsr1_tdTnegative_cell_19	Pvalb_tdTpositive_cell_81	Rbp4_tdTpositive_cell_165	Rbp4_tdTnegative_cell_12	Scnn1a.Tg3_tdTnegative_cell_23	Sst_tdTpositive_cell_19	Vip_tdTpositive_cell_16
2810442I21Rik	0.64	1.15	1.37	3.2	1.48	0.3	1.93	1.0	0.0
5430440P10Rik	0.34	0.0	0.0	3.16	1.29	0.25	3.09	0.32	0.47
9230114K14Rik	3.2	1.38	3.36	15.12	9.62	0.71	217.29	3.93	0.0
A130010J15Rik	0.99	0.35	1.23	2.86	2.5	0.43	1.71	0.44	0.0
Alg11	179.52	175.35	9.56	359.33	76.61	5.09	317.29	118.01	7.26
Bambi	0.0	0.0	0.0	0.13	0.78	0.0	0.16	0.0	0.0
Ceacam20	0.4	0.42	0.0	4.08	1.36	0.0	2.05	0.46	0.0
Cinp	29.35	158.72	0.0	349.21	147.76	0.0	328.24	6.98	0.0
D030040B21Rik	1.42	1.63	1.31	3.08	2.77	0.92	3.99	0.9	0.0
Dirc2	0.46	0.63	0.9	140.7	5.23	0.11	43.64	0.55	0.0
Dnajc19	257.65	266.6	287.74	1027.89	301.99	232.26	917.69	291.27	0.0
Fam160b2	4.7	1.31	0.42	9.78	14.64	0.72	11.43	3.87	0.0
Gemin8	1.66	0.97	0.77	462.75	28.89	0.0	45.63	1.53	0.0
Gltscr2	0.0	0.0	0.0	28.46	13.01	0.0	21.44	0.0	0.0
Gm6654	3.66	6.55	2.06	45.24	34.71	18.02	34.04	1.39	0.0
Gnb4	0.0	0.0	0.2	419.93	4.66	0.09	647.82	299.64	0.14
Gtf3c5	0.0	0.0	0.0	325.29	1.11	0.18	425.74	0.0	0.0
Il1rl1	2.73	1.04	0.58	3.25	2.29	1.0	3.26	2.88	0.0
Kif6	0.0	0.0	0.0	155.72	5.48	0.0	149.89	3.2	0.0
Lhx6	0.0	0.0	0.0	0.24	0.24	0.0	0.25	0.11	0.0
Lrp8	0.12	0.0	0.07	0.27	16.82	0.0	0.3	0.13	0.05
Lrrc8e	0.92	1.29	0.0	2.23	0.84	0.93	2.19	1.04	0.0
Phf12	0.0	0.0	0.0	164.88	4.97	0.0	90.71	0.0	0.0
Plp1	38762.16	37183.63	36423.02	27253.74	0.75	33133.41	20573.08	36841.4	0.0
Prdx3	254.04	9.31	19.65	1083.53	261.89	0.0	1039.89	581.82	0.0
Prox2	0.5	0.0	0.0	0.7	1.49	0.56	13.72	0.07	0.0
Prrx1	0.0	0.0	0.0	0.45	0.55	0.0	0.52	0.0	0.0
Ptbp2	0.0	3.74	0.0	320.49	59.21	0.0	375.66	0.0	0.0
Rasgrp3	1.43	2.08	1.07	121.58	5.17	0.46	346.34	0.68	0.0
Rpl28	301.69	277.62	234.87	1217.73	511.62	33.51	1378.82	137.92	89.32
Rpl39	123.79	243.27	0.0	579.07	407.96	0.0	615.28	0.0	73.94
Slc10a1	9.1	8.79	1.13	37.04	15.46	5.15	22.4	18.09	0.51
Slc25a42	8.06	7.95	9.79	34.23	28.15	4.34	228.55	7.86	0.0
Ssbp3	0.0	4.04	0.0	77.97	54.82	0.0	126.05	11.74	0.0
Sumf2	147.75	16.18	1.55	349.89	20.66	2.07	297.63	7.33	0.43
Tll1	0.15	0.28	0.0	5.49	1.01	0.05	1.48	0.16	0.0
Tpm2	0.0	0.0	0.0	1.12	0.12	0.83	0.77	0.0	0.0
Trub2	0.06	0.0	0.0	343.91	2.58	0.0	545.13	14.32	0.0
Vprbp	0.17	0.68	0.9	1.53	5.15	0.47	25.04	0.72	0.14
Zfp385c	0.31	0.28	0.13	1.09	0.96	0.03	0.61	0.49	0.0
