	Chrna2_tdTpositive_cell_54	Ctgf_tdTpositive_cell_3	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_6	Pvalb_tdTpositive_cell_12	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_70	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_49	PvalbF.Gad2_tdTpositive_cell_52	PvalbF.Gad2_tdTpositive_cell_60	PvalbF.Gad2_tdTpositive_cell_63	PvalbF.Gad2_tdTpositive_cell_72	Rbp4_tdTpositive_cell_51	Tac2_tdTpositive_cell_5	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1110006O24Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.7	1.33	2.63	2.47
1110028F11Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.04	0.03	0.08
1600010M07Rik	3.86	0.0	0.0	0.97	0.0	0.0	6.52	0.0	3.77	0.0	2.86	2.76	0.53	0.0	0.0	0.0	1.4	0.34	20.7	1.0	0.81	1.54
1700003M07Rik	0.31	3.22	0.0	2.0	0.98	0.15	1.97	1.98	3.01	3.05	0.92	1.74	0.22	4.09	2.4	0.55	3.75	1.05	5.15	16.32	15.13	17.66
2010107G12Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.05	0.0	0.0	0.12	0.0	0.0	0.19	0.02	0.25	0.49	0.61	0.28
2410018M08Rik	45.63	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24	0.0	0.0	0.0	0.0	0.0	33.55	0.0	0.0	118.08	7.62	7.26	7.47
2700081O15Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.21	0.0	0.0	0.0	0.0	0.13	0.0	0.0	0.0	5.0	25.18	28.18	27.6
4632415L05Rik	0.49	0.68	0.19	0.69	14.9	11.7	2.27	9.06	1.12	1.5	5.17	13.99	5.6	1.68	1.75	8.21	2.9	5.37	63.14	18.82	18.88	18.43
4930402H24Rik	2.1	2.22	0.05	32.41	39.79	22.26	5.56	30.97	55.78	16.23	2.78	4.66	26.97	33.28	5.07	50.3	34.18	17.7	62.42	57.24	53.15	63.64
4930412F15Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	52.63	1.3	1.33	1.4
