	Cux2_tdTnegative_cell_11	Cux2_tdTnegative_cell_12	Rbp4_tdTnegative_cell_2	Rbp4_tdTnegative_cell_3	Rbp4_tdTnegative_cell_4	Rbp4_tdTnegative_cell_16	Rbp4_tdTnegative_cell_21	Scnn1a.Tg3_tdTnegative_cell_4	Scnn1a.Tg3_tdTnegative_cell_16	Scnn1a.Tg3_tdTnegative_cell_24	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1110031I02Rik	0.0	0.0	0.0	1415.37	0.0	0.0	0.0	0.0	0.0	0.0	8.16	9.36	9.56
1110059G10Rik	0.0	0.0	153.2	290.66	0.0	0.0	110.94	0.0	0.0	0.0	6.97	7.2	6.83
1190005F20Rik	0.0	0.0	0.0	415.23	255.77	0.13	0.07	0.0	0.0	0.0	27.73	26.34	23.51
1810018F18Rik	0.0	0.0	0.0	2.23	0.0	0.0	0.24	0.0	0.0	0.88	0.16	0.0	0.12
1810030N24Rik	22.47	0.0	0.0	1090.1	0.0	0.39	0.0	0.0	2.72	0.0	21.98	22.76	24.25
1810031K17Rik	0.0	0.17	0.0	877.64	0.0	0.0	0.0	0.0	0.0	0.0	22.47	21.79	22.66
4833418N02Rik	0.0	0.0	0.0	42.64	0.0	0.0	0.0	0.0	0.0	0.0	0.98	1.18	1.14
4931431C16Rik	0.0	0.0	0.8	169.83	0.0	158.53	0.0	0.0	0.0	0.0	0.78	0.49	0.46
A530032D15Rik	0.0	0.0	0.0	3.31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1
AF067061	0.0	0.0	0.0	58.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Akap8l	0.0	0.0	0.0	1216.4	0.0	0.0	0.0	0.0	0.0	605.39	131.54	137.91	145.39
Aldh3a2	0.0	0.0	0.22	757.47	0.0	0.0	0.0	0.0	0.0	0.0	38.73	39.62	38.0
Ap4e1	0.58	0.2	4.04	91.74	0.91	2.86	0.23	0.35	0.0	1.01	9.83	8.98	10.05
Ash2l	0.0	30.78	0.59	1005.53	0.0	0.0	0.0	0.0	0.0	0.0	38.56	37.74	37.65
Avpr1b	0.0	0.0	0.0	1.05	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.08	0.0
B4galt5	0.0	0.0	0.0	116.26	0.0	0.0	0.0	0.0	0.0	0.0	26.52	28.02	29.16
BC035044	0.0	0.0	0.0	1304.53	0.0	0.0	0.0	0.0	166.66	0.0	0.45	0.82	1.3
Bex6	0.0	0.0	0.0	5.43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Brd1	3.17	0.0	210.42	209.91	0.0	0.07	0.0	0.0	3.5	0.0	30.53	33.71	28.77
Brwd1	48.14	0.0	597.63	335.85	0.0	0.0	0.0	0.1	0.0	0.0	77.01	70.69	76.65
Btbd8	0.0	0.0	0.0	370.15	0.0	0.0	0.0	0.0	0.0	0.0	5.77	4.6	5.31
C5ar1	0.0	0.19	0.55	1940.27	716.7	0.14	81.47	0.0	738.43	567.31	0.64	0.49	0.41
Cd180	0.0	23.82	0.0	114.31	7.87	0.0	14.16	188.56	0.0	0.0	2.08	2.52	3.2
Cd80	0.0	0.0	1.32	182.48	0.23	0.0	0.0	0.0	0.0	0.0	0.68	0.58	0.73
Cdan1	0.0	8.25	0.0	426.88	0.06	0.52	0.0	0.0	0.0	82.26	12.72	12.84	12.6
Cdk12	128.47	0.0	0.09	503.2	0.0	0.05	0.05	0.0	0.0	0.0	11.79	9.97	11.48
Cel	0.0	0.3	0.0	32.0	21.83	0.17	0.09	0.0	1.06	0.0	0.19	0.14	0.05
Chchd8	0.0	0.0	0.0	1490.25	0.0	0.0	0.0	0.0	0.0	0.0	9.16	5.06	5.67
Cish	0.0	0.0	0.0	1050.24	0.0	0.0	0.0	0.0	0.0	0.0	6.09	6.85	5.44
Cnnm3	1.57	0.75	0.38	354.87	0.22	0.35	0.26	0.17	0.2	0.88	16.26	16.32	16.88
Cnot7	0.0	0.0	0.0	1187.97	0.25	0.12	0.0	0.0	0.0	0.0	75.27	68.94	71.07
D17H6S56E-3	0.27	0.0	0.52	92.27	0.0	1.54	0.76	1.16	40.23	0.0	0.78	0.72	0.77
D1Ertd622e	0.0	0.17	0.0	792.5	0.0	0.0	0.0	15.12	0.0	0.0	59.85	58.61	55.96
Derl1	0.0	0.0	0.22	624.63	110.16	0.11	0.0	0.0	0.0	138.73	49.5	53.94	49.46
Dgcr8	0.0	0.0	0.16	644.75	0.0	0.0	0.0	0.0	0.0	0.0	25.08	23.04	22.09
Dnajc13	0.0	0.0	0.09	644.22	0.0	0.0	0.0	0.0	396.48	0.0	30.45	26.54	30.2
Dnase1	0.0	0.0	0.0	754.32	0.0	0.0	0.0	0.0	0.0	0.0	4.66	5.65	5.08
Dtymk	158.97	0.0	695.88	971.41	0.0	0.36	0.19	0.0	284.1	1.3	44.76	46.48	49.68
E330012B07Rik	0.0	0.0	0.0	0.54	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Etaa1	0.0	0.0	0.0	492.29	0.0	0.0	0.0	0.0	0.0	0.0	5.25	5.89	5.8
Evi2b	0.0	0.0	0.19	367.45	0.0	0.1	0.0	0.0	0.17	0.0	0.47	0.37	0.39
Exosc5	0.0	0.0	0.68	925.33	0.0	0.0	0.0	0.0	0.0	0.0	17.53	20.94	15.77
F9	0.0	0.0	0.0	236.39	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.1	0.15
Fam49b	0.11	0.0	26.78	548.7	0.0	76.62	0.1	1.8	0.0	0.0	103.94	106.46	100.9
Fam63b	0.0	0.0	0.19	135.6	0.0	0.0	0.12	0.09	0.0	0.14	33.04	30.27	31.41
Fam96a	409.33	0.41	33.34	1072.86	2.44	2.36	3.25	0.69	11.35	436.84	28.85	27.42	28.14
Fgd3	0.0	0.0	0.22	686.94	0.0	0.0	0.0	0.0	0.0	0.0	5.42	6.06	6.28
Gm10635	0.0	0.0	0.48	2.27	0.0	0.0	0.04	0.0	0.32	0.32	2.45	1.99	1.65
Gm15880	0.09	0.36	0.0	593.37	0.0	0.0	347.24	0.0	0.0	4.17	0.33	0.11	0.24
Gm6034	0.0	0.0	0.0	148.29	0.71	0.0	0.34	0.0	0.0	0.0	0.12	0.06	0.0
Gm6402	0.0	0.0	6.86	331.87	1.18	11.61	3.1	0.0	0.0	12.74	0.95	0.44	0.49
Gna12	0.0	0.0	0.0	472.14	0.0	0.0	0.0	0.0	222.29	0.0	61.33	66.07	72.07
Gnai2	1.5	0.0	35.95	1391.38	123.62	0.0	205.18	62.31	0.0	443.43	159.13	172.93	169.97
Gramd1a	0.0	0.0	0.25	1146.15	0.0	0.0	324.42	0.0	1.13	0.0	82.45	89.35	84.35
Hcrt	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.36	0.5	0.0
Herc2	26.97	0.03	43.75	313.09	72.74	0.0	47.72	0.0	124.09	0.08	67.41	63.82	69.15
Hexb	495.94	9703.91	9085.15	11425.52	9582.1	14686.96	9514.71	9635.73	15255.32	11212.15	141.48	143.82	136.28
Hist4h4	0.44	0.0	9.3	188.26	0.13	0.0	0.24	0.0	0.0	0.0	4.36	3.32	4.89
Hmgxb3	0.0	0.0	0.13	585.5	0.07	0.2	0.0	0.0	0.0	0.0	26.22	26.76	26.53
Hrh2	0.0	0.0	0.0	819.87	0.0	0.0	0.0	0.0	0.0	0.0	6.88	6.71	5.29
Ifngr2	0.97	2.29	148.12	436.78	2.44	18.02	8.91	8.4	92.28	41.14	53.45	56.7	50.92
Igf2as	0.0	0.0	0.14	46.87	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.21	0.19
Ikzf1	0.0	0.0	0.0	790.08	31.03	0.0	8.02	0.0	0.0	0.0	2.34	1.95	2.18
Ints3	0.0	0.0	0.15	274.9	0.0	0.08	0.0	0.0	0.14	0.0	40.59	40.97	41.35
Invs	21.66	0.0	0.42	111.85	0.0	0.0	0.0	0.0	13.78	0.0	7.81	7.46	8.44
Itsn2	0.0	0.0	0.0	257.86	0.0	0.0	3.66	0.0	0.0	0.0	26.86	22.35	29.29
Kcnk6	0.58	0.12	1.17	202.9	0.0	5.08	36.96	3.8	14.34	1.17	3.52	2.75	3.76
Klra19	0.0	0.0	0.0	3.29	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.0
Klrb1f	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Klrk1	0.0	0.0	0.0	260.89	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.03
Krba1	17.95	0.0	0.0	439.34	0.0	0.0	0.0	0.0	0.0	0.0	18.03	18.34	19.19
LOC100504703	0.0	0.0	0.0	789.85	0.0	0.0	0.0	0.0	0.0	0.0	4.33	4.71	4.47
Letm1	0.0	0.0	0.0	482.59	0.0	0.0	0.0	0.0	0.0	0.0	54.68	58.8	55.57
Lrit3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.22	0.31
Lrrc45	0.0	0.0	0.28	637.51	0.0	0.0	0.0	0.0	3.63	0.0	50.3	50.55	54.57
