	PvalbF.Gad2_tdTpositive_cell_3	PvalbF.Gad2_tdTpositive_cell_4	Scnn1a.Tg3_tdTpositive_cell_65	Scnn1a.Tg3_tdTpositive_cell_79	Rbp4_CTX_250ng_1
1520402A15Rik	0.0	0.0	7.96	0.0	20.66
1700101I11Rik	0.0	6.55	570.29	0.0	4.18
1700121L16Rik	0.0	0.0	1.54	0.0	1.11
1810018F18Rik	0.0	0.0	0.64	0.0	0.16
2610018G03Rik	0.0	0.0	118.26	0.0	9.01
2810030E01Rik	0.0	0.0	110.76	0.0	6.23
2810403D21Rik	0.0	0.0	1.0	0.0	1.42
3830408C21Rik	0.0	0.0	135.41	0.0	4.29
4632428C04Rik	0.0	0.0	0.43	0.0	0.86
4930444F02Rik	0.0	0.0	35.55	0.0	0.35
4930480K15Rik	0.0	0.0	0.42	0.0	0.32
4930488B22Rik	0.0	0.0	0.55	0.0	0.01
4933407G14Rik	0.0	0.0	3.87	0.0	0.27
4933412O06Rik	0.0	0.0	11.94	0.0	2.06
4933431G14Rik	0.0	0.0	490.99	0.0	1.07
5730590G19Rik	0.0	0.0	0.12	0.0	0.1
5830416I19Rik	0.0	0.0	352.18	0.0	0.19
A730036I17Rik	0.0	0.0	0.27	0.0	0.5
Acot5	0.0	0.0	143.15	0.0	3.81
Adra1d	0.0	0.0	0.39	0.0	33.16
Alg1	0.0	0.0	3.11	0.0	37.47
Ankrd9	0.0	0.18	95.31	0.0	8.46
B3gnt9-ps	0.0	0.0	9.63	0.0	3.04
Ccdc3	0.0	0.0	421.26	0.0	11.29
Cckar	0.0	0.0	0.29	0.0	0.17
Chrd	0.0	0.14	217.46	0.0	27.09
Cybb	0.0	0.0	0.39	0.0	0.85
D330012F22Rik	93.97	0.82	335.95	1.35	5.35
D6Ertd474e	0.0	0.0	0.66	0.24	0.39
Dcaf4	0.0	0.68	77.07	0.0	19.67
Dlg5	0.0	4.36	0.12	0.0	14.3
Doc2a	0.0	1.23	50.47	0.0	44.38
E130308A19Rik	0.0	0.0	18.47	0.0	5.83
Ect2l	0.0	0.0	8.0	0.0	0.07
Edaradd	0.0	0.0	0.11	0.0	0.13
Exph5	0.0	0.0	72.78	0.0	8.2
Fam109b	0.0	0.0	0.29	0.0	0.83
Fam160a1	0.0	0.0	0.21	0.0	2.19
Fbxl22	0.0	0.0	0.58	0.0	0.24
Ffar2	0.0	0.0	0.49	0.0	0.04
Glt28d2	0.0	0.0	0.27	0.0	0.4
Gm10584	0.0	0.0	63.35	0.0	0.9
Gm13490	0.0	0.0	0.38	0.0	0.05
Gm16845	0.0	0.0	146.44	0.0	1.27
Gm16894	0.0	0.0	382.22	0.0	2.96
Gm3286	0.0	0.0	1.35	0.0	0.15
Gm5084	0.0	0.0	0.25	0.0	0.2
Gpr171	0.0	0.0	376.81	0.0	0.09
Hsd17b13	0.86	2.08	5.85	0.4	4.57
Il7	0.0	0.0	0.76	0.0	0.1
Kif14	0.0	0.12	0.42	0.0	0.36
Lingo3	0.0	0.0	0.27	0.0	33.56
Lpar2	0.08	0.0	0.06	0.0	0.66
Masp2	0.0	0.0	171.09	0.0	1.38
Nnt	0.0	2.95	41.97	0.0	13.06
Oas1a	0.0	0.0	0.5	0.0	1.05
Olfr1443	0.0	0.0	0.21	0.0	0.18
Pax6	0.0	0.0	0.17	0.0	7.13
Pcdhga11	0.0	0.0	1.57	0.0	25.26
Pm20d2	0.0	0.0	0.17	0.0	5.22
Polk	0.11	0.11	0.68	0.0	8.84
Prokr1	0.0	0.0	0.25	0.0	0.1
Prrg3	0.0	0.0	588.93	0.2	27.62
Prrg4	0.0	0.0	0.06	0.0	0.95
Rgs3	0.0	2.18	0.25	0.0	17.25
Rtn4r	0.0	0.0	49.06	0.0	85.39
Sftpb	0.0	0.25	0.48	0.0	0.12
Slc19a1	0.0	0.0	6.42	0.0	14.88
Spint2	0.0	0.0	8.85	0.0	30.38
Tbxa2r	0.0	0.0	0.3	0.0	1.3
Tchh	0.0	0.0	30.31	0.0	4.44
Tdg	0.0	4.03	8.64	0.0	11.07
Tsix	0.0	0.0	0.43	0.0	0.58
Tspan1	0.0	0.0	0.48	0.0	0.3
Txlnb	0.0	0.0	0.21	0.06	0.95
Ube2j2	0.9	1.85	210.95	4.21	7.7
Vill	0.0	0.17	7.68	0.0	5.99
Vit	0.0	0.0	0.35	0.0	2.02
Wdr27	0.0	0.0	0.29	0.0	0.61
Ybx2	0.0	0.0	41.02	0.0	5.29
Zfp526	0.0	0.0	1.1	0.0	7.22
Zglp1	0.0	0.0	41.0	0.0	2.3
c16_SSU-rRNA_Hsa	11160.8	8965.68	2233.42	6017.46	27.19
c17_5S	0.0	0.0	354.47	0.0	7.08
