	Ctgf_tdTpositive_cell_3	Ctgf_tdTpositive_cell_9	Cux2_tdTpositive_cell_6	Cux2_tdTnegative_cell_4	Ndnf_tdTpositive_cell_7	Ndnf_tdTpositive_cell_10	Ndnf_tdTpositive_cell_20	Nr5a1_tdTpositive_cell_35	Rbp4_tdTpositive_cell_70	Rbp4_tdTpositive_cell_74	Rbp4_tdTpositive_cell_89	Rbp4_tdTpositive_cell_95	Rbp4_tdTpositive_cell_133	Rbp4_tdTpositive_cell_134	Rbp4_tdTpositive_cell_176	Rbp4_tdTpositive_cell_177	Rbp4_tdTpositive_cell_178	Rbp4_tdTpositive_cell_185	Rbp4_tdTnegative_cell_6	Rbp4_tdTnegative_cell_9	Rbp4_tdTnegative_cell_13	Rorb_tdTpositive_cell_13	Rorb_tdTpositive_cell_19	Scnn1a.Tg2_tdTpositive_cell_20	Scnn1a.Tg3_tdTnegative_cell_11
1700047I17Rik2	2.63	0.82	53.66	2.15	8.99	6.26	0.0	0.51	12.91	9.76	0.0	3.15	14.27	5.76	7.18	19.37	14.89	9.35	429.48	17.14	0.0	16.3	26.7	32.93	1.05
2010015L04Rik	0.0	1.91	30.06	0.0	0.11	0.0	0.0	0.0	50.16	24.14	0.0	40.4	11.37	5.33	15.21	94.65	34.7	2.37	0.35	87.67	14.43	10.2	84.85	35.22	0.43
2010109I03Rik	0.63	0.0	0.95	0.0	0.0	0.0	0.0	2.08	0.74	1.25	0.0	0.6	2.0	0.46	1.0	1.12	1.44	1.32	0.79	5.87	0.0	2.62	1.35	5.18	3.54
2700029M09Rik	0.0	0.0	4.46	0.3	0.0	0.0	0.0	0.0	56.89	27.81	0.32	1.81	16.43	26.13	0.0	84.18	0.0	6.76	0.0	130.93	0.0	71.21	87.91	65.77	0.0
2810006K23Rik	2.19	1.9	33.48	0.0	15.38	0.58	5.78	17.14	23.22	11.4	0.96	10.67	19.27	20.97	35.19	21.77	36.55	11.24	66.85	44.72	42.74	31.91	17.82	42.37	17.03
A230001M10Rik	0.44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19	0.26	0.0	0.0	0.85	0.0	0.88	1.27	0.6	0.18	4.47	5.5	1.3	0.0	0.31	4.01	3.58
A330050B17Rik	0.0	2.5	7.06	0.0	1.73	2.23	0.0	4.95	4.61	3.43	0.16	4.58	7.69	8.34	8.11	13.99	13.54	4.61	16.3	18.3	6.72	10.65	9.12	20.37	40.51
AY512931	0.0	0.8	5.47	0.71	0.0	0.0	0.0	2.7	4.95	0.79	0.84	1.15	6.93	5.77	1.92	6.78	4.21	2.38	2.5	34.62	0.54	8.98	4.05	16.29	17.01
Acaa1a	0.0	0.0	31.44	2.57	0.0	0.0	0.0	0.75	35.16	14.9	0.0	3.19	0.0	0.0	0.0	3.21	0.0	13.63	0.0	405.91	0.0	37.72	0.1	357.66	0.0
Amy2a2	0.0	0.24	0.29	0.0	0.0	0.0	0.0	0.0	0.49	0.25	0.0	0.0	0.06	0.49	0.11	0.33	1.11	0.06	11.44	0.67	0.39	0.29	0.19	0.77	1.12
Amy2a3	0.0	0.24	0.29	0.0	0.0	0.0	0.0	0.0	0.49	0.25	0.0	0.0	0.06	0.49	0.11	0.33	1.11	0.06	11.44	0.67	0.39	0.29	0.19	0.77	1.12
