	Chrna2_tdTpositive_cell_8	Htr3a_tdTpositive_cell_56	Ndnf_tdTnegative_cell_7	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1110037F02Rik	0.0	0.13	0.0	20.16	18.84	18.64
1700001K23Rik	0.0	0.0	0.0	0.22	0.2	0.22
2310040G24Rik	0.0	0.0	0.0	1.19	1.62	1.63
4930452B06Rik	0.0	0.0	0.0	10.36	11.15	10.85
4931423N10Rik	0.0	0.0	0.0	0.22	0.2	0.22
5730480H06Rik	0.0	0.0	0.0	2.44	1.09	1.49
5930412G12Rik	0.0	0.0	0.26	3.01	2.62	2.25
6030429G01Rik	0.0	0.0	0.0	1.0	1.49	1.45
9230116N13Rik	0.0	0.0	0.0	0.29	0.42	0.53
A330040F15Rik	0.0	0.0	0.0	4.64	3.86	6.29
A730090N16Rik	0.0	0.0	0.0	0.43	0.0	0.3
AA792892	0.0	0.0	0.0	0.7	0.47	0.59
Abra	0.0	0.0	0.0	0.5	0.58	0.35
Acer2	0.0	0.0	0.0	3.41	3.7	2.75
Aktip	40.05	38.06	0.0	88.78	91.41	85.82
Alg6	0.0	0.29	0.0	9.63	9.73	9.54
Allc	0.0	0.0	0.0	1.1	0.58	1.13
Ankrd54	0.0	0.0	0.0	12.32	16.03	13.97
Arap1	0.0	0.0	0.0	8.4	7.5	7.94
Atg9b	0.0	0.0	0.0	2.72	3.14	2.46
Atp8b3	0.0	0.0	0.0	0.04	0.04	0.09
Aurkc	0.0	0.0	0.0	0.17	0.29	0.63
B3gnt3	0.0	0.0	0.0	1.23	1.2	1.61
BC147527	0.0	0.0	0.0	0.18	0.06	0.12
Bbox1	0.0	0.0	0.0	1.35	1.27	2.02
C8b	0.0	0.0	0.0	0.04	0.04	0.09
Cacna1f	0.0	0.0	0.0	0.31	0.15	0.3
Calca	0.0	0.0	0.0	1.85	1.63	1.15
Calhm1	0.0	0.0	0.0	0.1	0.09	0.1
Ccbe1	0.09	0.0	0.0	4.67	4.4	4.37
Ccr10	0.3	0.0	0.0	0.52	0.76	0.83
Cd59b	0.0	0.0	0.0	0.57	0.52	1.12
Cdk18	0.0	0.0	0.0	28.56	32.08	32.29
Cep135	0.0	0.0	0.0	6.14	5.7	5.9
Ces1a	0.0	0.0	0.0	0.05	0.05	0.05
Chst9	0.0	0.0	0.0	0.66	1.38	1.06
Cklf	0.0	0.0	0.69	4.4	3.13	2.53
Clcn1	0.0	0.0	0.0	2.11	1.88	1.6
