	Cux2_tdTnegative_cell_4	Cux2_tdTnegative_cell_5	Cux2_tdTnegative_cell_12	Ntsr1_tdTnegative_cell_3	Ntsr1_tdTnegative_cell_24	Ntsr1_tdTnegative_cell_28	PvalbF.Gad2_tdTpositive_cell_31	Rbp4_tdTnegative_cell_2	Rbp4_tdTnegative_cell_3	Rbp4_tdTnegative_cell_4	Rbp4_tdTnegative_cell_14	Rbp4_tdTnegative_cell_16	Rbp4_tdTnegative_cell_19	Rbp4_tdTnegative_cell_21	Rbp4_tdTnegative_cell_23	Scnn1a.Tg3_tdTnegative_cell_2	Scnn1a.Tg3_tdTnegative_cell_6	Scnn1a.Tg3_tdTnegative_cell_8	Scnn1a.Tg3_tdTnegative_cell_16	Scnn1a.Tg3_tdTnegative_cell_21	Scnn1a.Tg3_tdTnegative_cell_22	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
5730455P16Rik	0.0	1.09	0.0	0.0	0.4	0.76	39.94	0.31	0.23	1.44	1.44	0.53	0.56	2.95	1.68	0.09	0.0	0.51	0.42	6.31	0.08	45.98	44.24	46.5
Ano6	0.0	0.0	0.0	0.0	0.0	359.03	9.74	0.0	0.0	0.0	0.0	0.0	2.79	35.07	713.15	0.0	0.0	139.96	0.0	0.0	0.0	14.32	13.97	14.67
Anxa3	0.0	0.0	0.0	0.0	0.0	5.17	0.0	22.6	322.72	1047.41	758.34	635.42	420.64	1276.39	2440.88	0.0	0.0	0.0	617.07	0.0	0.0	13.23	12.93	15.07
Ap3d1	0.0	0.0	0.0	0.0	0.0	0.0	26.87	0.0	0.13	536.09	0.14	0.22	58.11	0.0	679.26	0.31	0.0	0.0	0.0	429.23	1.34	101.09	98.7	99.17
Atad2	0.0	1.44	0.41	0.0	1.21	3.49	2.99	2.5	2.15	3.79	1.78	1.17	1.23	0.19	4.07	0.09	1.02	0.99	0.4	1.27	0.24	6.56	5.31	6.23
BC020402	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.52	0.0	0.0	0.0	0.0	0.32	0.0	0.0	0.0	0.0	0.0	0.0	6.15	5.46	5.09
Ccdc46	0.0	0.0	0.0	0.0	0.0	0.0	19.12	0.0	0.0	208.71	0.0	0.0	0.0	117.13	397.28	0.0	0.3	0.0	0.0	0.0	0.0	1.91	1.36	2.68
Cd68	0.0	1501.9	19.76	0.0	0.0	1100.78	25.2	4000.78	2211.26	3152.44	1329.49	4020.08	240.9	2473.67	8068.35	828.74	0.0	1368.64	423.91	0.0	0.0	12.02	13.74	13.65
Cenpl	0.08	2.23	0.21	0.4	0.0	1.12	6.83	1.2	1.82	3.71	1.22	0.56	0.79	1.02	2.42	0.34	0.11	0.69	0.18	0.91	0.16	2.05	1.52	1.72
Chd2	0.0	0.0	1.37	0.0	0.0	0.0	10.49	106.94	0.04	28.3	0.0	0.0	0.0	10.49	135.73	16.97	0.0	0.0	0.0	0.0	0.0	18.62	17.08	20.11
