	Chrna2_tdTpositive_cell_14	Chrna2_tdTpositive_cell_54	Cux2_tdTnegative_cell_4	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_49	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_21	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_87	Rbp4_tdTpositive_cell_51
2310010M20Rik	10.92	6.72	2.31	0.36	8.85	8.9	11.64	19.86	16.86	12.31	9.03	13.54	20.52	17.8	15.87	12.23	9.04
4921513I03Rik	1.25	0.0	0.0	0.16	0.26	1.5	1.18	1.69	2.08	2.38	1.79	0.79	1.08	3.57	2.09	1.79	0.45
4930451C15Rik	1.34	7.91	0.3	1.87	7.47	10.81	5.2	19.65	14.25	10.88	6.78	7.52	9.87	15.8	12.67	27.39	9.51
4930511M06Rik	14.24	27.31	0.88	10.35	31.43	66.05	38.21	86.7	68.26	82.59	32.45	53.73	60.3	74.94	48.0	70.02	55.24
9130221F21Rik	2.04	6.25	0.51	0.0	2.57	5.29	6.17	14.88	4.94	5.81	3.27	5.02	9.03	4.89	4.82	9.56	5.51
A730017L22Rik	12.26	24.03	0.0	0.58	38.88	50.48	32.28	69.36	64.62	49.83	40.4	47.63	63.84	52.86	121.21	84.22	51.44
AA536875	0.0	0.02	0.0	0.0	0.6	2.41	0.79	2.22	0.87	0.71	0.91	1.6	2.8	1.48	0.4	0.71	0.78
Amy2a2	0.03	0.0	0.0	0.0	0.14	0.18	0.04	0.14	0.07	0.14	0.14	0.7	0.23	0.42	0.16	0.2	0.09
Amy2a3	0.03	0.0	0.0	0.0	0.14	0.18	0.04	0.14	0.07	0.14	0.14	0.7	0.23	0.42	0.16	0.2	0.09
Amy2a4	0.03	0.0	0.0	0.0	0.14	0.18	0.04	0.14	0.07	0.14	0.14	0.7	0.23	0.42	0.16	0.2	0.09
Atp13a1	0.0	0.0	0.0	0.0	0.0	4.12	28.41	36.23	0.09	17.29	13.26	27.89	19.57	21.68	41.9	23.68	5.09
BC039771	0.61	0.61	0.0	0.0	2.6	0.8	0.88	4.06	5.38	2.94	1.78	1.34	2.2	3.61	1.82	3.79	0.78
Baz2a	0.0	0.0	0.0	0.18	5.48	3.82	1.73	24.29	0.7	19.43	0.65	0.0	2.67	3.32	2.33	20.3	0.0
Btbd16	7.11	10.57	0.0	0.25	12.88	10.38	6.26	15.53	9.51	9.1	8.66	11.86	17.24	21.83	13.72	18.0	7.36
Ccdc82	56.17	86.28	23.03	36.0	92.0	81.63	113.78	135.52	123.6	129.38	49.58	111.15	81.9	140.78	92.89	178.97	73.49
Cdk17	0.07	11.17	0.0	39.56	76.68	28.99	0.13	94.25	47.53	42.23	7.66	18.29	66.23	87.74	0.0	0.09	3.07
Colec12	9.74	8.42	3.67	6.16	13.24	20.14	11.03	21.9	22.96	18.83	9.45	19.24	21.84	19.18	17.96	25.48	14.26
Ctcfl	1.0	0.92	0.0	0.09	1.09	2.48	1.56	4.36	3.79	2.54	1.0	3.16	3.11	4.22	0.91	4.43	2.0
D630045M09Rik	0.24	0.89	0.0	0.4	1.15	3.12	1.11	4.89	8.21	2.62	1.95	4.21	4.13	6.36	7.74	9.4	3.73
Dlgap5	0.95	1.34	0.0	0.34	2.09	2.65	2.03	5.73	7.07	4.58	4.32	4.04	3.09	3.46	3.77	5.82	1.98
E130112N10Rik	0.22	1.48	0.0	0.19	3.61	13.15	7.01	15.26	11.19	11.98	5.81	11.08	5.72	10.44	7.89	13.19	9.97
Eef1a2	26.85	7.48	0.0	0.49	27.26	18.22	32.29	49.35	12.11	74.53	7.11	62.54	46.73	114.12	60.23	36.43	26.42
Efcab4a	0.26	0.21	0.0	0.0	0.54	0.57	0.0	2.48	1.43	0.37	0.17	0.92	1.97	0.0	0.99	1.47	0.99
Eif2ak2	7.01	13.47	0.13	0.0	12.52	17.59	17.7	28.85	23.84	24.96	14.09	22.27	33.13	23.44	26.45	33.87	17.91
Epb4.9	52.29	0.36	0.09	19.53	3.53	11.26	2.88	110.21	55.6	80.06	6.47	8.15	24.59	62.13	9.29	53.85	19.58
Fam169b	4.89	1.71	1.4	0.96	8.33	12.37	6.86	18.78	10.01	14.89	6.59	13.08	16.43	12.02	10.41	14.57	10.92
Frmd3	0.1	0.0	0.0	0.25	0.23	13.44	0.45	132.73	1.35	3.78	0.24	0.64	0.55	62.3	0.94	41.28	0.43
G730013B05Rik	2.03	9.88	0.0	0.88	13.51	9.95	1.73	14.4	7.98	10.26	5.7	13.97	12.95	17.05	9.13	10.46	7.52
Gm11127	11.12	35.0	0.0	12.13	77.61	62.71	47.49	215.26	81.36	79.03	71.03	112.17	131.18	71.62	79.5	34.96	57.96
Gm14430	0.0	0.0	0.0	0.0	14.72	13.46	12.83	28.02	3.07	11.03	13.57	4.08	0.32	9.13	0.54	41.52	2.38
Gm14434	0.0	0.0	0.0	0.0	14.72	13.46	12.83	28.02	3.07	11.03	13.57	4.08	0.32	9.13	0.54	41.52	2.38
Gm4262	2.63	10.82	0.0	8.13	42.47	22.59	45.62	63.82	35.45	31.86	20.93	47.96	54.88	30.22	35.55	35.6	27.3
Gm4724	0.0	0.0	0.0	0.0	14.72	13.46	12.83	28.02	3.07	11.03	13.57	4.08	0.32	9.13	0.54	41.52	2.38
Gm6300	18.02	18.06	0.58	0.56	41.98	45.33	34.98	77.41	75.22	62.52	38.14	52.3	63.9	64.44	69.62	58.62	64.82
Hnrnpa3	12.51	46.86	0.0	53.82	92.12	44.61	142.34	172.29	31.84	107.44	30.3	17.09	129.43	216.68	84.07	169.89	71.93
Inpp4a	57.24	46.59	0.0	148.42	71.38	298.16	220.24	398.82	256.46	300.02	167.82	281.27	371.54	155.65	223.97	285.57	313.73
Itga4	1.8	6.63	0.0	0.28	2.83	5.17	4.32	6.22	5.11	3.45	2.18	4.22	4.71	6.79	2.45	6.16	4.47
Itpr1	37.02	0.0	0.0	0.02	18.25	56.97	57.7	84.08	89.6	22.88	8.03	23.9	52.66	46.38	11.4	35.57	29.32
Ldhb	6607.22	8970.97	2593.67	10118.08	10894.4	10165.1	9602.81	7343.35	11261.44	10004.69	13571.31	12546.17	9755.78	8904.1	11010.48	8330.83	11746.38
Mfap1a	0.0	26.32	0.31	7.56	109.77	11.03	142.5	90.34	12.39	48.26	46.45	21.93	86.39	172.51	44.12	156.82	55.09
Ncoa3	0.05	27.17	0.0	6.23	20.46	86.59	38.75	91.26	32.62	57.73	13.21	29.33	20.94	33.08	11.09	24.35	13.67
Nsl1	0.64	2.46	0.0	0.46	4.76	3.73	1.13	12.25	8.18	8.63	4.74	6.45	5.57	5.71	5.65	4.37	3.91
Olfr613	26.26	12.31	0.03	2.28	30.6	52.52	44.48	66.27	77.59	72.69	37.29	47.57	52.61	66.54	56.41	64.43	62.68
Pi15	6.45	11.29	0.1	0.58	14.15	9.32	9.08	18.24	19.41	16.91	7.96	9.4	10.49	19.52	14.22	22.41	9.93
Prpf38a	0.0	0.0	0.0	3.84	68.18	73.93	0.92	174.94	40.2	0.21	155.14	100.95	58.74	88.0	71.88	60.2	83.48
Rac2	0.12	0.83	0.27	0.0	0.82	0.65	0.31	2.08	0.78	0.9	0.37	1.34	0.8	0.64	2.29	1.23	0.94
Rdh1	11.05	19.93	3.52	1.36	21.7	15.88	15.17	26.56	37.47	25.31	13.66	20.18	19.66	32.83	26.16	40.97	16.83
Rhot1	3.98	0.71	0.0	0.0	0.0	43.49	27.68	51.66	1.79	34.05	27.73	6.67	9.61	16.92	75.59	6.14	12.88
Rnf44	0.0	0.0	0.0	0.0	6.13	14.95	0.0	39.71	0.0	0.0	15.85	0.43	5.47	23.22	37.96	38.98	0.0
Skint4	1.73	2.92	0.0	0.0	2.82	5.68	3.63	5.31	4.22	6.66	3.7	5.51	4.04	5.2	6.41	9.26	5.09
Slc17a8	1.23	1.29	0.08	0.28	6.49	7.48	3.19	21.7	11.99	11.32	8.48	5.5	10.95	7.25	14.25	11.41	9.11
Slc7a1	0.25	0.0	0.0	1.44	13.01	5.18	1.78	38.29	5.96	15.04	5.08	0.17	0.18	4.51	0.07	3.66	1.88
Slfn9	1.95	3.26	0.0	0.65	7.2	9.77	5.09	14.04	15.42	9.8	6.21	8.87	14.51	10.62	18.14	16.16	4.27
Syngr1	20.95	62.3	0.0	73.82	107.46	81.06	82.02	77.08	39.65	98.3	131.88	133.74	59.08	111.49	201.2	170.61	41.71
Trim36	0.9	1.12	0.68	0.08	3.26	4.0	4.97	5.39	5.68	4.49	3.16	5.07	6.25	5.58	3.88	5.44	2.86
Trpc3	0.0	0.0	0.0	0.0	30.23	0.0	0.0	7.6	70.45	35.61	10.17	2.31	26.4	104.93	0.87	2.0	0.0
Tyms	8.66	21.28	0.22	9.3	35.71	30.27	34.61	57.77	52.06	45.44	28.86	40.24	63.83	47.42	58.92	47.25	90.14
Zfp459	3.04	3.96	0.0	1.75	3.9	4.36	2.75	7.51	6.23	3.66	2.16	5.12	5.95	4.63	3.0	4.74	4.32
Zfp71-rs1	22.11	16.32	0.0	1.21	33.35	41.6	28.58	59.25	70.2	68.72	35.29	42.97	92.83	64.92	53.23	111.34	59.2
