	Chrna2_tdTpositive_cell_15	Chrna2_tdTpositive_cell_23	Chrna2_tdTpositive_cell_26	Chrna2_tdTpositive_cell_28	Chrna2_tdTpositive_cell_30	Chrna2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_55	Chrna2_tdTpositive_cell_57	Cux2_tdTpositive_cell_98	Gad2_tdTpositive_cell_8	Gad2_tdTpositive_cell_18	Gad2_tdTpositive_cell_20	Gad2_tdTpositive_cell_26	Gad2_tdTpositive_cell_68	Gad2_tdTpositive_cell_78	Htr3a_tdTpositive_cell_18	Htr3a_tdTpositive_cell_83	Htr3a_tdTpositive_cell_91	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_25	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_70	Ntsr1_tdTnegative_cell_54	Rbp4_tdTpositive_cell_165	Sst_tdTpositive_cell_7	Sst_tdTpositive_cell_8	Sst_tdTpositive_cell_28	Sst_tdTpositive_cell_29	Sst_tdTpositive_cell_39	Sst_tdTpositive_cell_46	Sst_tdTpositive_cell_49	Sst_tdTpositive_cell_63	Sst_tdTpositive_cell_69	Sst_tdTpositive_cell_72	Sst_tdTpositive_cell_76	Sst_tdTpositive_cell_79	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_96	Vip_tdTpositive_cell_30	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1700010B08Rik	0.0	0.0	0.57	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.84	1.69	0.83	0.0	0.0	0.0	0.31	0.0	0.0	0.24	0.39	0.0	0.0	0.0	0.0	0.23	0.0	0.0	0.3	0.0	0.0	0.0	0.0	0.0	0.0	0.6	0.2	0.0	0.21	0.17	0.0	0.0	0.0	0.56	0.0	0.0	0.0	0.7	0.0	0.55	0.0	0.0	2.41	0.0	0.12	0.59	0.97
2010308F09Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.34	0.21	0.69
4930465A12Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33
8030442B05Rik	0.0	0.0	0.0	0.0	1.28	0.0	0.0	0.0	0.0	0.0	0.0	2.46	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.86	2.67	3.81
9830166K06Rik	0.0	0.0	0.0	0.0	0.15	0.0	0.0	0.0	0.0	0.1	0.13	0.19	0.07	0.0	0.0	0.0	0.0	0.2	0.21	0.07	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.1	0.05	0.0	0.13	0.0	0.0	0.0	0.0	0.0	0.05	0.16	0.0	0.0	0.0	0.0	0.0	1.73	2.76	3.16	2.34	1.86	2.18
Aldh1l2	0.05	0.0	0.12	0.0	0.0	0.0	0.0	0.07	0.0	0.05	0.11	13.02	0.0	0.07	0.0	0.0	2.31	0.4	0.0	0.0	0.0	0.0	0.0	0.0	11.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	1.95	0.19	0.0	0.0	0.02	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	2.4	0.44	1.81	1.54	3.07	2.82	3.45
Aldh4a1	0.0	0.0	20.57	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	74.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.55	0.0	0.0	0.56	0.0	0.0	0.0	0.0	0.0	0.0	35.22	0.0	27.49	0.0	0.0	0.0	10.3	0.0	0.0	0.0	0.0	0.0	0.0	13.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.66	5.62	1.13	18.48	20.09	18.02
Amh	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.79	2.42	1.6
Anxa13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.74	1.14	0.0	0.32	0.0	0.08
Apod	0.0	0.0	0.0	0.27	0.0	0.0	0.0	0.0	0.31	0.16	0.0	72.15	0.12	0.0	0.0	0.0	0.14	18.84	0.0	0.15	0.0	0.0	0.62	0.17	0.0	0.51	0.0	0.12	0.16	0.0	0.0	0.0	0.29	0.13	0.24	0.29	0.02	0.0	18.98	0.08	0.26	0.25	0.0	0.0	0.28	0.04	0.14	0.5	0.0	0.68	0.0	0.0	0.83	25.45	111.27	124.55	121.13
