	Cux2_tdTpositive_cell_12	Cux2_tdTpositive_cell_13	Cux2_tdTpositive_cell_14	Cux2_tdTpositive_cell_18	Cux2_tdTpositive_cell_21	Cux2_tdTpositive_cell_32	Cux2_tdTpositive_cell_40	Nr5a1_tdTpositive_cell_1	Nr5a1_tdTpositive_cell_3	Rbp4_tdTpositive_cell_78	Rorb_tdTpositive_cell_15	Rorb_tdTpositive_cell_20	Rorb_tdTpositive_cell_23	Rorb_tdTpositive_cell_24	Scnn1a.Tg3_tdTpositive_cell_2	Scnn1a.Tg3_tdTpositive_cell_4	Scnn1a.Tg3_tdTpositive_cell_16	Scnn1a.Tg3_tdTpositive_cell_41	Scnn1a.Tg3_tdTpositive_cell_49	Scnn1a.Tg3_tdTpositive_cell_91	Slc17a6_tdTpositive_cell_18	Rbp4_CTX_250ng_1
0610010B08Rik	0.14	1.02	11.55	8.14	1.79	10.18	20.32	1.17	18.62	27.07	2.32	0.08	21.55	0.97	7.8	41.51	0.08	41.09	0.24	17.22	1.39	22.39
2310009B15Rik	0.0	0.0	0.0	0.0	0.0	0.0	54.44	0.0	0.0	35.75	0.0	0.0	6.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.21
9830147E19Rik	2.22	2.7	2.76	1.97	2.69	2.08	5.13	4.12	4.95	9.12	90.02	1.15	5.65	2.54	3.9	4.78	0.53	8.25	4.82	3.26	1.93	1.7
AW046200	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.21	0.0	0.0	0.0	0.0	0.0	1.47
Anapc7	0.0	0.0	0.0	0.0	0.0	0.0	198.11	0.07	0.14	15.18	0.0	0.0	20.53	0.11	94.84	0.53	0.0	83.46	1.41	0.0	0.0	29.78
Ankrd34c	0.0	0.0	0.0	25.5	0.0	0.0	120.95	233.44	250.07	74.89	0.0	0.0	0.0	0.0	0.0	62.54	0.0	124.98	0.0	0.0	0.0	6.15
Arhgap21	0.0	0.0	1.88	19.13	25.94	2.97	47.25	4.03	66.12	32.18	12.57	0.0	27.43	30.04	9.04	0.09	0.05	24.68	48.38	59.02	4.74	77.97
BC029722	0.0	0.0	0.0	2.27	0.0	0.35	105.06	0.14	7.06	51.36	0.0	0.0	1.94	0.0	0.0	0.15	0.0	0.0	0.0	6.93	0.0	81.51
C2cd2	0.53	0.43	5.52	0.62	0.12	0.6	12.11	0.42	0.76	6.13	0.64	0.0	0.68	0.55	0.51	0.61	0.47	0.78	0.92	0.28	0.29	6.44
Ccdc3	0.0	0.0	11.69	0.0	0.16	0.0	206.46	0.21	0.07	80.15	0.27	0.0	51.74	0.08	1.06	0.0	0.08	0.0	48.62	0.0	0.0	11.29
Cltc	141.61	63.41	204.17	172.79	132.74	10.6	274.7	312.5	184.01	399.09	103.05	44.55	179.09	133.62	379.99	65.51	10.73	147.82	276.93	81.66	115.75	317.09
Ddo	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.25	0.0	0.14	0.0	0.0	0.0	0.0	0.34	0.0	0.13	0.35	0.0	0.0	0.0	4.83
Eif4e2	3.27	3.98	4.95	11.45	2.8	6.21	213.72	48.85	70.49	115.32	10.21	4.0	30.52	4.38	30.11	80.92	2.03	11.42	2.54	3.16	4.07	38.48
Fdx1l	0.0	0.0	0.0	0.0	58.54	0.0	95.07	0.51	0.25	77.75	0.0	0.0	1.79	0.0	82.47	92.17	0.0	0.0	0.0	0.0	0.0	60.6
Gclc	0.0	0.0	17.48	0.0	0.0	0.0	3.04	0.0	3.45	63.97	0.0	0.0	1.92	0.0	2.18	107.82	0.0	43.34	0.0	0.0	0.0	48.12
Gm14430	0.15	1.09	6.89	0.0	0.0	12.22	24.38	0.0	12.16	28.7	2.78	0.09	24.09	0.0	9.36	20.31	0.09	39.04	0.19	20.66	1.2	7.67
Gm14434	0.15	1.09	6.89	0.0	0.0	12.22	24.38	0.0	12.16	28.7	2.78	0.09	24.09	0.0	9.36	20.31	0.09	39.04	0.19	20.66	1.2	7.67
Gm4724	0.15	1.09	6.89	0.0	0.0	12.22	24.38	0.0	12.16	28.7	2.78	0.09	24.09	0.0	9.36	20.31	0.09	39.04	0.19	20.66	1.2	7.67
Gpn1	0.0	0.0	461.06	0.0	138.14	0.0	268.43	257.99	168.44	181.52	0.0	0.0	23.68	98.28	161.38	0.0	39.8	189.88	0.0	0.0	0.0	29.57
Itpripl2	0.0	0.0	0.0	0.0	0.0	0.0	0.17	0.05	0.03	0.14	0.0	0.0	0.05	0.02	0.02	0.03	0.0	0.0	0.08	0.0	0.0	3.29
Kcnq3	0.17	36.68	0.0	0.0	0.0	0.0	158.72	21.27	0.07	46.37	0.0	0.0	0.92	0.15	1.58	0.0	0.0	38.28	0.23	0.0	0.0	53.72
Kctd13	5.57	0.0	90.46	0.0	3.07	0.0	89.45	6.93	3.46	84.96	0.0	0.0	0.0	29.21	95.69	4.08	0.0	60.28	0.79	19.98	0.0	179.74
LOC100044193	86.94	5.12	59.57	92.98	13.84	6.93	244.45	62.59	21.88	67.89	22.21	0.25	121.41	22.22	33.39	66.62	43.05	149.7	36.28	4.19	23.41	10.21
Mettl1	0.0	0.0	0.0	0.0	130.49	0.0	316.45	0.0	0.0	144.71	0.0	0.0	37.05	0.37	84.21	0.0	0.0	0.0	0.0	131.57	0.0	14.31
Mgat4c	0.0	0.0	0.06	0.0	0.0	0.0	0.11	0.0	0.0	0.11	0.0	0.0	0.0	0.0	0.05	0.0	0.0	83.96	0.0	0.0	0.0	5.42
Nebl	0.0	0.0	0.0	0.0	0.0	15.73	183.86	0.06	0.0	63.77	0.0	0.0	5.64	0.0	14.07	29.4	0.0	144.19	0.0	77.57	0.67	34.06
Pacsin2	0.0	6.56	0.0	0.0	151.89	0.0	153.44	0.0	0.15	333.32	0.0	0.0	87.26	1.63	49.97	114.25	0.2	290.51	115.98	123.14	0.0	39.57
Rgs4	4337.51	3513.48	5481.44	3323.7	4271.16	5464.61	2816.56	5873.8	4839.36	2055.24	3751.61	4156.45	1091.24	5399.11	5187.94	4921.82	4065.31	2423.33	5420.33	5598.27	6781.39	495.03
Rnf112	0.32	1.2	0.38	0.0	4.07	0.0	116.81	70.33	8.11	106.25	0.0	0.0	1.78	63.97	94.4	40.16	0.25	1.29	14.39	0.0	0.0	274.94
Slc24a3	0.0	0.0	15.3	0.0	6.19	0.14	86.52	0.11	4.28	126.85	0.0	0.0	6.73	5.77	22.15	85.59	0.0	0.0	0.09	0.0	0.0	102.8
Sorl1	50.23	0.0	0.0	29.56	0.06	0.2	141.32	0.51	19.91	76.91	6.74	0.39	96.18	0.85	78.25	86.38	67.58	119.29	44.63	11.1	0.0	108.6
Tbl1x	0.0	3.8	0.0	0.0	0.0	0.0	139.52	1.07	0.9	45.7	0.0	0.0	39.63	0.05	101.57	0.09	0.0	2.59	0.28	0.0	0.0	41.08
Tc2n	0.19	0.15	1.19	0.2	1.28	0.0	0.65	0.19	0.79	0.87	0.28	0.0	0.53	0.38	0.55	0.65	0.23	1.04	1.04	0.4	0.0	0.38
Tdrkh	0.0	0.0	0.0	0.0	59.85	0.0	79.21	6.64	0.0	87.51	0.0	0.0	52.4	4.38	0.0	0.55	0.0	156.1	0.0	0.0	0.0	24.81
Thsd7a	0.0	0.03	0.08	0.07	13.22	0.04	110.05	0.05	18.48	86.49	0.0	0.05	51.24	0.07	66.35	54.38	0.0	37.52	0.07	18.19	0.0	15.64
Vps37c	0.0	0.0	0.0	0.0	0.0	0.0	157.68	0.0	0.0	88.39	0.0	0.0	0.0	0.0	0.0	0.17	0.0	24.32	0.0	0.0	0.0	23.78
Zkscan5	0.0	0.0	0.0	0.0	0.0	0.0	148.0	0.0	0.0	49.57	0.0	0.0	6.32	0.03	0.11	6.8	137.39	146.1	0.0	0.0	0.0	9.52
