	Cux2_tdTpositive_cell_65	Cux2_tdTpositive_cell_74	Cux2_tdTpositive_cell_91	Cux2_tdTpositive_cell_97	Ntsr1_tdTpositive_cell_9	Ntsr1_tdTpositive_cell_12	Ntsr1_tdTpositive_cell_16	Ntsr1_tdTpositive_cell_17	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_33	Rbp4_tdTpositive_cell_82	Rbp4_tdTpositive_cell_89	Rbp4_tdTpositive_cell_165	Rbp4_tdTpositive_cell_183	Slc17a6_tdTpositive_cell_3	Slc17a6_tdTpositive_cell_16	Slc17a6_tdTpositive_cell_19	Slc17a6_tdTpositive_cell_24	Slc17a6_tdTpositive_cell_31	Slc17a6_tdTpositive_cell_37	Slc17a6_tdTpositive_cell_38	Slc17a6_tdTpositive_cell_40	Ntsr1_tdTpos_10cell_1	Ntsr1_tdTpos_10cell_2	Ntsr1_tdTpos_10cell_3	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_10cell_7	Ntsr1_tdTpos_10cell_9	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	CAV_LP_Ipsi_tdTpos_cell_22	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_28	CAV_LP_Ipsi_tdTpos_cell_31	CAV_LP_Ipsi_tdTpos_cell_35	CAV_LP_Ipsi_tdTpos_cell_43
1810020D17Rik	57.92	0.0	0.0	0.0	159.16	134.17	0.0	111.57	0.0	168.5	78.66	212.47	101.68	0.4	199.25	0.0	0.0	0.0	0.0	0.0	0.91	22.55	78.38	148.95	63.12	167.96	82.89	108.32	89.2	165.53	99.11	105.9	98.69	0.0	0.0	693.15	289.38	0.0	206.82	0.52
2410015M20Rik	285.67	219.04	1.42	68.78	266.12	254.2	132.03	188.42	158.94	148.31	125.95	25.47	336.11	115.0	320.66	164.62	158.42	74.8	153.85	188.15	124.0	223.45	206.64	142.91	183.5	216.63	223.07	167.17	226.21	208.64	168.61	190.78	164.78	317.89	1.59	489.58	390.67	137.46	368.61	26.68
3110056O03Rik	0.0	0.27	0.0	29.87	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	49.86	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.66	7.73	5.59	12.11	4.91	5.69	0.09	3.23	1.87	1.32	2.9	28.02	0.0	0.0	0.0	0.0	0.0	0.0
4933428C19Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19	0.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6430411K18Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.67	0.0	110.51	0.0	0.0	0.0	0.0	0.0	0.31	0.0	5.94	1.86	0.0	2.79	0.0	22.93	0.96	0.0	2.02	3.52	7.48	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9530053A07Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.87	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A430033K04Rik	6.46	0.0	0.16	6.24	0.2	2.45	0.0	9.99	0.84	7.44	98.52	0.0	9.75	28.26	116.78	0.0	2.58	0.0	2.61	1.88	3.46	0.18	21.95	2.16	11.23	10.71	19.07	14.25	19.27	15.35	17.8	17.28	22.15	0.0	0.18	0.0	5.57	0.12	0.15	0.0
A530050N04Rik	0.6	0.0	0.3	0.0	0.0	0.0	0.0	0.48	0.18	0.0	0.68	0.0	0.15	0.49	2.8	0.33	0.34	0.25	0.0	0.33	0.0	0.29	0.21	2.6	0.0	0.07	0.34	0.0	0.24	0.13	0.0	0.13	0.0	0.0	0.0	0.93	0.0	0.0	0.2	0.0
Adam21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.41	38.88	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.31	0.61	4.36	3.95	2.16	0.0	0.0	0.0	2.05	0.0	3.57	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Aida	14.51	0.0	0.36	0.48	0.54	0.21	151.08	1.12	0.6	16.15	0.67	0.0	19.88	12.53	80.36	0.51	0.73	1.11	0.0	0.65	0.94	1.23	14.26	25.02	15.35	7.75	28.02	24.37	10.44	24.57	21.16	8.15	10.25	0.09	1.2	0.32	0.22	0.12	101.34	0.47
