	Pvalb_tdTpositive_cell_69	PvalbF.Gad2_tdTpositive_cell_57	PvalbF.Gad2_tdTpositive_cell_63	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1700008J07Rik	0.0	0.0	0.0	3.62	3.64	4.36
4930403N07Rik	0.0	0.0	0.0	0.04	0.04	0.04
4930555I21Rik	0.0	0.0	1.9	1.58	2.35	2.06
4933426M11Rik	0.0	0.0	0.0	26.72	26.95	27.21
9130227L01Rik	1.18	0.0	0.4	1.52	1.1	1.77
Ak5	35.71	0.0	0.0	145.35	145.89	140.03
Akap11	27.82	38.26	26.08	98.51	87.62	95.22
Alg10b	0.0	0.0	0.0	25.45	25.47	26.09
Ankrd13b	0.0	0.0	0.15	71.45	73.14	72.36
Ap2b1	18.63	23.74	30.79	168.78	170.81	177.32
Asmt	0.0	0.0	0.0	0.08	0.08	0.09
Atp8b3	0.0	0.0	0.0	0.04	0.04	0.09
BC021891	0.0	0.0	0.0	2.15	2.35	2.47
Baz1a	0.0	0.0	0.0	1.69	1.33	1.95
Blk	0.0	0.0	0.0	0.04	0.04	0.04
C77370	0.0	0.0	1.94	12.25	10.61	13.12
C8b	0.0	0.0	0.0	0.04	0.04	0.09
Cacng8	0.0	0.0	0.0	79.14	89.85	96.85
Carns1	0.0	0.0	0.0	7.26	7.65	7.82
Ccl27b	3.31	1.44	2.37	30.63	28.29	22.96
Cecr2	0.0	0.0	0.0	1.8	1.62	1.71
Cenpb	0.0	11.0	0.0	120.4	137.75	134.34
Ces1a	0.0	0.0	0.0	0.05	0.05	0.05
Clec12a	0.0	0.0	0.0	0.98	0.97	0.92
Col16a1	0.0	0.0	0.19	10.68	11.69	12.54
Cplx3	0.2	0.0	0.0	14.7	15.99	15.13
Csnk1g2	0.0	0.0	2.89	137.78	153.43	144.53
Dazap1	18.96	0.19	0.24	39.7	40.38	40.89
Drp2	0.0	1.21	1.87	42.72	39.93	41.18
Ears2	0.0	0.0	0.0	6.62	7.09	8.39
Ergic1	1.36	5.98	25.98	107.63	108.25	116.21
Fam122a	0.0	0.0	5.97	19.77	23.64	20.41
Fam57a	0.0	0.0	0.0	15.81	16.02	16.2
Fbxo25	41.35	0.39	4.62	71.66	74.66	69.73
Foxi1	0.0	0.0	0.0	0.04	0.04	0.09
Foxo4	0.0	0.0	0.0	14.7	14.61	14.28
Ftsjd2	12.68	1.55	13.51	77.43	75.87	75.69
Gm13306	3.31	1.44	2.37	30.63	28.29	22.96
Gm2506	3.31	1.44	2.37	30.63	28.29	22.96
Gm9899	0.0	0.32	0.0	11.38	10.75	9.92
Gnaz	0.0	0.0	0.0	56.74	56.71	56.07
Hhla1	0.0	0.0	0.0	0.04	0.04	0.09
Hist1h3f	0.0	0.0	0.0	0.14	0.14	0.14
Hoxd8	0.0	0.0	0.0	0.07	0.07	0.07
Il17rb	0.0	0.0	0.0	1.35	1.45	1.34
Kera	0.0	0.0	0.0	0.05	0.05	0.05
Lamp1	159.88	64.64	74.5	296.47	313.19	310.97
Lao1	0.0	0.0	0.0	0.05	0.05	0.05
Lass6	1.32	1.67	12.7	23.37	20.84	23.41
Lcp1	0.0	0.0	0.0	6.81	7.46	7.37
Lmx1b	0.0	0.0	0.0	0.08	0.08	0.09
Man1b1	15.92	0.0	7.51	50.02	53.2	50.77
Med14	7.56	4.32	0.0	40.32	39.32	40.84
Myt1	0.0	0.0	0.0	7.55	7.2	8.44
Nkd2	0.04	0.0	0.0	3.81	3.14	3.0
Nkx6-3	0.0	0.0	0.0	0.04	0.04	0.09
Nlgn3	0.76	24.7	4.09	50.02	47.15	49.14
Pcdhgb8	0.0	0.0	0.0	2.52	1.89	2.44
Pde4dip	31.9	9.97	12.25	89.61	85.1	88.65
Pdgfb	0.0	0.0	0.0	22.86	26.58	25.28
Pdzrn3	0.45	0.0	0.0	20.95	20.98	24.18
Pdzrn4	0.0	0.0	0.0	5.81	5.82	5.07
Pgls	3.54	0.0	0.0	29.57	38.8	38.01
Pkd1l3	0.0	0.0	0.0	0.86	0.74	0.89
Plekhm2	0.0	0.0	0.0	61.8	64.21	63.93
Ptbp1	0.0	0.0	0.0	30.04	28.42	26.56
Rapgef3	0.1	0.0	0.0	22.36	23.68	23.06
Slc22a6	0.0	0.0	0.0	4.78	5.29	3.85
Slco6c1	0.0	0.0	0.0	0.04	0.04	0.04
Srrm2	23.79	34.95	13.92	235.66	204.43	252.64
St3gal3	1.01	4.91	0.0	41.35	41.45	41.69
Tas2r137	0.0	0.0	0.0	0.1	0.1	0.1
Tiam1	21.29	17.33	15.23	49.18	48.48	49.58
