	Calb2_tdTpositive_cell_3	Calb2_tdTpositive_cell_23	Calb2_tdTpositive_cell_39	Cux2_tdTpositive_cell_3	Cux2_tdTpositive_cell_8	Cux2_tdTpositive_cell_9	Cux2_tdTpositive_cell_18	Cux2_tdTpositive_cell_50	Cux2_tdTpositive_cell_51	Cux2_tdTpositive_cell_56	Cux2_tdTpositive_cell_65	Nr5a1_tdTpositive_cell_3	Nr5a1_tdTpositive_cell_11	Nr5a1_tdTpositive_cell_14	Nr5a1_tdTpositive_cell_19	Nr5a1_tdTpositive_cell_27	Nr5a1_tdTpositive_cell_37	Nr5a1_tdTpositive_cell_38	Nr5a1_tdTpositive_cell_42	Ntsr1_tdTpositive_cell_32	Ntsr1_tdTnegative_cell_50	Rbp4_tdTpositive_cell_3	Rbp4_tdTpositive_cell_69	Rbp4_tdTpositive_cell_79	Rbp4_tdTpositive_cell_96	Rbp4_tdTpositive_cell_116	Rbp4_tdTpositive_cell_136	Rorb_tdTpositive_cell_11	Rorb_tdTpositive_cell_34	Rorb_tdTpositive_cell_35	Scnn1a.Tg2_tdTpositive_cell_17	Scnn1a.Tg2_tdTnegative_cell_10	Scnn1a.Tg3_tdTpositive_cell_16	Scnn1a.Tg3_tdTpositive_cell_35	Scnn1a.Tg3_tdTpositive_cell_37	Scnn1a.Tg3_tdTpositive_cell_44	Scnn1a.Tg3_tdTpositive_cell_55	Scnn1a.Tg3_tdTpositive_cell_62	Scnn1a.Tg3_tdTpositive_cell_88	Scnn1a.Tg3_tdTpositive_cell_92	Scnn1a.Tg3_tdTpositive_cell_94	Scnn1a.Tg3_tdTpositive_cell_97	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	CAV_VISp_Contra_tdTpos_cell_4	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1810026J23Rik	0.0	0.0	0.0	0.0	0.0	0.0	14.15	0.17	0.0	0.0	0.14	0.0	137.94	0.0	0.0	0.0	0.0	1.25	0.0	0.0	0.0	4.14	12.03	0.0	0.0	7.26	0.0	0.0	0.0	2.35	0.18	0.13	3.07	76.61	0.0	7.29	0.0	96.12	82.01	0.1	0.05	0.13	11.45	6.74	3.6	66.79	48.11	51.84	46.45
1810055G02Rik	0.0	0.0	0.0	0.05	0.0	130.12	6.58	3.95	0.36	0.29	0.0	6.87	0.0	0.0	0.0	0.0	252.43	141.8	0.12	0.0	0.0	0.0	204.55	0.0	116.93	75.78	70.23	34.55	0.06	0.12	0.0	0.0	0.0	158.29	0.0	0.12	17.12	0.0	854.21	423.18	293.86	167.92	64.21	50.96	68.55	93.14	24.95	26.24	22.44
4930432K21Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	126.62	0.34	3.01	0.43	0.0	0.0	2.73	2.99	2.72
4930503E24Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.39	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A330049N07Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8	0.68	0.0	0.0	0.0	0.0	1.31	0.0	7.48	0.7	0.09	17.14	0.0	0.0	0.0	0.0	0.0	3.4	2.28	24.75	0.0	0.11	0.11	0.0	0.21	1.32	2.96	92.42	0.0	0.0	0.0	37.58	0.33	113.28	1.59	0.45	1.92	0.35	0.0	2.67	2.33	3.13
Abtb1	309.48	7.28	0.0	12.29	9.38	153.84	111.8	0.0	177.24	310.31	96.34	236.0	0.0	0.21	0.23	100.16	0.05	0.0	0.06	171.6	0.0	7.81	196.74	116.44	197.74	0.0	138.05	280.45	0.0	0.06	0.0	0.0	0.0	188.11	0.0	203.43	0.0	0.0	185.74	1.41	373.58	270.18	27.89	33.64	28.73	41.68	37.55	43.38	39.63
Adamts17	0.25	0.0	0.17	0.3	0.04	0.07	0.16	0.24	0.34	0.61	0.35	0.14	0.0	0.2	0.52	0.32	0.02	0.05	0.21	0.34	0.21	0.12	0.0	1.08	0.5	0.45	0.23	0.0	0.1	0.38	0.0	0.0	0.43	48.69	0.15	0.0	0.0	0.0	1.28	0.34	40.79	0.26	0.64	0.11	0.0	0.25	3.0	2.7	2.35
Aqp1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.05	0.0	0.0	0.0	0.0	0.29	0.51	0.33
Asxl3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.31	0.0	2.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	25.23	0.68	0.35	1.24	0.93	9.83	3.54	3.53	4.61
Avpi1	0.0	0.0	131.23	139.73	0.0	0.0	0.0	2.24	190.46	0.0	131.73	122.81	0.58	305.95	0.0	0.0	74.01	0.37	113.76	0.0	0.0	84.84	0.47	105.0	89.26	0.0	168.33	0.0	251.56	216.41	0.0	0.44	0.0	0.0	3.24	335.78	0.0	0.0	0.0	345.54	311.46	256.96	36.29	37.05	46.27	13.06	32.96	33.49	33.07
