	Calb2_tdTpositive_cell_58	Cux2_tdTnegative_cell_2	Cux2_tdTnegative_cell_3	Cux2_tdTnegative_cell_6	Cux2_tdTnegative_cell_15	Ntsr1_tdTnegative_cell_14	Ntsr1_tdTnegative_cell_17	Ntsr1_tdTnegative_cell_25	Ntsr1_tdTnegative_cell_27	Ntsr1_tdTnegative_cell_28	Ntsr1_tdTnegative_cell_45	Rbp4_tdTnegative_cell_3	Rbp4_tdTnegative_cell_10	Rbp4_tdTnegative_cell_14	Rbp4_tdTnegative_cell_16	Rbp4_tdTnegative_cell_19	Rbp4_tdTnegative_cell_21	Rbp4_tdTnegative_cell_22	Scnn1a.Tg2_tdTnegative_cell_5	Scnn1a.Tg2_tdTnegative_cell_19	Scnn1a.Tg3_tdTnegative_cell_2	Scnn1a.Tg3_tdTnegative_cell_4	Scnn1a.Tg3_tdTnegative_cell_8	Scnn1a.Tg3_tdTnegative_cell_16	Scnn1a.Tg3_tdTnegative_cell_21	Scnn1a.Tg3_tdTnegative_cell_24
Abi3	0.0	0.0	0.0	10.36	31.91	0.0	0.0	0.0	0.0	5.49	0.0	9.09	385.87	10.02	2.84	51.65	182.95	488.05	0.0	0.0	8.67	286.68	51.88	254.85	4.34	268.07
Aif1	0.0	0.0	0.0	765.79	1172.03	0.0	0.0	0.0	0.0	1126.44	0.0	30.36	2195.43	1218.18	739.38	840.76	2272.1	2277.58	0.0	0.0	1764.76	1524.21	1142.5	2667.75	749.37	894.58
Cst3	28136.64	23155.8	18662.8	54799.87	61505.62	22838.83	22142.28	32715.27	26357.07	64380.72	22149.39	79037.77	72522.19	67515.86	70378.51	61656.06	72390.07	30854.58	28488.27	24558.57	80478.24	68326.69	95318.24	75159.39	84616.84	72517.08
Ctsa	0.19	171.66	0.23	287.02	872.72	0.0	6.67	212.66	0.37	1364.77	0.34	226.7	1612.55	987.03	2571.86	684.72	819.33	1679.93	436.46	1.04	1229.32	325.42	878.84	620.37	1752.9	1394.13
Ctsh	0.0	0.0	0.0	0.0	0.61	0.0	0.0	0.0	0.0	714.42	0.0	11.38	4.52	0.4	2130.43	0.41	259.78	2545.65	0.0	0.0	700.38	825.51	80.52	1596.52	833.37	886.1
Ddx5	320.38	274.92	211.98	411.28	807.09	32.54	233.28	518.33	463.7	1059.52	18.73	24.77	1365.98	753.45	31.18	761.04	346.02	1222.67	1.46	0.35	995.02	392.41	1188.37	780.32	413.56	434.94
Dusp6	0.0	0.21	0.0	349.56	423.75	0.28	0.89	30.94	51.11	1139.9	0.0	0.58	289.74	1976.61	2564.77	133.97	602.87	2884.41	469.47	13.56	342.15	44.39	355.25	819.64	0.22	522.28
Entpd1	0.0	0.0	0.09	1.95	47.22	0.0	0.0	0.0	0.0	302.03	0.0	215.34	898.27	0.15	4.99	0.13	31.84	1130.84	0.0	0.0	130.47	402.8	481.56	20.2	508.72	18.25
Fos	294.28	34.33	5.59	1069.13	379.67	0.0	0.4	526.76	0.0	4867.73	0.58	2.63	5512.68	6462.31	2353.23	469.47	6067.11	5232.09	0.0	308.22	2893.95	1815.23	3863.33	2974.55	3252.78	591.76
Gm3317	0.0	0.0	0.0	0.0	9.64	0.0	0.0	0.0	0.0	0.0	0.0	0.0	85.7	84.2	55.92	0.19	51.38	86.45	0.0	0.0	61.92	0.0	25.67	89.58	158.1	275.2
Gm3494	0.0	0.0	0.0	0.0	9.64	0.0	0.0	0.0	0.0	0.0	0.0	0.0	85.7	84.2	55.92	0.19	51.38	86.45	0.0	0.0	61.92	0.0	25.67	89.58	158.1	275.2
Ivns1abp	47.27	0.0	1.05	360.26	475.81	0.0	329.95	0.0	160.49	304.53	0.0	1537.36	475.12	2629.59	1734.39	1160.41	517.15	1918.41	0.42	0.36	1850.62	840.24	1708.54	1062.54	1034.28	1004.35
Jun	0.9	2.7	14.27	58.1	146.4	0.0	0.0	13.23	0.0	135.69	0.19	54.7	58.53	476.8	0.55	45.86	192.84	660.73	0.0	18.71	62.63	59.73	246.68	47.27	74.88	112.53
Lpcat2	0.0	0.0	0.0	27.32	794.65	0.0	0.0	0.0	0.0	484.99	0.0	533.48	98.64	522.69	554.67	332.39	1.24	710.04	0.0	0.0	407.61	591.95	602.03	1452.03	377.7	206.24
Ly6e	0.0	0.0	0.0	691.19	2133.85	0.0	104.39	0.0	0.0	1045.07	0.0	728.85	337.86	1452.35	2009.45	587.33	1079.01	3476.94	0.2	0.66	2.68	2884.26	3104.85	1025.06	2632.39	1763.11
Mbnl1	212.96	0.0	0.0	554.92	155.06	273.59	4.48	0.0	0.0	247.46	0.0	6.16	1076.29	583.03	880.11	353.37	366.44	988.9	1.07	38.05	477.74	646.73	609.52	44.37	17.63	55.02
Nckap1l	0.0	0.0	0.0	13.16	241.55	0.0	0.0	0.0	0.0	127.09	0.0	1237.74	119.94	16.78	194.27	86.18	251.87	433.25	0.0	0.0	1085.07	374.82	610.77	419.86	296.38	590.52
Olfml3	0.0	0.0	0.0	2014.35	1817.51	0.0	0.0	0.0	0.0	3718.6	0.0	1549.25	1698.81	2910.06	1064.96	727.94	2597.7	2559.62	0.0	0.0	1894.59	6445.03	4439.15	4942.93	5882.54	1496.48
P2ry6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	852.11	0.0	0.85	0.0	580.94	0.0	123.66	3.84	1759.28	0.0	0.0	0.0	155.75	749.13	0.0	0.0	696.66
Pon3	0.0	0.0	0.0	2.87	459.26	0.0	0.47	0.0	0.0	0.0	0.0	580.2	16.32	122.99	734.1	68.79	184.19	862.1	0.0	0.0	25.01	582.29	658.95	0.0	477.24	206.14
Ppcdc	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	805.65	704.73	0.23	540.05	0.96	386.53	1251.26	0.0	0.0	0.18	794.86	0.0	710.83	0.26	0.0
Rnase4	0.48	0.0	0.98	1443.22	4790.29	0.52	0.0	0.0	0.77	1156.14	0.41	1582.34	2115.62	2159.81	3390.1	1159.36	5743.95	3400.8	0.24	0.0	1395.18	3401.29	6150.29	3563.02	1804.87	2822.16
Slco2b1	0.0	0.0	0.0	0.0	12.3	0.0	0.0	0.0	0.0	193.06	0.0	2.09	323.36	193.33	4.77	319.28	371.78	323.22	0.0	0.0	15.63	112.33	37.93	457.16	102.63	957.26
Tagap	0.0	0.0	0.0	217.24	1.62	0.0	0.0	0.0	0.0	374.16	0.0	0.0	0.0	0.0	0.0	237.51	395.69	1300.99	0.0	0.0	0.0	1510.68	536.76	0.0	37.7	706.93
Tgfbr1	0.0	0.0	0.0	158.07	72.54	0.0	0.0	0.0	0.0	372.72	0.0	1582.07	204.88	929.76	2109.4	113.38	315.14	924.54	0.0	0.0	316.26	79.12	748.26	931.84	426.52	282.82
Tmem119	0.0	0.0	0.0	630.22	281.18	0.0	0.0	0.0	0.0	1014.76	0.0	624.51	769.58	729.25	0.17	526.03	542.63	795.57	0.0	0.0	0.24	1246.73	1301.37	1741.99	3204.68	176.25
Txnip	0.0	0.0	0.0	20.24	666.96	0.0	0.3	0.0	0.0	1550.48	0.0	0.35	68.06	958.93	3359.35	23.82	429.08	1567.45	0.13	0.0	1253.13	947.22	296.34	456.15	538.66	833.01
Zfhx3	0.0	0.0	0.0	120.33	285.6	0.0	0.0	0.0	0.03	27.08	0.0	143.06	155.45	467.26	170.54	139.28	244.12	326.27	0.04	0.0	143.96	285.22	189.4	295.33	177.03	121.62
Zfp36	0.0	0.0	0.0	1765.25	3200.31	0.0	0.0	0.0	0.0	2952.79	0.0	998.17	10647.97	8823.26	2016.75	5822.95	6927.74	15463.84	0.21	0.0	5101.68	4816.38	4289.56	4232.82	6462.95	5672.3
