	Calb2_tdTpositive_cell_3	Calb2_tdTpositive_cell_8	Cux2_tdTpositive_cell_3	Cux2_tdTpositive_cell_8	Cux2_tdTpositive_cell_16	Cux2_tdTpositive_cell_56	Cux2_tdTpositive_cell_69	Nr5a1_tdTpositive_cell_3	Nr5a1_tdTpositive_cell_14	Nr5a1_tdTpositive_cell_33	Nr5a1_tdTpositive_cell_41	Ntsr1_tdTnegative_cell_19	Rbp4_tdTpositive_cell_116	Rorb_tdTpositive_cell_11	Rorb_tdTpositive_cell_38	Scnn1a.Tg3_tdTpositive_cell_7	Scnn1a.Tg3_tdTpositive_cell_35	Scnn1a.Tg3_tdTpositive_cell_37	Ntsr1_tdTpos_100cell_1
1700048O20Rik	5.15	0.23	3.21	4.3	1.45	2.45	3.67	4.11	14.29	1.41	2.03	0.79	165.2	6.42	1.36	3.86	7.97	309.77	10.42
2010111I01Rik	0.0	48.79	85.29	132.69	56.59	105.28	204.59	115.39	0.11	0.0	69.55	0.0	0.48	3.76	0.0	0.07	59.15	353.85	18.61
2210018M11Rik	0.0	88.18	97.73	2.13	2.74	0.0	0.14	1.3	0.0	6.64	135.33	0.0	0.0	2.58	1.14	15.8	0.26	267.01	21.26
2310002D06Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.86	0.0	1.1	0.0
4933411K20Rik	0.0	0.15	0.07	7.11	226.69	39.73	4.61	3.23	55.67	138.26	0.04	0.0	15.29	0.0	0.0	65.79	29.21	198.22	23.21
8030442B05Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.63	0.0	0.0	0.0	0.0	4.92	0.0	4.57	0.0
9430076C15Rik	0.0	0.0	0.0	0.0	0.16	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17	0.0
A430078G23Rik	43.06	12.61	5.74	3.94	22.26	25.06	18.31	26.08	19.57	19.18	27.27	1.33	9.45	1.96	21.43	18.72	24.21	61.74	10.27
A930005H10Rik	1.32	43.31	0.39	198.44	42.51	0.0	96.75	40.59	0.0	0.0	0.25	0.0	226.91	0.0	82.24	0.37	0.91	358.89	19.72
Acsl5	107.17	65.13	20.48	29.67	25.31	55.96	230.28	186.66	134.45	206.26	110.24	0.0	149.38	0.0	233.75	27.82	138.54	307.55	33.04
Acyp2	175.98	1.8	157.09	0.0	178.6	131.16	72.66	221.96	0.0	115.17	211.13	0.0	0.0	0.0	50.36	0.2	95.63	119.61	56.29
Adamts20	9.84	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	51.74	1.73
Adap2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.32	0.0
Ankrd33b	105.72	66.37	21.26	35.94	112.8	83.64	69.48	59.33	0.47	25.84	186.96	0.0	124.18	72.59	13.19	181.66	86.55	378.74	17.45
Aph1a	0.0	0.0	4.7	0.0	0.0	0.0	0.0	0.0	0.0	0.8	27.59	2.61	62.01	0.0	0.0	2.81	29.89	193.88	1.78
Arl1	248.52	401.58	47.49	164.38	234.9	0.0	247.14	233.75	248.83	262.07	62.0	0.0	164.46	18.91	229.95	666.34	384.57	761.3	240.22
Arl5b	0.21	0.0	0.61	0.06	8.33	0.0	0.0	0.13	0.11	0.0	0.0	0.0	0.16	0.0	0.0	7.93	0.0	79.15	0.74
Atox1	13.79	296.31	201.53	422.75	237.55	0.0	165.54	79.38	121.2	286.14	292.42	0.0	347.75	77.91	281.03	321.72	196.4	585.67	228.8
B3galt6	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.27	0.03	49.61	0.0	30.85	3.89
Bckdha	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	112.03	203.16	5.28
Blzf1	139.38	17.93	115.9	0.0	83.6	91.83	0.14	0.24	0.1	0.22	66.67	0.0	0.0	34.0	67.39	49.76	147.99	238.74	53.92
Brd8	324.41	142.77	350.23	41.33	138.53	98.96	107.95	98.9	113.43	137.11	162.18	2.16	65.13	159.72	84.24	116.04	45.66	306.12	178.52
Cacna1b	0.0	0.0	0.0	10.36	1.43	0.0	4.98	0.03	8.72	0.0	0.05	0.0	0.0	1.47	0.0	0.53	0.0	85.47	0.8
Car4	0.0	142.2	44.76	158.68	179.86	281.34	0.0	127.45	201.37	0.34	202.34	0.0	0.0	188.11	202.56	758.61	428.05	1092.83	1.65
Ccdc67	0.0	0.0	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.28	0.0	0.0	0.0	0.09	0.0	0.29	0.72	0.0
Ccl27b	0.0	60.41	2.22	7.78	39.51	39.72	54.38	98.78	32.42	70.05	128.86	0.0	8.68	0.0	180.86	199.04	220.55	76.23	61.27
Cd226	1.79	0.0	0.38	0.11	1.58	0.51	0.0	0.0	1.11	0.0	0.24	0.0	0.79	0.0	0.93	0.14	2.0	3.32	0.14
Cd244	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.0
Cdk5rap3	0.0	0.08	0.0	0.0	95.74	0.0	0.0	0.1	120.58	146.98	0.18	0.3	172.44	0.0	92.37	0.13	0.0	210.34	32.79
Ceacam1	0.28	0.05	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.0	0.32	0.0
Cebpb	0.0	0.0	0.0	2.92	0.65	0.0	0.0	0.0	0.0	0.0	1.76	0.0	0.0	0.0	0.0	1.33	0.0	7.9	2.63
Cecr5	0.0	0.0	0.05	0.12	53.94	0.0	83.38	0.1	0.0	0.0	2.59	0.08	0.0	0.0	0.12	64.71	0.28	158.3	4.89
Cirh1a	0.0	51.93	159.84	0.1	93.82	0.0	0.25	99.61	0.18	258.8	586.61	0.0	0.0	263.72	128.31	58.02	172.82	432.09	116.63
Cldn10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	109.44	0.0	78.16	15.47
Cln8	0.58	4.36	1.14	1.11	32.26	0.24	1.09	1.83	1.01	1.12	40.21	0.09	43.95	1.63	1.51	1.73	2.28	36.05	4.86
Cyp51	0.0	6.94	0.02	0.14	0.1	0.0	0.0	0.16	0.0	0.0	84.14	0.0	0.0	0.0	60.48	91.86	0.56	98.9	22.98
Dcun1d4	0.0	100.68	0.03	5.07	63.14	0.0	8.34	53.18	122.1	0.0	0.16	1.1	24.36	0.0	98.69	84.35	1.43	156.48	53.74
Denr	175.83	36.4	70.74	27.3	94.94	3.46	14.81	80.77	63.0	54.13	122.45	16.28	3.99	156.66	101.8	16.15	49.15	226.49	57.64
Dlg5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.15	0.72
Dnahc5	0.0	0.0	25.73	0.0	0.0	10.4	1.11	0.0	0.0	0.0	22.69	0.0	0.0	0.0	0.0	0.0	0.0	32.92	0.81
Echdc1	0.0	22.28	0.16	0.0	55.57	0.0	0.0	0.23	0.0	40.59	9.18	0.0	0.22	0.0	0.0	0.0	0.18	169.49	30.96
Eif3m	0.0	336.2	198.94	155.96	493.39	0.0	153.1	0.31	0.0	252.02	330.57	474.27	188.1	239.08	375.07	158.65	140.54	778.25	202.84
Ergic2	0.19	10.77	144.53	211.14	189.77	10.09	50.7	0.53	68.52	0.3	130.14	0.0	174.12	101.92	90.29	314.02	97.03	217.37	150.65
Fam78b	0.17	1.17	0.02	0.09	0.0	0.09	0.53	1.45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	117.67	3.61
Fbxw7	286.08	475.89	637.27	238.15	529.8	687.5	667.6	585.64	515.08	563.4	654.51	0.0	57.16	508.43	672.06	349.06	407.26	626.74	261.73
Gbp7	0.0	0.02	0.04	0.12	0.0	0.0	0.0	0.0	0.06	0.08	0.14	0.0	0.3	0.0	0.15	63.98	12.62	73.45	0.59
Ghitm	754.18	1013.14	1302.82	600.06	839.79	1337.77	648.1	1167.16	861.73	694.01	1316.46	0.43	369.21	797.59	667.05	755.21	828.97	1318.82	1129.63
Gm10745	0.0	0.0	0.0	0.0	1.58	0.37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.0	1.0	0.0
Gm13306	0.0	60.41	2.22	7.78	39.51	39.72	54.38	98.78	32.42	70.05	128.86	0.0	8.68	0.0	180.86	199.04	220.55	76.23	61.27
Gm2506	0.0	60.41	2.22	7.78	39.51	39.72	54.38	98.78	32.42	70.05	128.86	0.0	8.68	0.0	180.86	199.04	220.55	76.23	61.27
Gm4710	0.65	0.12	0.17	0.0	1.55	0.38	0.66	0.42	0.0	0.0	0.29	0.0	0.0	0.0	0.2	0.67	0.0	2.16	0.0
Golga4	3.71	0.02	12.66	0.0	0.0	63.17	1.34	23.77	0.0	0.0	18.8	0.0	0.0	19.17	25.48	9.04	77.33	72.64	6.84
Grpel1	80.49	91.05	141.14	130.9	219.38	64.05	61.63	69.94	4.01	45.79	228.21	0.0	132.63	0.0	59.55	144.25	0.0	365.8	114.18
Hira	0.0	0.83	65.2	0.65	0.0	0.0	55.99	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	20.66	105.21	3.13
Ift57	2.42	18.1	0.04	0.0	17.66	4.1	0.0	0.52	0.0	39.45	46.35	0.0	0.0	0.0	52.62	72.29	10.88	81.79	24.36
Ints10	166.75	33.68	179.47	32.01	27.06	0.0	0.0	0.24	15.14	129.14	9.01	0.0	0.0	210.98	0.33	107.55	128.73	231.35	80.46
Kcmf1	2.99	0.09	2.75	5.3	89.19	2.97	6.09	14.76	2.34	1.83	16.25	0.0	1.18	1.65	40.84	6.75	1.46	96.82	15.19
Lingo3	0.0	0.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.33	0.05	0.0	0.0	0.0	28.3	32.85	0.15	120.73	6.05
Lrrc33	1.07	0.19	0.23	0.31	0.54	0.34	0.0	0.37	0.15	0.45	0.46	0.22	0.52	1.61	0.17	0.53	0.85	1.57	0.18
Lztr1	0.25	16.55	145.36	16.39	177.5	4.57	3.1	0.06	52.05	59.09	0.16	0.0	31.23	9.12	84.68	10.47	100.81	198.62	52.3
Map3k3	22.56	0.0	0.06	2.37	67.44	111.83	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.14	96.67	2.02	136.71	5.01
Mir761	0.0	0.0	17.79	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.58	0.0
Mrps18b	212.43	80.13	229.72	0.0	239.13	601.12	0.0	182.38	210.85	197.62	727.15	1.1	86.33	295.3	0.11	24.25	0.0	545.81	111.6
Ms4a5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.55	0.0
Msx2	0.68	0.2	1.46	0.1	1.85	2.96	0.0	0.41	1.35	0.72	0.44	0.0	2.44	1.15	0.0	0.13	1.18	3.06	0.41
Nid1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.17	0.0
Nisch	82.5	6.5	1.8	0.0	37.8	0.1	46.64	0.93	51.63	28.9	33.0	0.0	72.73	23.33	57.57	1.26	6.3	97.31	16.06
Nme5	480.13	79.02	0.0	0.0	46.43	83.42	127.82	0.0	0.0	194.45	76.48	0.0	0.0	0.0	0.0	0.0	0.0	479.37	54.97
Nol11	5.67	6.21	4.84	0.96	78.99	2.67	2.64	15.9	0.54	0.14	103.01	3.03	34.97	4.23	49.56	1.22	1.2	183.06	45.27
Nr4a3	0.0	0.0	0.0	0.0	0.24	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.38	0.0
P2rx4	0.0	0.0	0.05	7.46	0.0	0.0	3.17	0.0	0.6	0.0	160.0	0.0	0.0	0.0	0.0	270.68	71.13	381.3	6.79
Plk2	387.68	300.22	9.94	289.6	530.7	1677.79	397.89	266.32	8.47	311.49	604.32	0.0	14.86	542.07	203.14	511.52	483.81	746.32	281.31
Plxdc1	0.0	27.89	0.04	0.0	0.0	3.03	0.0	3.91	0.0	0.15	229.05	0.0	0.0	0.33	68.45	52.23	0.0	141.26	2.69
Polr1a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	49.42	0.0	0.0	0.0	0.04	12.32	0.0	60.33	2.36
Ppp1r12b	25.56	5.11	57.65	18.61	36.98	13.17	8.76	34.97	7.71	11.72	18.61	8.37	19.22	6.82	14.46	15.5	24.31	103.42	13.91
Ppp2r2a	0.38	43.79	0.1	56.36	51.09	0.21	0.0	41.15	0.0	63.74	48.76	9.07	46.5	0.0	36.25	71.06	33.81	138.29	29.28
Prdm12	0.0	0.04	0.05	0.0	0.0	0.0	0.0	0.08	0.16	0.0	0.07	0.0	0.0	0.0	0.26	0.02	0.19	0.41	0.0
Prpf19	0.12	5.0	0.02	0.47	23.2	0.09	16.15	0.19	0.0	20.39	14.44	0.0	8.94	19.61	18.96	0.18	17.52	46.11	1.68
Prpf3	0.0	91.25	0.04	0.0	11.29	0.0	46.23	48.46	0.0	0.0	1.01	0.0	51.69	0.0	94.49	15.97	0.0	183.82	16.71
Prr24	0.0	1.62	46.08	0.0	0.0	2.64	0.0	0.0	0.0	27.01	4.91	0.0	0.0	0.0	0.07	0.0	0.0	43.76	0.9
Rab9b	0.0	4.96	0.25	0.17	84.42	0.07	0.16	0.26	0.22	80.43	14.84	0.0	0.46	0.0	0.03	99.75	33.44	152.2	17.33
Rbm43	0.0	63.14	179.48	0.35	0.0	0.0	0.0	0.19	0.0	0.0	267.49	0.0	79.71	0.0	0.06	139.37	0.0	216.51	6.75
Rgs4	4301.63	2604.26	4793.66	4051.91	3740.02	3726.59	2452.58	4839.36	4053.59	3267.12	2492.13	0.0	360.43	4166.93	5037.98	1721.21	1808.48	4094.9	551.79
Rnf121	240.12	39.53	0.0	0.0	86.36	227.49	89.94	0.13	0.0	73.84	0.11	0.0	0.0	0.0	131.37	0.17	150.32	241.17	58.83
Rnf144b	1.34	0.0	3.52	29.44	1.26	0.0	22.31	1.11	0.0	4.52	0.11	0.0	0.0	0.0	0.56	7.38	2.43	42.07	0.07
Rpap3	107.27	0.0	0.0	0.0	4.07	66.93	0.0	109.83	0.0	0.0	78.37	0.0	7.25	2.11	3.14	11.08	111.08	323.07	25.86
Rrp12	0.0	1.27	2.19	0.0	1.0	0.0	0.39	18.6	20.89	0.0	0.04	0.0	0.65	0.0	0.0	67.67	0.0	163.95	5.21
Rundc3b	0.0	49.69	129.13	0.0	0.0	0.15	5.72	18.82	0.0	3.34	10.35	0.0	0.15	0.0	0.0	0.0	0.0	146.36	13.88
Sfrp4	0.0	1.14	131.79	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	81.46	4.3
Sh3rf3	81.3	19.03	87.98	0.25	1.27	0.0	0.1	0.77	0.0	0.2	0.11	0.0	0.0	0.14	0.08	0.03	0.0	87.32	12.26
Slitrk3	24.7	41.62	179.35	219.65	46.98	257.3	0.91	0.25	0.0	61.99	4.38	0.0	0.0	26.26	0.48	0.07	140.68	183.23	2.54
Slu7	88.66	48.81	23.23	80.17	179.86	0.0	151.27	133.08	1.4	55.47	115.56	160.63	96.38	0.0	80.43	120.18	155.81	346.85	66.94
Smarcc1	0.94	2.27	58.82	1.46	7.14	2.2	7.64	8.05	1.17	1.11	0.03	0.0	0.0	0.0	2.84	55.83	4.35	111.9	9.57
Snap25	26182.83	20995.4	24880.43	23752.44	19393.09	25194.29	22198.58	24000.2	24648.02	22891.51	21459.53	0.0	22845.02	25542.47	22725.47	20633.02	19905.31	19440.36	20846.74
Snord116	0.0	0.0	0.0	0.0	4.29	5.05	0.0	1.7	0.0	8.05	9.05	0.0	0.0	0.0	2.07	3.3	0.0	31.33	0.0
Snord116l1	0.0	0.0	0.0	0.0	4.29	5.05	0.0	1.7	0.0	8.05	9.05	0.0	0.0	0.0	2.07	3.3	0.0	31.33	0.0
Snord116l2	0.0	0.0	0.0	0.0	4.29	5.05	0.0	1.7	0.0	8.05	9.05	0.0	0.0	0.0	2.07	3.3	0.0	31.33	0.0
Sorbs2	11.79	145.83	117.29	14.12	112.13	25.62	179.32	87.98	63.27	26.33	12.5	0.0	0.0	144.24	33.83	30.14	77.37	263.84	30.75
Spcs3	1674.36	653.41	867.11	1124.92	1104.58	958.41	605.15	696.49	900.55	926.37	416.95	0.0	159.48	646.03	650.1	713.31	316.72	1681.07	406.88
