	Chrna2_tdTpositive_cell_54	Cux2_tdTnegative_cell_4	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_2	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_73	Rbp4_tdTpositive_cell_51
2010001E11Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.71	0.0	0.0	0.0	0.0	0.36	0.85
9130024F11Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.0	8.02	0.0	0.11	0.0
A230073K19Rik	0.24	0.0	0.0	20.56	36.93	45.82	56.27	85.4	22.55	25.63	18.27	28.61	82.04	35.79
AI597479	9.46	0.0	0.57	0.0	0.0	65.8	49.76	72.88	1.92	0.0	56.54	2.47	157.17	1.79
AI854703	30.1	0.0	35.8	4.13	46.83	50.35	20.25	41.42	3.95	1.01	0.75	0.38	46.89	0.0
Adcyap1r1	5.23	0.0	22.41	53.29	25.0	0.06	33.16	28.26	17.56	16.46	14.6	4.65	44.0	9.37
Amy2a2	0.0	0.0	0.0	0.14	0.18	0.07	0.14	0.29	0.14	0.7	0.16	0.41	0.55	0.09
Amy2a3	0.0	0.0	0.0	0.14	0.18	0.07	0.14	0.29	0.14	0.7	0.16	0.41	0.55	0.09
Amy2a4	0.0	0.0	0.0	0.14	0.18	0.07	0.14	0.29	0.14	0.7	0.16	0.41	0.55	0.09
Arih1	1.56	0.05	0.87	7.34	24.12	0.0	7.48	58.92	6.35	9.11	7.12	14.22	59.37	0.33
Baz2a	0.0	0.0	0.18	5.48	3.82	0.7	19.43	19.81	0.65	0.0	2.33	0.0	26.49	0.0
Brap	0.13	0.0	0.0	4.1	2.78	0.4	7.07	21.56	3.65	10.97	0.0	3.15	26.91	0.0
C330024D21Rik	6.38	0.12	0.0	25.24	21.55	26.68	18.68	37.88	14.89	20.22	22.7	20.22	19.32	11.98
C430002E04Rik	0.46	0.0	0.0	0.0	0.88	0.34	0.29	0.64	0.13	0.0	0.26	0.12	1.06	0.01
Ccdc104	3.43	0.0	51.72	38.95	44.67	105.65	19.69	151.67	72.75	103.78	73.48	138.84	83.67	14.67
Cdc40	0.0	0.0	0.07	10.18	28.44	121.37	40.24	79.45	15.29	28.05	0.32	13.51	31.42	0.0
Clcn3	31.84	0.0	95.29	122.72	129.64	96.2	230.27	291.64	110.03	125.04	92.04	121.51	313.22	42.82
Clint1	0.07	0.0	0.0	0.0	0.0	3.06	0.99	60.41	13.84	0.0	0.0	0.0	79.74	0.0
Colec12	8.42	3.67	6.16	13.24	20.14	22.96	18.83	26.83	9.45	19.24	17.96	19.34	24.77	14.26
D17Wsu104e	0.28	0.0	222.52	244.42	31.19	438.52	147.93	462.79	219.4	60.28	3.08	147.88	396.58	49.32
Ddost	0.0	0.0	0.0	0.0	18.33	13.62	43.21	95.36	39.12	8.05	0.0	0.0	62.94	0.0
Ddx55	0.29	0.0	0.09	61.92	58.13	0.65	89.26	82.3	39.27	52.64	38.95	19.06	54.1	7.56
Enox1	0.0	0.0	0.0	26.38	12.93	17.29	4.89	82.39	0.0	0.23	15.8	0.0	53.7	33.71
Fam49a	0.05	0.0	31.1	74.33	119.44	68.8	173.99	243.84	19.72	39.71	67.0	27.93	287.19	130.3
Fbxo34	1.08	0.0	0.0	0.0	38.3	0.0	0.0	101.07	6.22	22.76	2.93	41.97	65.63	98.72
Fryl	9.76	0.0	2.73	0.0	3.12	7.19	5.11	17.26	5.98	7.08	0.19	7.25	3.98	12.64
Fyn	0.0	0.0	19.59	0.0	2.25	12.09	26.66	21.42	0.0	0.0	5.76	12.61	32.8	0.0
Gys1	6.22	0.0	15.81	0.39	24.56	2.82	35.57	32.82	0.3	25.27	0.15	0.0	52.85	0.21
Hbegf	0.0	0.0	27.76	0.0	1.92	8.98	0.0	66.59	0.0	0.0	26.88	0.0	57.73	0.0
Kcns3	0.09	0.0	59.97	43.42	16.27	184.37	149.98	446.83	43.22	35.83	138.36	311.84	204.59	75.68
Kdm5b	0.04	0.0	0.0	2.85	7.23	22.68	12.26	40.31	5.62	3.52	13.87	5.81	25.11	0.18
Kif21a	2.81	0.0	18.52	101.7	56.57	12.06	34.72	128.86	76.31	42.0	22.26	33.32	140.14	82.17
Klhl28	0.0	0.0	78.0	0.0	44.78	0.13	98.31	85.0	0.19	44.19	60.23	14.55	174.88	16.2
Kpna1	0.18	0.0	8.61	35.52	20.52	15.83	4.02	56.14	13.51	22.29	47.54	9.48	103.24	16.91
