	Ctgf_tdTpositive_cell_11	Ctgf_tdTpositive_cell_12	Htr3a_tdTpositive_cell_86	Htr3a_tdTpositive_cell_99	Htr3a_tdTpositive_cell_111	Htr3a_tdTpositive_cell_113	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_26	Ntsr1_tdTpositive_cell_4	Ntsr1_tdTpositive_cell_20	Ntsr1_tdTpositive_cell_28	Ntsr1_tdTpositive_cell_39	Ntsr1_tdTpositive_cell_40	Ntsr1_tdTpositive_cell_42	Ntsr1_tdTpositive_cell_43	Ntsr1_tdTpositive_cell_44	Ntsr1_tdTpositive_cell_49	Ntsr1_tdTpositive_cell_69	Rbp4_tdTpositive_cell_47	Slc17a6_tdTpositive_cell_24	Vip_tdTpositive_cell_69	Ntsr1_tdTpos_10cell_8	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	CAV_LP_Ipsi_tdTpos_cell_1	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_25	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28	CAV_LP_Ipsi_tdTpos_cell_32	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
0610039K10Rik	0.0	0.0	0.0	0.0	0.35	1.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.52	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.72	0.67	0.75
1300018J18Rik	0.0	0.0	3.29	0.0	0.0	0.0	0.0	27.81	95.52	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.0	58.39	0.0	0.0	1.76	2.77	2.96	9.91	0.0	0.12	0.51	0.0	0.0	62.05	0.0	42.95	22.11	24.19	21.88
1600002H07Rik	82.15	73.94	24.89	0.17	1.4	129.88	0.84	2.06	2.56	2.36	1.89	1.32	0.36	5.55	0.73	3.14	0.24	2.95	2.51	2.13	1.8	2.39	4.47	9.06	7.99	13.75	1.54	0.0	0.69	1.03	1.72	39.81	0.52	0.48	8.17	9.97	8.65
1700018L02Rik	0.0	0.0	0.0	0.0	0.0	9.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.85	4.64	3.64
2610203C22Rik	0.0	0.0	0.0	0.0	0.26	22.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.7	0.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.69	1.52	1.09
3110079O15Rik	0.0	36.79	0.0	109.39	0.0	432.97	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.93	0.0	0.0	0.0	0.0	0.0	0.0	4.38	4.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.69	0.0	0.95
4930403N07Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.04
5730480H06Rik	0.0	0.0	0.0	0.0	0.0	40.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.69	0.0	10.05	0.0	0.0	0.0	2.21	0.0	0.0	7.68	3.0	0.4	2.03	0.0	11.06	0.0	0.0	0.0	0.0	0.0	0.0	2.44	1.09	1.49
6330578E17Rik	25.68	18.13	20.69	14.99	78.75	30.88	49.61	0.08	0.28	0.0	3.2	0.65	12.15	78.22	27.11	0.51	0.2	0.21	86.89	67.29	12.93	0.0	21.45	20.89	33.92	36.19	94.1	0.0	0.25	0.0	0.11	0.16	1.98	0.28	68.06	63.45	63.56
Adhfe1	0.0	0.0	0.0	0.0	0.0	0.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.89	0.0	0.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.3	11.6	13.3
Akap11	18.27	51.4	34.71	9.17	21.99	11.43	17.09	0.35	9.35	20.5	113.97	0.46	0.31	1.81	0.0	56.29	27.23	2.47	66.41	16.15	0.18	135.79	17.09	16.34	22.32	19.76	4.61	0.95	68.19	10.87	56.84	44.73	51.69	15.95	98.51	87.62	95.22
Amotl1	0.0	0.79	0.0	0.19	0.15	12.04	0.07	0.91	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.01	0.02	0.06	0.0	3.89	0.7	0.96	2.92	2.5	0.96	0.04	0.0	0.12	3.23	0.0	0.1	0.0	0.05	9.3	9.24	10.01
Apobec3	0.0	0.0	0.0	0.0	0.0	2.69	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.12	0.0	0.0	3.19	2.71	2.25
Atp13a2	0.17	1.7	0.1	0.0	0.09	41.28	2.15	9.66	0.09	0.0	30.93	0.01	8.33	1.26	0.13	0.31	0.7	0.0	2.74	9.81	0.14	0.0	6.51	0.37	4.28	2.75	0.14	0.0	0.15	6.21	0.14	0.0	10.99	13.49	91.7	99.84	96.26
Atp8b3	0.0	0.0	0.0	0.0	0.0	24.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.09
B230206H07Rik	0.0	0.3	0.0	0.0	0.0	0.35	0.09	0.0	0.15	0.06	0.0	0.0	0.2	0.21	0.18	0.0	0.0	0.0	0.0	0.16	0.0	0.0	0.21	0.21	0.0	0.16	0.16	0.0	0.0	0.14	0.0	0.0	0.0	0.0	2.4	3.11	4.05
B430306N03Rik	0.0	0.0	0.0	0.0	0.06	9.6	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.14	0.16	0.09
Blk	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.04
C130036L24Rik	7.54	7.49	6.3	13.93	5.35	39.22	0.91	2.42	2.24	5.48	0.29	0.0	3.38	19.73	4.55	2.79	3.89	11.34	12.88	7.65	11.37	87.06	5.79	4.44	7.19	4.77	2.72	0.44	10.25	2.17	13.4	0.46	1.5	9.95	7.17	5.13	8.21
C8b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.09
Cacna1f	0.0	0.0	0.0	0.0	0.0	1.65	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.31	0.15	0.3
