	Gad2_tdTpositive_cell_44	Ntsr1_tdTnegative_cell_3	Ntsr1_tdTnegative_cell_22	Ntsr1_tdTnegative_cell_24	Ntsr1_tdTnegative_cell_32	Ntsr1_tdTnegative_cell_41	Ntsr1_tdTnegative_cell_44	Pvalb_tdTpositive_cell_81	Rbp4_tdTpositive_cell_165	Rbp4_tdTnegative_cell_1	Rbp4_tdTnegative_cell_7	Rbp4_tdTnegative_cell_15	Rbp4_tdTnegative_cell_18	Scnn1a.Tg3_tdTnegative_cell_1	Scnn1a.Tg3_tdTnegative_cell_6	Scnn1a.Tg3_tdTnegative_cell_10	Scnn1a.Tg3_tdTnegative_cell_13	Scnn1a.Tg3_tdTnegative_cell_15	Scnn1a.Tg3_tdTnegative_cell_18	Scnn1a.Tg3_tdTnegative_cell_19	Scnn1a.Tg3_tdTnegative_cell_22	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_10cell_7	Ntsr1_tdTpos_10cell_9	Ntsr1_tdTpos_100cell_2	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1110031I02Rik	0.0	0.0	0.0	0.0	281.26	559.0	0.0	435.65	10.04	0.2	0.39	0.0	0.0	0.0	0.0	0.0	0.0	257.16	0.0	3.48	0.0	0.0	0.0	0.95	11.82	3.08	8.16	9.36	9.56
2410001C21Rik	49.09	0.0	473.23	146.57	76.97	513.26	389.35	493.52	32.34	0.11	0.45	0.08	0.0	0.0	0.0	104.24	0.0	0.0	0.0	170.18	0.0	153.29	151.6	149.71	157.03	216.25	78.45	85.68	80.72
4930526L06Rik	0.0	0.0	0.0	0.0	0.41	3.61	0.0	4.71	0.53	0.0	0.96	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.59	1.53	0.88	0.78	0.35	2.19	1.42	1.84
AI413582	17.29	338.21	1.67	0.0	38.01	221.17	0.0	905.17	340.21	267.55	187.66	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	349.95	250.33	350.15	394.78	269.18	87.45	91.84	78.53
Adcy8	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.08	6.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.09	7.37	0.06	0.24	0.47	17.69	19.45	16.65
Aqp4	0.06	0.0	0.0	0.0	0.23	0.0	0.0	0.15	0.0	0.0	0.09	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.45	0.0	0.02	1.14	58.68	55.56	73.11
Arsk	0.0	0.0	0.0	0.0	8.94	390.46	0.0	374.67	4.51	0.0	0.19	0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.91	32.29	0.47	7.6	2.65	4.5	3.37	4.7	4.66	4.25
Cdc40	0.0	0.0	0.0	0.18	0.12	24.65	0.0	52.18	35.1	0.0	0.0	0.38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.72	53.0	52.22	21.24	43.9	38.12	37.83	36.56
Cpsf6	0.0	0.0	17.52	1.37	0.06	48.83	0.0	96.97	86.21	1.7	0.11	0.13	0.0	0.0	0.0	0.0	0.0	0.09	0.0	8.1	0.0	45.4	42.36	44.22	32.41	27.51	48.32	42.13	45.59
Dlc1	0.04	0.08	0.0	0.0	0.0	0.22	0.0	0.12	0.87	0.04	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	15.84	15.7	16.5	20.13	7.66	32.01	31.18	28.49
