	Cux2_tdTpositive_cell_85	Cux2_tdTnegative_cell_4	Ndnf_tdTpositive_cell_20	Nos1_tdTpositive_cell_27	Nos1_tdTpositive_cell_33	Nr5a1_tdTpositive_cell_49	Nr5a1_tdTpositive_cell_50	Nr5a1_tdTpositive_cell_52	Rbp4_tdTpositive_cell_61	Rbp4_tdTpositive_cell_182	Rbp4_tdTpositive_cell_186	Rbp4_tdTpositive_cell_187	Scnn1a.Tg3_tdTpositive_cell_100	Scnn1a.Tg3_tdTpositive_cell_101	Scnn1a.Tg3_tdTpositive_cell_102	Scnn1a.Tg3_tdTpositive_cell_104	Vip_tdTpositive_cell_16	Rbp4_CTX_10pg_1	Rbp4_CTX_10pg_2	Rbp4_CTX_10pg_3	Rbp4_CTX_10pg_5	Rbp4_CTX_10pg_6
1700016D06Rik	11.19	0.0	0.0	2.66	1.08	12.96	5.54	7.26	0.96	4.35	5.39	2.76	11.83	18.07	7.34	5.99	0.54	2.19	1.64	2.53	1.67	2.25
2700070H01Rik	10.29	0.0	0.0	4.01	7.45	16.28	4.58	10.92	1.5	12.08	7.32	2.72	28.48	13.18	6.63	10.98	0.0	2.11	1.93	1.9	1.38	0.11
5530601H04Rik	70.52	0.0	0.0	2.37	0.69	36.84	4.04	2.17	2.6	10.91	1.11	13.77	11.7	10.54	2.38	39.0	0.2	1.38	0.8	0.44	16.38	0.24
9230112J17Rik	0.64	0.0	0.0	0.0	0.0	1.02	0.0	4.77	0.0	0.44	0.46	0.0	1.13	3.41	0.58	0.74	0.0	0.34	0.08	0.0	0.12	0.16
A330032B11Rik	77.77	1.72	13.46	23.98	17.3	67.13	59.16	29.93	19.89	83.19	31.25	27.76	106.23	167.41	82.74	55.57	1.18	15.75	13.79	15.24	14.03	13.99
A830007P12Rik	212.99	7.21	19.04	29.8	32.25	104.69	116.01	110.76	39.26	81.31	78.31	68.75	163.02	53.27	212.43	153.57	2.25	7.37	17.63	14.26	17.06	17.13
Acmsd	21.08	0.0	3.27	6.43	5.21	20.54	5.12	6.88	2.7	27.98	9.32	9.28	22.93	27.46	12.31	12.36	8.04	3.09	3.55	4.99	1.99	2.53
Amy2a2	0.26	0.0	0.0	0.49	0.13	0.29	1.03	0.27	0.16	0.66	0.21	0.27	0.0	1.81	0.4	0.36	0.0	0.17	0.19	0.04	0.02	0.13
Amy2a3	0.26	0.0	0.0	0.49	0.13	0.29	1.03	0.27	0.16	0.66	0.21	0.27	0.0	1.81	0.4	0.36	0.0	0.17	0.19	0.04	0.02	0.13
Amy2a4	0.26	0.0	0.0	0.49	0.13	0.29	1.03	0.27	0.16	0.66	0.21	0.27	0.0	1.81	0.4	0.36	0.0	0.17	0.19	0.04	0.02	0.13
Ankrd16	79.79	0.0	0.0	0.0	0.0	33.48	0.0	0.0	0.0	0.31	13.34	4.34	148.92	0.0	0.0	156.51	0.0	0.0	0.06	15.79	46.95	0.0
Apol7b	6.91	0.0	0.0	0.09	0.0	0.0	1.76	0.0	0.0	2.27	0.12	0.65	0.0	4.78	0.51	1.41	0.0	0.0	0.22	0.0	0.65	0.52
Apol7e	6.91	0.0	0.0	0.09	0.0	0.0	1.76	0.0	0.0	2.27	0.12	0.65	0.0	4.78	0.51	1.41	0.0	0.0	0.22	0.0	0.65	0.52
Bcmo1	6.47	0.0	0.0	2.18	0.52	5.12	1.79	4.44	0.26	1.97	1.56	1.28	3.14	4.17	0.73	3.13	0.16	0.38	0.26	0.37	1.38	0.33
Ccl27b	16.25	0.0	0.0	64.28	14.53	344.85	411.12	176.6	120.66	93.01	34.54	0.0	14.7	274.48	171.5	443.82	0.0	17.69	2.83	25.62	4.38	27.11
Cd3d	21.21	0.0	0.0	8.0	5.64	35.78	35.34	14.12	2.87	10.14	2.45	5.75	24.1	15.54	19.15	17.49	0.0	2.36	1.71	4.25	1.27	2.22
Cstf2	199.03	0.0	0.0	1.12	93.19	0.0	1.51	58.55	0.05	4.77	10.44	0.05	38.39	145.78	57.5	0.0	0.0	0.0	0.48	53.16	0.03	42.07
E130008D07Rik	18.34	0.0	0.0	6.54	0.48	11.43	7.35	10.62	1.75	11.92	6.43	7.24	18.15	25.76	22.35	10.52	0.11	3.61	1.45	1.85	1.75	2.66
Fcrl5	3.5	0.0	0.0	0.16	0.0	2.33	0.34	0.0	0.0	0.08	0.0	0.0	4.53	2.86	2.03	0.65	0.0	0.16	0.0	0.83	0.11	0.0
Gm10389	147.36	9.04	5.17	28.02	30.71	93.56	101.63	64.02	19.16	158.75	39.72	59.68	127.22	158.58	396.3	76.65	6.6	12.28	15.69	13.76	10.74	15.15
Gm10636	5.06	0.0	0.0	0.16	0.51	1.07	2.64	0.74	1.78	7.19	1.07	0.49	2.58	3.73	7.35	2.61	0.0	0.25	0.44	0.1	0.57	1.48
Gm12185	2.77	0.0	0.0	1.1	0.42	1.1	1.03	1.51	0.05	0.53	0.56	0.24	11.82	1.48	1.34	1.88	0.0	0.22	0.32	0.05	0.22	0.37
Gm13306	16.25	0.0	0.0	64.28	14.53	344.85	411.12	176.6	120.66	93.01	34.54	0.0	14.7	274.48	171.5	443.82	0.0	17.69	2.83	25.62	4.38	27.11
Gm16702	342.29	71.53	86.88	61.68	54.37	195.9	153.22	136.92	68.01	166.97	97.09	153.09	239.87	230.82	138.84	187.62	16.53	19.91	38.94	44.21	47.54	42.36
Gm20139	0.85	0.0	0.0	0.32	0.19	1.24	0.32	0.38	0.04	0.27	0.34	0.13	0.85	0.63	0.28	0.77	0.0	0.29	0.11	0.02	0.05	0.03
Gm2506	16.25	0.0	0.0	64.28	14.53	344.85	411.12	176.6	120.66	93.01	34.54	0.0	14.7	274.48	171.5	443.82	0.0	17.69	2.83	25.62	4.38	27.11
Gm8221	0.5	0.0	0.0	0.08	0.0	0.62	0.11	0.22	0.0	0.16	0.0	0.0	0.7	0.29	0.09	0.13	0.0	0.01	0.06	0.04	0.0	0.0
Hspa14	538.06	0.0	0.0	95.28	236.66	465.3	0.23	151.3	0.13	94.29	89.63	7.85	0.76	0.0	0.58	590.03	0.0	59.86	1.31	115.0	20.28	0.1
Lrrc3	19.81	0.0	0.0	5.09	3.22	10.45	6.27	3.31	0.37	7.95	6.1	2.77	136.52	12.56	5.99	17.38	0.0	60.16	1.03	0.55	0.6	0.72
Mphosph6	452.77	0.0	0.0	23.35	0.0	363.77	0.0	209.08	0.0	0.14	0.5	106.8	1.33	0.0	1.44	255.57	0.0	64.16	80.67	129.25	0.14	0.0
Omd	340.78	9.63	16.55	42.39	75.23	102.6	173.06	141.75	70.26	220.19	122.18	78.19	272.68	199.12	306.48	171.14	2.83	17.72	29.84	23.41	126.16	35.45
Shc4	1.91	0.0	0.0	0.09	0.0	1.25	1.13	2.02	0.05	0.66	0.47	0.2	1.69	3.55	1.81	0.78	0.07	0.41	0.05	0.0	0.09	0.04
Tex264	397.8	0.0	0.0	35.79	0.0	20.22	149.11	80.25	0.0	183.78	22.49	49.89	11.66	252.99	193.77	212.43	0.0	96.17	0.05	175.36	63.32	0.0
Tmem145	65.91	0.0	0.0	0.33	0.0	47.07	3.07	35.33	0.71	31.2	0.0	0.0	35.37	10.8	47.36	2.14	0.0	0.0	0.2	0.0	0.0	0.0
Trim36	9.86	0.68	0.0	6.17	6.34	32.4	14.53	10.08	3.26	10.8	5.98	5.53	8.93	23.73	14.07	14.92	0.45	1.64	2.39	3.31	1.89	1.72
Trp53rk	5.7	0.06	0.0	1.32	0.19	32.55	2.29	0.86	0.39	2.88	2.06	1.63	10.6	7.3	2.55	5.03	0.06	0.57	0.35	0.48	0.65	0.45
Tspan15	40.51	4.1	0.0	5.35	4.87	14.93	14.77	3.66	2.72	39.47	19.33	9.24	18.65	32.51	25.45	8.01	2.35	1.66	29.37	3.08	2.17	3.05
