	Ctgf_tdTpositive_cell_3	Cux2_tdTnegative_cell_12	Ndnf_tdTnegative_cell_10	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1700001K23Rik	0.0	0.0	0.0	0.22	0.2	0.22
1700064J06Rik	0.0	0.0	0.0	0.0	0.17	0.0
2410018M08Rik	0.0	0.0	0.0	7.62	7.26	7.47
4930403N07Rik	0.0	0.0	0.0	0.04	0.04	0.04
4930555G01Rik	0.0	0.0	0.23	0.28	0.73	0.62
4931423N10Rik	0.0	0.0	0.0	0.22	0.2	0.22
5930416I19Rik	0.28	0.0	0.0	14.56	15.58	13.59
6030405A18Rik	0.0	0.0	0.0	26.45	28.65	27.76
6030419C18Rik	0.0	0.0	0.0	145.22	160.11	161.24
9530036O11Rik	0.0	0.0	0.0	0.65	0.41	0.42
Abcb9	0.0	0.0	0.0	38.34	41.71	43.95
Abhd16b	0.0	0.0	0.0	0.06	0.05	0.06
Accn2	0.0	0.12	0.38	51.4	49.24	50.01
Ahctf1	0.0	0.0	0.0	21.48	18.81	18.45
Akr7a5	0.0	0.0	0.0	23.99	25.78	25.58
Alas2	0.0	0.0	0.0	2.36	1.46	2.46
Anapc13	0.0	0.0	0.0	54.08	70.4	56.33
Ap1g1	0.0	0.0	0.0	48.4	47.39	45.92
Arhgap42	0.0	0.0	1.29	9.03	7.48	8.69
Arid4b	298.87	0.0	0.0	22.39	17.64	22.69
Atad3a	0.0	0.19	0.0	33.87	36.62	36.53
Atp4a	0.0	0.0	0.0	0.57	0.48	0.53
Atp8b3	0.0	0.0	0.0	0.04	0.04	0.09
BB123696	0.0	0.0	0.0	0.36	0.12	0.18
Bag6	12.46	0.0	0.0	120.96	127.78	125.96
Blk	0.0	0.0	0.0	0.04	0.04	0.04
Bnip1	0.0	0.0	0.0	30.09	31.23	32.12
C8b	0.0	0.0	0.0	0.04	0.04	0.09
Cdk15	0.0	0.0	0.0	1.22	0.7	0.42
Cds2	0.0	0.0	0.12	203.83	204.49	205.55
Cenpb	0.0	0.0	0.0	120.4	137.75	134.34
Ces1a	0.0	0.0	0.0	0.05	0.05	0.05
Chl1	0.05	0.0	0.06	66.76	60.97	64.63
Chtf8	0.0	0.0	0.0	58.89	61.05	55.88
Cno	0.0	0.0	0.0	16.57	21.55	20.75
Cpxm1	0.0	0.0	0.0	6.82	7.88	6.11
Csnk1e	0.0	117.65	0.0	87.5	91.6	82.59
Cxx1a	0.0	0.0	0.0	133.83	145.01	142.69
Dcun1d5	0.0	0.0	0.0	60.12	57.72	61.46
Depdc7	0.0	0.0	0.0	1.44	1.58	1.37
Dspp	0.0	0.0	0.0	0.11	0.1	0.11
Fam26e	0.0	0.0	0.0	6.85	8.07	7.12
Fam55b	0.0	0.0	0.0	0.35	0.22	0.18
Fblim1	0.0	0.15	0.31	1.51	1.07	1.24
Fiz1	0.0	0.0	0.0	14.93	18.1	16.77
Foxi1	0.0	0.0	0.0	0.04	0.04	0.09
Foxo1	0.0	0.0	0.0	18.48	18.95	18.11
Fut8	0.48	2.23	29.14	64.09	60.03	69.16
Fxyd4	0.0	0.0	0.0	0.22	0.0	0.2
Gdf6	0.0	0.0	0.0	0.03	0.03	0.06
Gemin6	0.0	0.0	0.0	8.72	7.95	7.66
Gfod2	0.0	0.0	0.0	19.38	20.73	21.99
Gm13476	0.0	0.0	0.0	4.17	4.28	4.75
Gm14047	0.0	0.68	0.0	4.16	2.15	4.56
Gm1604b	0.0	0.0	0.0	12.04	8.13	8.91
Gm2109	0.0	0.0	0.0	0.35	0.13	0.37
Gm6289	0.0	0.0	0.0	1.01	0.57	0.97
Gp1bb	0.0	0.0	0.0	18.54	22.4	21.44
Gpr126	0.0	0.0	0.0	1.81	2.34	2.18
Gpr171	0.0	0.0	0.0	0.09	0.0	0.0
Gpr4	0.0	0.0	0.0	3.01	3.32	3.56
Gpsm1	0.0	0.0	0.0	33.44	38.42	34.28
Grm4	0.0	0.0	0.0	17.66	17.01	18.6
