	Ctgf_tdTpositive_cell_3	Cux2_tdTpositive_cell_70	Ndnf_tdTpositive_cell_10	Ndnf_tdTpositive_cell_21	Rbp4_tdTpositive_cell_70	Rbp4_tdTpositive_cell_74	Rbp4_tdTpositive_cell_95	Rbp4_tdTpositive_cell_134	Rbp4_tdTpositive_cell_165	Rbp4_tdTpositive_cell_176	Rbp4_tdTpositive_cell_177	Rbp4_tdTpositive_cell_185	Rbp4_tdTnegative_cell_3	Rbp4_tdTnegative_cell_6	Rbp4_tdTnegative_cell_9	Rbp4_tdTnegative_cell_22	Rbp4_tdTnegative_cell_23	Rorb_tdTpositive_cell_19	Rorb_tdTpositive_cell_47	Rbp4_CTX_250ng_1
2510039O18Rik	0.0	58.21	0.0	0.0	0.0	17.06	0.0	0.0	4.48	0.0	0.0	0.0	1.62	0.0	0.28	0.0	0.17	0.0	0.0	24.71
2610316D01Rik	0.0	135.2	0.0	0.0	47.68	0.0	63.57	42.17	29.88	0.0	8.67	0.0	0.0	0.0	103.07	0.0	0.0	0.0	0.0	11.33
6430704M03Rik	0.0	235.8	0.0	0.0	50.8	51.72	44.34	10.48	43.67	52.29	66.6	0.96	0.0	0.19	0.0	0.0	0.0	25.56	0.0	157.21
A930001N09Rik	0.0	47.16	0.0	0.0	17.65	15.7	12.82	4.65	12.05	2.15	7.7	12.6	0.04	0.19	0.15	0.0	0.0	0.0	0.07	21.53
AV051173	0.0	1.76	0.0	0.0	0.0	0.0	0.65	0.0	0.4	4.2	0.0	0.0	0.0	0.0	0.0	0.0	0.66	1.13	0.0	0.17
Aak1	0.03	86.29	0.0	0.07	23.85	8.17	18.53	6.06	19.32	17.8	18.3	11.31	11.74	0.21	3.6	0.1	0.05	8.74	2.39	77.03
Abcd2	0.08	104.14	0.0	0.29	19.7	31.76	47.44	0.24	4.59	0.73	1.2	0.25	0.62	0.34	0.2	0.56	3.6	9.65	1.15	25.68
Abhd13	0.0	59.6	0.12	0.0	0.07	11.07	0.0	11.99	6.68	0.0	0.78	2.44	0.08	0.12	0.46	0.34	0.04	0.06	0.0	23.09
Aco1	1.3	27.58	0.97	0.11	1.13	0.83	1.46	0.85	5.51	2.22	9.66	3.82	6.4	0.5	3.59	4.65	1.86	1.09	0.83	20.74
Actn1	0.0	106.93	0.0	1.62	15.05	28.3	35.06	60.21	35.64	28.84	20.2	26.27	0.0	0.0	0.0	0.0	0.0	0.53	0.22	72.48
Ak4	0.0	168.87	0.0	0.0	0.0	0.0	0.0	0.43	2.88	0.0	0.0	0.89	0.0	0.0	0.0	0.0	0.0	7.92	0.17	28.84
Alg5	0.0	246.31	0.0	0.97	0.23	0.0	0.0	0.0	72.25	0.0	0.0	0.23	85.98	0.0	0.53	0.0	0.0	102.6	0.29	20.97
Atp1b2	0.14	303.98	0.0	0.32	0.0	0.0	0.0	63.18	29.44	68.96	116.39	72.61	0.11	178.66	0.26	0.0	0.0	128.29	101.58	312.68
Atxn1	0.0	142.51	15.89	0.0	26.14	24.67	16.42	13.27	13.37	2.67	47.61	25.41	0.0	0.83	0.0	0.0	0.1	40.17	6.72	21.76
Bcl7a	11.59	102.8	0.0	0.0	17.44	17.43	14.13	16.57	6.83	26.24	0.0	20.42	0.0	36.6	0.0	0.0	0.0	27.94	0.0	70.17
Bdp1	3.28	94.16	0.0	0.0	1.69	9.35	0.91	0.0	9.54	6.51	6.85	3.96	0.0	0.0	0.0	20.99	0.0	0.68	0.0	12.83
