	Nr5a1_tdTpositive_cell_49	Nr5a1_tdTpositive_cell_50	Ntsr1_tdTnegative_cell_28	Rbp4_tdTnegative_cell_14	Scnn1a.Tg3_tdTpositive_cell_100	Scnn1a.Tg3_tdTpositive_cell_101	Scnn1a.Tg3_tdTpositive_cell_102	Scnn1a.Tg3_tdTnegative_cell_16	Scnn1a.Tg3_tdTnegative_cell_21	Rbp4_CTX_10pg_1	Rbp4_CTX_10pg_2	Rbp4_CTX_10pg_3	Rbp4_CTX_10pg_5	Rbp4_CTX_10pg_6
A930011O12Rik	1000.92	243.83	0.17	0.16	545.7	297.2	159.0	0.0	0.0	30.59	64.0	95.83	96.34	27.09
Abhd16a	175.45	78.55	0.0	0.0	30.05	22.89	1.6	0.0	0.0	2.68	86.84	3.74	69.72	11.19
Abi2	78.8	212.0	2.11	5.93	57.75	182.6	94.09	0.0	0.45	102.02	42.45	40.48	140.57	58.63
Atl1	212.76	72.72	0.24	0.0	378.36	903.18	6.09	0.0	0.0	32.43	114.42	7.51	47.3	139.17
Ccl27b	344.85	411.12	0.34	0.0	14.7	274.48	171.5	0.0	0.0	17.69	2.83	25.62	4.38	27.11
Dlgap1	319.74	116.55	0.13	0.19	242.58	245.54	149.63	0.0	0.0	134.92	67.64	33.2	57.89	53.19
Dnm1	636.54	294.27	0.18	0.0	563.51	242.37	117.06	0.0	0.0	68.47	7.56	7.98	17.77	15.03
Dtx3	40.21	209.66	0.0	0.67	106.07	167.65	1.83	0.0	0.0	8.83	68.35	78.82	118.93	5.88
Fbxl16	315.38	266.75	0.61	0.18	319.42	347.22	8.9	0.17	0.0	69.48	64.66	98.45	124.49	38.91
Gm13306	344.85	411.12	0.34	0.0	14.7	274.48	171.5	0.0	0.0	17.69	2.83	25.62	4.38	27.11
Gm2506	344.85	411.12	0.34	0.0	14.7	274.48	171.5	0.0	0.0	17.69	2.83	25.62	4.38	27.11
Lrp11	262.91	211.86	0.0	0.0	53.46	61.93	52.02	0.0	0.0	1.51	37.17	2.66	9.32	0.62
Magoh	490.16	451.4	1.19	0.0	95.95	114.05	222.01	0.0	0.0	44.84	0.0	0.0	0.0	50.87
Myo5a	79.71	104.18	0.0	0.0	154.62	120.8	71.49	0.0	0.0	22.71	67.35	16.27	23.46	44.14
Ptprd	333.75	112.31	0.0	0.15	483.24	274.95	259.55	0.16	0.0	22.14	15.31	7.55	13.77	19.24
Rbfox3	241.44	151.81	0.0	0.0	301.05	241.2	64.82	0.0	0.0	64.98	21.55	22.24	48.28	32.0
Rraga	297.38	143.47	14.54	7.71	7.32	430.48	32.56	0.0	0.0	284.18	287.05	168.86	198.48	55.88
Sesn1	29.7	339.54	0.0	0.0	55.98	22.3	0.0	0.0	0.0	16.67	0.53	1.82	25.21	0.07
Slc12a5	350.97	414.03	0.11	0.0	83.41	206.13	150.28	0.0	0.0	28.98	14.06	1.11	39.83	32.04
Slc25a44	89.73	104.98	0.0	0.0	40.42	70.82	74.42	0.0	0.0	1.66	171.61	37.79	17.26	41.94
Sncb	521.19	367.11	1.17	0.0	575.86	820.76	236.36	0.0	0.0	209.92	143.12	100.45	191.81	138.13
Taok1	64.59	87.45	0.05	0.0	90.82	24.19	64.98	1.54	0.0	41.64	58.62	44.72	16.52	5.46
Tmod2	129.73	54.85	0.09	0.46	59.22	75.04	57.09	0.32	0.17	8.83	38.26	37.08	46.74	28.14
Ttyh1	310.94	227.38	1.93	0.56	92.83	228.64	205.94	0.0	0.25	56.14	76.25	9.33	41.26	62.72
Zfp963	1.66	1.17	0.0	0.28	1.42	0.79	1.16	0.0	0.0	0.26	0.36	0.09	0.0	0.0
c12_LSU-rRNA_Hsa	1464.79	847.1	158.96	108.37	3931.6	1724.9	881.95	141.89	249.07	449.72	617.22	388.5	545.86	501.0
c16_LSU-rRNA_Hsa	1717.14	1600.78	270.49	495.97	7390.0	2018.32	1718.37	455.77	284.75	910.07	1323.25	756.22	1166.98	999.25
c17_SSU-rRNA_Hsa	32310.68	18100.4	8594.98	6551.52	62935.79	39573.42	23420.99	1501.42	4908.37	22437.39	28697.02	17823.66	28103.63	31264.04
c6_LSU-rRNA_Hsa	2084.66	1630.18	395.54	309.04	8616.25	3095.58	1927.24	321.27	507.21	839.18	1288.77	908.78	1674.85	1345.3
c6_SSU-rRNA_Hsa	5460.12	3371.89	1072.22	1138.84	12576.8	5449.99	3667.82	111.98	636.69	3702.62	4717.69	2868.02	5006.45	5876.33
c7_LSU-rRNA_Hsa	195.36	162.06	57.57	7.26	823.92	432.95	233.09	54.27	72.57	126.78	199.68	111.84	189.98	142.46
c9_LSU-rRNA_Hsa	1698.69	1358.65	278.25	191.8	5576.72	2603.36	1662.92	254.8	478.16	1009.39	1394.23	958.74	1063.43	898.03
