	Calb2_tdTpositive_cell_1	Htr3a_tdTpositive_cell_93	Htr3a_tdTpositive_cell_96	Htr3a_tdTpositive_cell_111	Nos1_tdTpositive_cell_56	Ntsr1_tdTpositive_cell_20	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_35	Ntsr1_tdTpositive_cell_38	Ntsr1_tdTpositive_cell_40	Ntsr1_tdTpositive_cell_41	Ntsr1_tdTpositive_cell_43	Ntsr1_tdTpositive_cell_44	Ntsr1_tdTpositive_cell_49	Ntsr1_tdTpositive_cell_52	Ntsr1_tdTpositive_cell_73	PvalbD.Slc32a1_tdTpositive_cell_15	Rbp4_tdTpositive_cell_89	Rbp4_tdTpositive_cell_97	Rbp4_tdTpositive_cell_180	Slc17a6_tdTpositive_cell_24	Slc17a6_tdTpositive_cell_30	Vip_tdTpositive_cell_69	Ntsr1_tdTpos_10cell_2	Ntsr1_tdTpos_10cell_7	Ntsr1_tdTpos_10cell_8	Ntsr1_tdTpos_10cell_9	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	CAV_LP_Ipsi_tdTpos_cell_1	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_25	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28	CAV_LP_Ipsi_tdTpos_cell_32	CAV_LP_Ipsi_tdTpos_cell_43	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1500002O20Rik	0.0	73.38	41.75	0.0	0.0	0.16	0.0	0.0	0.18	0.0	58.07	30.87	0.0	0.0	0.0	0.0	0.0	0.0	0.14	47.0	0.0	0.0	0.0	1.28	8.91	10.46	9.0	12.09	4.51	2.35	0.87	0.0	0.0	177.11	18.65	0.0	0.0	0.0	0.0	32.19	33.75	32.27
1700034I23Rik	0.0	54.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	68.64	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.84	0.0	0.0	2.01	1.66	0.0	1.19	0.0	0.0	0.0	0.0	42.2	0.0	0.0	0.0	0.0	0.08	0.12	0.22
1700125H03Rik	0.0	0.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.97	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.85	1.23	1.8
4930513N10Rik	0.0	55.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.86	0.0	0.0	0.0	0.0	0.0	0.94	0.0	0.0	0.36	0.0	1.04	0.94	0.92
5430416O09Rik	0.0	0.0	0.08	0.16	0.0	0.0	0.0	0.16	0.12	0.09	0.06	0.2	0.0	0.02	0.1	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.6	0.0	0.08	0.0	0.12	0.0	0.09	0.09	0.08	0.14	0.0	0.08	0.0	0.0	0.0	0.06	0.19	0.7	0.63	0.99
8430429K09Rik	3.3	207.88	2.57	1.19	0.0	2.12	2.27	7.9	3.6	2.08	2.44	3.91	4.98	5.79	3.33	17.97	0.51	0.0	2.48	12.83	1.88	5.74	1.06	13.35	2.84	5.2	10.19	23.75	16.0	15.95	3.43	6.16	5.98	4.79	3.01	129.46	5.37	101.66	6.79	8.72	9.67	11.49
9030025P20Rik	0.0	46.68	0.46	1.53	3.2	0.0	0.95	1.95	5.55	0.32	0.0	1.87	1.33	1.58	0.0	1.56	6.98	0.0	0.0	34.76	2.77	46.88	0.0	13.63	3.14	3.51	13.43	2.72	2.16	4.79	14.84	3.73	1.94	3.52	0.0	0.0	0.0	2.19	0.0	15.83	13.52	16.88
9830001H06Rik	0.07	1.38	0.12	0.13	0.0	0.0	0.0	0.04	0.18	0.02	0.0	0.03	0.08	0.13	0.0	0.05	0.0	0.0	0.07	0.17	0.09	0.0	0.06	0.21	0.09	0.02	0.06	0.07	0.12	0.03	0.0	0.0	0.11	0.0	18.84	0.07	0.0	0.06	0.1	13.73	12.95	14.31
Abca2	0.02	0.11	2.28	24.55	0.0	0.0	0.0	0.31	0.05	0.0	0.0	0.0	0.0	0.0	0.05	8.64	24.04	0.0	38.11	0.21	4.57	12.67	0.34	12.78	6.07	11.11	10.81	6.46	5.85	9.09	0.08	3.49	3.29	0.04	0.05	0.07	25.58	6.4	0.28	101.21	104.3	111.02
Afg3l1	0.2	19.81	0.0	0.4	0.27	0.0	0.0	0.21	0.09	0.08	0.04	0.55	0.08	0.0	0.67	0.45	11.21	0.0	0.0	0.28	0.0	0.81	0.11	3.26	3.76	8.1	9.61	2.85	2.16	3.9	34.8	0.07	0.11	0.21	0.21	0.27	0.06	0.72	0.18	18.03	20.86	20.21
Agphd1	0.1	1.08	0.41	0.13	0.1	0.21	0.0	0.02	0.0	0.01	0.06	0.26	0.07	0.21	0.09	0.05	0.0	0.0	0.0	4.11	0.19	0.35	0.44	0.05	0.11	0.2	0.29	1.71	0.45	0.74	0.17	0.0	0.05	0.08	0.26	0.07	0.0	0.0	0.08	2.11	2.19	1.82
Akap13	0.0	8.42	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.25	0.0	0.17	0.0	0.27	0.0	0.0	0.0	0.36	1.48	0.42	0.77	0.47	1.65	0.54	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.25	0.0	12.53	11.33	13.47
Aldh1b1	0.0	126.42	65.17	65.46	0.0	0.0	241.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18	0.55	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.94	24.28	55.03	33.6	13.53	21.61	18.48	0.0	83.62	0.0	72.61	0.19	0.0	0.0	0.0	0.0	9.63	11.46	10.25
Ankrd37	0.0	117.59	0.0	0.0	0.0	241.42	94.02	0.0	12.98	0.0	133.54	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.83	0.0	84.66	553.92	28.19	6.64	42.71	22.0	12.85	21.49	19.28	0.0	0.0	108.88	121.38	0.0	219.96	0.0	0.0	0.0	7.75	9.62	8.92
Arap1	0.0	7.48	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.58	0.0	0.0	1.14	0.0	0.09	0.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.4	7.5	7.94
Arhgef7	89.28	271.19	67.88	58.51	110.3	0.0	53.06	58.57	9.04	37.27	0.16	30.64	127.86	8.52	41.02	0.14	1.9	0.0	76.62	5.25	27.71	0.0	0.09	80.75	34.0	10.28	53.76	36.16	28.35	24.32	33.46	0.17	0.0	0.0	77.39	45.9	0.0	83.89	0.0	72.82	75.56	76.42
Asf1b	0.0	79.99	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.93	0.88	0.84
Atf5	11.9	11.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.74	0.0	0.0	6.64	0.0	0.35	0.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.53	19.7	21.07
Atp2b4	0.07	136.78	43.37	86.02	0.0	0.04	55.4	3.83	72.33	17.89	36.02	0.0	49.36	44.54	57.27	69.62	0.0	0.04	6.33	13.2	28.01	33.63	0.0	29.31	59.41	18.99	22.19	34.12	21.24	21.85	10.72	28.86	25.66	75.86	92.49	29.44	5.98	21.91	70.08	114.5	105.28	114.98
B130006D01Rik	0.13	64.9	0.02	0.08	0.0	0.49	0.21	83.71	0.11	0.0	0.0	0.26	0.11	0.0	0.28	0.0	0.11	0.0	0.0	0.43	0.0	80.52	0.61	5.21	10.46	1.36	1.37	1.43	0.37	0.86	0.19	0.09	0.16	0.19	0.0	0.0	0.05	0.23	0.43	0.09	0.06	0.21
Basp1	57.43	179.36	95.48	101.31	65.81	0.19	120.11	88.95	101.84	139.81	105.96	211.11	55.98	116.03	126.34	97.07	55.54	64.94	115.85	128.85	210.41	114.2	253.9	93.61	88.38	67.34	71.48	91.91	88.09	90.8	100.8	154.4	136.72	129.33	70.5	196.99	130.46	73.86	13.08	481.54	530.49	509.16
