	Cux2_tdTpositive_cell_91	Ntsr1_tdTpositive_cell_27	Rbp4_tdTpositive_cell_176	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1700001K23Rik	0.0	0.0	0.0	0.22	0.2	0.22
1700029I15Rik	0.0	0.0	0.0	1.49	1.68	2.15
1700037C18Rik	0.0	0.0	0.0	7.08	6.57	8.06
4930403N07Rik	0.0	0.0	0.0	0.04	0.04	0.04
4931423N10Rik	0.0	0.0	0.0	0.22	0.2	0.22
9130017N09Rik	0.0	0.0	0.0	0.33	0.19	0.21
Acsl6	56.9	13.38	10.47	165.64	155.64	169.63
Agap3	0.74	9.41	4.03	234.75	249.95	235.85
Als2cl	0.02	0.3	1.03	6.49	7.6	6.57
Astn1	0.35	14.26	43.42	113.91	111.86	116.89
Astn2	13.55	0.0	0.7	24.18	24.75	22.11
Atp8b3	0.0	0.0	0.0	0.04	0.04	0.09
Bcl11b	0.13	0.0	0.1	35.56	39.1	36.72
Blk	0.0	0.0	0.0	0.04	0.04	0.04
C86187	0.0	0.11	0.0	0.25	0.13	0.4
C8b	0.0	0.0	0.0	0.04	0.04	0.09
Calhm1	0.0	0.0	0.0	0.1	0.09	0.1
Camsap1	0.16	6.11	0.65	41.9	41.78	41.15
Cd4	0.0	0.0	0.0	8.68	8.33	8.41
Ces1a	0.0	0.0	0.0	0.05	0.05	0.05
Cmtm8	0.0	0.0	0.0	1.61	2.98	2.35
D6Mm5e	0.0	0.0	0.0	0.1	0.09	0.1
Dagla	0.0	7.27	10.11	63.23	62.82	67.85
Dmrtc1a	0.0	0.0	0.0	9.81	10.98	7.64
Dspp	0.0	0.0	0.0	0.11	0.1	0.11
Dusp26	0.0	0.0	28.66	82.82	92.92	88.43
Dyrk4	0.0	0.0	0.0	0.1	0.09	0.1
E030018B13Rik	0.0	0.0	0.0	0.1	0.09	0.1
Epb4.1l1	12.33	0.05	29.0	226.35	219.82	236.74
Ezr	0.0	0.0	0.0	41.2	43.08	45.6
Fam134b	0.0	0.0	0.0	34.92	35.63	37.51
Foxi1	0.0	0.0	0.0	0.04	0.04	0.09
Gabra6	0.0	0.0	0.0	0.04	0.04	0.08
Gdf6	0.0	0.0	0.0	0.03	0.03	0.06
Gm106	0.0	0.0	0.0	1.4	1.25	1.41
Gm15800	35.72	16.76	22.4	63.09	60.53	70.52
Gp1bb	0.0	0.0	20.85	18.54	22.4	21.44
Helq	0.0	0.0	0.0	10.46	10.37	11.64
Hhla1	0.0	0.0	0.0	0.04	0.04	0.09
Hist1h3f	0.0	0.0	0.0	0.14	0.14	0.14
Hoxd8	0.0	0.0	0.0	0.07	0.07	0.07
Inhbc	0.0	0.0	0.0	0.05	0.05	0.1
Kera	0.0	0.0	0.0	0.05	0.05	0.05
Klf8	0.0	0.0	0.18	3.81	3.6	4.5
Lao1	0.0	0.0	0.0	0.05	0.05	0.05
Lims2	0.0	0.0	0.0	15.04	14.33	12.25
Lipm	0.0	0.0	0.0	0.11	0.1	0.11
Loxl3	0.0	0.0	0.0	3.13	2.57	2.91
Ltbp4	0.0	0.0	0.94	37.04	41.64	39.41
Marcksl1	0.0	0.0	0.51	105.99	129.27	112.68
Msh4	0.0	0.0	0.0	0.03	0.03	0.06
Msl3l2	0.0	0.0	0.0	13.61	15.48	13.81
Mudeng	0.0	0.0	6.39	17.26	14.37	16.76
Myh10	0.0	6.42	2.5	136.61	130.54	138.14
Ncoa1	40.48	44.01	3.17	57.47	52.33	56.3
Nron	0.0	0.0	0.0	0.03	0.03	0.06
Ogfr	0.0	0.0	0.0	40.39	38.33	36.92
Olfr1419	0.0	0.0	0.0	0.1	0.09	0.1
Olfr1420	0.0	0.0	0.0	0.11	0.1	0.11
Pcbp1	13.55	0.0	58.12	185.19	202.11	179.35
Prpf19	29.36	4.09	0.71	65.92	70.75	68.94
Rasl10b	0.0	2.07	5.1	176.08	191.44	185.21
Repin1	1.03	0.0	9.86	31.19	32.22	32.44
Rtbdn	0.0	0.0	0.0	3.23	2.89	2.89
Samm50	0.0	0.0	0.0	97.54	105.64	95.86
Slc15a2	0.0	0.0	0.0	16.56	15.41	15.65
Smtn	0.0	0.0	0.0	4.91	6.04	5.54
Tas2r137	0.0	0.0	0.0	0.1	0.1	0.1
Tgm6	0.0	0.0	0.0	0.09	0.14	0.06
Tmem93	0.0	0.0	0.0	47.16	53.14	47.95
Ttc39d	0.0	0.0	0.0	0.05	0.05	0.05
Txndc5	0.0	0.0	0.0	55.42	59.07	52.19
Ube3c	0.5	0.06	0.16	55.48	54.31	55.77
Ushbp1	0.0	0.0	0.0	3.45	3.71	4.43
Vax2os2	0.0	0.0	0.0	0.07	0.07	0.07
Vmn1r45	0.0	0.0	0.0	0.03	0.03	0.06
Vmn2r118	0.0	0.0	0.0	0.04	0.04	0.09
Ylpm1	0.64	0.05	7.99	51.66	46.9	52.27
Zfp862	0.08	0.0	0.0	6.43	5.53	6.55
Zp3r	0.0	0.0	0.0	0.05	0.05	0.05
c9_tRNA-Ala-GCY_	0.0	0.0	35.77	74.87	45.68	58.87
mt_AK131586	0.0	0.0	0.0	25813.35	24091.17	24561.45
mt_AK166684	0.0	0.0	0.0	18796.57	17507.83	18655.33
mt_BC104337	0.0	0.0	18.58	9032.87	8417.95	8583.15
